name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million,is_new_to_pl,adjG_per_90,adjA_per_90,league_multiplier,season_reliability,data_source,data_confidence
Luka Vušković,DEF,Brighton,0,,False,0,2442.0,6.0,0.0,0.0,0,0,0,0,6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.1958,0.0,0.0,0.0,0.0,1,0.1958,0.0,0.89,1.0,stage4a,1.0
Ronald Araujo,DEF,Liverpool,0,,False,0,1997.0,1.0,2.0,0.0,0,0,0,0,6.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.4,2023-24,2024,0.0,0.0,1.0,0,0.0,0.046000000000000006,0.0828,0.0,0.0,0.0,1,0.046000000000000006,0.0828,0.92,1.0,stage4a,1.0
Pep Chavarría,DEF,Chelsea,0,,False,0,1167.0,1.0,1.0,0.0,0,0,0,0,6.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2023-24,2024,0.0,0.0,0.5,0,0.0,0.0736,0.0736,0.0,0.0,0.0,1,0.0736,0.0736,0.92,0.5,stage4a,0.5
Oscar Mingueza,DEF,Crystal Palace,0,,False,0,2998.0,2.0,2.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.4,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0552,0.0552,0.0,0.0,0.0,1,0.0552,0.0552,0.92,1.0,stage4a,1.0
Juanlu Sánchez,DEF,Bournemouth,0,,False,0,1181.0,0.0,2.0,0.0,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,0.5,0,0.0,0.0,0.138,0.0,0.0,0.0,1,0.0,0.138,0.92,0.5,stage4a,0.5
Juanlu Sánchez,DEF,Bournemouth,0,,False,0,1775.0,0.0,5.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0,0.23,0.0,0.0,0.0,1,0.0,0.23,0.92,1.0,stage4a,1.0
Ronald Araujo,DEF,Liverpool,0,,False,0,754.0,1.0,1.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.4,2024-25,2025,0.0,0.0,1.0,0,0.0,0.1104,0.1104,0.0,0.0,0.0,1,0.1104,0.1104,0.92,1.0,stage4a,1.0
Adam Aznou,DEF,Everton,0,,False,0,876.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.92,1.0,stage4a,1.0
Pep Chavarría,DEF,Chelsea,0,,False,0,2585.0,0.0,1.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.0276,0.0,0.0,0.0,1,0.0,0.0276,0.92,1.0,stage4a,1.0
Nobel Mendy,DEF,Hull City,0,,False,0,108.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.92,1.0,stage4a,1.0
