fbref_name,fpl_name,previous_league,multiplier,fbref_season,fbref_team,fbref_position,appearances,goals,assists,xG,xA,shots_per_90,goals_per_90,assists_per_90,yellow_cards,red_cards,clean_sheets,saves,save_percentage,adjusted_goals,adjusted_assists,adjusted_goals_per_90,adjusted_assists_per_90,season_reliability,data_confidence,is_new_to_pl,fpl_position,fpl_team,fpl_price
José Gomes,Joao Gomes,Primeira Liga,0.78,2024-25,Nacional,DF,28.0,3.0,1.0,0.0,0.0,0.88,0.12,0.04,3.0,0.0,0.0,0.0,0.0,2.34,0.78,0.0936,0.031200000000000002,1.0,,1,MID,Aston Villa,5.5
Viktor Gyökeres,Viktor Gyökeres,Primeira Liga,0.78,2024-25,Sporting CP,FW,33.0,39.0,7.0,0.0,0.0,4.46,1.25,0.22,4.0,0.0,0.0,0.0,0.0,30.42,5.46,0.9750000000000001,0.1716,1.0,,1,FWD,Arsenal,7.3
Lukáš Horníček,Lukás Hornícek,Primeira Liga,0.78,2024-25,Braga,GK,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,47.0,82.8,0.0,0.0,0.0,0.0,1.0,,1,GK,Newcastle,5.0
Konstantinos Kostoulas,Konstantinos Tzolakis,Super League 1,1.0,2024-25,Rio Ave,DF,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,GK,Hull City,4.6
Hidemasa Morita,Hidemasa Morita,Primeira Liga,0.78,2024-25,Sporting CP,MF,23.0,2.0,3.0,0.0,0.0,0.97,0.14,0.21,1.0,0.0,0.0,0.0,0.0,1.56,2.34,0.10920000000000002,0.1638,1.0,,1,MID,Hull City,5.0
Geovany Quenda,Geovany Quenda,Primeira Liga,0.78,2024-25,Sporting CP,MF,34.0,2.0,4.0,0.0,0.0,1.76,0.08,0.16,2.0,0.0,0.0,0.0,0.0,1.56,3.12,0.062400000000000004,0.12480000000000001,1.0,,1,MID,Chelsea,5.4
Omar Richards,Omar Richards,Primeira Liga,0.78,2024-25,Rio Ave,"DF,MF",26.0,0.0,1.0,0.0,0.0,0.18,0.0,0.05,4.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.03900000000000001,1.0,,1,DEF,Nott'm Forest,4.0
Amar Dedić,Amar Dedic,Primeira Liga,0.78,2025-26,Benfica,DF,24.0,1.0,4.0,0.0,0.0,0.71,0.05,0.19,5.0,2.0,0.0,0.0,0.0,0.78,3.12,0.03900000000000001,0.1482,1.0,,1,DEF,Newcastle,4.5
Ousmane Diomande,Ousmane Diomande,Primeira Liga,0.78,2025-26,Sporting CP,DF,17.0,0.0,1.0,0.0,0.0,0.69,0.0,0.07,5.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.05460000000000001,1.0,,1,DEF,Nott'm Forest,5.4
Martim Fernandes,Mateus Fernandes,Primeira Liga,0.78,2025-26,Porto,DF,20.0,1.0,1.0,0.0,0.0,0.32,0.08,0.08,4.0,1.0,0.0,0.0,0.0,0.78,0.78,0.062400000000000004,0.062400000000000004,1.0,,1,MID,Spurs,5.9
José Gomes,Joao Gomes,Primeira Liga,0.78,2025-26,Nacional,DF,27.0,1.0,5.0,0.0,0.0,0.74,0.04,0.2,3.0,0.0,0.0,0.0,0.0,0.78,3.9000000000000004,0.031200000000000002,0.15600000000000003,1.0,,1,MID,Aston Villa,5.5
Lukáš Horníček,Lukás Hornícek,Primeira Liga,0.78,2025-26,Braga,GK,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,72.0,68.6,0.0,0.0,0.0,0.0,1.0,,1,GK,Newcastle,5.0
Hidemasa Morita,Hidemasa Morita,Primeira Liga,0.78,2025-26,Sporting CP,MF,31.0,1.0,4.0,0.0,0.0,0.69,0.05,0.2,3.0,0.0,0.0,0.0,0.0,0.78,3.12,0.03900000000000001,0.15600000000000003,1.0,,1,MID,Hull City,5.0
Geovany Quenda,Geovany Quenda,Primeira Liga,0.78,2025-26,Sporting CP,MF,20.0,2.0,5.0,0.0,0.0,1.73,0.2,0.51,0.0,0.0,0.0,0.0,0.0,1.56,3.9000000000000004,0.15600000000000003,0.39780000000000004,0.5,,1,MID,Chelsea,5.4
Omar Richards,Omar Richards,Primeira Liga,0.78,2025-26,Rio Ave,"MF,DF",14.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,1,DEF,Nott'm Forest,4.0
Amine Adli,Amine Adli,Bundesliga,0.89,2023-24,Leverkusen,"MF,FW",23.0,4.0,6.0,0.0,0.0,2.71,0.4,0.6,5.0,0.0,0.0,0.0,0.0,3.56,5.34,0.35600000000000004,0.534,0.5,,1,MID,Leverkusen,5.0
Nico Elvedi,Nico Elvedi,Bundesliga,0.89,2023-24,Gladbach,DF,30.0,2.0,1.0,0.0,0.0,0.65,0.07,0.04,5.0,0.0,0.0,0.0,0.0,1.78,0.89,0.06230000000000001,0.0356,1.0,,1,DEF,Leeds,4.5
Leon Goretzka,Leon Goretzka,Bundesliga,0.89,2023-24,Bayern Munich,MF,30.0,6.0,7.0,0.0,0.0,2.25,0.24,0.28,3.0,0.0,0.0,0.0,0.0,5.34,6.23,0.21359999999999998,0.24920000000000003,1.0,,1,MID,Aston Villa,6.0
Hugo Larsson,Hugo Larsson,Bundesliga,0.89,2023-24,Eintracht Frankfurt,MF,29.0,2.0,1.0,0.0,0.0,0.48,0.1,0.05,1.0,0.0,0.0,0.0,0.0,1.78,0.89,0.08900000000000001,0.044500000000000005,1.0,,1,MID,Fulham,5.0
Jean Mattéo Bahoya,Jean-Mattéo Bahoya,Bundesliga,0.89,2023-24,Eintracht Frankfurt,MF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Leeds,5.0
Thomas Meunier,Thomas Meunier,Ligue 1,0.82,2023-24,Dortmund,DF,8.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,DEF,Sunderland,4.5
Exequiel Palacios,Exequiel Palacios,Bundesliga,0.89,2023-24,Leverkusen,MF,24.0,4.0,4.0,0.0,0.0,1.03,0.2,0.2,6.0,0.0,0.0,0.0,0.0,3.56,3.56,0.17800000000000002,0.17800000000000002,1.0,,1,MID,Ipswich Town,5.0
Xaver Schlager,Xaver Schlager,Bundesliga,0.89,2023-24,RB Leipzig,MF,29.0,0.0,5.0,0.0,0.0,0.76,0.0,0.18,7.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0,0.1602,1.0,,1,MID,Nott'm Forest,5.0
Michael Zetterer,Michael Zetterer,Bundesliga,0.89,2023-24,Werder Bremen,GK,27.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,2.0,0.0,5.0,93.0,73.8,0.0,0.0,0.0,0.0,1.0,,1,GK,Leeds,4.0
Amine Adli,Amine Adli,Bundesliga,0.89,2024-25,Leverkusen,"MF,FW",20.0,2.0,0.0,0.0,0.0,2.35,0.23,0.0,3.0,0.0,0.0,0.0,0.0,1.78,0.0,0.20470000000000002,0.0,0.5,,1,MID,Leverkusen,5.0
Aurele Amenda,Aurèle Amenda,Bundesliga,0.89,2024-25,Eintracht Frankfurt,DF,8.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,DEF,Coventry City,4.0
Adam Aznou,Adam Aznou,Bundesliga,0.89,2024-25,Bayern Munich,DF,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,DEF,Everton,4.0
Nico Elvedi,Nico Elvedi,Bundesliga,0.89,2024-25,Gladbach,DF,25.0,1.0,1.0,0.0,0.0,0.51,0.04,0.04,1.0,0.0,0.0,0.0,0.0,0.89,0.89,0.0356,0.0356,1.0,,1,DEF,Leeds,4.5
Leon Goretzka,Leon Goretzka,Bundesliga,0.89,2024-25,Bayern Munich,MF,26.0,4.0,1.0,0.0,0.0,2.17,0.27,0.07,2.0,0.0,0.0,0.0,0.0,3.56,0.89,0.2403,0.06230000000000001,0.5,,1,MID,Aston Villa,6.0
Konstantinos Koulierakis,Konstantinos Tzolakis,Super League 1,1.0,2024-25,Wolfsburg,DF,30.0,0.0,2.0,0.0,0.0,0.8,0.0,0.07,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.07,1.0,,1,GK,Hull City,4.6
Jonah Kusi-Asare,Jonah Kusi-Asare,Bundesliga,0.89,2024-25,Bayern Munich,FW,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,FWD,Fulham,4.5
Hugo Larsson,Hugo Larsson,Bundesliga,0.89,2024-25,Eintracht Frankfurt,MF,33.0,3.0,1.0,0.0,0.0,0.79,0.11,0.04,2.0,0.0,0.0,0.0,0.0,2.67,0.89,0.0979,0.0356,1.0,,1,MID,Fulham,5.0
Johan Manzambi,Johan Manzambi,Bundesliga,0.89,2024-25,Freiburg,MF,11.0,2.0,1.0,0.0,0.0,2.96,0.54,0.27,2.0,0.0,0.0,0.0,0.0,1.78,0.89,0.4806,0.2403,0.5,,1,MID,Aston Villa,5.9
Jean Mattéo Bahoya,Jean-Mattéo Bahoya,Bundesliga,0.89,2024-25,Eintracht Frankfurt,MF,24.0,2.0,3.0,0.0,0.0,0.98,0.2,0.29,3.0,0.0,0.0,0.0,0.0,1.78,2.67,0.17800000000000002,0.2581,0.5,,1,MID,Leeds,5.0
Exequiel Palacios,Exequiel Palacios,Bundesliga,0.89,2024-25,Leverkusen,MF,24.0,1.0,6.0,0.0,0.0,1.01,0.08,0.47,2.0,0.0,0.0,0.0,0.0,0.89,5.34,0.0712,0.4183,0.5,,1,MID,Ipswich Town,5.0
Xaver Schlager,Xaver Schlager,Bundesliga,0.89,2024-25,RB Leipzig,MF,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,1,MID,Nott'm Forest,5.0
Bazoumana Touré,Bazoumana Touré,Bundesliga,0.89,2024-25,Hoffenheim,"MF,FW",13.0,0.0,3.0,0.0,0.0,2.81,0.0,0.44,1.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.3916,0.5,,1,MID,Newcastle,5.9
Michael Zetterer,Michael Zetterer,Bundesliga,0.89,2024-25,Werder Bremen,GK,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,103.0,65.8,0.0,0.0,0.0,0.0,1.0,,1,GK,Leeds,4.0
Aurèle Amenda,Aurèle Amenda,Bundesliga,0.89,2025-26,Frankfurt,DF,24.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,DEF,Coventry City,4.0
Ilyas Ansah,Ilyas Ansah,Bundesliga,0.89,2025-26,Union Berlin,"MF,FW",33.0,5.0,1.0,0.0,0.0,1.57,0.24,0.05,1.0,0.0,0.0,0.0,0.0,4.45,0.89,0.21359999999999998,0.044500000000000005,1.0,,1,FWD,Hull City,5.0
Aaron Anselmino,Aaron Anselmino,Bundesliga,0.89,2025-26,Dortmund,DF,6.0,1.0,0.0,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.21359999999999998,0.0,1.0,,1,DEF,Chelsea,4.5
Claudio Echeverri,Claudio Echeverri,Bundesliga,0.89,2025-26,Leverkusen,MF,6.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Man City,4.9
Nico Elvedi,Nico Elvedi,Bundesliga,0.89,2025-26,Gladbach,DF,33.0,0.0,2.0,0.0,0.0,0.27,0.0,0.06,5.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.053399999999999996,1.0,,1,DEF,Leeds,4.5
Leon Goretzka,Leon Goretzka,Bundesliga,0.89,2025-26,Bayern Munich,MF,31.0,5.0,3.0,0.0,0.0,1.62,0.23,0.14,4.0,0.0,0.0,0.0,0.0,4.45,2.67,0.20470000000000002,0.12460000000000002,1.0,,1,MID,Aston Villa,6.0
Konstantinos Koulierakis,Konstantinos Tzolakis,Super League 1,1.0,2025-26,Wolfsburg,DF,29.0,4.0,1.0,0.0,0.0,0.94,0.15,0.04,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.15,0.04,1.0,,1,GK,Hull City,4.6
Jonah Kusi-Asare,Jonah Kusi-Asare,Bundesliga,0.89,2025-26,Bayern Munich,FW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,FWD,Fulham,4.5
Hugo Larsson,Hugo Larsson,Bundesliga,0.89,2025-26,Frankfurt,MF,25.0,2.0,2.0,0.0,0.0,0.65,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.78,1.78,0.08900000000000001,0.08900000000000001,1.0,,1,MID,Fulham,5.0
Johan Manzambi,Johan Manzambi,Bundesliga,0.89,2025-26,Freiburg,MF,27.0,5.0,4.0,0.0,0.0,2.21,0.22,0.17,4.0,2.0,0.0,0.0,0.0,4.45,3.56,0.1958,0.15130000000000002,1.0,,1,MID,Aston Villa,5.9
Jean Mattéo Bahoya,Jean-Mattéo Bahoya,Bundesliga,0.89,2025-26,Frankfurt,"MF,FW",27.0,3.0,4.0,0.0,0.0,1.96,0.2,0.27,2.0,0.0,0.0,0.0,0.0,2.67,3.56,0.17800000000000002,0.2403,0.5,,1,MID,Leeds,5.0
Ibrahim Maza,Ibrahim Mbaye,Ligue 1,0.82,2025-26,Leverkusen,MF,28.0,3.0,4.0,0.0,0.0,2.63,0.15,0.19,2.0,0.0,0.0,0.0,0.0,2.46,3.28,0.12299999999999998,0.1558,1.0,,1,MID,Aston Villa,6.0
Exequiel Palacios,Exequiel Palacios,Bundesliga,0.89,2025-26,Leverkusen,MF,18.0,0.0,1.0,0.0,0.0,0.82,0.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0712,1.0,,1,MID,Ipswich Town,5.0
Xaver Schlager,Xaver Schlager,Bundesliga,0.89,2025-26,RB Leipzig,MF,26.0,3.0,1.0,0.0,0.0,1.03,0.15,0.05,6.0,0.0,0.0,0.0,0.0,2.67,0.89,0.1335,0.044500000000000005,1.0,,1,MID,Nott'm Forest,5.0
Bazoumana Touré,Bazoumana Touré,Bundesliga,0.89,2025-26,Hoffenheim,"MF,FW",30.0,5.0,9.0,0.0,0.0,1.87,0.19,0.35,2.0,0.0,0.0,0.0,0.0,4.45,8.01,0.1691,0.3115,1.0,,1,MID,Newcastle,5.9
Luka Vušković,Luka Vušković,Bundesliga,0.89,2025-26,Hamburger SV,DF,28.0,6.0,0.0,0.0,0.0,1.18,0.22,0.0,6.0,0.0,0.0,0.0,0.0,5.34,0.0,0.1958,0.0,1.0,,1,DEF,Brighton,5.0
Michael Zetterer,Michael Zetterer,Bundesliga,0.89,2025-26,Frankfurt,GK,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,62.0,65.3,0.0,0.0,0.0,0.0,1.0,,1,GK,Leeds,4.0
Mohamed Ali Cho,Mohamed-Ali Cho,La Liga,0.92,2023-24,Real Sociedad,FW,11.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Hull City,5.0
Ronald Araújo,Ronald Araujo,La Liga,0.92,2023-24,Barcelona,DF,25.0,1.0,2.0,0.0,0.0,1.04,0.05,0.09,6.0,0.0,0.0,0.0,0.0,0.92,1.84,0.046000000000000006,0.0828,1.0,,1,DEF,Liverpool,5.4
Pep Chavarría,Pep Chavarría,La Liga,0.92,2023-24,Rayo Vallecano,"DF,MF",22.0,1.0,1.0,0.0,0.0,0.85,0.08,0.08,6.0,1.0,0.0,0.0,0.0,0.92,0.92,0.0736,0.0736,0.5,,1,DEF,Chelsea,5.0
Gonzalo García,Gonzalo García,La Liga,0.92,2023-24,Real Madrid,MF,2.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,FWD,Fulham,6.0
Ibrahima Koné,Ibrahim Osman,La Liga,0.92,2023-24,Almería,FW,9.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,1,MID,Brighton,5.0
Óscar Mingueza,Oscar Mingueza,La Liga,0.92,2023-24,Celta Vigo,"DF,MF",38.0,2.0,2.0,0.0,0.0,0.84,0.06,0.06,4.0,0.0,0.0,0.0,0.0,1.84,1.84,0.0552,0.0552,1.0,,1,DEF,Crystal Palace,4.4
Álvaro Rodríguez,Álvaro Rodríguez,La Liga,0.92,2023-24,Real Madrid,FW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,FWD,Bournemouth,6.0
Juanlu Sánchez,Juanlu Sánchez,La Liga,0.92,2023-24,Sevilla,"DF,MF",26.0,0.0,2.0,0.0,0.0,0.84,0.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.138,0.5,,1,DEF,Bournemouth,4.5
Manu Sánchez,Juanlu Sánchez,La Liga,0.92,2023-24,Celta Vigo,"DF,MF",26.0,0.0,5.0,0.0,0.0,0.46,0.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,4.6000000000000005,0.0,0.23,1.0,,1,DEF,Bournemouth,4.5
Ronald Araújo,Ronald Araujo,La Liga,0.92,2024-25,Barcelona,DF,12.0,1.0,1.0,0.0,0.0,0.48,0.12,0.12,3.0,0.0,0.0,0.0,0.0,0.92,0.92,0.1104,0.1104,1.0,,1,DEF,Liverpool,5.4
Adam Aznou,Adam Aznou,La Liga,0.92,2024-25,Valladolid,"DF,MF",13.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,DEF,Everton,4.0
Pep Chavarría,Pep Chavarría,La Liga,0.92,2024-25,Rayo Vallecano,DF,34.0,0.0,1.0,0.0,0.0,0.38,0.0,0.03,3.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0276,1.0,,1,DEF,Chelsea,5.0
Dario Essugo,Dário Luís Essugo,La Liga,0.92,2024-25,Las Palmas,MF,27.0,1.0,0.0,0.0,0.0,1.07,0.05,0.0,11.0,2.0,0.0,0.0,0.0,0.92,0.0,0.046000000000000006,0.0,1.0,,1,MID,Chelsea,4.5
Gonzalo García,Gonzalo García,La Liga,0.92,2024-25,Real Madrid,MF,3.0,0.0,1.0,0.0,0.0,1.61,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,1.4812,0.1,,1,FWD,Fulham,6.0
Nobel Mendy,Nobel Mendy,La Liga,0.92,2024-25,Real Betis,DF,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,DEF,Hull City,4.0
Óscar Mingueza,Oscar Mingueza,La Liga,0.92,2024-25,Celta Vigo,"MF,DF",34.0,4.0,6.0,0.0,0.0,1.09,0.13,0.2,6.0,1.0,0.0,0.0,0.0,3.68,5.5200000000000005,0.11960000000000001,0.18400000000000002,1.0,,1,DEF,Crystal Palace,4.4
Víctor Muñoz,Victor Munoz,La Liga,0.92,2024-25,Real Madrid,FW,2.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Liverpool,6.5
Álvaro Rodríguez,Álvaro Rodríguez,La Liga,0.92,2024-25,Getafe,FW,22.0,2.0,0.0,0.0,0.0,2.64,0.21,0.0,6.0,0.0,0.0,0.0,0.0,1.84,0.0,0.1932,0.0,0.5,,1,FWD,Bournemouth,6.0
Arturo Rodríguez,Álvaro Rodríguez,La Liga,0.92,2024-25,Las Palmas,FW,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,FWD,Bournemouth,6.0
Ricardo Rodríguez,Álvaro Rodríguez,La Liga,0.92,2024-25,Real Betis,DF,18.0,0.0,1.0,0.0,0.0,0.35,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.06440000000000001,1.0,,1,FWD,Bournemouth,6.0
Juanlu Sánchez,Juanlu Sánchez,La Liga,0.92,2024-25,Sevilla,"MF,DF",32.0,4.0,4.0,0.0,0.0,0.68,0.21,0.21,6.0,1.0,0.0,0.0,0.0,3.68,3.68,0.1932,0.1932,0.5,,1,DEF,Bournemouth,4.5
Manu Sánchez,Juanlu Sánchez,La Liga,0.92,2024-25,Alavés,DF,33.0,1.0,0.0,0.0,0.0,0.41,0.03,0.0,6.0,1.0,0.0,0.0,0.0,0.92,0.0,0.0276,0.0,1.0,,1,DEF,Bournemouth,4.5
Christantus Uche,Christantus Uche,La Liga,0.92,2024-25,Getafe,"FW,MF",33.0,4.0,6.0,0.0,0.0,1.81,0.14,0.22,8.0,2.0,0.0,0.0,0.0,3.68,5.5200000000000005,0.12880000000000003,0.2024,1.0,,1,FWD,Crystal Palace,5.0
David Affengruber,David Affengruber,La Liga,0.92,2025-26,Elche,DF,36.0,1.0,1.0,0.0,0.0,0.43,0.03,0.03,7.0,1.0,0.0,0.0,0.0,0.92,0.92,0.0276,0.0276,1.0,,1,DEF,Fulham,4.5
Juan Arango,Juan Angulo,La Liga,0.92,2025-26,Girona,MF,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,FWD,Sunderland,4.5
Ronald Araújo,Ronald Araujo,La Liga,0.92,2025-26,Barcelona,DF,24.0,3.0,0.0,0.0,0.0,1.01,0.25,0.0,2.0,0.0,0.0,0.0,0.0,2.7600000000000002,0.0,0.23,0.0,0.5,,1,DEF,Liverpool,5.4
Pep Chavarría,Pep Chavarría,La Liga,0.92,2025-26,Rayo Vallecano,DF,33.0,1.0,2.0,0.0,0.0,0.6,0.03,0.07,6.0,1.0,0.0,0.0,0.0,0.92,1.84,0.0276,0.06440000000000001,1.0,,1,DEF,Chelsea,5.0
Claudio Echeverri,Claudio Echeverri,La Liga,0.92,2025-26,Girona,"FW,MF",17.0,1.0,1.0,0.0,0.0,3.03,0.14,0.14,4.0,0.0,0.0,0.0,0.0,0.92,0.92,0.12880000000000003,0.12880000000000003,0.5,,1,MID,Man City,4.9
Gonzalo García,Gonzalo García,La Liga,0.92,2025-26,Real Madrid,FW,30.0,6.0,1.0,0.0,0.0,1.96,0.56,0.09,2.0,0.0,0.0,0.0,0.0,5.5200000000000005,0.92,0.5152000000000001,0.0828,0.5,,1,FWD,Fulham,6.0
Abu Kamara,Abu Kamara,La Liga,0.92,2025-26,Getafe,MF,12.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Hull City,5.0
Nobel Mendy,Nobel Mendy,La Liga,0.92,2025-26,Rayo Vallecano,DF,24.0,2.0,0.0,0.0,0.0,0.55,0.1,0.0,9.0,2.0,0.0,0.0,0.0,1.84,0.0,0.09200000000000001,0.0,1.0,,1,DEF,Hull City,4.0
Óscar Mingueza,Oscar Mingueza,La Liga,0.92,2025-26,Celta Vigo,MF,34.0,1.0,4.0,0.0,0.0,0.64,0.05,0.18,4.0,0.0,0.0,0.0,0.0,0.92,3.68,0.046000000000000006,0.1656,1.0,,1,DEF,Crystal Palace,4.4
Víctor Muñoz,Victor Munoz,La Liga,0.92,2025-26,Osasuna,"MF,FW",34.0,6.0,2.0,0.0,0.0,2.74,0.2,0.07,3.0,0.0,0.0,0.0,0.0,5.5200000000000005,1.84,0.18400000000000002,0.06440000000000001,1.0,,1,MID,Liverpool,6.5
César Palacios,César Palacios,La Liga,0.92,2025-26,Real Madrid,MF,5.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,1,MID,Fulham,5.5
Álvaro Rodríguez,Álvaro Rodríguez,La Liga,0.92,2025-26,Elche,FW,34.0,7.0,5.0,0.0,0.0,3.07,0.29,0.2,2.0,0.0,0.0,0.0,0.0,6.44,4.6000000000000005,0.2668,0.18400000000000002,1.0,,1,FWD,Bournemouth,6.0
Ricardo Rodríguez,Álvaro Rodríguez,La Liga,0.92,2025-26,Real Betis,DF,23.0,0.0,1.0,0.0,0.0,0.17,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0552,1.0,,1,FWD,Bournemouth,6.0
Matteo Ruggeri,Matteo Ruggeri,La Liga,0.92,2025-26,Atlético Madrid,DF,26.0,0.0,3.0,0.0,0.0,0.25,0.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,2.7600000000000002,0.0,0.138,1.0,,1,DEF,Aston Villa,4.5
Juanlu Sánchez,Juanlu Sánchez,La Liga,0.92,2025-26,Sevilla,"MF,DF",32.0,0.0,3.0,0.0,0.0,0.63,0.0,0.14,6.0,1.0,0.0,0.0,0.0,0.0,2.7600000000000002,0.0,0.12880000000000003,1.0,,1,DEF,Bournemouth,4.5
Manu Sánchez,Juanlu Sánchez,La Liga,0.92,2025-26,Levante,DF,33.0,1.0,2.0,0.0,0.0,0.42,0.03,0.06,8.0,0.0,0.0,0.0,0.0,0.92,1.84,0.0276,0.0552,1.0,,1,DEF,Bournemouth,4.5
Christantus Uche,Christantus Uche,La Liga,0.92,2025-26,Getafe,FW,3.0,1.0,1.0,0.0,0.0,2.0,0.33,0.33,1.0,0.0,0.0,0.0,0.0,0.92,0.92,0.30360000000000004,0.30360000000000004,1.0,,1,FWD,Crystal Palace,5.0
Michele Di Gregorio,Michele Di Gregorio,Serie A,0.88,2023-24,Monza,GK,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,124.0,79.4,0.0,0.0,0.0,0.0,1.0,,1,GK,Bournemouth,4.5
Samuel Iling-Junior,Samuel Iling-Junior,Serie A,0.88,2023-24,Juventus,MF,24.0,1.0,2.0,0.0,0.0,1.0,0.11,0.22,1.0,0.0,0.0,0.0,0.0,0.88,1.76,0.0968,0.1936,0.5,,1,MID,Aston Villa,5.0
Ricardo Rodríguez,Álvaro Rodríguez,La Liga,0.92,2023-24,Torino,"DF,MF",35.0,1.0,2.0,0.0,0.0,0.36,0.03,0.06,4.0,0.0,0.0,0.0,0.0,0.92,1.84,0.0276,0.0552,1.0,,1,FWD,Bournemouth,6.0
Matteo Ruggeri,Matteo Ruggeri,La Liga,0.92,2023-24,Atalanta,MF,34.0,0.0,4.0,0.0,0.0,0.44,0.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.138,1.0,,1,DEF,Aston Villa,4.5
Ibrahim Sulemana,Ibrahim Osman,Serie A,0.88,2023-24,Cagliari,MF,21.0,2.0,0.0,0.0,0.0,0.87,0.13,0.0,4.0,0.0,0.0,0.0,0.0,1.76,0.0,0.1144,0.0,1.0,,1,MID,Brighton,5.0
