fbref_name,fpl_name,previous_league,multiplier,fbref_season,fbref_team,fbref_position,appearances,goals,assists,xG,xA,shots_per_90,goals_per_90,assists_per_90,yellow_cards,red_cards,clean_sheets,saves,save_percentage,adjusted_goals,adjusted_assists,adjusted_goals_per_90,adjusted_assists_per_90,season_reliability,data_confidence,is_new_to_pl,fpl_position,fpl_team,fpl_price
Mamadou Sarr,Mamadou Sarr,Ligue 1,0.82,2025-26,Strasbourg,DF,15.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,DEF,Chelsea,4.5
Quinten Timber,Quinten Timber,Ligue 1,0.82,2025-26,Marseille,MF,15.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,MID,Crystal Palace,5.0
Robinio Vaz,Robinio Vaz,Serie A,0.88,2025-26,Marseille,FW,14.0,4.0,2.0,0.0,0.0,1.9,0.95,0.47,2.0,0.0,0.0,0.0,0.0,3.52,1.76,0.836,0.41359999999999997,0.5,,1,FWD,Hull City,5.0
Norman Bassette,Norman Bassette,Belgian Pro League,0.74,2023-24,Mechelen,FW,22.0,5.0,0.0,0.0,0.0,2.62,0.48,0.0,1.0,0.0,0.0,0.0,0.0,3.7,0.0,0.35519999999999996,0.0,0.5,,1,FWD,Coventry City,4.5
Matias Fernandez-Pardo,Matias Fernandez-Pardo,Ligue 1,0.82,2023-24,Gent,FW,15.0,8.0,2.0,0.0,0.0,2.76,0.82,0.2,1.0,0.0,0.0,0.0,0.0,6.56,1.64,0.6723999999999999,0.164,1.0,,1,FWD,Newcastle,6.0
Malick Fofana,Malick Fofana,Ligue 1,0.82,2023-24,Gent,MF,19.0,2.0,3.0,0.0,0.0,2.12,0.16,0.24,1.0,0.0,0.0,0.0,0.0,1.64,2.46,0.13119999999999998,0.19679999999999997,1.0,,1,MID,Sunderland,5.5
Konstantinos Laifis,Konstantinos Tzolakis,Super League 1,1.0,2023-24,Standard Liège,DF,26.0,2.0,0.0,0.0,0.0,0.59,0.08,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.08,0.0,1.0,,1,GK,Hull City,4.6
Eliot Matazo,Eliot Matazo,Belgian Pro League,0.74,2023-24,Antwerp,MF,10.0,1.0,0.0,0.0,0.0,0.26,0.26,0.0,1.0,0.0,0.0,0.0,0.0,0.74,0.0,0.19240000000000002,0.0,0.5,,1,MID,Hull City,4.5
Mamadou Sarr,Mamadou Sarr,Ligue 1,0.82,2023-24,RWDM,"MF,DF",10.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1,DEF,Chelsea,4.5
Zion Suzuki,Zion Suzuki,Serie A,0.88,2023-24,Sint-Truiden,GK,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,110.0,71.2,0.0,0.0,0.0,0.0,1.0,,1,GK,Aston Villa,5.0
