name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million,is_new_to_pl,adjG_per_90,adjA_per_90,league_multiplier,season_reliability,data_source,data_confidence
Christantus Uche,FWD,Crystal Palace,0,,False,0,270.0,1.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.30360000000000004,0.30360000000000004,0.0,0.0,0.0,1,0.30360000000000004,0.30360000000000004,0.92,1.0,stage4a,1.0
Álvaro Rodríguez,FWD,Bournemouth,0,,False,0,2772.0,1.0,2.0,0.0,0,0,0,0,4.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2023-24,2024,0.0,0.0,1.0,0,0.0,0.0276,0.0552,0.0,0.0,0.0,1,0.0276,0.0552,0.92,1.0,stage4a,1.0
Norman Bassette,FWD,Coventry City,0,,False,0,929.0,5.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2023-24,2024,0.0,0.0,0.5,0,0.0,0.35519999999999996,0.0,0.0,0.0,0.0,1,0.35519999999999996,0.0,0.74,0.5,stage4a,0.5
Promise David,FWD,Brighton,0,,False,0,1940.0,19.0,4.0,0.0,0,0,0,0,9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2024-25,2025,0.0,0.0,1.0,0,0.0,0.6512,0.1406,0.0,0.0,0.0,1,0.6512,0.1406,0.74,1.0,stage4a,1.0
Promise David,FWD,Brighton,0,,False,0,1489.0,9.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.3996,0.044399999999999995,0.0,0.0,0.0,1,0.3996,0.044399999999999995,0.74,1.0,stage4a,1.0
Enis Destan,FWD,Hull City,0,,False,0,97.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.74,0.5,stage4a,0.5
Kaye Furo,FWD,Brentford,0,,False,0,89.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,2025-26,2026,0.0,0.0,0.1,0,0.0,0.7474,0.0,0.0,0.0,0.0,1,0.7474,0.0,0.74,0.1,stage4a,0.1
Chuba Akpom,FWD,Ipswich Town,0,,False,0,639.0,3.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.3444,0.1148,0.0,0.0,0.0,1,0.3444,0.1148,0.82,0.5,stage4a,0.5
Sidiki Cherif,FWD,Coventry City,0,,False,0,324.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.5,stage4a,0.5
Sidiki Cherif,FWD,Coventry City,0,,False,0,1157.0,4.0,0.0,0.0,0,0,0,0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2025-26,2026,0.0,0.0,1.0,0,0.0,0.31,0.0,0.0,0.0,0.0,1,0.31,0.0,1.0,1.0,stage4a,1.0
Brian Madjo,FWD,Aston Villa,0,,False,0,157.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.5,2025-26,2026,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,0.5,stage4a,0.5
Chuba Akpom,FWD,Ipswich Town,0,,False,0,1049.0,11.0,3.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2023-24,2024,0.0,0.0,0.5,0,0.0,0.705,0.195,0.0,0.0,0.0,1,0.705,0.195,0.75,0.5,stage4a,0.5
Chuba Akpom,FWD,Ipswich Town,0,,False,0,832.0,3.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,2024-25,2025,0.0,0.0,0.5,0,0.0,0.24,0.0825,0.0,0.0,0.0,1,0.24,0.0825,0.75,0.5,stage4a,0.5
Emmanuel Emegha,FWD,Chelsea,0,,False,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.0,N/A,0,0.0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.82,0.1,stage4a,0.1
