name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million
Aaron Ramsdale,GK,Bournemouth,25,Aston Villa,True,3,90,0,0,0,1,0,0,0,0,0,4,0,17,22.6,0.0,0.0,2.3,8519,22446,310886,4.7,2019-20,2020,3.1,2.75,1.0,87,3.625,0.0,0.0417,0.1667,3.4583,0.6383
Aaron Ramsdale,GK,Bournemouth,26,Sheffield Utd,False,2,90,0,0,0,2,0,0,0,0,0,3,0,14,25.4,0.0,0.0,2.5,4330,18795,296864,4.6,2019-20,2020,3.3,2.93,1.0,89,3.56,0.0,0.04,0.16,3.44,0.4348
Aaron Ramsdale,GK,Bournemouth,27,Burnley,False,3,90,0,0,0,3,0,0,0,0,0,7,0,24,42.4,0.0,0.0,4.2,3955,15518,285821,4.6,2019-20,2020,2.7,2.69,1.0,92,3.5385,0.0,0.0385,0.1538,3.5769,0.6522
Aaron Ramsdale,GK,Bournemouth,28,Chelsea,True,2,90,0,0,0,2,0,0,0,0,0,5,0,18,34.4,0.0,0.0,3.4,3805,13224,273111,4.6,2019-20,2020,2.7,2.87,1.0,94,3.4815,0.0,0.037,0.1481,3.6296,0.4348
Aaron Ramsdale,GK,Bournemouth,29,Liverpool,False,2,90,0,0,0,2,0,0,0,0,0,4,0,17,34.2,0.0,0.0,3.4,3966,16798,261731,4.6,2019-20,2020,2.3,2.53,1.0,96,3.4286,0.0,0.0357,0.1429,3.6429,0.4348
Aaron Ramsdale,GK,Bournemouth,39,Crystal Palace,True,1,90,0,0,0,2,0,0,0,0,0,0,0,6,2.2,0.0,0.0,0.2,64265,55313,274431,4.5,2019-20,2020,2.2,2.28,1.0,97,3.3448,0.0,0.0345,0.1379,3.5172,0.2222
Aaron Ramsdale,GK,Bournemouth,40,Wolves,False,2,90,0,0,0,1,0,0,0,0,0,1,0,12,11.4,0.0,0.0,1.1,7721,15445,266253,4.5,2019-20,2020,1.5,1.77,1.0,99,3.3,0.0,0.0333,0.1333,3.4333,0.4444
Aaron Ramsdale,GK,Bournemouth,41,Newcastle,True,1,90,0,0,0,4,0,0,0,0,0,3,0,15,19.0,0.0,0.0,1.9,4619,7911,264232,4.5,2019-20,2020,1.7,1.83,1.0,100,3.2258,0.0,0.0323,0.129,3.4194,0.2222
Aaron Ramsdale,GK,Bournemouth,42,Man Utd,False,2,90,0,0,0,5,0,0,0,0,0,6,0,21,30.8,0.0,0.0,3.1,2692,12535,253192,4.5,2019-20,2020,1.3,1.45,1.0,102,3.1875,0.0,0.0312,0.125,3.5,0.4444
Aaron Ramsdale,GK,Bournemouth,43,Spurs,True,6,90,0,0,1,0,0,0,0,0,0,0,0,20,3.2,4.0,0.0,0.7,1997,8331,247887,4.5,2019-20,2020,1.7,1.63,1.0,108,3.2727,0.0,0.0303,0.1515,3.3939,1.3333
Aaron Ramsdale,GK,Bournemouth,44,Leicester,True,3,90,0,0,0,1,0,0,0,0,0,4,0,19,28.4,0.0,0.0,2.8,3278,7126,244389,4.5,2019-20,2020,3.8,3.12,1.0,111,3.2647,0.0,0.0294,0.1471,3.4118,0.6667
Aaron Ramsdale,GK,Bournemouth,45,Man City,False,1,90,0,0,0,2,0,0,0,0,0,2,0,11,19.2,0.0,0.0,1.9,1814,6660,237788,4.5,2019-20,2020,3.7,3.23,1.0,112,3.2,0.0,0.0286,0.1429,3.3714,0.2222
Aaron Ramsdale,GK,Bournemouth,46,Southampton,True,11,90,0,0,0,2,0,1,0,0,0,6,3,38,64.8,0.0,0.0,6.5,3616,4126,239619,4.4,2019-20,2020,2.6,2.62,1.0,123,3.4167,0.0,0.0278,0.1389,3.4444,2.5
Aaron Ramsdale,GK,Bournemouth,47,Everton,False,3,90,0,0,0,1,0,0,0,0,0,4,0,18,35.8,10.0,0.0,4.6,8082,5425,242100,4.4,2019-20,2020,6.4,5.58,1.0,126,3.4054,0.0,0.027,0.1351,3.4595,0.6818
Adrián San Miguel del Castillo,GK,Liverpool,1,Norwich,True,1,51,0,0,0,1,0,0,0,0,0,2,0,7,10.6,0.0,0.0,1.1,0,0,0,4.5,2019-20,2020,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,2.0,0.2222
Adrián San Miguel del Castillo,GK,Liverpool,2,Southampton,False,3,90,0,0,0,1,0,0,0,0,0,3,0,12,12.2,0.0,0.0,1.2,163790,28977,178033,4.5,2019-20,2020,1.0,1.0,0.5,4,2.0,0.0,0.0,0.0,2.5,0.6667
Adrián San Miguel del Castillo,GK,Liverpool,3,Arsenal,True,2,90,0,0,0,1,0,0,0,0,0,2,0,10,9.2,0.0,0.0,0.9,64235,28057,226686,4.5,2019-20,2020,2.25,2.1667,0.6667,6,2.0,0.0,0.0,0.0,2.3333,0.4444
Adrián San Miguel del Castillo,GK,Liverpool,4,Burnley,False,6,90,0,0,1,0,0,0,0,0,0,2,0,25,20.8,0.0,0.0,2.1,107126,24868,330807,4.5,2019-20,2020,2.1,2.0625,0.75,12,3.0,0.0,0.0,0.25,2.25,1.3333
Adrián San Miguel del Castillo,GK,Liverpool,5,Newcastle,True,2,90,0,0,0,1,0,0,0,0,0,0,0,7,4.6,0.0,0.0,0.5,109913,23814,433745,4.6,2019-20,2020,4.2,3.6087,0.8,14,2.8,0.0,0.0,0.2,1.8,0.4348
Adrián San Miguel del Castillo,GK,Liverpool,6,Chelsea,False,2,90,0,0,0,1,0,0,0,0,0,1,0,12,12.4,0.0,0.0,1.2,24280,31214,422546,4.6,2019-20,2020,3.2,3.04,0.8333,16,2.6667,0.0,0.0,0.1667,1.6667,0.4348
Adrián San Miguel del Castillo,GK,Liverpool,7,Sheffield Utd,False,5,90,0,0,1,0,0,0,0,1,0,2,0,22,15.8,0.0,0.0,1.6,56153,20991,470770,4.6,2019-20,2020,2.8,2.88,0.8571,21,3.0,0.0,0.0,0.2857,1.7143,1.087
Adrián San Miguel del Castillo,GK,Liverpool,8,Leicester,True,2,90,0,0,0,1,0,0,0,0,0,0,0,10,4.8,0.0,0.0,0.5,32847,25812,479476,4.6,2019-20,2020,3.5,3.53,0.875,23,2.875,0.0,0.0,0.25,1.5,0.4348
Adrián San Miguel del Castillo,GK,Liverpool,15,Everton,True,1,90,0,0,0,2,0,0,0,0,0,2,0,13,15.4,0.0,0.0,1.5,20610,3975,206719,4.2,2019-20,2020,2.9,3.07,0.8889,24,2.6667,0.0,0.0,0.2222,1.5556,0.2381
