team,season,GW,goals_scored_for,goals_conceded,was_home,opponent,clean_sheet,win,draw,points_earned,goals_scored_last5,goals_conceded_last5,clean_sheet_rate_last5,wins_last5,form_points_last5,goals_scored_last3,goals_conceded_last3,home_goals_scored_season,away_goals_scored_season,home_goals_conceded_season,away_goals_conceded_season,attacking_strength,defensive_strength
Arsenal,2020-21,24,4,2,True,Leeds,0,1,0,3,1.4,0.8,0.4,2.0,7.0,0.3333333333333333,1.0,1.0,1.1666666666666667,1.0,1.0,0.39999999999999997,0.8235294117647058
Arsenal,2020-21,25,0,1,True,Man City,0,0,0,0,1.6,1.2,0.2,2.0,7.0,1.6666666666666667,1.6666666666666667,1.25,1.1666666666666667,1.0833333333333333,1.0,0.3846153846153846,0.7058823529411764
Arsenal,2020-21,26,3,1,False,Leicester,0,1,0,3,1.0,1.2,0.2,1.0,4.0,1.3333333333333333,1.3333333333333333,1.1538461538461537,1.1666666666666667,1.0769230769230769,1.0,0.23076923076923075,0.75
Arsenal,2020-21,27,1,1,False,Burnley,0,0,1,1,1.6,1.4,0.0,2.0,6.0,2.3333333333333335,1.3333333333333333,1.1538461538461537,1.3076923076923077,1.0769230769230769,1.0,0.46153846153846156,0.6875
Arsenal,2020-21,28,2,1,True,Spurs,0,1,0,3,1.6,1.2,0.0,2.0,7.0,1.3333333333333333,1.0,1.1538461538461537,1.2857142857142858,1.0769230769230769,1.0,0.6153846153846154,0.6153846153846153
Arsenal,2020-21,29,1,3,False,West Ham,0,0,0,0,2.0,1.2,0.0,3.0,10.0,2.0,1.0,1.2142857142857142,1.2857142857142858,1.0714285714285714,1.0,1.0,0.4
Arsenal,2020-21,30,0,3,True,Liverpool,0,0,0,0,1.4,1.4,0.0,2.0,7.0,1.3333333333333333,1.6666666666666667,1.2142857142857142,1.2666666666666666,1.0714285714285714,1.1333333333333333,0.5833333333333334,0.5
Arsenal,2020-21,31,3,0,False,Sheffield Utd,1,1,0,3,1.4,1.8,0.0,2.0,7.0,1.0,2.3333333333333335,1.1333333333333333,1.2666666666666666,1.2,1.1333333333333333,0.5,0.36363636363636376
Arsenal,2020-21,32,0,1,True,Fulham,0,0,0,0,1.4,1.6,0.2,2.0,7.0,1.3333333333333333,2.0,1.1333333333333333,1.375,1.2,1.0625,0.6,0.4999999999999999
Arsenal,2020-21,33,0,1,True,Everton,0,0,0,0,1.2,1.6,0.2,2.0,6.0,1.0,1.3333333333333333,1.0625,1.375,1.1875,1.0625,0.5,0.5
Arsenal,2020-21,34,2,0,False,Newcastle,1,1,0,3,0.8,1.6,0.2,1.0,3.0,1.0,0.6666666666666666,1.0,1.375,1.1764705882352942,1.0625,0.2222222222222222,0.5454545454545454
Arsenal,2020-21,35,3,1,True,West Brom,0,1,0,3,1.0,1.0,0.4,2.0,6.0,0.6666666666666666,0.6666666666666666,1.0,1.411764705882353,1.1764705882352942,1.0,0.3,0.7142857142857142
