name,position,team,GW,opponent_team,was_home,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,transfers_in,transfers_out,selected,value,season,season_year,form_last3,form_last5,minutes_reliability_season,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,saves_per_game_season,points_per_million
Aaron Cresswell,DEF,West Ham,27,Liverpool,False,1,90,0,0,0,3,0,0,0,0,0,0,0,10,14.4,1.5,4.0,2.0,969,7197,92399,4.6,2019-20,2020,0.8,1.0,0.95,59,2.95,0.15,0.0,0.2,0.0,0.2174
Aaron Cresswell,DEF,West Ham,28,Southampton,True,1,90,0,0,0,1,0,0,0,1,0,0,0,7,5.6,18.9,0.0,2.5,4299,3339,94952,4.6,2019-20,2020,1.0,0.96,0.9524,60,2.8571,0.1429,0.0,0.1905,0.0,0.2174
Aaron Cresswell,DEF,West Ham,29,Arsenal,False,2,90,0,0,0,1,0,0,0,0,0,0,0,10,21.6,18.5,1.0,4.1,1335,5980,88401,4.6,2019-20,2020,1.0,0.92,0.9545,62,2.8182,0.1364,0.0,0.1818,0.0,0.4348
Aaron Cresswell,DEF,West Ham,39,Wolves,True,1,90,0,0,0,2,0,0,0,0,0,0,0,13,13.0,5.9,2.0,2.1,10607,14295,85564,4.5,2019-20,2020,1.5,1.35,0.9565,63,2.7391,0.1304,0.0,0.1739,0.0,0.2222
Aaron Cresswell,DEF,West Ham,40,Spurs,False,1,90,0,0,0,2,0,0,0,0,0,0,0,17,16.0,44.4,0.0,6.0,1813,2611,85126,4.5,2019-20,2020,1.3,1.25,0.9583,64,2.6667,0.125,0.0,0.1667,0.0,0.2222
Aaron Cresswell,DEF,West Ham,41,Chelsea,True,1,90,0,0,0,2,0,0,0,0,0,0,0,9,8.6,1.3,15.0,2.5,1619,2118,84767,4.5,2019-20,2020,1.2,1.2,0.96,65,2.6,0.12,0.0,0.16,0.0,0.2222
Aaron Cresswell,DEF,West Ham,42,Newcastle,False,1,90,0,0,0,2,0,0,0,0,0,0,0,16,19.0,30.2,1.0,5.0,7922,2353,90869,4.5,2019-20,2020,1.0,1.12,0.9615,66,2.5385,0.1154,0.0,0.1538,0.0,0.2222
Aaron Cresswell,DEF,West Ham,43,Burnley,True,2,90,0,0,0,1,0,0,0,0,0,0,0,15,12.4,18.8,0.0,3.1,12833,2111,102714,4.5,2019-20,2020,1.0,1.08,0.963,68,2.5185,0.1111,0.0,0.1481,0.0,0.4444
Aaron Cresswell,DEF,West Ham,44,Norwich,False,6,90,0,0,1,0,0,0,0,0,0,0,0,27,14.6,40.2,2.0,5.7,17383,3314,119828,4.5,2019-20,2020,1.5,1.35,0.9643,74,2.6429,0.1071,0.0,0.1786,0.0,1.3333
Aaron Cresswell,DEF,West Ham,45,Watford,True,2,90,0,0,0,1,0,0,0,0,0,0,0,16,20.2,1.3,8.0,3.0,14821,3635,135286,4.5,2019-20,2020,3.8,3.0,0.9655,76,2.6207,0.1034,0.0,0.1724,0.0,0.4444
