player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,value,was_home,transfers_in,transfers_out,opponent_team_id
77,1,2,62,0,0,0,0,0,5.0,0,0,0,16
427,1,0,0,0,0,0,0,0,4.5,1,0,0,3
22,1,0,0,0,0,0,0,0,5.0,1,0,0,20
197,1,0,0,0,0,0,0,0,4.5,0,0,0,4
584,1,1,70,0,0,0,0,0,5.5,0,0,0,15
52,1,2,90,0,0,0,0,0,4.5,0,0,0,19
215,1,0,0,0,0,0,0,0,4.5,0,0,0,4
609,1,0,0,0,0,0,0,0,4.5,0,0,0,11
550,1,2,90,0,0,0,0,0,6.5,0,0,0,1
610,1,0,0,0,0,0,0,0,4.5,0,0,0,11
109,1,0,0,0,0,0,0,0,4.0,1,0,0,7
75,1,0,0,0,0,0,0,0,4.0,0,0,0,16
553,1,1,83,0,0,0,0,0,5.0,0,0,0,1
182,1,2,90,0,0,0,0,0,10.5,1,0,0,13
136,1,8,88,1,0,1,0,0,6.5,0,0,0,8
285,1,1,11,0,0,0,0,0,4.5,1,0,0,18
447,1,9,71,1,0,1,0,3,6.0,1,0,0,3
448,1,0,0,0,0,0,0,0,4.5,1,0,0,3
214,1,0,0,0,0,0,0,0,5.0,0,0,0,4
70,1,1,90,0,0,0,0,0,4.5,0,0,0,16
133,1,0,0,0,0,0,0,0,4.5,0,0,0,8
142,1,7,90,0,0,1,1,1,4.5,0,0,0,8
568,1,0,0,0,0,0,0,0,4.5,1,0,0,12
615,1,0,0,0,0,0,0,0,4.0,0,0,0,8
442,1,2,90,0,0,0,0,0,4.5,1,0,0,3
373,1,0,0,0,0,0,0,0,4.5,1,0,0,9
479,1,0,0,0,0,0,0,0,4.0,0,0,0,11
288,1,0,0,0,0,0,0,0,4.0,1,0,0,18
522,1,0,0,0,0,0,0,0,4.5,1,0,0,2
156,1,0,0,0,0,0,0,0,5.5,1,0,0,13
147,1,1,14,0,0,0,0,0,4.5,0,0,0,8
20,1,3,90,0,0,1,0,0,5.0,1,0,0,20
259,1,1,12,0,0,0,0,0,5.5,0,0,0,14
