team_name,gameweek,opponent,was_home,fdr,trajectory_raw,trajectory_score
Bournemouth,11,Aston Villa,False,4,12.099999999999998,0.6222222222222227
Bournemouth,12,West Ham,True,2,11.6,0.7073170731707316
Bournemouth,13,Sunderland,False,3,11.500000000000002,0.6545454545454541
Bournemouth,14,Everton,True,3,11.399999999999999,0.7090909090909092
Bournemouth,15,Chelsea,True,3,11.3,0.7450980392156861
Bournemouth,16,Man Utd,False,4,11.8,0.5961538461538458
Bournemouth,17,Burnley,True,1,10.7,0.909090909090909
Bournemouth,18,Brentford,False,3,13.4,0.196078431372549
Bournemouth,19,Chelsea,False,3,13.600000000000001,0.08888888888888857
Bournemouth,20,Arsenal,True,4,13.2,0.17142857142857182
Bournemouth,21,Spurs,True,3,12.2,0.5294117647058825
Bournemouth,22,Brighton,False,4,12.2,0.5306122448979594
Bournemouth,23,Liverpool,True,3,11.100000000000001,0.5462184873949578
Bournemouth,24,Wolves,False,2,10.399999999999999,0.7636363636363641
Bournemouth,25,Aston Villa,True,3,11.3,0.7727272727272728
Bournemouth,26,Everton,False,3,10.6,0.5925925925925926
Bournemouth,27,West Ham,False,3,10.399999999999999,0.6721311475409839
Bournemouth,28,Sunderland,True,2,11.4,0.7321428571428574
Bournemouth,29,Brentford,True,3,12.2,0.30508474576271216
Bournemouth,30,Burnley,False,2,10.45,0.5461538461538462
Bournemouth,31,Man Utd,True,3,11.3,0.34328358208955234
Bournemouth,32,Arsenal,False,5,11.149999999999999,0.46428571428571463
Bournemouth,33,Newcastle,False,3,9.4,0.6507936507936507
Bournemouth,33,Leeds,True,2,9.4,0.6507936507936507
Bournemouth,35,Crystal Palace,True,3,11.0,0.39130434782608703
Bournemouth,36,Fulham,False,3,9.0,0.39583333333333337
Bournemouth,37,Man City,True,4,6.7,0.21052631578947367
Bournemouth,38,Nott'm Forest,False,3,3.0,0.5
Brentford,1,Nott'm Forest,False,3,12.0,0.4411764705882355
Brentford,2,Aston Villa,True,3,12.0,0.4594594594594593
Brentford,3,Sunderland,False,3,12.600000000000001,0.5714285714285714
Brentford,4,Chelsea,True,3,12.700000000000003,0.35294117647058776
Brentford,5,Fulham,False,3,12.8,0.36734693877551017
Brentford,6,Man Utd,True,3,12.899999999999999,0.27500000000000036
Brentford,7,Man City,True,4,13.0,0.25000000000000033
Brentford,8,West Ham,False,3,12.600000000000001,0.36363636363636354
Brentford,9,Liverpool,True,3,11.500000000000002,0.5217391304347822
Brentford,10,Crystal Palace,False,3,12.6,0.39130434782608736
Brentford,11,Newcastle,True,3,12.7,0.48888888888888915
Brentford,12,Brighton,False,4,12.2,0.5609756097560976
Brentford,13,Burnley,True,1,10.5,0.8363636363636363
Brentford,14,Arsenal,False,5,12.5,0.509090909090909
Brentford,15,Spurs,False,3,10.3,0.9411764705882352
Brentford,16,Leeds,True,2,10.100000000000001,0.9230769230769227
Brentford,17,Wolves,False,2,10.399999999999999,1.0
Brentford,18,Bournemouth,True,3,11.3,0.6078431372549018
Brentford,19,Spurs,True,3,11.2,0.6222222222222225
Brentford,20,Everton,False,3,11.700000000000001,0.5999999999999999
Brentford,21,Sunderland,True,2,11.7,0.6764705882352943
Brentford,22,Chelsea,False,3,13.4,0.2857142857142858
Brentford,23,Nott'm Forest,True,3,13.600000000000001,0.12605042016806722
Brentford,24,Aston Villa,False,4,13.2,0.25454545454545496
Brentford,25,Newcastle,False,3,12.8,0.4318181818181821
Brentford,26,Arsenal,True,4,11.700000000000001,0.3888888888888886
Brentford,27,Brighton,True,3,10.5,0.6557377049180328
Brentford,28,Burnley,False,2,10.3,0.9285714285714288
Brentford,29,Bournemouth,False,4,11.2,0.47457627118644097
Brentford,30,Wolves,True,1,10.6,0.5230769230769231
Brentford,31,Leeds,False,3,12.100000000000001,0.22388059701492535
Brentford,32,Everton,True,3,13.3,0.15714285714285725
Brentford,33,Fulham,True,3,13.5,0.0
Brentford,34,Man Utd,False,4,14.3,0.1234567901234569
Brentford,35,West Ham,True,2,11.7,0.23913043478260898
Brentford,36,Man City,False,5,10.9,0.0
Brentford,37,Crystal Palace,True,3,6.6,0.23684210526315796
Brentford,38,Liverpool,False,4,4.0,0.25
Brighton,1,Fulham,True,3,13.5,0.0
Brighton,2,Everton,False,3,13.7,0.0
Brighton,3,Man City,True,4,13.299999999999999,0.4047619047619053
Brighton,4,Bournemouth,False,4,12.3,0.47058823529411775
Brighton,5,Spurs,True,3,11.8,0.5714285714285714
Brighton,6,Chelsea,False,3,11.2,0.7000000000000002
Brighton,7,Wolves,False,2,11.100000000000001,0.7249999999999998
Brighton,8,Newcastle,True,3,12.099999999999998,0.45454545454545503
Brighton,9,Man Utd,False,4,12.099999999999998,0.39130434782608725
Brighton,10,Leeds,True,2,11.0,0.7391304347826089
Brighton,11,Crystal Palace,False,3,11.4,0.7777777777777776
Brighton,12,Brentford,True,3,11.900000000000002,0.6341463414634139
Brighton,13,Nott'm Forest,False,3,11.3,0.6909090909090907
Brighton,14,Aston Villa,True,3,12.4,0.5272727272727271
