id,first_name,second_name,team,element_type,now_cost,selected_by_percent,transfers_in,transfers_out,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,form,value_form,value_season,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_name,position,price,is_corner_taker,is_freekick_taker,is_penalty_taker,is_set_piece_taker
803,Teddy,Sharman-Lowe,7,1,40,0.0,337,263,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Chelsea,GK,4.0,0,0,0,0
829,Jesse,Derry,7,3,45,0.0,179,65,1,1.0,45,0,0,0,2,0,0,0,0,5,4.6,6.4,25.0,3.6,0.0,0.0,0.2,,,,Chelsea,MID,4.5,0,0,0,0
833,Mathis,Eboué,7,3,45,0.0,48,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Chelsea,MID,4.5,0,0,0,0
834,Ryan,Kavuma-McQueen,7,3,45,0.0,40,7,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Chelsea,MID,4.5,0,0,0,0
840,Shumaira,Mheuka,7,4,45,0.0,246,14,1,1.0,1,0,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.2,0.5,0.1,0.2,,,,Chelsea,FWD,4.5,0,0,0,0
253,Dean,Henderson,8,1,51,9.0,1438604,1212503,131,3.5,3330,0,0,11,51,5,0,106,7,538,837.8,10.0,0.0,84.7,1.2,0.2,25.7,,,,Crystal Palace,GK,5.1,0,0,0,0
254,Walter,Benítez,8,1,39,0.3,22486,36079,7,7.0,90,0,0,1,0,0,0,3,0,29,22.8,0.0,0.0,2.3,0.0,0.0,1.8,,,,Crystal Palace,GK,3.9,0,0,0,0
255,Remi,Matthews,8,1,39,0.1,6758,9670,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,GK,3.9,0,0,0,0
256,Daniel,Muñoz Mejía,8,2,59,9.2,4198618,4162622,136,4.7,2400,4,4,10,33,7,0,0,9,469,595.0,396.6,404.0,139.5,2.5,0.4,23.1,,,,Crystal Palace,DEF,5.9,0,0,0,0
257,Maxence,Lacroix,8,2,52,7.1,2257486,1564812,154,4.4,3085,1,2,11,47,4,1,0,11,529,822.0,106.4,316.0,124.3,1.5,0.3,29.6,,,,Crystal Palace,DEF,5.2,0,0,0,0
258,Tyrick,Mitchell,8,2,50,2.3,556168,455272,135,3.6,3253,1,3,12,47,6,0,0,8,498,649.0,467.3,241.0,136.0,2.0,0.4,27.0,,,,Crystal Palace,DEF,5.0,0,0,0,0
259,Borna,Sosa,8,2,48,0.1,12479,20090,6,0.9,99,0,0,0,2,1,0,0,0,9,12.6,24.1,8.0,4.5,0.0,0.0,1.2,,,,Crystal Palace,DEF,4.8,0,0,0,0
261,Chris,Richards,8,2,44,2.2,1097588,1006044,128,3.9,2825,1,0,11,42,4,0,0,5,453,727.2,159.6,185.0,107.6,1.0,0.2,29.1,,,,Crystal Palace,DEF,4.4,0,0,0,0
262,Chadi,Riad Dnanou,8,2,40,0.1,7843,5613,20,2.2,550,0,1,1,8,2,0,0,0,84,117.8,23.9,41.0,18.3,1.2,0.3,5.0,,,,Crystal Palace,DEF,4.0,0,0,0,0
263,Nathaniel,Clyne,8,2,38,0.5,94580,117540,17,1.7,592,0,1,0,12,1,0,0,2,50,105.2,55.0,33.0,19.2,0.5,0.1,4.5,,,,Crystal Palace,DEF,3.8,0,0,0,0
264,Rob,Holding,8,2,40,0.0,0,3952,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,DEF,4.0,0,0,0,0
265,Caleb,Kporha,8,2,40,0.0,1297,2680,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,DEF,4.0,0,0,0,0
267,Ismaïla,Sarr,8,3,64,5.6,3266182,3172191,117,4.2,2173,9,2,9,29,2,0,0,9,359,479.8,269.4,601.0,135.1,4.0,0.6,18.3,,,3.0,Crystal Palace,MID,6.4,0,0,0,0
268,Cheick,Doucouré,8,3,49,0.0,613,787,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,MID,4.9,0,0,0,0
269,Romain,Esse,8,3,47,0.1,11622,29087,4,1.0,40,0,0,0,0,0,0,0,0,12,6.8,2.7,6.0,1.5,0.0,0.0,0.9,,,,Crystal Palace,MID,4.7,0,0,0,0
270,Will,Hughes,8,3,47,0.1,23296,27299,45,1.5,1560,0,1,5,18,7,0,0,0,217,198.0,322.9,90.0,60.9,0.8,0.2,9.6,3.0,,,Crystal Palace,MID,4.7,0,0,0,0
271,Daichi,Kamada,8,3,50,0.1,49384,45805,67,2.4,1899,0,2,6,28,3,0,0,0,331,239.2,350.1,155.0,74.5,1.8,0.4,13.4,4.0,,,Crystal Palace,MID,5.0,0,0,0,0
272,Jefferson,Lerma Solís,8,3,49,0.1,20181,19402,69,2.2,1722,0,5,7,25,7,0,0,3,296,287.6,207.2,233.0,72.5,1.8,0.4,14.1,,,,Crystal Palace,MID,4.9,0,0,0,0
273,Adam,Wharton,8,3,50,0.7,219867,207736,112,3.3,2552,1,6,8,43,4,1,0,8,511,494.4,720.0,180.0,139.6,4.2,0.8,22.4,2.0,,,Crystal Palace,MID,5.0,0,0,0,0
274,Asher,Agbinone,8,3,43,0.1,16289,14086,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,MID,4.3,0,0,0,0
275,Naouirou,Ahamada,8,3,43,0.0,5497,7977,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,MID,4.3,0,0,0,0
276,Justin,Devenny,8,3,43,1.1,309072,377576,36,1.7,785,1,0,1,15,0,0,0,0,108,115.0,101.8,168.0,38.4,0.5,0.1,8.4,,2.0,4.0,Crystal Palace,MID,4.3,0,0,0,0
277,Malcolm,Ebiowei,8,3,45,0.0,0,751,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,MID,4.5,0,0,0,0
278,Jesurun,Rak-Sakyi,8,3,44,0.0,4359,9630,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,MID,4.4,0,0,0,0
279,Matheus,França de Oliveira,8,3,45,0.0,95,1658,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,MID,4.5,0,0,0,0
280,David,Ozoh,8,3,45,0.0,0,193,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,MID,4.5,0,0,0,0
281,Kaden,Rodney,8,3,44,0.1,6468,7625,1,1.0,3,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0.0,0.0,0.2,,,,Crystal Palace,MID,4.4,0,0,0,0
282,Franco,Umeh-Chibueze,8,3,45,0.0,860,3079,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,MID,4.5,0,0,0,0
283,Jean-Philippe,Mateta,8,4,76,8.1,5199821,5396003,114,3.6,2210,12,0,8,29,2,0,0,13,397,567.2,160.6,786.0,150.8,3.2,0.4,15.0,,,2.0,Crystal Palace,FWD,7.6,0,0,0,0
284,Eddie,Nketiah,8,4,54,0.3,125246,147710,23,1.9,414,2,0,0,12,2,0,0,3,100,120.0,84.6,173.0,37.8,0.0,0.0,4.3,,,,Crystal Palace,FWD,5.4,0,0,0,0
285,Odsonne,Édouard,8,4,50,0.2,9044,89746,1,1.0,2,0,0,0,0,0,0,0,0,6,2.0,0.0,0.0,0.2,0.0,0.0,0.2,,,,Crystal Palace,FWD,5.0,0,0,0,0
286,Zach,Marsh,8,4,44,0.3,53360,61906,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,FWD,4.4,0,0,0,0
580,Brennan,Johnson,8,3,65,2.4,1169226,1341087,65,1.9,1710,2,1,6,24,6,0,0,2,217,223.4,311.1,230.0,75.8,1.2,0.2,10.0,1.0,3.0,,Crystal Palace,MID,6.5,1,0,0,1
654,Jørgen,Strand Larsen,8,4,58,1.4,527882,883037,75,2.1,2301,4,1,5,41,4,0,0,3,215,265.2,203.1,469.0,91.5,1.8,0.3,12.9,,,,Crystal Palace,FWD,5.8,0,0,0,0
677,Evann,Guessand,8,3,62,0.0,11516,15978,44,2.1,909,1,3,2,15,0,0,0,0,143,159.4,76.6,187.0,42.0,0.5,0.1,7.1,,,,Crystal Palace,MID,6.2,0,0,0,0
690,Rio,Cardines,8,3,44,0.3,58563,56486,2,2.0,90,0,0,0,2,0,0,0,0,21,15.2,30.0,4.0,4.9,0.5,0.1,0.5,,,,Crystal Palace,MID,4.4,0,0,0,0
712,Yéremy,Pino Santos,8,3,58,0.2,137024,120639,77,2.3,2074,2,2,7,28,4,0,0,3,331,325.8,718.4,371.0,141.4,1.5,0.3,13.3,,1.0,,Crystal Palace,MID,5.8,0,1,0,1
723,Jaydee,Canvot,8,2,45,0.5,95627,35276,72,3.6,1331,0,0,5,23,3,0,0,9,216,362.4,63.8,56.0,48.1,1.8,0.4,16.0,,,,Crystal Palace,DEF,4.5,0,0,0,0
732,Christantus,Uche,8,4,55,0.1,15881,12296,17,1.2,159,0,1,0,4,0,0,0,0,42,13.2,7.1,73.0,8.8,0.0,0.0,3.1,,,,Crystal Palace,FWD,5.5,0,0,0,0
762,Joél,Drakes-Thomas,8,3,45,0.0,919,594,2,1.0,7,0,0,0,1,0,0,0,0,6,1.4,1.0,0.0,0.3,0.0,0.0,0.4,,,,Crystal Palace,MID,4.5,0,0,0,0
773,Dean,Benamar,8,2,40,0.0,1014,848,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,DEF,4.0,0,0,0,0
780,Ben,Casey,8,4,45,0.0,4166,2510,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,FWD,4.5,0,0,0,0
793,George,King,8,2,40,0.0,2009,1171,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,DEF,4.0,0,0,0,0
798,Danny,Imray,8,2,40,0.0,142,203,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Crystal Palace,DEF,4.0,0,0,0,0
242,Kiernan,Dewsbury-Hall,9,3,53,7.9,2694422,2222489,151,4.9,2629,8,7,8,39,6,0,0,18,598,619.4,601.1,438.0,166.0,3.0,0.6,28.5,3.0,,,Everton,MID,5.3,0,0,0,0
