season,date,team,opponent,xG,xGA,goals_scored_for,goals_conceded,was_home,xG_last5,xGA_last5,xG_last3,xGA_last3,xG_season_avg,xGA_season_avg,home_xG_season,away_xG_season,home_xGA_season,away_xGA_season,clean_sheet_probability
2019-20,2019-08-11,Arsenal,Newcastle,1.13309,0.380551,1,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,2019-08-17,Arsenal,Burnley,1.1644,1.39172,2,1,True,1.13309,0.380551,1.13309,0.380551,1.13309,0.380551,0.0,1.13309,0.0,0.380551,0.6834847053673199
2019-20,2019-08-24,Arsenal,Liverpool,0.985542,2.78821,1,3,False,1.148745,0.8861355,1.148745,0.8861355,1.148745,0.8861355,1.1644,1.13309,1.39172,0.380551,0.41224580230323776
2019-20,2019-09-01,Arsenal,Spurs,1.92509,1.95514,2,2,True,1.094344,1.5201603333333333,1.094344,1.5201603333333333,1.094344,1.5201603333333333,1.1644,1.059316,1.39172,1.5843805,0.21867682295737878
2019-20,2019-09-15,Arsenal,Watford,1.00616,2.83209,2,2,False,1.3020304999999999,1.62890525,1.358344,2.0450233333333334,1.3020304999999999,1.62890525,1.544745,1.059316,1.6734300000000002,1.5843805,0.19614418547964005
2019-20,2019-09-22,Arsenal,Aston Villa,2.53209,1.71546,3,2,True,1.2428564,1.8695422000000002,1.3055973333333333,2.5251466666666667,1.2428564,1.8695422000000002,1.544745,1.0415973333333333,1.6734300000000002,2.000283666666667,0.1541942357806585
2019-20,2019-09-30,Arsenal,Man Utd,1.70399,1.1335,1,1,False,1.5226564,2.136524,1.8211133333333336,2.1675633333333337,1.457728666666667,1.8438618333333334,1.8738599999999999,1.0415973333333333,1.6874400000000003,2.000283666666667,0.11806452286719532
2019-20,2019-10-06,Arsenal,Bournemouth,1.24109,0.683967,1,0,True,1.6305744,2.08488,1.7474133333333333,1.8936833333333336,1.4929088571428573,1.7423815714285715,1.8738599999999999,1.2071954999999999,1.6874400000000003,1.78358775,0.12432203791524633
2019-20,2019-10-21,Arsenal,Sheffield Utd,0.949735,0.895722,0,1,False,1.681684,1.6640314000000003,1.8257233333333331,1.1776423333333335,1.4614315,1.6100797500000001,1.7156675,1.2071954999999999,1.4365717500000001,1.78358775,0.18937399682997358
2019-20,2019-10-27,Arsenal,Crystal Palace,1.54014,1.77892,2,2,True,1.4866130000000002,1.4521478,1.2982716666666667,0.9043963333333335,1.4045763333333334,1.5307066666666667,1.7156675,1.1557033999999997,1.4365717500000001,1.6060146,0.23406701868351648
2019-20,2019-11-02,Arsenal,Wolves,1.02552,1.5103,1,1,True,1.593409,1.2415138,1.2436550000000002,1.1195363333333335,1.4181327,1.555528,1.6805619999999997,1.1557033999999997,1.5050414,1.6060146,0.2889464795177387
2019-20,2019-11-09,Arsenal,Leicester,0.961339,1.37055,0,2,False,1.292095,1.2004818,1.1717983333333333,1.3949806666666669,1.3824406363636363,1.5514163636363636,1.5713883333333332,1.1557033999999997,1.5059178333333334,1.6060146,0.30104913149358214
2019-20,2019-11-23,Arsenal,Southampton,1.60823,2.60312,2,2,True,1.1435648,1.2478918,1.1756663333333333,1.5532566666666667,1.3473488333333332,1.5363441666666666,1.5713883333333332,1.123309333333333,1.5059178333333334,1.5667704999999998,0.2871094434069093
2019-20,2019-12-01,Arsenal,Norwich,1.96157,0.810596,2,2,False,1.2169928,1.6317224000000004,1.198363,1.8279900000000004,1.3674166153846155,1.6184038461538461,1.5766514285714286,1.123309333333333,1.6626610000000002,1.5667704999999998,0.19559239549003307
2019-20,2019-12-05,Arsenal,Brighton,0.965377,1.53446,1,2,True,1.4193598,1.6146972000000002,1.510379666666667,1.5947553333333335,1.4098561428571428,1.5607032857142857,1.5766514285714286,1.2430608571428567,1.6626610000000002,1.4587455714285713,0.19895090365467744
2019-20,2019-12-09,Arsenal,West Ham,1.79181,0.521847,3,1,False,1.3044072,1.5658052000000002,1.5117256666666667,1.6493920000000004,1.3802242,1.5589537333333332,1.500242125,1.2430608571428567,1.646635875,1.4587455714285713,0.20891972326768427
2019-20,2019-12-15,Arsenal,Man City,0.28161,1.69553,0,3,True,1.4576652,1.3681146,1.572919,0.9556343333333336,1.4059483125,1.4941345625,1.500242125,1.3116544999999997,1.646635875,1.3416332499999999,0.2545865047395341
2019-20,2019-12-21,Arsenal,Everton,0.881818,0.486523,0,0,False,1.3217193999999999,1.4331106000000002,1.0129323333333333,1.2506123333333334,1.3398107647058826,1.5059813529411765,1.3648385555555556,1.3116544999999997,1.6520685555555557,1.3416332499999999,0.23856568446722382
2019-20,2019-12-26,Arsenal,Bournemouth,1.42464,1.55463,1,1,False,1.176437,1.0097912,0.9850793333333333,0.9013000000000001,1.3143667222222222,1.4493447777777777,1.3648385555555556,1.2638948888888888,1.6520685555555557,1.246621,0.36429503643451805
2019-20,2019-12-29,Arsenal,Chelsea,0.785214,1.49666,1,2,True,1.069051,1.158598,0.8626893333333333,1.2455610000000001,1.3201705789473686,1.4548861052631579,1.3648385555555556,1.2799694,1.6520685555555557,1.2774218999999998,0.3139259967470817
2019-20,2020-01-01,Arsenal,Man Utd,1.90747,0.715563,2,0,True,1.0330184,1.1510380000000002,1.030557333333333,1.1792710000000002,1.29342275,1.4569748,1.3068761,1.2799694,1.6365276999999998,1.2774218999999998,0.31630827093262626
2019-20,2020-01-11,Arsenal,Crystal Palace,1.43924,0.317862,1,1,False,1.0561504,1.1897812,1.3724413333333334,1.2556176666666667,1.3226630952380953,1.4216694761904762,1.3614755454545455,1.2799694,1.5528036363636362,1.2774218999999998,0.3042878349618722
2019-20,2020-01-18,Arsenal,Sheffield Utd,1.22882,1.18444,1,1,True,1.2876764,0.9142475999999998,1.377308,0.8433616666666669,1.3279620454545453,1.371496409090909,1.3614755454545455,1.2944485454545454,1.5528036363636362,1.1901891818181818,0.400818088196112
2019-20,2020-01-21,Arsenal,Chelsea,0.568077,3.38612,2,2,False,1.3570768000000002,1.0538310000000002,1.5251766666666668,0.7392883333333335,1.3236515217391305,1.3633635217391304,1.3504209166666667,1.2944485454545454,1.5221066666666665,1.1901891818181818,0.34859970225954817
2019-20,2020-02-02,Arsenal,Burnley,1.48025,2.24562,0,0,False,1.1857642,1.420129,1.0787123333333335,1.629474,1.29216925,1.4476450416666669,1.3504209166666667,1.2339175833333333,1.5221066666666665,1.3731834166666665,0.24168283779995173
2019-20,2020-02-16,Arsenal,Newcastle,3.02257,1.16662,4,0,True,1.3247714,1.5699210000000001,1.0923823333333333,2.27206,1.29969248,1.4795640399999999,1.3504209166666667,1.2528662307692309,1.5221066666666665,1.440293923076923,0.20806161857564873
2019-20,2020-02-23,Arsenal,Everton,1.33567,2.65691,3,2,True,1.5477914,1.6601324000000002,1.6902990000000002,2.2661200000000004,1.365957,1.4675277307692307,1.479047769230769,1.2528662307692309,1.4947615384615385,1.440293923076923,0.19011380736702685
2019-20,2020-03-07,Arsenal,West Ham,1.55974,1.61615,1,0,True,1.5270774,2.127942,1.9461633333333335,2.02305,1.3648352592592592,1.511578925925926,1.4688065,1.2528662307692309,1.5777721428571427,1.440293923076923,0.11908211283548337
