team,season,GW,goals_scored_for,goals_conceded,was_home,opponent,clean_sheet,win,draw,points_earned,goals_scored_last5,goals_conceded_last5,clean_sheet_rate_last5,wins_last5,form_points_last5,goals_scored_last3,goals_conceded_last3,home_goals_scored_season,away_goals_scored_season,home_goals_conceded_season,away_goals_conceded_season,attacking_strength,defensive_strength,xG_last5,xGA_last5,xG_last3,xGA_last3,xG_season_avg,xGA_season_avg,home_xG_season,away_xG_season,home_xGA_season,away_xGA_season,clean_sheet_probability
Arsenal,2019-20,1,1,0,False,Newcastle,1,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,2019-20,2,2,1,True,Burnley,0,1,0,3,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,1.13309,0.380551,1.13309,0.380551,1.13309,0.380551,0.0,1.13309,0.0,0.380551,0.6834847053673199
Arsenal,2019-20,3,0,3,False,Liverpool,0,0,0,0,1.5,0.5,0.5,2.0,6.0,1.5,0.5,2.0,1.0,1.0,0.0,0.5,0.8333333333333334,1.148745,0.8861355,1.148745,0.8861355,1.148745,0.8861355,1.1644,1.13309,1.39172,0.380551,0.41224580230323776
Arsenal,2019-20,4,2,2,True,Spurs,0,0,1,1,1.0,1.3333333333333333,0.3333333333333333,2.0,6.0,1.0,1.3333333333333333,2.0,0.5,1.0,1.5,0.25000000000000006,0.6666666666666667,1.094344,1.5201603333333333,1.094344,1.5201603333333333,1.094344,1.5201603333333333,1.1644,1.059316,1.39172,1.5843805,0.21867682295737878
Arsenal,2019-20,5,2,2,False,Watford,0,0,1,1,1.25,1.5,0.25,2.0,7.0,1.3333333333333333,2.0,2.0,0.5,1.5,1.5,0.36363636363636365,0.5,1.3020304999999999,1.62890525,1.358344,2.0450233333333334,1.3020304999999999,1.62890525,1.544745,1.059316,1.6734300000000002,1.5843805,0.19614418547964005
Arsenal,2019-20,6,3,3,True,Aston Villa,0,0,1,1,1.4,1.6,0.2,2.0,8.0,1.3333333333333333,2.3333333333333335,2.0,1.0,1.5,1.6666666666666667,0.41666666666666663,0.4999999999999999,1.2428564,1.8695422000000002,1.3055973333333333,2.5251466666666667,1.2428564,1.8695422000000002,1.544745,1.0415973333333333,1.6734300000000002,2.000283666666667,0.1541942357806585
Arsenal,2019-20,7,1,1,False,Man Utd,0,0,1,1,1.8,2.2,0.0,1.0,6.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.0,2.0,1.6666666666666667,0.43749999999999994,0.3076923076923076,1.5226564,2.136524,1.8211133333333336,2.1675633333333337,1.457728666666667,1.8438618333333334,1.8738599999999999,1.0415973333333333,1.6874400000000003,2.000283666666667,0.11806452286719532
Arsenal,2019-20,8,1,0,True,Bournemouth,1,1,0,3,1.6,2.2,0.0,0.0,4.0,2.0,2.0,2.3333333333333335,1.0,2.0,1.5,0.38888888888888895,0.3846153846153846,1.6305744,2.08488,1.7474133333333333,1.8936833333333336,1.4929088571428573,1.7423815714285715,1.8738599999999999,1.2071954999999999,1.6874400000000003,1.78358775,0.12432203791524633
Arsenal,2019-20,9,0,1,False,Sheffield Utd,0,0,0,0,1.8,1.6,0.2,1.0,7.0,1.6666666666666667,1.3333333333333333,2.0,1.0,1.5,1.5,0.5333333333333333,0.5,1.681684,1.6640314000000003,1.8257233333333331,1.1776423333333335,1.4614315,1.6100797500000001,1.7156675,1.2071954999999999,1.4365717500000001,1.78358775,0.18937399682997358
Arsenal,2019-20,10,2,2,True,Crystal Palace,0,0,1,1,1.4,1.4,0.2,1.0,6.0,0.6666666666666666,0.6666666666666666,2.0,0.8,1.5,1.4,0.4285714285714286,0.5454545454545455,1.4866130000000002,1.4521478,1.2982716666666667,0.9043963333333335,1.4045763333333334,1.5307066666666667,1.7156675,1.1557033999999997,1.4365717500000001,1.6060146,0.23406701868351648
Arsenal,2019-20,11,1,1,True,Wolves,0,0,1,1,1.4,1.4,0.2,1.0,6.0,1.0,1.0,2.0,0.8,1.6,1.4,0.35294117647058826,0.7058823529411765,1.593409,1.2415138,1.2436550000000002,1.1195363333333335,1.4181327,1.555528,1.6805619999999997,1.1557033999999997,1.5050414,1.6060146,0.2889464795177387
Arsenal,2019-20,12,0,2,False,Leicester,0,0,0,0,1.0,1.0,0.2,1.0,6.0,1.0,1.3333333333333333,1.8333333333333333,0.8,1.5,1.4,0.23529411764705885,0.8125,1.292095,1.2004818,1.1717983333333333,1.3949806666666669,1.3824406363636363,1.5514163636363636,1.5713883333333332,1.1557033999999997,1.5059178333333334,1.6060146,0.30104913149358214
Arsenal,2019-20,13,2,2,True,Southampton,0,0,1,1,0.8,1.2,0.2,1.0,5.0,1.0,1.6666666666666667,1.8333333333333333,0.6666666666666666,1.5,1.5,0.20000000000000004,0.75,1.1435648,1.2478918,1.1756663333333333,1.5532566666666667,1.3473488333333332,1.5363441666666666,1.5713883333333332,1.123309333333333,1.5059178333333334,1.5667704999999998,0.2871094434069093
Arsenal,2019-20,14,2,2,False,Norwich,0,0,1,1,1.0,1.6,0.0,0.0,3.0,1.0,1.6666666666666667,1.8571428571428572,0.6666666666666666,1.5714285714285714,1.5,0.19999999999999998,0.5333333333333332,1.2169928,1.6317224000000004,1.198363,1.8279900000000004,1.3674166153846155,1.6184038461538461,1.5766514285714286,1.123309333333333,1.6626610000000002,1.5667704999999998,0.19559239549003307
Arsenal,2019-20,15,1,2,True,Brighton,0,0,0,0,1.4,1.8,0.0,0.0,4.0,1.3333333333333333,2.0,1.8571428571428572,0.8571428571428571,1.5714285714285714,1.5714285714285714,0.30769230769230765,0.4666666666666667,1.4193598,1.6146972000000002,1.510379666666667,1.5947553333333335,1.4098561428571428,1.5607032857142857,1.5766514285714286,1.2430608571428567,1.6626610000000002,1.4587455714285713,0.19895090365467744
Arsenal,2019-20,16,3,2,False,West Ham,0,1,0,3,1.2,1.8,0.0,0.0,3.0,1.6666666666666667,2.0,1.75,0.8571428571428571,1.625,1.5714285714285714,0.27272727272727276,0.19999999999999996,1.3044072,1.5658052000000002,1.5117256666666667,1.6493920000000004,1.3802242,1.5589537333333332,1.500242125,1.2430608571428567,1.646635875,1.4587455714285713,0.20891972326768427
Arsenal,2019-20,17,0,3,True,Man City,0,0,0,0,1.6,2.0,0.0,1.0,5.0,2.0,2.0,1.75,1.125,1.625,1.625,0.46153846153846156,0.11111111111111116,1.4576652,1.3681146,1.572919,0.9556343333333336,1.4059483125,1.4941345625,1.500242125,1.3116544999999997,1.646635875,1.3416332499999999,0.2545865047395341
Arsenal,2019-20,18,0,1,False,Everton,0,0,0,0,1.6,2.2,0.0,1.0,5.0,1.3333333333333333,2.3333333333333335,1.5555555555555556,1.125,1.7777777777777777,1.625,0.5384615384615385,0.0,1.3217193999999999,1.4331106000000002,1.0129323333333333,1.2506123333333334,1.3398107647058826,1.5059813529411765,1.3648385555555556,1.3116544999999997,1.6520685555555557,1.3416332499999999,0.23856568446722382
Arsenal,2019-20,19,1,1,False,Bournemouth,0,0,1,1,1.2,2.0,0.0,1.0,4.0,1.0,2.0,1.5555555555555556,1.0,1.7777777777777777,1.5555555555555556,0.3846153846153847,0.2727272727272727,1.176437,1.0097912,0.9850793333333333,0.9013000000000001,1.3143667222222222,1.4493447777777777,1.3648385555555556,1.2638948888888888,1.6520685555555557,1.246621,0.36429503643451805
Arsenal,2019-20,20,1,2,True,Chelsea,0,0,0,0,1.0,1.8,0.0,1.0,4.0,0.3333333333333333,1.6666666666666667,1.5555555555555556,1.0,1.7777777777777777,1.5,0.28571428571428575,0.2499999999999999,1.069051,1.158598,0.8626893333333333,1.2455610000000001,1.3201705789473686,1.4548861052631579,1.3648385555555556,1.2799694,1.6520685555555557,1.2774218999999998,0.3139259967470817
Arsenal,2019-20,21,2,0,True,Man Utd,1,1,0,3,1.0,1.8,0.0,1.0,4.0,0.6666666666666666,1.3333333333333333,1.5,1.0,1.8,1.5,0.30769230769230776,0.30000000000000004,1.0330184,1.1510380000000002,1.030557333333333,1.1792710000000002,1.29342275,1.4569748,1.3068761,1.2799694,1.6365276999999998,1.2774218999999998,0.31630827093262626
