name,season,GW,team,opponent_team,was_home,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,form_last3,form_last5,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,minutes_reliability_season,points_per_million,has_prev_league_data,prev_adjG_per_90,prev_adjA_per_90,prev_league_multiplier,prev_seasons_available,prev_reliability_avg,prev_minutes_avg,prev_small_sample,team_xG_last5,team_xGA_last5,team_attacking_strength,team_defensive_strength,team_clean_sheet_probability,team_goals_scored_last5,team_goals_conceded_last5,team_clean_sheet_rate_last5,team_form_points_last5,team_xG_season_avg,team_xGA_season_avg,opp_xG_last5,opp_xGA_last5,opp_attacking_strength,opp_defensive_strength,opp_clean_sheet_probability,opp_goals_scored_last5,opp_goals_conceded_last5,opp_clean_sheet_rate_last5,opp_form_points_last5,opp_xG_season_avg,opp_xGA_season_avg,current_gw_fdr,fdr_is_proxy,fixture_trajectory_score,trajectory_is_full,home_advantage,transfers_in,transfers_out,selected,value,prev_int_per_90,prev_tklW_per_90
Tim Ream,2022-23,17,Fulham,Crystal Palace,False,DEF,14,90,1,0,1,0,2,39,0,0,2.6666666666666665,3.4,31.0,2.066666666666667,0.0,0.0,0.2,0.9354166666666668,68.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9355128,1.9273894,0.4999999999999999,0.5833333333333333,0.1455276174106248,1.4,1.2,0.4,7.0,1.4341517333333331,2.1736988,1.0072274,1.1159852,0.3,0.5833333333333333,0.3275923758549744,1.0,1.2,0.2,9.0,1.0926506428571428,1.4471392857142855,4,1,4.0,0,0,10761,5206,21852,4.5,0.0,0.0
Tim Ream,2022-23,18,Fulham,Southampton,True,DEF,2,90,0,0,0,1,0,17,0,0,5.333333333333333,4.6,45.0,2.8125,0.0625,0.0,0.25,0.9392156862745098,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8969668,1.8694428000000003,0.4545454545454546,0.6666666666666667,0.1542095634494676,1.6,1.2,0.4,7.0,1.513221625,2.06420225,1.3548645999999998,1.551028,0.0909090909090909,0.1666666666666666,0.2120298950213603,0.8,2.4,0.0,1.0,1.11636925,1.509839375,2,1,2.0,0,1,71534,4427,92353,4.5,0.0,0.0
Tim Ream,2022-23,19,Fulham,Leicester,False,DEF,9,90,0,0,1,0,3,29,0,0,5.666666666666667,4.8,47.0,2.764705882352941,0.0588235294117647,0.0,0.2352941176470588,0.9425925925925924,104.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7005528,1.6164170000000002,0.3076923076923076,0.6666666666666666,0.1986090419417198,1.2,1.0,0.4,5.0,1.5120350588235294,1.9838792352941168,1.1482918,1.3171796,0.1538461538461538,0.5833333333333333,0.2678897938558345,0.8,1.2,0.4,6.0,1.0244092352941176,1.462694882352941,4,1,4.0,0,0,95157,8353,185516,4.5,0.0,0.0
Tim Ream,2022-23,20,Fulham,Newcastle,False,DEF,1,90,0,0,0,1,0,8,1,0,8.333333333333334,5.4,56.0,3.111111111111111,0.0555555555555555,0.0,0.2777777777777778,0.9456140350877194,124.44444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5881392,1.669685,0.5555555555555556,0.5833333333333333,0.1883063728048112,1.6,1.2,0.2,7.0,1.460568,1.977750894736842,1.6585826,0.7620222,0.5555555555555556,1.0,0.4667216675294703,1.6,0.2,0.8,11.0,1.8854433888888888,1.069480038888889,4,1,4.0,0,0,27078,26358,181745,4.5,0.0,0.0
Tim Ream,2022-23,21,Fulham,Spurs,True,DEF,2,90,0,0,0,1,0,14,0,0,4.0,5.4,57.0,3.0,0.0526315789473684,0.0,0.2631578947368421,0.9483333333333334,126.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4456776,1.386869,0.5555555555555554,0.5833333333333333,0.2498563815482978,1.4,1.0,0.2,7.0,1.4370332,1.97699135,1.198724,1.728293,1.0,0.1666666666666666,0.1775872928947264,2.2,2.0,0.2,7.0,1.6040461,1.3353463,2,1,2.0,0,1,21089,17221,189638,4.5,0.0,0.0
Tim Ream,2022-23,22,Fulham,Chelsea,False,DEF,8,90,0,0,1,0,2,28,0,0,4.0,5.6,59.0,2.95,0.05,0.0,0.25,0.9507936507936507,131.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1245016,1.5012792,0.5,0.6363636363636364,0.2228449145295626,1.2,0.8,0.2,7.0,1.420669238095238,1.9301729523809523,1.6480552,1.1109642000000002,0.3,0.7272727272727273,0.3292413534681538,0.8,0.6,0.6,8.0,1.3482998,1.3931934,4,1,4.0,0,0,16423,24184,183026,4.5,0.0,0.0
Tim Ream,2022-23,23,Fulham,Nott'm Forest,True,DEF,9,90,0,0,1,0,3,33,0,0,3.6666666666666665,4.4,67.0,3.1904761904761907,0.0476190476190476,0.0,0.2857142857142857,0.953030303030303,148.88888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9245598,1.6444789999999998,0.1999999999999999,0.6666666666666666,0.1931131485392887,0.6,0.8,0.2,5.0,1.3785179545454544,1.906742818181818,1.1739058,1.1469282,0.4,0.8888888888888888,0.3176109096232376,1.0,0.4,0.6,10.0,1.0417053333333333,1.6471751904761909,2,1,2.0,0,1,36615,8043,214427,4.5,0.0,0.0
Tim Ream,2022-23,24,Fulham,Brighton,False,DEF,6,90,0,0,1,0,0,24,0,0,6.333333333333333,5.8,76.0,3.4545454545454546,0.0454545454545454,0.0,0.3181818181818182,0.955072463768116,165.21739130434784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9969818,1.4914017999999998,0.111111111111111,0.875,0.2250569494809779,0.6,0.6,0.4,7.0,1.3923667391304346,1.853702869565217,2.411922,1.1306954,0.7777777777777776,0.75,0.3228086971840334,1.8,0.8,0.4,10.0,1.862792476190476,1.269034619047619,4,1,4.0,0,0,51728,9231,258600,4.6,0.0,0.0
Tim Ream,2022-23,25,Fulham,Wolves,True,DEF,2,90,0,0,0,1,0,16,0,0,7.666666666666667,5.2,82.0,3.565217391304348,0.0434782608695652,0.0,0.3478260869565217,0.9569444444444444,178.2608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8995713999999999,1.5543298,0.1111111111111111,1.0,0.2113309692055752,0.2,0.4,0.6,5.0,1.3436937083333331,1.8895381666666669,1.087171,1.563875,0.3333333333333333,0.7,0.2093233695512427,0.6,1.0,0.4,6.0,0.9696560869565216,1.4481067391304348,2,1,2.0,0,1,174136,21853,507303,4.6,0.0,0.0
Tim Ream,2022-23,26,Fulham,Brentford,False,DEF,1,90,0,0,0,3,0,17,0,0,5.666666666666667,5.4,84.0,3.5,0.0416666666666666,0.0,0.3333333333333333,0.9586666666666668,182.608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8842236,1.3612372,0.1,1.0,0.2563434325900111,0.4,0.4,0.6,6.0,1.32647128,1.85384052,1.324449,0.7555608000000001,0.5,1.0,0.4697471066723626,1.2,0.4,0.6,8.0,1.5625383478260868,1.327806304347826,4,1,4.0,0,0,22337,44131,389831,4.6,0.0,0.0
