name,season,GW,team,opponent_team,was_home,position,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,yellow_cards,red_cards,form_last3,form_last5,cumulative_points_season,avg_points_per_game_season,goals_per_game_season,assists_per_game_season,clean_sheet_rate_season,minutes_reliability_season,points_per_million,has_prev_league_data,prev_adjG_per_90,prev_adjA_per_90,prev_league_multiplier,prev_seasons_available,prev_reliability_avg,prev_minutes_avg,prev_small_sample,team_xG_last5,team_xGA_last5,team_attacking_strength,team_defensive_strength,team_clean_sheet_probability,team_goals_scored_last5,team_goals_conceded_last5,team_clean_sheet_rate_last5,team_form_points_last5,team_xG_season_avg,team_xGA_season_avg,opp_xG_last5,opp_xGA_last5,opp_attacking_strength,opp_defensive_strength,opp_clean_sheet_probability,opp_goals_scored_last5,opp_goals_conceded_last5,opp_clean_sheet_rate_last5,opp_form_points_last5,opp_xG_season_avg,opp_xGA_season_avg,current_gw_fdr,fdr_is_proxy,fixture_trajectory_score,trajectory_is_full,home_advantage,transfers_in,transfers_out,selected,value,saves,saves_per_game_season,prev_saves_per_game,prev_cs_rate
Aaron Ramsdale,2019-20,1,Bournemouth,Sheffield Utd,True,GK,2,90,0,0,0,1,0,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2.0,0,1,0,0,3091,4.5,2,0.0,0.0,0.0
Aaron Ramsdale,2019-20,2,Bournemouth,Aston Villa,False,GK,4,90,0,0,0,1,0,24,0,0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,4.444444444444445,0,0.0,0.0,0.0,0,0.0,0.0,0,1.34099,1.59864,0.25,0.8,0.2021712840577003,1.0,1.0,0.0,1.0,1.34099,1.59864,0.639599,2.57262,0.25,0.4,0.0763352847509382,1.0,3.0,0.0,0.0,0.639599,2.57262,4,1,4.0,0,0,3794,992,8566,4.5,6,2.0,0.0,0.0
Aaron Ramsdale,2019-20,3,Bournemouth,Man City,True,GK,1,90,0,0,0,3,0,12,0,0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,1.0,13.333333333333332,0,0.0,0.0,0.0,0,0.0,0.0,0,1.4843799999999998,1.624665,0.5,0.6666666666666667,0.1969776516658277,1.5,1.0,0.0,4.0,1.4843799999999998,1.624665,3.192265,0.637421,1.0,0.6666666666666667,0.5286540662876125,3.0,1.0,0.5,4.0,3.192265,0.637421,2,1,2.0,0,1,5460,2224,13643,4.5,2,4.0,0.0,0.0
Aaron Ramsdale,2019-20,4,Bournemouth,Leicester,False,GK,1,90,0,0,0,3,0,13,0,0,2.333333333333333,2.333333333333333,7.0,2.333333333333333,0.0,0.0,0.0,1.0,15.555555555555555,0,0.0,0.0,0.0,0,0.0,0.0,0,1.6207366666666667,2.125963333333333,0.375,0.5,0.1193179699070592,1.3333333333333333,1.6666666666666667,0.0,4.0,1.6207366666666667,2.125963333333333,0.732193,0.8978523333333334,0.125,1.0,0.407443774163721,0.6666666666666666,0.6666666666666666,0.3333333333333333,3.0,0.732193,0.8978523333333334,4,1,4.0,0,0,7190,2834,19406,4.5,2,3.333333333333333,0.0,0.0
Aaron Ramsdale,2019-20,5,Bournemouth,Everton,True,GK,3,90,0,0,0,1,0,19,0,0,2.0,2.0,8.0,2.0,0.0,0.0,0.0,1.0,17.77777777777778,0,0.0,0.0,0.0,0,0.0,0.0,0,1.354234,2.1538875,0.3636363636363636,0.25,0.1160322046631948,1.25,2.0,0.0,4.0,1.354234,2.1538875,1.20065325,1.2255065,0.2727272727272727,0.75,0.2936089497225886,1.0,1.0,0.5,7.0,1.20065325,1.2255065,2,1,2.0,0,1,3887,2163,22068,4.5,4,3.0,0.0,0.0
Aaron Ramsdale,2019-20,6,Bournemouth,Southampton,False,GK,10,90,0,1,0,1,3,34,0,0,1.6666666666666667,2.2,11.0,2.2,0.0,0.0,0.0,1.0,24.444444444444443,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3664712,2.024392,0.5000000000000001,0.375,0.1320741198461196,1.6,1.8,0.0,7.0,1.3664712,2.024392,1.5304292,1.4422144,0.1666666666666666,0.625,0.236403686320367,0.8,1.4,0.2,7.0,1.5304292,1.4422144,4,1,4.0,0,0,5022,1688,26492,4.5,6,3.2,0.0,0.0
Aaron Ramsdale,2019-20,7,Bournemouth,West Ham,True,GK,2,90,0,0,0,2,0,17,0,0,4.666666666666667,3.8,21.0,3.5,0.0,0.1666666666666666,0.0,1.0,46.66666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0,1.3578192000000002,2.140706,0.5,0.4615384615384615,0.1175718080174113,2.0,1.8,0.0,9.0,1.355014333333333,2.050361666666667,1.5443697999999997,1.7097539999999998,0.375,1.0,0.1809102910751918,1.6,0.4,0.6,11.0,1.4870248333333331,1.9554233333333333,2,1,2.0,0,1,25623,4194,51706,4.5,4,3.6666666666666665,0.0,0.0
Aaron Ramsdale,2019-20,8,Bournemouth,Arsenal,False,GK,2,90,0,0,0,1,0,10,0,0,5.0,3.4,23.0,3.2857142857142856,0.0,0.1428571428571428,0.0,1.0,51.11111111111111,0,0.0,0.0,0.0,0,0.0,0.0,0,1.4961792,2.06966,0.5000000000000001,0.4615384615384615,0.1262286921651833,2.0,2.0,0.0,7.0,1.492808,1.9425185714285715,1.6305744,2.08488,0.3888888888888889,0.3846153846153846,0.1243220379152463,1.6,2.2,0.0,4.0,1.4929088571428573,1.7423815714285715,4,1,4.0,0,0,12532,5889,58222,4.5,1,3.7142857142857135,0.0,0.0
Aaron Ramsdale,2019-20,9,Bournemouth,Norwich,True,GK,6,90,0,0,1,0,0,21,0,0,4.666666666666667,3.6,25.0,3.125,0.0,0.125,0.0,1.0,55.55555555555556,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2542826,1.6921660000000005,0.5333333333333333,0.5,0.1841202872335177,1.8,1.6,0.0,7.0,1.391702875,1.85484,1.2541274,2.485458,0.1333333333333333,0.0,0.0832874001461332,0.6,2.6,0.0,3.0,1.2859755,2.184569875,2,1,2.0,0,1,14721,4032,70443,4.5,1,3.375,0.0,0.0
Aaron Ramsdale,2019-20,10,Bournemouth,Watford,False,GK,8,90,0,0,1,0,1,29,0,0,3.333333333333333,4.6,31.0,3.4444444444444446,0.0,0.1111111111111111,0.1111111111111111,1.0,68.88888888888889,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2784482,1.3252086,0.5000000000000001,0.7272727272727273,0.2657475183743282,1.6,1.0,0.2,8.0,1.3121307777777778,1.6935103333333332,1.3065978,2.0091242,0.0714285714285714,0.0,0.1341060733514591,0.4,2.6,0.2,2.0,1.3084534444444444,1.803671111111111,4,1,4.0,0,0,21641,2907,90239,4.5,3,3.111111111111111,0.0,0.0
Aaron Ramsdale,2019-20,11,Bournemouth,Man Utd,True,GK,9,90,0,0,1,0,2,29,0,0,5.333333333333333,5.6,39.0,3.9,0.0,0.1,0.2,1.0,86.66666666666667,0,0.0,0.0,0.0,0,0.0,0.0,0,1.1752694,1.1589072000000002,0.2352941176470588,0.8823529411764706,0.3138289458337319,1.0,0.8,0.4,6.0,1.2708703,1.5916496,1.7370291999999998,0.9585132,0.2352941176470588,0.7647058823529411,0.3834625945343742,1.0,1.2,0.0,5.0,1.7442246,0.8101011999999999,2,1,2.0,0,1,22278,5473,108434,4.5,4,3.1,0.0,0.0
Aaron Ramsdale,2019-20,12,Bournemouth,Newcastle,False,GK,4,90,0,0,0,2,1,23,0,0,7.666666666666667,5.4,48.0,4.363636363636363,0.0,0.0909090909090909,0.2727272727272727,1.0,104.34782608695652,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2894473999999998,0.851091,0.1176470588235294,0.9375,0.4269488765374255,0.6,0.6,0.6,6.0,1.3252111818181818,1.5052386363636363,0.6873072,1.7125568000000002,0.2352941176470588,0.5,0.1804039456353399,1.0,2.0,0.2,6.0,0.6983862727272728,1.6642176363636365,4,1,4.0,0,0,128192,4137,249480,4.6,7,3.1818181818181817,0.0,0.0
Aaron Ramsdale,2019-20,13,Bournemouth,Wolves,True,GK,2,90,0,0,0,2,0,19,0,0,7.0,5.8,52.0,4.333333333333333,0.0,0.0833333333333333,0.25,1.0,110.63829787234042,0,0.0,0.0,0.0,0,0.0,0.0,0,1.2097934,1.058119,0.0666666666666666,0.9375,0.3471081070019807,0.4,0.6,0.6,5.0,1.37488525,1.5740187499999998,1.523501,1.0195278,0.3999999999999999,0.875,0.3607652533115953,1.4,0.8,0.2,9.0,1.3733666666666666,1.21830625,2,1,2.0,0,1,101701,13945,337020,4.7,5,3.5,0.0,0.0
