player_id,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,saves,bonus,value,was_home,transfers_in,transfers_out,opponent_team_id
653,1,0,0,0,0,0,0,0,4.0,1,0,0,8
621,1,0,0,0,0,0,0,0,4.5,1,0,0,12
397,1,1,22,0,0,0,0,0,7.0,1,0,0,20
487,1,0,0,0,0,0,0,0,4.0,1,0,0,8
105,1,2,90,0,0,0,0,0,5.5,1,0,0,18
607,1,0,0,0,0,0,0,0,4.5,1,0,0,19
655,1,1,3,0,0,0,0,0,4.5,1,0,0,8
354,1,0,0,0,0,0,0,0,7.5,0,0,0,6
417,1,0,0,0,0,0,0,0,4.5,1,0,0,2
574,1,0,0,0,0,0,0,0,4.5,0,0,0,14
169,1,0,0,0,0,0,0,0,4.0,1,0,0,13
335,1,0,0,0,0,0,0,0,4.5,0,0,0,5
300,1,1,24,0,0,0,0,0,5.0,0,0,0,7
206,1,2,75,0,0,0,0,0,5.5,1,0,0,11
491,1,0,0,0,0,0,0,0,4.0,0,0,0,4
53,1,0,0,0,0,0,0,0,4.0,0,0,0,15
489,1,2,86,0,0,0,0,0,5.0,1,0,0,8
371,1,0,0,0,0,0,0,0,4.5,1,0,0,20
378,1,4,10,0,1,0,0,0,5.0,0,0,0,1
488,1,2,90,0,0,0,0,0,5.0,1,0,0,8
465,1,0,0,0,0,0,0,0,4.5,0,0,0,1
344,1,3,90,0,0,1,0,0,6.5,0,0,0,6
178,1,0,0,0,0,0,0,0,4.0,1,0,0,13
117,1,0,0,0,0,0,0,0,8.0,1,0,0,18
23,1,0,0,0,0,0,0,0,4.0,1,0,0,16
634,1,0,0,0,0,0,0,0,4.0,1,0,0,2
13,1,8,72,1,0,1,0,2,5.5,1,0,0,16
191,1,0,0,0,0,0,0,0,4.5,1,0,0,11
22,1,0,0,0,0,0,0,0,5.5,1,0,0,16
626,1,0,0,0,0,0,0,0,4.0,0,0,0,7
195,1,7,89,0,1,0,0,2,5.5,1,0,0,11
38,1,1,3,0,0,0,0,0,6.0,0,0,0,15
46,1,0,0,0,0,0,0,0,4.5,0,0,0,15
579,1,0,0,0,0,0,0,0,4.0,1,0,0,10
570,1,3,62,0,0,1,0,0,5.0,0,0,0,14
76,1,1,23,0,0,0,0,0,5.0,1,0,0,19
448,1,0,0,0,0,0,0,0,4.0,0,0,0,1
233,1,0,0,0,0,0,0,0,4.0,0,0,0,17
302,1,2,90,0,0,0,0,0,5.0,0,0,0,7
416,1,2,90,0,0,0,0,0,6.0,1,0,0,2
86,1,0,0,0,0,0,0,0,5.5,1,0,0,19
97,1,0,0,0,0,0,0,0,4.0,1,0,0,18
341,1,6,90,0,0,1,0,0,5.0,0,0,0,6
615,1,0,0,0,0,0,0,0,5.0,0,0,0,17
539,1,1,90,0,0,0,0,0,6.0,0,0,0,3
617,1,0,0,0,0,0,0,0,7.0,1,0,0,20
605,1,2,60,0,0,0,0,0,5.0,1,0,0,13
545,1,1,76,0,0,0,0,0,4.5,0,0,0,14
37,1,0,0,0,0,0,0,0,4.0,0,0,0,15
495,1,0,0,0,0,0,0,0,4.5,0,0,0,4
532,1,1,90,0,0,0,0,0,4.5,0,0,0,3
303,1,8,76,1,0,0,0,1,7.5,0,0,0,7
181,1,0,0,0,0,0,0,0,4.0,1,0,0,13
144,1,0,0,0,0,0,0,0,4.5,1,0,0,12
164,1,0,0,0,0,0,0,0,4.5,1,0,0,13
368,1,0,0,0,0,0,0,0,5.5,0,0,0,6
254,1,2,90,0,0,0,0,0,5.0,1,0,0,10
288,1,3,90,0,0,1,0,0,5.5,0,0,0,9
192,1,0,0,0,0,0,0,0,4.0,1,0,0,11
224,1,0,0,0,0,0,0,0,4.5,0,0,0,17
29,1,1,90,0,0,0,0,0,5.5,1,0,0,16
393,1,0,0,0,0,0,0,0,4.0,1,0,0,20
48,1,0,90,0,0,0,0,0,4.5,0,0,0,15
15,1,2,90,0,0,0,0,0,5.0,1,0,0,16
420,1,0,0,0,0,0,0,0,4.0,1,0,0,2
34,1,1,45,0,0,0,0,0,5.5,0,0,0,15
449,1,0,0,0,0,0,0,0,4.5,0,0,0,1
237,1,0,0,0,0,0,0,0,4.5,0,0,0,17
398,1,5,90,0,0,1,0,0,5.5,1,0,0,20
565,1,1,90,0,0,0,0,0,5.0,0,0,0,14
155,1,0,0,0,0,0,0,0,4.5,1,0,0,12
265,1,2,90,0,0,0,0,0,4.5,1,0,0,10
90,1,1,83,0,0,0,0,0,4.5,1,0,0,18
450,1,2,79,0,0,0,0,0,6.0,0,0,0,1
