gameweek,team_h,team_a,team_h_difficulty,team_a_difficulty
1,1,16,2,5
1,3,19,2,2
1,4,18,3,2
1,5,12,2,3
1,6,13,5,2
1,7,11,4,3
1,9,10,2,2
1,14,20,2,4
1,15,2,3,4
1,17,8,2,2
2,2,9,2,4
2,8,1,5,2
2,10,4,2,3
2,11,3,2,5
2,13,15,3,5
2,16,17,2,2
2,18,14,3,4
2,19,7,3,3
2,20,5,2,2
3,1,10,2,5
3,3,18,3,2
3,4,8,2,2
3,5,19,2,3
3,6,2,3,2
3,7,12,2,3
3,9,20,2,2
3,14,16,2,4
3,15,11,4,4
3,17,13,5,2
4,1,14,3,5
4,4,3,2,2
4,5,15,3,3
4,6,18,3,2
4,7,16,2,3
4,8,20,2,2
4,11,2,3,5
4,12,19,2,2
4,13,10,2,5
4,17,9,2,2
5,2,8,2,4
5,3,7,3,2
5,9,1,5,2
5,10,12,2,3
5,14,5,2,4
5,15,4,2,4
5,16,6,2,2
5,18,17,2,4
5,19,13,5,3
5,20,11,4,2
6,1,18,3,5
6,4,9,2,2
6,5,3,2,3
6,6,14,3,2
6,7,2,3,3
6,8,10,2,2
6,11,19,2,5
6,12,20,2,2
6,13,16,2,5
6,17,15,3,2
7,2,5,2,4
7,3,1,5,2
7,9,12,2,2
7,10,7,3,3
7,12,6,2,2
7,14,8,2,4
7,15,6,2,4
7,16,4,2,2
7,18,11,4,4
7,19,17,2,3
7,20,13,5,2
8,1,13,5,5
8,5,11,4,3
8,6,7,3,2
8,8,16,2,2
8,9,3,2,2
8,10,17,2,3
8,12,18,3,2
8,14,4,2,4
8,19,15,3,3
8,20,2,3,2
9,2,19,2,4
9,3,20,2,2
9,4,6,2,2
9,7,1,5,3
9,11,9,2,5
9,13,5,2,5
9,15,8,2,4
9,16,12,2,2
9,17,14,3,2
9,18,10,2,4
10,1,17,2,5
10,2,12,2,4
10,3,6,2,2
10,5,10,2,3
10,7,4,2,3
10,8,18,3,2
10,11,16,2,5
10,14,13,5,4
10,19,9,2,3
10,20,15,3,2
11,4,19,2,2
