id,web_name,first_name,second_name,element_type,position,team,selected_by_percent,price,now_cost
751,Hubner,Justin,Hubner,2,DEF,20,0.0,4.0,40
769,Hesketh,Owen,Hesketh,3,MID,20,0.0,4.5,45
770,Barnett,Ty,Barnett,3,MID,20,0.0,4.5,45
787,Griffiths,Harvey,Griffiths,3,MID,20,0.0,4.5,45
788,Mosquera,Yerson,Mosquera,2,DEF,20,0.0,4.0,40
800,N.Lemina,Noha,Lemina,3,MID,20,0.0,5.0,50
832,Okoduwa,Wesley,Okoduwa,2,DEF,20,0.0,4.0,40
836,Chiwome,Leon,Chiwome,4,FWD,20,0.0,4.5,45
840,Holman,Fletcher,Holman,4,FWD,20,0.0,4.5,45
853,Ojinnaka,Temple,Ojinnaka,3,MID,20,0.0,4.5,45
