Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
242,Josh Morris,eng ENG,MF,Motherwell,30,1991,9,3,352,3.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
243,Shayden Morris,eng ENG,MF,Aberdeen,20,2001,13,0,276,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
244,Louis Moult,eng ENG,FW,Motherwell,30,1992,7,1,244,2.7,1,0,1,0,1,1,2,0,0.37,0.00,0.37,0.00,0.00,Matches,Scottish Premiership,2022-23
245,Bevis Mugabi,ug UGA,DF,Motherwell,27,1995,13,4,495,5.5,1,0,1,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches,Scottish Premiership,2022-23
246,Charlie Mulgrew,sct SCO,DF,Dundee United,36,1986,19,18,1549,17.2,1,0,1,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,Matches,Scottish Premiership,2022-23
247,Josh Mullin,sct SCO,MF,Livingston,29,1992,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
248,Jamie Murphy,sct SCO,"MF,FW",St Johnstone,32,1989,24,15,1296,14.4,3,0,3,3,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,Scottish Premiership,2022-23
249,Fraser Murray,sct SCO,"MF,FW",Kilmarnock,23,1999,19,4,521,5.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
250,Simon Murray,sct SCO,"FW,MF",Ross County,30,1992,14,5,646,7.2,2,1,3,2,0,0,0,0,0.28,0.14,0.42,0.28,0.42,Matches,Scottish Premiership,2022-23
251,Patrik Myslovič,sk SVK,MF,Aberdeen,21,2001,4,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
252,Lewis Neilson,sct SCO,DF,Hearts,19,2003,10,4,513,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
253,Joe Newell,eng ENG,MF,Hibernian,29,1993,34,33,2940,32.7,1,6,7,1,0,0,6,0,0.03,0.18,0.21,0.03,0.21,Matches,Scottish Premiership,2022-23
254,Jack Newman,sct SCO,GK,Dundee United,20,2002,4,3,276,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
255,Kevin Nisbet,sct SCO,FW,Hibernian,25,1997,19,16,1374,15.3,12,1,13,11,1,2,5,0,0.79,0.07,0.85,0.72,0.79,Matches,Scottish Premiership,2022-23
256,Ilmari Niskanen,fi FIN,"MF,DF",Dundee United,24,1997,20,8,847,9.4,1,0,1,1,0,0,5,0,0.11,0.00,0.11,0.11,0.11,Matches,Scottish Premiership,2022-23
257,Joel Nouble,eng ENG,"FW,MF",Livingston,26,1996,30,29,2599,28.9,7,2,9,7,0,0,3,0,0.24,0.07,0.31,0.24,0.31,Matches,Scottish Premiership,2022-23
258,Josh O'Connor,sct SCO,FW,Hibernian,18,2004,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
259,Stephen O'Donnell,sct SCO,"DF,MF",Motherwell,30,1992,27,14,1444,16.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
260,Michael O'Halloran,sct SCO,"DF,FW",St Johnstone,31,1991,4,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2022-23
261,Mark O'Hara,sct SCO,MF,St Mirren,26,1995,35,34,2898,32.2,10,2,12,5,5,6,8,1,0.31,0.06,0.37,0.16,0.22,Matches,Scottish Premiership,2022-23
262,Matt O'Riley,dk DEN,MF,Celtic,21,2000,38,32,2507,27.9,3,12,15,3,0,0,3,0,0.11,0.43,0.54,0.11,0.54,Matches,Scottish Premiership,2022-23
