Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag
474,Quinten Timber,nl NED,MF,Utrecht,20,2001,31,29,2351,26.1,2,3,5,2,0,0,4,0,0.08,0.11,0.19,0.08,0.19,Matches,Eredivisie,2021-22
475,Mickaël Tirpan,be BEL,"DF,MF",Fortuna Sittard,27,1993,26,26,1980,22.0,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,Eredivisie,2021-22
476,Marco Tol,nl NED,DF,Cambuur,23,1998,27,9,1228,13.6,2,1,3,2,0,0,1,0,0.15,0.07,0.22,0.15,0.22,Matches,Eredivisie,2021-22
477,Jens Toornstra,nl NED,MF,Feyenoord,32,1989,31,18,1787,19.9,3,3,6,3,0,0,4,0,0.15,0.15,0.30,0.15,0.30,Matches,Eredivisie,2021-22
478,Ahmed Touba,dz ALG,DF,RKC Waalwijk,23,1998,28,28,2490,27.7,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches,Eredivisie,2021-22
479,Gernot Trauner,at AUT,DF,Feyenoord,29,1992,30,30,2631,29.2,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,Eredivisie,2021-22
480,Sondre Tronstad,no NOR,MF,Vitesse,25,1995,32,32,2648,29.4,3,0,3,3,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,Eredivisie,2021-22
481,Giovanni Troupée,cw CUW,DF,Twente,23,1998,21,20,1701,18.9,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,Eredivisie,2021-22
482,Turan Tuzlacik,nl NED,MF,Go Ahead Eagles,20,2001,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
483,Manfred Ugalde,cr CRC,"FW,MF",Twente,19,2002,25,4,649,7.2,3,2,5,3,0,0,2,0,0.42,0.28,0.69,0.42,0.69,Matches,Eredivisie,2021-22
484,Roberts Uldriķis,lv LVA,FW,Cambuur,23,1998,21,18,1541,17.1,7,0,7,7,0,0,3,0,0.41,0.00,0.41,0.41,0.41,Matches,Eredivisie,2021-22
485,Lars Unnerstall,de GER,GK,Twente,31,1990,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
486,Etienne Vaessen,sr SUR,GK,RKC Waalwijk,26,1995,31,31,2790,31.0,0,2,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,Eredivisie,2021-22
487,Amourrichio Van Axel Dongen,nl NED,FW,Ajax,16,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
488,Dave Van Den Berg,nl NED,MF,Utrecht,21,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
489,Dario Van den Buijs,be BEL,DF,RKC Waalwijk,25,1995,15,14,1050,11.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
490,Simon Van Duivenbooden,nl NED,FW,Vitesse,19,2002,2,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
491,Syb Van Ottele,nl NED,DF,Heerenveen,19,2002,3,2,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2021-22
492,Henk Veerman,nl NED,FW,Heerenveen,28,1993,20,17,1558,17.3,7,0,7,5,2,2,0,0,0.40,0.00,0.40,0.29,0.29,Matches,Eredivisie,2021-22
493,Henk Veerman,nl NED,FW,Utrecht,28,1993,8,4,413,4.6,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,Eredivisie,2021-22
494,Joey Veerman,nl NED,MF,Heerenveen,22,1998,18,17,1519,16.9,3,6,9,3,0,0,1,0,0.18,0.36,0.53,0.18,0.53,Matches,Eredivisie,2021-22
495,Joey Veerman,nl NED,MF,PSV,22,1998,15,12,1033,11.5,4,5,9,4,0,0,0,0,0.35,0.44,0.78,0.35,0.78,Matches,Eredivisie,2021-22
