player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Begraoui Yanis,maMAR,3.5,Estoril,23,2001,21.3,,11,,,,,,,,,,,4,,,,Matches
Beleza Gui,ptPOR,3.0,Gil Vicente FC,17,2006,0.0,,0,,,,,,,,,,,0,,,,Matches
Belloumi Bachir,dzALG,3.0,Farense,22,2002,3.0,,5,,,,,,,,,,,3,,,,Matches
Belotti Andrea,itITA,4.0,Benfica,30,1993,5.1,,3,,,,,,,,,,,1,,,,Matches
Benaissa Yahia Fahem,frFRA,3.0,Casa Pia,22,2002,4.3,,3,,,,,,,,,,,16,,,,Matches
Beni,aoANG,3.0,Vitória Guimarães,22,2002,2.0,,2,,,,,,,,,,,1,,,,Matches
Beni,aoANG,3.0,Casa Pia,22,2002,8.3,,11,,,,,,,,,,,11,,,,Matches
Bermejo Álex,esESP,3.4,Farense,25,1998,6.6,,6,,,,,,,,,,,2,,,,Matches
Bermejo Sergio,esESP,3.4,Gil Vicente FC,26,1997,5.3,,5,,,,,,,,,,,3,,,,Matches
Bertelli Simão,brBRA,1.0,AVS Futebol,31,1993,11.0,,0,,,,,,,,,,,0,,,,Matches
Beste Jan-Niklas,deGER,2.3,Benfica,25,1999,5.6,,15,,,,,,,,,,,4,,,,Matches
Bica José,ptPOR,4.0,Vitória Guimarães,21,2003,0.3,,0,,,,,,,,,,,0,,,,Matches
Biel,brBRA,3.5,Sporting CP,23,2001,0.2,,0,,,,,,,,,,,1,,,,Matches
Blanco Raúl,esESP,4.0,Casa Pia,23,2001,2.8,,2,,,,,,,,,,,2,,,,Matches
Bóia Paulinho,brBRA,3.4,Nacional,26,1998,12.0,,7,,,,,,,,,,,6,,,,Matches
Boma Kévin,tgTOG,2.0,Estoril,21,2002,27.4,,33,,,,,,,,,,,45,,,,Matches
Bondo Pedro,aoANG,2.0,Famalicão,19,2004,2.0,,0,,,,,,,,,,,0,,,,Matches
Bondoso Kiko,ptPOR,3.4,Rio Ave,28,1995,21.7,,24,,,,,,,,,,,16,,,,Matches
