Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Azeem Abdulai,sct SCO,MF,Swansea City,20,2002,7,0,139,1.5,0,1,1,0,0,0,1,0,0.00,0.65,0.65,0.00,0.65,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ken Aboh,eng ENG,"FW,MF",Norwich City,18,2004,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Che Adams,sct SCO,"FW,MF",Southampton,27,1996,40,25,2289,25.4,16,4,20,16,0,0,5,0,0.63,0.16,0.79,0.63,0.79,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ebou Adams,gm GAM,"MF,DF",Cardiff City,27,1996,11,3,310,3.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Albert Adomah,gh GHA,MF,QPR,35,1987,16,2,370,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Emanuel Aiwum,at AUT,DF,Birmingham City,22,2000,24,22,1941,21.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Semi Ajayi,ng NGA,DF,West Brom,29,1993,26,10,1210,13.4,2,1,3,2,0,0,1,0,0.15,0.07,0.22,0.15,0.22,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Yunus Akgün,tr TUR,"MF,FW",Leicester City,23,2000,23,9,890,9.9,1,2,3,1,0,0,1,0,0.10,0.20,0.30,0.10,0.30,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Marc Albrighton,eng ENG,MF,Leicester City,33,1989,12,0,129,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Carlos Alcaraz,ar ARG,"FW,MF",Southampton,20,2002,23,13,1102,12.2,3,1,4,3,0,1,4,0,0.25,0.08,0.33,0.25,0.33,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ajibola Alese,eng ENG,DF,Sunderland,22,2001,8,5,462,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Rúnar Alex Rúnarsson,is ISL,GK,Cardiff City,28,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,1,is ISL,GK,Cardiff City,28,1995,6,6,540,6.0,8,1.33,24,16,66.7,2,0,4,1,16.7,0,0,0,0,,Matches,Championship,2023-24
13,Jamie Allen,eng ENG,MF,Coventry City,28,1995,22,14,1158,12.9,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Joe Allen,wls WAL,MF,Swansea City,33,1990,19,6,642,7.1,2,1,3,2,0,0,5,0,0.28,0.14,0.42,0.28,0.42,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ryan Allsop,eng ENG,GK,Hull City,31,1992,37,37,3321,36.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,2,eng ENG,GK,Hull City,31,1992,37,37,3321,36.9,46,1.25,143,100,69.9,15,11,11,10,27.0,3,3,0,0,0.0,Matches,Championship,2023-24
16,Jak Alnwick,eng ENG,GK,Cardiff City,30,1993,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,3,eng ENG,GK,Cardiff City,30,1993,24,24,2160,24.0,33,1.37,98,64,66.3,10,4,10,7,29.2,1,0,0,1,,Matches,Championship,2023-24
17,Sone Aluko,ng NGA,"FW,MF",Ipswich Town,34,1989,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Samuel Amo-Ameyaw,eng ENG,FW,Southampton,17,2006,3,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ethan Ampadu,wls WAL,"MF,DF",Leeds United,22,2000,46,46,4138,46.0,0,1,1,0,0,0,9,0,0.00,0.02,0.02,0.00,0.02,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Lucas Andersen,dk DEN,MF,QPR,28,1994,16,12,909,10.1,1,4,5,1,0,0,2,0,0.10,0.40,0.50,0.10,0.50,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Keshi Anderson,eng ENG,MF,Birmingham City,28,1995,20,12,1021,11.3,0,2,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Kai Andrews,wls WAL,MF,Coventry City,16,2006,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ryan Andrews,eng ENG,"DF,MF",Watford,18,2004,40,26,2575,28.6,3,2,5,3,0,0,7,1,0.10,0.07,0.17,0.10,0.17,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Jaidon Anthony,eng ENG,MF,Leeds United,23,1999,31,2,500,5.6,1,0,1,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Adil Aouchiche,fr FRA,"MF,FW",Sunderland,21,2002,28,10,1102,12.2,2,2,4,1,1,1,2,0,0.16,0.16,0.33,0.08,0.25,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Arvin Appiah,eng ENG,"MF,FW",Rotherham United,22,2001,29,7,834,9.3,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Joe Aribo,ng NGA,MF,Southampton,27,1996,35,16,1606,17.8,4,1,5,4,0,0,5,0,0.22,0.06,0.28,0.22,0.28,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Adam Armstrong,eng ENG,"FW,MF",Southampton,26,1997,46,44,3745,41.6,21,13,34,17,4,4,5,0,0.50,0.31,0.82,0.41,0.72,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sinclair Armstrong,ie IRL,FW,QPR,20,2003,39,19,1779,19.8,3,3,6,3,0,0,5,0,0.15,0.15,0.30,0.15,0.30,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Stuart Armstrong,sct SCO,MF,Southampton,31,1992,42,33,2829,31.4,5,7,12,5,0,0,6,0,0.16,0.22,0.38,0.16,0.38,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Harrison Ashby,sct SCO,"MF,DF",Swansea City,21,2001,13,12,798,8.9,1,1,2,1,0,0,1,0,0.11,0.11,0.23,0.11,0.23,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Cian Ashford,wls WAL,MF,Cardiff City,18,2004,5,3,312,3.5,1,1,2,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Yaser Asprilla,co COL,"MF,FW",Watford,19,2003,44,28,2733,30.4,6,7,13,6,0,0,7,0,0.20,0.23,0.43,0.20,0.43,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Joshua Austerfield,eng ENG,MF,Huddersfield Town,21,2001,3,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Daniel Ayala,es ESP,DF,Rotherham United,32,1990,7,5,350,3.9,0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Yasin Ayari,se SWE,MF,Blackburn Rovers,19,2003,10,2,334,3.7,0,1,1,0,0,0,3,0,0.00,0.27,0.27,0.00,0.27,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Yasin Ayari,se SWE,MF,Coventry City,19,2003,13,6,550,6.1,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Loick Ayina,cg CGO,DF,Huddersfield Town,20,2003,2,0,78,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Luke Ayling,eng ENG,DF,Leeds United,31,1991,14,8,749,8.3,1,1,2,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Luke Ayling,eng ENG,"DF,MF",Middlesbrough,31,1991,19,19,1639,18.2,0,8,8,0,0,0,7,0,0.00,0.44,0.44,0.00,0.44,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Finn Azaz,ie IRL,MF,Plymouth Argyle,22,2000,26,21,1763,19.6,7,5,12,6,1,1,2,0,0.36,0.26,0.61,0.31,0.56,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Finn Azaz,ie IRL,MF,Middlesbrough,22,2000,20,15,1359,15.1,4,5,9,4,0,0,2,0,0.26,0.33,0.60,0.26,0.60,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Abdoullah Ba,fr FRA,"MF,FW",Sunderland,20,2003,39,21,1927,21.4,3,4,7,3,0,0,8,0,0.14,0.19,0.33,0.14,0.33,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Daniel Bachmann,at AUT,GK,Watford,29,1994,27,27,2429,27.0,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,4,at AUT,GK,Watford,29,1994,27,27,2429,27.0,32,1.19,105,77,71.4,6,12,9,10,37.0,4,2,2,0,50.0,Matches,Championship,2023-24
45,Juninho Bacuna,cw CUW,MF,Birmingham City,25,1997,45,31,2970,33.0,7,6,13,6,1,1,8,0,0.21,0.18,0.39,0.18,0.36,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Lewis Baker,eng ENG,MF,Stoke City,28,1995,20,12,1067,11.9,2,0,2,2,0,0,3,0,0.17,0.00,0.17,0.17,0.17,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Tyreeq Bakinson,eng ENG,MF,Sheffield Weds,24,1998,8,3,290,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
