player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abdelhamid Yunis,maMAR,2.0,Reims,33,1987,33.1,5,1,0,38,25,0,4,67,28,,,0,Matches
Abdul Samed Salis,ghGHA,3.0,Clermont Foot,21,2000,27.4,12,3,2,43,37,0,14,40,26,,,0,Matches
Abergel Laurent,frFRA,3.0,Lorient,28,1993,32.8,9,0,0,41,69,1,37,54,63,,,0,Matches
Abi Charles,frFRA,4.0,Saint-Étienne,21,2000,0.5,0,0,0,1,0,0,1,0,0,,,0,Matches
Abline Matthis,frFRA,4.0,Rennes,18,2003,1.1,0,0,0,2,1,0,0,0,0,,,0,Matches
Achi Mohamed,frFRA,3.0,Nantes,19,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Adeline Martin,frFRA,3.0,Reims,17,2003,3.9,1,0,0,16,2,0,11,8,11,,,0,Matches
Adli Yacine,frFRA,3.4,Bordeaux,21,2000,25.1,5,0,0,21,27,4,119,33,28,,,0,Matches
Agoume Lucien,frFRA,3.0,Brest,19,2002,20.8,6,0,0,31,15,0,6,49,33,,,0,Matches
Aguerd Nayef,maMAR,2.0,Rennes,25,1996,30.4,3,1,0,20,16,1,1,27,18,,,0,Matches
Aguilar Ruben,frFRA,2.0,Monaco,28,1993,23.8,4,0,0,32,29,1,67,44,53,,,1,Matches
Ahmedhodžić Anel,baBIH,2.0,Bordeaux,22,1999,15.0,6,0,0,20,11,0,6,21,26,,,0,Matches
Aholou Jean-Eudes,ciCIV,3.0,Strasbourg,27,1994,11.2,2,0,0,21,20,0,6,20,8,,,0,Matches
Ajorque Ludovic,frFRA,4.0,Strasbourg,27,1994,30.4,5,1,0,39,36,14,17,8,25,,,1,Matches
Akliouche Maghnes,frFRA,3.0,Monaco,19,2002,0.6,1,0,0,4,1,1,1,0,0,,,0,Matches
Alakouch Sofiane,maMAR,2.3,Metz,23,1998,1.8,1,0,0,5,7,0,2,1,4,,,0,Matches
Albert Josué,gfGUF,2.0,Clermont Foot,29,1992,0.2,0,0,0,1,0,0,0,1,0,,,0,Matches
Alemdar Doğan,trTUR,1.0,Rennes,18,2002,12.0,1,0,0,0,0,0,0,0,0,,,0,Matches
Ali Cho Mohamed,frFRA,4.0,Angers,17,2004,20.4,6,2,2,33,44,11,24,7,6,,,0,Matches
Allevinah Jim,gaGAB,3.4,Clermont Foot,26,1995,16.5,1,0,0,16,34,2,35,6,14,,,0,Matches
Amadou Ibrahim,frFRA,2.3,Metz,28,1993,9.0,4,0,0,11,4,0,0,11,8,,,0,Matches
Amavi Jordan,frFRA,2.0,Nice,27,1994,4.6,1,0,0,2,4,0,6,13,10,,,0,Matches
Amavi Jordan,frFRA,2.4,Marseille,27,1994,1.4,0,0,0,3,1,0,2,1,5,,,0,Matches
André Benjamin,frFRA,3.0,Lille,30,1990,30.6,12,1,1,67,57,2,21,46,73,,,0,Matches
Aouar Houssem,dzALG,3.0,Lyon,23,1998,27.8,1,0,0,27,39,3,23,21,30,,,0,Matches
Aouchiche Adil,frFRA,3.0,Saint-Étienne,19,2002,12.0,2,0,0,10,13,2,63,14,7,,,0,Matches
Appiah Dennis,frFRA,2.0,Nantes,29,1992,23.3,4,0,0,39,4,2,38,27,34,,,1,Matches
Assignon Lorenz,tgTOG,2.0,Rennes,21,2000,6.8,0,0,0,10,12,2,21,8,8,,,0,Matches
Atal Youcef,dzALG,2.0,Nice,25,1996,12.7,4,0,0,17,22,3,56,32,19,,,0,Matches
Augustin Jean-Kévin,frFRA,4.0,Nantes,24,1997,0.9,1,0,0,1,1,0,0,0,0,,,0,Matches
Azamoum Karim,frFRA,2.0,Troyes,31,1990,4.3,2,0,0,12,3,0,1,1,5,,,0,Matches
Bade Loïc,frFRA,2.0,Rennes,21,2000,10.9,3,1,1,6,1,0,2,10,5,,,0,Matches
Badiashile Benoît,frFRA,2.0,Monaco,20,2001,20.4,4,0,0,24,9,2,1,25,19,,,0,Matches
Badji Youssouph,snSEN,4.0,Brest,19,2001,1.5,0,0,0,4,0,1,1,0,0,,,0,Matches
Bahoken Stéphane,cmCMR,4.0,Angers,29,1992,12.2,0,0,0,22,14,4,10,2,8,,,0,Matches
Bain Dénys,frFRA,2.0,Brest,28,1993,2.0,0,0,0,4,2,0,0,2,3,,,0,Matches
Bajic Stefan,frFRA,1.0,Saint-Étienne,19,2001,5.7,0,0,0,0,0,0,0,0,0,,,0,Matches
Bakambu Cédric,cdCOD,3.5,Marseille,30,1991,4.0,1,0,0,5,2,5,3,0,0,,,0,Matches
Bakayoko Abdoulaye,frFRA,2.0,Saint-Étienne,18,2002,3.4,0,0,0,7,5,0,0,11,9,,,0,Matches
Bakwa Dilane,frFRA,3.5,Bordeaux,18,2002,0.5,0,0,0,2,1,0,0,0,1,,,0,Matches
Baldé Ibrahima,frFRA,4.0,Lens,18,2003,0.6,0,0,0,0,0,1,1,0,0,,,0,Matches
Balerdi Leonardo,arARG,2.3,Marseille,22,1999,10.6,4,1,0,10,5,0,0,21,7,,,0,Matches
Bamba Abdoulaye,ciCIV,2.4,Angers,31,1990,5.1,1,0,0,5,6,0,10,8,5,,,1,Matches
Bamba Jonathan,ciCIV,3.0,Lille,25,1996,27.0,3,0,0,11,56,14,115,18,12,,,0,Matches
Banza Simon,cdCOD,4.0,Lens,24,1996,1.4,0,0,0,3,7,0,1,2,1,,,0,Matches
Barbosa Danilo,brBRA,2.0,Nice,25,1996,1.0,0,0,0,0,0,0,0,2,0,,,0,Matches
Barcola Bradley,frFRA,3.0,Lyon,18,2002,2.9,0,0,0,5,0,1,4,2,4,,,0,Matches
Bard Melvin,frFRA,2.0,Nice,20,2000,28.8,3,0,0,21,30,1,86,47,39,,,0,Matches
Bašić Toma,hrCRO,3.0,Bordeaux,24,1996,2.3,0,0,0,6,2,0,19,2,2,,,0,Matches
Bassi Amine,frFRA,3.4,Metz,23,1997,2.0,0,0,0,4,4,0,16,0,3,,,0,Matches
Baysse Paul,frFRA,2.0,Bordeaux,33,1988,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
