player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abankwah James,ieIRL,2.0,Udinese,20,2004,1.0,,1,,,,,,,,,,,1,,,,Matches
Abdulhamid Saud,saKSA,3.0,Roma,25,1999,2.3,,2,,,,,,,,,,,2,,,,Matches
Abildgaard Oliver,dkDEN,3.0,Como,28,1996,0.1,,0,,,,,,,,,,,0,,,,Matches
Abraham Tammy,engENG,4.0,Roma,26,1997,0.0,,0,,,,,,,,,,,0,,,,Matches
Abraham Tammy,engENG,4.0,Milan,26,1997,13.1,,11,,,,,,,,,,,2,,,,Matches
Accornero Federico,itITA,3.0,Genoa,20,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
Acerbi Francesco,itITA,2.0,Inter,36,1988,19.0,,17,,,,,,,,,,,28,,,,Matches
Adams Che,sctSCO,4.0,Torino,28,1996,29.5,,6,,,,,,,,,,,1,,,,Matches
Adli Yacine,frFRA,3.0,Fiorentina,24,2000,13.7,,20,,,,,,,,,,,5,,,,Matches
Adžić Vasilije,meMNE,3.0,Juventus,18,2006,0.5,,2,,,,,,,,,,,0,,,,Matches
Aebischer Michel,chSUI,3.0,Bologna,27,1997,8.0,,13,,,,,,,,,,,7,,,,Matches
Ahanor Honest,itITA,2.4,Genoa,16,2008,3.0,,4,,,,,,,,,,,1,,,,Matches
Ajayi Junior,ciCIV,4.0,Hellas Verona,19,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
Akpa-Akpro Jean-Daniel,ciCIV,3.0,Monza,31,1992,10.7,,19,,,,,,,,,,,11,,,,Matches
Akpan Ankeye David,ngNGA,4.0,Genoa,22,2002,0.5,,0,,,,,,,,,,,0,,,,Matches
Alidou Faride,deGER,4.0,Hellas Verona,23,2001,0.8,,0,,,,,,,,,,,1,,,,Matches
Alli Dele,engENG,3.5,Como,28,1996,0.1,,0,,,,,,,,,,,0,,,,Matches
Almqvist Pontus,seSWE,3.5,Parma,25,1999,12.4,,14,,,,,,,,,,,20,,,,Matches
Altare Giorgio,itITA,2.0,Venezia,25,1998,8.4,,12,,,,,,,,,,,18,,,,Matches
Amrabat Sofyan,maMAR,3.0,Fiorentina,27,1996,2.0,,2,,,,,,,,,,,0,,,,Matches
Angeliño,esESP,2.4,Roma,27,1997,35.3,,24,,,,,,,,,,,28,,,,Matches
Anghelè Lorenzo,itITA,4.0,Juventus,19,2005,0.1,,0,,,,,,,,,,,0,,,,Matches
Anjorin Faustino,engENG,3.0,Empoli,22,2001,12.4,,15,,,,,,,,,,,13,,,,Matches
Arnautović Marko,atAUT,4.0,Inter,35,1989,6.1,,6,,,,,,,,,,,1,,,,Matches
Asllani Kristjan,alALB,3.0,Inter,22,2002,11.0,,4,,,,,,,,,,,8,,,,Matches
Atta Arthur,frFRA,3.4,Udinese,21,2003,13.9,,10,,,,,,,,,,,7,,,,Matches
Audero Emil,idIDN,1.0,Como,27,1997,8.0,,0,,,,,,,,,,,0,,,,Matches
Augello Tommaso,itITA,2.4,Cagliari,29,1994,30.1,,27,,,,,,,,,,,14,,,,Matches
Augusto Carlos,brBRA,2.3,Inter,25,1999,18.8,,14,,,,,,,,,,,11,,,,Matches
Aurel Bisseck Yann,deGER,2.0,Inter,23,2000,18.3,,13,,,,,,,,,,,18,,,,Matches
Azzi Paulo,brBRA,3.0,Cagliari,30,1994,4.7,,9,,,,,,,,,,,4,,,,Matches
Azzouzi Oussama,maMAR,3.0,Bologna,23,2001,0.2,,0,,,,,,,,,,,2,,,,Matches
Bacci Jacopo,itITA,3.0,Empoli,19,2005,0.3,,0,,,,,,,,,,,1,,,,Matches
Badelj Milan,hrCRO,3.0,Genoa,35,1989,16.4,,16,,,,,,,,,,,22,,,,Matches
Bakker Mitchel,nlNED,2.3,Atalanta,24,2000,0.2,,0,,,,,,,,,,,0,,,,Matches
Baldanzi Tommaso,itITA,3.4,Roma,21,2003,9.2,,6,,,,,,,,,,,6,,,,Matches
Baldé Keita,snSEN,4.0,Monza,29,1995,7.1,,1,,,,,,,,,,,2,,,,Matches
Balogh Botond,huHUN,2.0,Parma,22,2002,22.8,,17,,,,,,,,,,,25,,,,Matches
Balotelli Mario,itITA,4.0,Genoa,33,1990,0.7,,0,,,,,,,,,,,0,,,,Matches
Banda Lameck,zmZAM,3.4,Lecce,23,2001,6.8,,5,,,,,,,,,,,3,,,,Matches
Bandeira Daniel,ptPOR,3.0,Hellas Verona,24,2000,4.5,,0,,,,,,,,,,,5,,,,Matches
Bani Mattia,itITA,2.0,Genoa,30,1993,16.7,,11,,,,,,,,,,,21,,,,Matches
Barák Antonín,czCZE,3.0,Fiorentina,29,1994,0.6,,0,,,,,,,,,,,0,,,,Matches
Barba Federico,itITA,2.0,Como,30,1993,4.8,,2,,,,,,,,,,,4,,,,Matches
Barella Nicolò,itITA,3.0,Inter,27,1997,27.7,,31,,,,,,,,,,,12,,,,Matches
Bartesaghi Davide,itITA,2.0,Milan,18,2005,1.3,,2,,,,,,,,,,,3,,,,Matches
Baschirotto Federico,itITA,2.0,Lecce,27,1996,38.0,,26,,,,,,,,,,,22,,,,Matches
Baselli Daniele,itITA,3.0,Como,32,1992,0.2,,0,,,,,,,,,,,1,,,,Matches
Bastoni Alessandro,itITA,2.0,Inter,25,1999,26.7,,23,,,,,,,,,,,23,,,,Matches
Belahyane Reda,maMAR,3.0,Hellas Verona,20,2004,18.4,,26,,,,,,,,,,,10,,,,Matches
Belahyane Reda,maMAR,3.0,Lazio,20,2004,2.2,,6,,,,,,,,,,,1,,,,Matches
Bellanova Raoul,itITA,3.0,Torino,24,2000,1.0,,0,,,,,,,,,,,0,,,,Matches
Bellanova Raoul,itITA,3.0,Atalanta,24,2000,26.7,,13,,,,,,,,,,,19,,,,Matches
Belotti Andrea,itITA,4.0,Como,30,1993,6.6,,5,,,,,,,,,,,1,,,,Matches
Beltrán Lucas,arARG,3.4,Fiorentina,23,2001,21.7,,11,,,,,,,,,,,5,,,,Matches
Benedyczak Adrian,plPOL,3.0,Parma,23,2000,2.4,,0,,,,,,,,,,,0,,,,Matches
Bennacer Ismaël,dzALG,3.0,Milan,26,1997,3.3,,4,,,,,,,,,,,3,,,,Matches
Berisha Medon,alALB,3.0,Lecce,20,2003,8.0,,8,,,,,,,,,,,11,,,,Matches
Bernabe Adrian,esESP,3.0,Parma,23,2001,16.1,,19,,,,,,,,,,,7,,,,Matches
Bernede Antoine,frFRA,3.0,Hellas Verona,25,1999,6.6,,8,,,,,,,,,,,5,,,,Matches
Beukema Sam,nlNED,2.0,Bologna,25,1998,33.5,,28,,,,,,,,,,,30,,,,Matches
Bianco Alessandro,itITA,3.0,Monza,21,2002,28.9,,29,,,,,,,,,,,24,,,,Matches
Bianco Alessandro,itITA,3.0,Fiorentina,21,2002,0.2,,0,,,,,,,,,,,0,,,,Matches
Bijol Jaka,siSVN,2.0,Udinese,25,1999,32.9,,26,,,,,,,,,,,36,,,,Matches
Billing Philip,dkDEN,3.0,Napoli,28,1996,2.2,,6,,,,,,,,,,,4,,,,Matches
Biraghi Cristiano,itITA,2.0,Torino,31,1992,12.9,,10,,,,,,,,,,,7,,,,Matches
Biraghi Cristiano,itITA,2.3,Fiorentina,31,1992,4.8,,4,,,,,,,,,,,4,,,,Matches
Birindelli Samuele,itITA,3.0,Monza,25,1999,16.3,,14,,,,,,,,,,,10,,,,Matches
Bjarkason Bjarki,isISL,3.0,Venezia,24,2000,1.8,,2,,,,,,,,,,,3,,,,Matches
Bohinen Emil,noNOR,3.0,Genoa,25,1999,1.8,,4,,,,,,,,,,,1,,,,Matches
Bondo Warren,frFRA,3.0,Monza,20,2003,18.0,,25,,,,,,,,,,,6,,,,Matches
Bondo Warren,frFRA,3.0,Milan,20,2003,1.8,,3,,,,,,,,,,,0,,,,Matches
Bonifazi Kevin,itITA,2.0,Lecce,28,1996,0.7,,1,,,,,,,,,,,3,,,,Matches
