player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Aaronson Paxten,usUSA,3.0,Eintracht Frankfurt,18,2003,1.9,,5,,,,,,,,,,,0,,,,Matches
Adamyan Sargis,amARM,4.0,Köln,29,1993,7.2,,7,,,,,,,,,,,4,,,,Matches
Adeyemi Karim,deGER,3.4,Dortmund,20,2002,15.4,,11,,,,,,,,,,,7,,,,Matches
Adli Amine,maMAR,3.5,Leverkusen,22,2000,15.9,,10,,,,,,,,,,,6,,,,Matches
Agu Felix,ngNGA,2.3,Werder Bremen,22,1999,0.5,,0,,,,,,,,,,,0,,,,Matches
Ahamada Naouirou,frFRA,3.0,Stuttgart,20,2002,15.5,,11,,,,,,,,,,,8,,,,Matches
Ajorque Ludovic,frFRA,3.5,Mainz 05,28,1994,13.5,,4,,,,,,,,,,,1,,,,Matches
Akpoguma Kevin,ngNGA,2.0,Hoffenheim,27,1995,21.7,,43,,,,,,,,,,,23,,,,Matches
Alario Lucas,arARG,4.0,Eintracht Frankfurt,29,1992,3.7,,2,,,,,,,,,,,2,,,,Matches
Alidou Faride,deGER,4.0,Eintracht Frankfurt,21,2001,2.0,,5,,,,,,,,,,,1,,,,Matches
Álvarez Balanta Éder,coCOL,3.0,Schalke 04,29,1993,2.6,,4,,,,,,,,,,,3,,,,Matches
Ambros Lukáš,czCZE,3.0,Wolfsburg,18,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
Amiri Nadiem,deGER,3.4,Leverkusen,25,1996,10.9,,8,,,,,,,,,,,6,,,,Matches
Andrich Robert,deGER,3.0,Leverkusen,27,1994,26.7,,37,,,,,,,,,,,41,,,,Matches
Angeliño,esESP,3.0,Hoffenheim,25,1997,29.1,,24,,,,,,,,,,,27,,,,Matches
Anton Waldemar,deGER,2.0,Stuttgart,26,1996,32.6,,26,,,,,,,,,,,39,,,,Matches
Antwi-Adjei Christopher,ghGHA,3.5,Bochum,28,1994,22.0,,15,,,,,,,,,,,6,,,,Matches
Aránguiz Charles,clCHI,3.0,Leverkusen,33,1989,5.5,,8,,,,,,,,,,,7,,,,Matches
Arnold Maximilian,deGER,3.0,Wolfsburg,28,1994,30.7,,35,,,,,,,,,,,32,,,,Matches
Asano Takuma,jpJPN,3.4,Bochum,27,1994,19.0,,9,,,,,,,,,,,9,,,,Matches
Asllani Fisnik,xkKVX,4.0,Hoffenheim,19,2002,1.9,,0,,,,,,,,,,,4,,,,Matches
Aydin Mehmet,deGER,2.4,Schalke 04,20,2002,6.3,,17,,,,,,,,,,,10,,,,Matches
Azhil Ayman,maMAR,3.0,Leverkusen,21,2001,0.0,,0,,,,,,,,,,,0,,,,Matches
Azmoun Sardar,irIRN,3.5,Leverkusen,27,1995,10.3,,3,,,,,,,,,,,2,,,,Matches
Ba Sanoussy,deGER,4.0,RB Leipzig,18,2004,0.0,,0,,,,,,,,,,,0,,,,Matches
Bakker Mitchel,nlNED,2.4,Leverkusen,22,2000,18.4,,10,,,,,,,,,,,16,,,,Matches
Baku Ridle,deGER,2.3,Wolfsburg,24,1998,28.7,,24,,,,,,,,,,,22,,,,Matches
Barkok Aymen,maMAR,3.0,Mainz 05,24,1998,6.5,,9,,,,,,,,,,,2,,,,Matches
Barreiro Martins Leandro,luLUX,3.0,Mainz 05,22,2000,23.8,,39,,,,,,,,,,,43,,,,Matches
Bastião Dias Gil,ptPOR,4.0,Stuttgart,25,1996,4.4,,6,,,,,,,,,,,2,,,,Matches
Bauer Maximilian,deGER,2.0,Augsburg,22,2000,20.5,,16,,,,,,,,,,,24,,,,Matches
Baumann Oliver,deGER,1.0,Hoffenheim,32,1990,34.0,,0,,,,,,,,,,,0,,,,Matches
Baumgartl Timo,deGER,2.0,Union Berlin,26,1996,6.2,,7,,,,,,,,,,,2,,,,Matches
Baumgartlinger Julian,atAUT,3.0,Augsburg,34,1988,6.2,,4,,,,,,,,,,,4,,,,Matches
Baumgartner Christoph,atAUT,3.4,Hoffenheim,22,1999,28.5,,19,,,,,,,,,,,16,,,,Matches
Bazee Noah Joel Sarenren,ngNGA,3.5,Augsburg,25,1996,0.2,,0,,,,,,,,,,,0,,,,Matches
Bebou Ihlas,tgTOG,3.5,Hoffenheim,28,1994,15.7,,15,,,,,,,,,,,9,,,,Matches
Becker Sheraldo,srSUR,4.0,Union Berlin,27,1995,28.4,,6,,,,,,,,,,,2,,,,Matches
Behrens Kevin,deGER,4.0,Union Berlin,31,1991,17.1,,8,,,,,,,,,,,5,,,,Matches
Bell Stefan,deGER,2.0,Mainz 05,30,1991,26.6,,29,,,,,,,,,,,45,,,,Matches
Bellarabi Karim,deGER,3.0,Leverkusen,32,1990,0.9,,0,,,,,,,,,,,0,,,,Matches
Bellingham Jude,engENG,3.0,Dortmund,19,2003,29.9,,43,,,,,,,,,,,32,,,,Matches
Bensebaini Ramy,dzALG,2.0,Gladbach,27,1995,27.6,,22,,,,,,,,,,,33,,,,Matches
