player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abraham Tammy,engENG,4.0,Roma,23,1997,34.3,,13,,,,,,,,,,,5,,,,Matches
Acerbi Francesco,itITA,2.0,Lazio,33,1988,28.2,,12,,,,,,,,,,,37,,,,Matches
Aebischer Michel,chSUI,3.0,Bologna,24,1997,4.9,,5,,,,,,,,,,,7,,,,Matches
Afena-Gyan Felix,ghGHA,3.4,Roma,18,2003,7.4,,3,,,,,,,,,,,3,,,,Matches
Agudelo Kevin,coCOL,3.4,Spezia,22,1998,13.7,,27,,,,,,,,,,,7,,,,Matches
Aina Ola,ngNGA,3.0,Torino,24,1996,16.0,,20,,,,,,,,,,,29,,,,Matches
Aké Marley,frFRA,3.5,Juventus,20,2001,0.9,,0,,,,,,,,,,,1,,,,Matches
Akpa-Akpro Jean-Daniel,ciCIV,3.0,Lazio,28,1992,3.5,,10,,,,,,,,,,,2,,,,Matches
Alberto Luis,esESP,3.0,Lazio,28,1992,26.1,,17,,,,,,,,,,,13,,,,Matches
Altare Giorgio,itITA,2.0,Cagliari,22,1998,16.3,,27,,,,,,,,,,,30,,,,Matches
Amey Wisdom,itITA,2.0,Bologna,15,2005,0.8,,1,,,,,,,,,,,3,,,,Matches
Amian Kelvin,frFRA,2.0,Spezia,23,1998,29.4,,43,,,,,,,,,,,32,,,,Matches
Amiri Nadiem,deGER,3.0,Genoa,24,1996,7.6,,4,,,,,,,,,,,0,,,,Matches
Ampadu Ethan,wlsWAL,2.4,Venezia,20,2000,25.4,,44,,,,,,,,,,,53,,,,Matches
Amrabat Sofyan,maMAR,3.0,Fiorentina,24,1996,10.5,,14,,,,,,,,,,,6,,,,Matches
Anderson Felipe,brBRA,4.0,Lazio,28,1993,32.1,,44,,,,,,,,,,,20,,,,Matches
Annan Ebenezer,ghGHA,2.0,Bologna,18,2002,0.3,,1,,,,,,,,,,,1,,,,Matches
Ansaldi Cristian,arARG,3.0,Torino,34,1986,7.7,,8,,,,,,,,,,,6,,,,Matches
Antiste Janis,frFRA,3.5,Spezia,18,2002,8.8,,11,,,,,,,,,,,3,,,,Matches
Aramu Mattia,itITA,3.4,Venezia,26,1995,23.3,,14,,,,,,,,,,,7,,,,Matches
Arnautović Marko,atAUT,4.0,Bologna,32,1989,29.9,,10,,,,,,,,,,,7,,,,Matches
Arslan Tolgay,deGER,3.0,Udinese,30,1990,18.4,,21,,,,,,,,,,,11,,,,Matches
Askildsen Kristoffer,noNOR,3.0,Sampdoria,20,2001,8.4,,8,,,,,,,,,,,15,,,,Matches
Asllani Kristjan,alALB,3.0,Empoli,19,2002,15.0,,12,,,,,,,,,,,19,,,,Matches
Audero Emil,idIDN,1.0,Sampdoria,24,1997,28.4,,1,,,,,,,,,,,2,,,,Matches
Augello Tommaso,itITA,2.0,Sampdoria,26,1994,26.6,,21,,,,,,,,,,,31,,,,Matches
Aya Ramzi,itITA,2.0,Salernitana,30,1990,1.5,,1,,,,,,,,,,,0,,,,Matches
Ayhan Kaan,trTUR,2.0,Sassuolo,26,1994,15.0,,13,,,,,,,,,,,16,,,,Matches
Badelj Milan,hrCRO,3.0,Genoa,32,1989,31.6,,40,,,,,,,,,,,88,,,,Matches
Bagnolini Nicola,itITA,1.0,Bologna,17,2004,0.0,,0,,,,,,,,,,,0,,,,Matches
Bah Issa,luLUX,4.0,Venezia,19,2002,0.1,,0,,,,,,,,,,,0,,,,Matches
Bajrami Nedim,alALB,3.0,Empoli,22,1999,22.8,,15,,,,,,,,,,,4,,,,Matches
Bakayoko Tiemoué,frFRA,3.0,Milan,26,1994,5.6,,13,,,,,,,,,,,8,,,,Matches
Baldanzi Tommaso,itITA,3.0,Empoli,18,2003,0.2,,0,,,,,,,,,,,0,,,,Matches
Baldé Keita,snSEN,4.0,Cagliari,26,1995,13.7,,3,,,,,,,,,,,5,,,,Matches
Ballo-Touré Fodé,snSEN,2.0,Milan,24,1997,5.0,,14,,,,,,,,,,,4,,,,Matches
Bandinelli Filippo,itITA,3.0,Empoli,26,1995,21.7,,24,,,,,,,,,,,12,,,,Matches
Bani Mattia,itITA,2.0,Genoa,27,1993,13.5,,13,,,,,,,,,,,21,,,,Matches
Barák Antonín,czCZE,3.4,Hellas Verona,26,1994,26.0,,9,,,,,,,,,,,6,,,,Matches
Bardi Francesco,itITA,1.0,Bologna,29,1992,2.0,,0,,,,,,,,,,,0,,,,Matches
Barella Nicolò,itITA,3.0,Inter,24,1997,32.4,,42,,,,,,,,,,,19,,,,Matches
Barrow Musa,gmGAM,3.4,Bologna,22,1998,23.7,,5,,,,,,,,,,,6,,,,Matches
