Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
400,Aihen Muñoz,es ESP,DF,Real Sociedad,24,1997,23,20,1756,19.5,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,La Liga,2022-23,6,2,33.3,0.31,0.10,0.00,0.00,,,,,,,,
401,Iker Muñoz,es ESP,MF,Osasuna,19,2002,8,2,254,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,2,1,50.0,0.71,0.35,0.00,0.00,,,,,,,,
402,Pablo Muñoz,es ESP,MF,Rayo Vallecano,18,2003,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,0,0,,0.00,0.00,,,,,,,,,,
403,Vedat Muriqi,xk KVX,FW,Mallorca,28,1994,35,34,2937,32.6,15,3,18,11,4,5,6,1,0.46,0.09,0.55,0.34,0.43,Matches,La Liga,2022-23,75,30,40.0,2.30,0.92,0.15,0.37,,,,,,,,
404,Yunus Musah,us USA,MF,Valencia,19,2002,33,26,2110,23.4,0,2,2,0,0,0,10,1,0.00,0.09,0.09,0.00,0.09,Matches,La Liga,2022-23,22,3,13.6,0.94,0.13,0.00,0.00,,,,,,,,
405,Francisco Mwepu,zm ZAM,FW,Cádiz,22,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,0,0,,0.00,0.00,,,,,,,,,,
406,Nacho,es ESP,DF,Real Madrid,32,1990,27,18,1637,18.2,1,1,2,1,0,0,7,0,0.05,0.05,0.11,0.05,0.11,Matches,La Liga,2022-23,9,4,44.4,0.49,0.22,0.11,0.25,,,,,,,,
407,Juanjo Narváez,co COL,MF,Valladolid,27,1995,5,1,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,3,0,0.0,1.82,0.00,0.00,,,,,,,,,
408,Matija Nastasić,rs SRB,DF,Mallorca,29,1993,14,10,906,10.1,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,La Liga,2022-23,4,2,50.0,0.40,0.20,0.25,0.50,,,,,,,,
409,Roberto Navarro,es ESP,MF,Real Sociedad,20,2002,17,1,351,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,La Liga,2022-23,12,5,41.7,3.08,1.28,0.00,0.00,,,,,,,,
