player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Dost Bas,nlNED,4.0,Utrecht,33,1989,15.0,2,0,0,9,3,5,0,2,8,,,0,Matches
Douiri Achraf,nlNED,2.3,Volendam,22,1999,4.2,2,0,0,8,3,0,7,5,12,,,0,Matches
Douvikas Anastasios,grGRE,4.0,Utrecht,22,1999,23.8,1,0,0,21,41,4,11,3,18,,,0,Matches
Driouech Couhaib,maMAR,3.4,Excelsior,20,2002,26.0,5,0,0,33,10,11,60,17,32,,,0,Matches
Drommel Joel,nlNED,1.0,PSV,25,1996,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Duarte Deroy,cvCPV,3.0,Fortuna Sittard,23,1999,15.9,3,0,0,7,8,0,5,26,11,,,0,Matches
Duarte Laros,cvCPV,3.0,Groningen,25,1997,20.0,0,1,0,13,19,0,48,15,16,,,0,Matches
Duelund Mikkel,dkDEN,3.4,NEC Nijmegen,25,1997,10.3,1,0,0,15,13,0,3,6,13,,,0,Matches
Duijl Billy,nlNED,2.0,Volendam,16,2005,1.7,0,0,0,0,0,0,0,3,1,,,0,Matches
Duinen Mike,nlNED,3.5,Excelsior,30,1991,11.1,4,0,0,12,10,1,3,6,8,,,0,Matches
Eduardo Sánchez Jorge,mxMEX,2.0,Ajax,24,1997,12.3,3,0,0,19,8,3,28,17,25,,,0,Matches
Edvardsen Oliver,noNOR,3.0,Go Ahead Eagles,23,1999,22.6,3,0,0,24,49,2,47,27,24,,,0,Matches
Eerdhuijzen Mike,nlNED,2.0,Sparta Rotterdam,22,2000,13.1,5,0,0,11,8,0,6,25,18,,,0,Matches
Eijgenraam Joshua,nlNED,3.0,Excelsior,21,2001,6.6,2,0,0,9,0,0,1,13,8,,,0,Matches
Eiting Carel,nlNED,3.0,Volendam,24,1998,33.7,4,0,0,27,21,2,154,34,40,,,0,Matches
Embaló Úmaro,ptPOR,3.4,Fortuna Sittard,21,2001,16.3,5,0,0,18,23,10,51,7,22,,,0,Matches
Engels Mario,deGER,3.5,Sparta Rotterdam,28,1993,0.6,1,0,0,2,1,1,3,0,0,,,0,Matches
Erdoğan Doğan,trTUR,2.4,Fortuna Sittard,25,1996,18.8,4,2,1,18,16,0,14,17,28,,,0,Matches
Everink Luca,nlNED,2.0,Twente,21,2001,0.6,1,0,0,4,0,0,2,0,4,,,0,Matches
Evjen Håkon,noNOR,3.0,AZ Alkmaar,22,2000,5.7,1,0,0,3,4,0,18,3,7,,,0,Matches
Ewijk Milan,nlNED,2.3,Heerenveen,21,2000,34.0,1,0,0,20,40,4,118,46,38,,,0,Matches
Eyongo Raphaël,nlNED,4.0,Excelsior,19,2003,0.9,0,0,0,0,0,1,0,0,0,,,0,Matches
Fannar Baldursson Andri,isISL,3.0,NEC Nijmegen,20,2002,2.4,2,0,0,6,2,0,0,5,6,,,0,Matches
Fein Adrian,deGER,3.0,Excelsior,23,1999,8.1,2,0,0,8,2,0,3,3,6,,,0,Matches
Felida Kevin,cwCUW,3.0,RKC Waalwijk,22,1999,0.8,0,0,0,2,1,0,1,0,3,,,0,Matches
Ferati Arianit,xkKVX,3.0,Fortuna Sittard,24,1997,16.4,5,0,0,25,22,0,26,21,30,,,0,Matches
Fernandes Derensili,nlNED,3.5,Utrecht,21,2001,0.5,0,0,0,2,0,0,4,0,0,,,0,Matches
Fernandes Rashaan,nlNED,3.0,Go Ahead Eagles,23,1998,8.0,1,1,0,11,8,0,23,2,9,,,0,Matches
Fitz-Jim Kian,nlNED,3.0,Ajax,19,2003,0.2,0,0,0,2,0,0,0,0,0,,,0,Matches
Flamingo Ryan,nlNED,2.3,Vitesse,19,2002,29.8,4,0,0,27,16,1,12,54,29,,,0,Matches
Flint Josh,engENG,2.0,Volendam,21,2000,7.8,2,0,0,10,4,0,2,7,8,,,0,Matches
Fofana Fodé,nlNED,4.0,PSV,19,2002,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Fontán José,esESP,2.0,Go Ahead Eagles,22,2000,12.3,5,0,0,14,10,0,25,14,10,,,0,Matches
Foor Navarone,nlNED,3.4,Cambuur,30,1992,13.8,2,0,0,9,11,3,84,8,12,,,0,Matches
Gaari Juriën,cwCUW,2.0,RKC Waalwijk,28,1993,32.4,8,0,0,42,14,0,14,37,36,,,0,Matches
Gakpo Cody,nlNED,3.4,PSV,23,1999,12.5,0,0,0,9,29,13,135,8,10,,,0,Matches
Gassel Stijn,nlNED,1.0,Excelsior,25,1996,33.7,0,0,0,0,0,0,0,1,0,,,1,Matches
Geertruida Lutsharel,nlNED,2.3,Feyenoord,22,2000,28.6,1,0,0,16,15,1,12,29,34,,,0,Matches
Gelderen Liam,srSUR,2.3,Groningen,21,2001,11.9,4,0,0,15,6,1,18,15,25,,,0,Matches
Ghazi Anwar,nlNED,3.5,PSV,27,1995,13.1,4,1,1,10,16,8,72,3,7,,,0,Matches
Giménez Santiago,mxMEX,4.0,Feyenoord,21,2001,21.4,3,0,0,19,27,13,1,3,5,,,0,Matches
Ginkel Marco,nlNED,3.0,Vitesse,29,1992,11.9,2,0,0,13,11,0,8,1,6,,,0,Matches
Ginkel Marco,nlNED,3.0,PSV,29,1992,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Gladon Paul,nlNED,4.0,Fortuna Sittard,30,1992,15.4,1,0,0,28,25,6,6,0,4,,,0,Matches
Godts Mika,beBEL,3.5,Ajax,17,2005,0.2,0,0,0,0,1,0,1,0,0,,,0,Matches
Goes Wouter,nlNED,2.0,AZ Alkmaar,18,2004,7.3,1,0,0,6,3,1,0,7,4,,,0,Matches
