Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
433,Andreas Skov Olsen,dk DEN,"MF,FW",Club Brugge,22,1999,21,16,1392,15.5,7,5,12,7,0,0,3,0,0.45,0.32,0.78,0.45,0.78,Matches,Belgian Pro League,2022-23,52,20,38.5,3.36,1.29,0.13,0.35,,,,,,,,
434,Islam Slimani,dz ALG,FW,Anderlecht,34,1988,10,7,631,7.0,8,0,8,6,2,2,2,0,1.14,0.00,1.14,0.86,0.86,Matches,Belgian Pro League,2022-23,31,16,51.6,4.42,2.28,0.19,0.38,,,,,,,,
435,Matte Smets,be BEL,DF,Sint-Truiden,18,2004,14,12,1070,11.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,4,2,50.0,0.34,0.17,0.00,0.00,,,,,,,,
436,Milan Smits,be BEL,MF,Antwerp,17,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,0,0,,0.00,0.00,,,,,,,,,,
437,Eduard Sobol,ua UKR,"MF,DF",Club Brugge,27,1995,9,5,455,5.1,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,Belgian Pro League,2022-23,7,3,42.9,1.38,0.59,0.14,0.33,,,,,,,,
438,Frederic Soelle Soelle,be BEL,FW,Mechelen,16,2005,12,1,187,2.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,5,0,0.0,2.41,0.00,0.00,,,,,,,,,
439,Noah Solheid,be BEL,DF,Seraing,19,2003,3,3,228,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Belgian Pro League,2022-23,0,0,,0.00,0.00,,,,,,,,,,
440,Thibo Somers,be BEL,"MF,FW",Cercle Brugge,23,1999,31,31,2616,29.1,5,6,11,5,0,0,5,0,0.17,0.21,0.38,0.17,0.38,Matches,Belgian Pro League,2022-23,45,16,35.6,1.55,0.55,0.11,0.31,,,,,,,,
441,Yira Sor,ng NGA,"MF,FW",Genk,22,2000,14,2,349,3.9,2,0,2,2,0,0,0,0,0.52,0.00,0.52,0.52,0.52,Matches,Belgian Pro League,2022-23,11,4,36.4,2.84,1.03,0.18,0.50,,,,,,,,
442,Sambou Soumano,sn SEN,FW,Eupen,21,2001,7,1,184,2.0,1,0,1,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,Matches,Belgian Pro League,2022-23,5,2,40.0,2.45,0.98,0.20,0.50,,,,,,,,
