Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
382,Antonio Mirante,it ITA,GK,Milan,40,1983,2,2,177,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,3,1.53,8,5,62.5,0,0.0,
383,Fabio Miretti,it ITA,MF,Juventus,19,2003,25,16,1103,12.3,1,1,2,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches,Serie A,2023-24,20,3,15.0,1.63,0.24,0.05,0.33,,,,,,,,
384,Filippo Missori,it ITA,MF,Sassuolo,19,2004,8,2,266,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,4,1,25.0,1.35,0.34,0.00,0.00,,,,,,,,
385,Stefan Mitrović,rs SRB,MF,Hellas Verona,20,2002,10,4,391,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,7,1,14.3,1.61,0.23,0.00,0.00,,,,,,,,
386,Henrikh Mkhitaryan,am ARM,MF,Inter,34,1989,36,35,2785,30.9,2,8,10,2,0,0,4,0,0.06,0.26,0.32,0.06,0.32,Matches,Serie A,2023-24,39,6,15.4,1.26,0.19,0.05,0.33,,,,,,,,
387,Ilario Monterisi,it ITA,DF,Frosinone,21,2001,24,16,1469,16.3,2,2,4,2,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches,Serie A,2023-24,5,3,60.0,0.31,0.18,0.40,0.67,,,,,,,,
388,Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37,37,3330,37.0,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,49,1.32,153,105,69.3,8,21.6,0.0
389,Nikola Moro,hr CRO,"MF,FW",Bologna,25,1998,23,10,840,9.3,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,Matches,Serie A,2023-24,11,1,9.1,1.18,0.11,0.09,1.00,,,,,,,,
390,Dany Mota,pt POR,"MF,FW",Monza,25,1998,34,24,2049,22.8,4,3,7,4,0,0,3,0,0.18,0.13,0.31,0.18,0.31,Matches,Serie A,2023-24,38,12,31.6,1.67,0.53,0.11,0.33,,,,,,,,
391,Samuele Mulattieri,it ITA,FW,Sassuolo,22,2000,27,1,462,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,13,5,38.5,2.53,0.97,0.00,0.00,,,,,,,,
392,Luis Muriel,co COL,FW,Atalanta,32,1991,18,2,409,4.5,2,1,3,2,0,0,0,0,0.44,0.22,0.66,0.44,0.66,Matches,Serie A,2023-24,23,9,39.1,5.06,1.98,0.09,0.22,,,,,,,,
393,Yunus Musah,us USA,MF,Milan,20,2002,30,13,1478,16.4,0,2,2,0,0,0,5,0,0.00,0.12,0.12,0.00,0.12,Matches,Serie A,2023-24,14,5,35.7,0.85,0.30,0.00,0.00,,,,,,,,
394,Juan Musso,ar ARG,GK,Atalanta,29,1994,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,12,1.09,33,23,69.7,6,54.5,0.0
395,Kingstone Mutandwa,zm ZAM,FW,Cagliari,20,2003,5,0,39,0.4,1,0,1,1,0,0,0,0,2.31,0.00,2.31,2.31,2.31,Matches,Serie A,2023-24,2,1,50.0,4.62,2.31,0.50,1.00,,,,,,,,
396,Obite N'Dicka,ci CIV,DF,Roma,23,1999,25,25,2168,24.1,0,3,3,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matches,Serie A,2023-24,9,1,11.1,0.37,0.04,0.00,0.00,,,,,,,,
397,Nahitan Nández,uy URU,"MF,DF",Cagliari,27,1995,33,29,2341,26.0,2,3,5,1,1,1,7,0,0.08,0.12,0.19,0.04,0.15,Matches,Serie A,2023-24,23,7,30.4,0.88,0.27,0.04,0.14,,,,,,,,
398,Natan,br BRA,DF,Napoli,22,2001,14,11,952,10.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,6,1,16.7,0.57,0.09,0.00,0.00,,,,,,,,
399,Lapo Nava,it ITA,GK,Milan,19,2004,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,1,30.00,2,1,50.0,0,,
400,Michel Ndary Adopo,fr FRA,MF,Atalanta,23,2000,10,0,109,1.2,0,1,1,0,0,0,0,0,0.00,0.83,0.83,0.00,0.83,Matches,Serie A,2023-24,1,1,100.0,0.83,0.83,0.00,0.00,,,,,,,,
401,Dan Ndoye,ch SUI,"MF,FW",Bologna,22,2000,32,20,1771,19.7,1,1,2,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,Serie A,2023-24,41,16,39.0,2.08,0.81,0.02,0.06,,,,,,,,
402,Cyril Ngonge,be BEL,"MF,FW",Hellas Verona,23,2000,19,17,1431,15.9,6,2,8,6,0,0,4,0,0.38,0.13,0.50,0.38,0.50,Matches,Serie A,2023-24,42,14,33.3,2.64,0.88,0.14,0.43,,,,,,,,
403,Cyril Ngonge,be BEL,FW,Napoli,23,2000,13,1,315,3.5,1,0,1,1,0,0,2,0,0.29,0.00,0.29,0.29,0.29,Matches,Serie A,2023-24,17,5,29.4,4.86,1.43,0.06,0.20,,,,,,,,
404,M'Baye Niang,sn SEN,FW,Empoli,28,1994,14,5,708,7.9,6,1,7,2,4,4,1,0,0.76,0.13,0.89,0.25,0.38,Matches,Serie A,2023-24,24,9,37.5,3.05,1.14,0.08,0.22,,,,,,,,
405,Hans Nicolussi Caviglia,it ITA,MF,Juventus,23,2000,8,3,268,3.0,0,1,1,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches,Serie A,2023-24,3,0,0.0,1.01,0.00,0.00,,,,,,,,,
406,Joseph Nonge,be BEL,MF,Juventus,18,2005,2,0,24,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,,,,,,,,
407,Tijjani Noslin,nl NED,"FW,MF",Hellas Verona,24,1999,17,17,1339,14.9,5,4,9,5,0,0,2,0,0.34,0.27,0.60,0.34,0.60,Matches,Serie A,2023-24,36,15,41.7,2.42,1.01,0.14,0.33,,,,,,,,
408,Simeon Nwankwo,ng NGA,FW,Salernitana,31,1992,15,6,686,7.6,3,0,3,3,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,Serie A,2023-24,13,7,53.8,1.71,0.92,0.23,0.43,,,,,,,,
409,M'Bala Nzola,ao ANG,FW,Fiorentina,26,1996,33,15,1552,17.2,3,3,6,2,1,1,2,0,0.17,0.17,0.35,0.12,0.29,Matches,Serie A,2023-24,32,13,40.6,1.86,0.75,0.06,0.15,,,,,,,,
410,Adam Obert,sk SVK,DF,Cagliari,20,2002,17,10,941,10.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,3,3,100.0,0.29,0.29,0.00,0.00,,,,,,,,
411,Pedro Obiang,gq EQG,MF,Sassuolo,31,1992,8,5,453,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,2,0,0.0,0.40,0.00,0.00,,,,,,,,,
412,Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,44,2.10,112,74,67.0,1,4.8,0.0
413,Jens Odgaard,dk DEN,"MF,FW",Bologna,24,1999,10,5,431,4.8,2,0,2,2,0,0,1,0,0.42,0.00,0.42,0.42,0.42,Matches,Serie A,2023-24,11,2,18.2,2.30,0.42,0.18,1.00,,,,,,,,
414,Noah Okafor,ch SUI,"FW,MF",Milan,23,2000,28,6,887,9.9,6,2,8,6,0,0,1,0,0.61,0.20,0.81,0.61,0.81,Matches,Serie A,2023-24,22,14,63.6,2.23,1.42,0.27,0.43,,,,,,,,
415,David Okereke,ng NGA,"FW,MF",Torino,25,1997,9,3,252,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,8,5,62.5,2.86,1.79,0.00,0.00,,,,,,,,
416,Caleb Okoli,it ITA,DF,Frosinone,22,2001,34,32,2914,32.4,0,1,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,Matches,Serie A,2023-24,13,4,30.8,0.40,0.12,0.00,0.00,,,,,,,,
417,Maduka Okoye,ng NGA,GK,Udinese,23,1999,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,25,1.19,87,65,74.7,4,19.0,0.0
418,Mathías Olivera,uy URU,DF,Napoli,25,1997,23,18,1569,17.4,1,1,2,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,Matches,Serie A,2023-24,12,1,8.3,0.69,0.06,0.08,1.00,,,,,,,,
419,Gaetano Oristanio,it ITA,"FW,MF",Cagliari,20,2002,25,11,1104,12.3,2,1,3,2,0,0,1,0,0.16,0.08,0.24,0.16,0.24,Matches,Serie A,2023-24,23,5,21.7,1.87,0.41,0.09,0.40,,,,,,,,
420,Riccardo Orsolini,it ITA,MF,Bologna,26,1997,33,19,1792,19.9,10,2,12,8,2,3,2,0,0.50,0.10,0.60,0.40,0.50,Matches,Serie A,2023-24,59,25,42.4,2.96,1.26,0.14,0.32,,,,,,,,
421,Victor Osimhen,ng NGA,FW,Napoli,24,1998,25,22,1982,22.0,15,3,18,12,3,5,6,1,0.68,0.14,0.82,0.54,0.68,Matches,Serie A,2023-24,90,41,45.6,4.09,1.86,0.13,0.29,,,,,,,,
422,Remi Oudin,fr FRA,"MF,FW",Lecce,26,1996,31,21,1819,20.2,3,2,5,3,0,0,3,0,0.15,0.10,0.25,0.15,0.25,Matches,Serie A,2023-24,34,8,23.5,1.68,0.40,0.09,0.38,,,,,,,,
423,Anthony Oyono,ga GAB,"DF,MF",Frosinone,22,2001,16,14,1198,13.3,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,Serie A,2023-24,4,1,25.0,0.30,0.08,0.00,0.00,,,,,,,,
424,Simone Pafundi,it ITA,FW,Udinese,17,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2023-24,0,0,,0.00,0.00,,,,,,,,,,
