player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abdelhamid Yunis,maMAR,2.0,Reims,34,1987,37.0,6,0,0,48,27,2,5,62,52,,,0,Matches
Abdelli Himad,dzALG,3.4,Angers,22,1999,23.7,3,0,0,45,31,1,35,28,36,,,0,Matches
Abdul Samed Salis,ghGHA,3.0,Lens,22,2000,32.2,6,1,0,71,39,0,10,33,30,,,1,Matches
Abergel Laurent,frFRA,3.0,Lorient,29,1993,26.0,7,1,1,28,29,0,6,32,49,,,0,Matches
Abline Matthis,frFRA,4.0,Auxerre,19,2003,9.0,1,0,0,15,11,5,6,1,2,,,0,Matches
Abline Matthis,frFRA,4.0,Rennes,19,2003,1.2,0,0,0,3,5,1,2,2,1,,,0,Matches
Aboukhlal Zakaria,maMAR,3.4,Toulouse,22,2000,27.5,4,0,0,41,46,20,30,21,22,,,0,Matches
Achi Mohamed,frFRA,3.0,Nantes,20,2002,0.4,0,0,0,2,0,0,1,0,1,,,0,Matches
Adeline Martin,frFRA,3.0,Reims,18,2003,1.2,2,0,0,5,0,0,0,3,3,,,0,Matches
Agbadou Emmanuel,ciCIV,2.0,Reims,25,1997,26.5,5,3,0,29,6,0,2,31,50,,,1,Matches
Agoume Lucien,frFRA,3.0,Troyes,20,2002,12.2,5,0,0,30,8,1,9,25,23,,,0,Matches
Aguilar Ruben,frFRA,2.0,Monaco,29,1993,13.0,3,0,0,15,14,1,39,16,10,,,0,Matches
Ahmed Amar,seSWE,4.0,Troyes,18,2004,0.2,0,0,0,1,1,0,0,1,1,,,0,Matches
Aholou Jean-Eudes,ciCIV,3.0,Strasbourg,28,1994,14.4,4,1,0,38,23,1,5,21,20,,,0,Matches
Ajorque Ludovic,frFRA,4.0,Strasbourg,28,1994,8.6,1,0,0,14,8,1,0,1,4,,,0,Matches
