Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Rodrigo Abascal,uy URU,DF,Boavista,29,1994,29,29,2479,27.5,2,0,2,2,0,0,8,0,0.07,0.00,0.07,0.07,0.07,Matches,Primeira Liga,2023-24,12,4,33.3,0.44,0.15,0.17,0.50,,,,,,,,
2,Antonio Adán,es ESP,GK,Sporting CP,36,1987,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2023-24,0,0,,0.00,0.00,,,22,1.00,51,33,64.7,9,40.9,0.0
3,Dennis Adeniran,eng ENG,MF,Portimonense,24,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2023-24,0,0,,0.00,0.00,,,,,,,,,,
4,Martin Agirregabiria,es ESP,DF,Famalicão,27,1996,24,13,1207,13.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2023-24,4,1,25.0,0.30,0.07,0.00,0.00,,,,,,,,
5,Salvador Agra,pt POR,"MF,DF",Boavista,31,1991,31,31,2459,27.3,3,1,4,3,0,0,7,0,0.11,0.04,0.15,0.11,0.15,Matches,Primeira Liga,2023-24,27,11,40.7,0.99,0.40,0.11,0.27,,,,,,,,
6,Matheus Aiás,br BRA,FW,Moreirense,26,1996,18,5,477,5.3,2,0,2,2,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches,Primeira Liga,2023-24,15,7,46.7,2.83,1.32,0.13,0.29,,,,,,,,
7,Alan,br BRA,MF,Moreirense,23,2000,33,29,2454,27.3,3,4,7,3,0,1,5,0,0.11,0.15,0.26,0.11,0.26,Matches,Primeira Liga,2023-24,45,13,28.9,1.65,0.48,0.07,0.23,,,,,,,,
8,Rafael Alcobia,pt POR,DF,Portimonense,20,2003,3,2,203,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Primeira Liga,2023-24,1,0,0.0,0.44,0.00,0.00,,,,,,,,,
9,Alemão,br BRA,DF,Portimonense,20,2002,27,27,2367,26.3,2,0,2,2,0,0,7,0,0.08,0.00,0.08,0.08,0.08,Matches,Primeira Liga,2023-24,10,3,30.0,0.38,0.11,0.20,0.67,,,,,,,,
10,Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,19,9,804,8.9,2,0,2,1,1,1,1,0,0.22,0.00,0.22,0.11,0.11,Matches,Primeira Liga,2023-24,14,4,28.6,1.57,0.45,0.07,0.25,,,,,,,,
