player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Roemeratoe Godfried,cwCUW,3.0,RKC Waalwijk,23,1999,25.9,,28,,,,,,,,,,,27,,,,Matches
Romeny Ole,idIDN,4.0,Utrecht,23,2000,5.8,,2,,,,,,,,,,,4,,,,Matches
Rommens Philippe,beBEL,3.0,Go Ahead Eagles,25,1997,18.0,,16,,,,,,,,,,,24,,,,Matches
Rooij Bart,nlNED,2.0,NEC Nijmegen,22,2001,21.9,,26,,,,,,,,,,,11,,,,Matches
Rooij Kaj,nlNED,3.0,Zwolle,22,2000,1.8,,2,,,,,,,,,,,0,,,,Matches
Room Eloy,cwCUW,1.0,Vitesse,34,1989,34.0,,0,,,,,,,,,,,2,,,,Matches
Roosken Ruben,nlNED,2.3,Heracles Almelo,23,2000,14.6,,29,,,,,,,,,,,24,,,,Matches
Rosanas Sergi,esESP,2.0,Sparta Rotterdam,22,2001,0.1,,0,,,,,,,,,,,0,,,,Matches
Rosario Rayvien,cwCUW,3.0,Sparta Rotterdam,19,2004,0.5,,3,,,,,,,,,,,0,,,,Matches
Rosier Loreintz,frFRA,3.0,Fortuna Sittard,24,1998,19.0,,32,,,,,,,,,,,41,,,,Matches
Ross Mathias,dkDEN,2.0,NEC Nijmegen,22,2001,11.6,,8,,,,,,,,,,,11,,,,Matches
Rossen Nils,nlNED,3.0,NEC Nijmegen,17,2005,0.3,,0,,,,,,,,,,,0,,,,Matches
Rots Daan,nlNED,3.4,Twente,22,2001,28.6,,37,,,,,,,,,,,16,,,,Matches
Rots Mats,nlNED,2.0,Twente,17,2006,0.8,,0,,,,,,,,,,,2,,,,Matches
Royo Manu,esESP,2.3,Almere City,29,1994,7.4,,7,,,,,,,,,,,4,,,,Matches
Rulli Gerónimo,arARG,1.0,Ajax,31,1992,6.3,,0,,,,,,,,,,,0,,,,Matches
Ryan Mathew,auAUS,1.0,AZ Alkmaar,31,1992,29.0,,1,,,,,,,,,,,0,,,,Matches
Saathof Pim,nlNED,2.0,Go Ahead Eagles,19,2003,0.6,,5,,,,,,,,,,,0,,,,Matches
Sadílek Michal,czCZE,3.0,Twente,24,1999,30.0,,23,,,,,,,,,,,31,,,,Matches
Sadiq Ibrahim,ghGHA,3.5,AZ Alkmaar,23,2000,7.3,,12,,,,,,,,,,,4,,,,Matches
Sagnan Modibo,mlMLI,2.0,Utrecht,24,1999,9.7,,13,,,,,,,,,,,8,,,,Matches
Şahin-Radlinger Samuel,atAUT,1.0,Almere City,30,1992,5.2,,0,,,,,,,,,,,0,,,,Matches
Sahraoui Osame,maMAR,3.4,Heerenveen,22,2001,27.4,,11,,,,,,,,,,,10,,,,Matches
Saibari Ismael,maMAR,3.0,PSV,22,2001,11.3,,21,,,,,,,,,,,6,,,,Matches
Saito Koki,jpJPN,3.4,Sparta Rotterdam,21,2001,18.4,,12,,,,,,,,,,,4,,,,Matches
Salah-Eddine Anass,maMAR,2.0,Ajax,21,2002,2.1,,3,,,,,,,,,,,1,,,,Matches
Salah-Eddine Anass,maMAR,2.0,Twente,21,2002,1.4,,6,,,,,,,,,,,1,,,,Matches
Sambo Shurandy,cwCUW,2.0,PSV,21,2001,2.1,,3,,,,,,,,,,,4,,,,Matches
Sampsted Alfons,isISL,2.0,Twente,25,1998,17.1,,20,,,,,,,,,,,29,,,,Matches
Sandler Philippe,nlNED,2.0,NEC Nijmegen,26,1997,20.8,,14,,,,,,,,,,,18,,,,Matches
Sandra Cisse,beBEL,3.0,Excelsior,19,2003,18.6,,15,,,,,,,,,,,15,,,,Matches
Sangaré Ibrahim,ciCIV,3.0,PSV,25,1997,2.0,,1,,,,,,,,,,,3,,,,Matches
Sankoh Mohamed,nlNED,4.0,Heracles Almelo,19,2003,12.1,,4,,,,,,,,,,,1,,,,Matches
Sano Kodai,jpJPN,3.0,NEC Nijmegen,19,2003,17.7,,17,,,,,,,,,,,18,,,,Matches
Satriano Antonio,itITA,4.0,Heracles Almelo,19,2003,1.8,,1,,,,,,,,,,,0,,,,Matches
Sauer Leo,skSVK,3.5,Feyenoord,17,2005,3.2,,1,,,,,,,,,,,1,,,,Matches
Schendelaar Jasper,nlNED,1.0,Zwolle,22,2000,32.0,,1,,,,,,,,,,,2,,,,Matches
Scheperman Sem,nlNED,2.4,Heracles Almelo,21,2002,7.8,,16,,,,,,,,,,,6,,,,Matches
