player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Aaronson Brenden,usUSA,3.4,Union Berlin,22,2000,14.1,3,1,1,15,25,5,22,2,18,,,0,Matches
Aaronson Paxten,usUSA,3.0,Eintracht Frankfurt,19,2003,1.1,0,0,0,6,4,0,0,0,2,,,0,Matches
Adamu Junior,atAUT,4.0,Freiburg,22,2001,1.2,0,0,0,7,4,2,1,0,1,,,0,Matches
Adamyan Sargis,amARM,3.5,Köln,30,1993,8.9,2,0,0,18,13,8,4,5,10,,,0,Matches
Adeyemi Karim,deGER,3.5,Dortmund,21,2002,10.1,6,1,1,20,19,1,24,3,14,,,0,Matches
Adli Amine,maMAR,3.4,Leverkusen,23,2000,10.0,5,0,0,14,28,7,22,5,7,,,0,Matches
Agu Felix,ngNGA,3.0,Werder Bremen,23,1999,17.9,2,0,0,15,44,2,46,13,29,,,0,Matches
Ajorque Ludovic,frFRA,4.0,Mainz 05,29,1994,15.1,4,0,0,28,15,5,3,4,2,,,0,Matches
Akpoguma Kevin,ngNGA,2.0,Hoffenheim,28,1995,12.2,7,0,0,15,14,0,4,19,18,,,0,Matches
Alidou Faride,deGER,3.4,Köln,22,2001,14.2,4,0,0,21,23,3,40,8,4,,,0,Matches
Alvero Skelly,frFRA,3.0,Werder Bremen,21,2002,1.4,1,0,0,2,3,0,0,1,4,,,0,Matches
Amiri Nadiem,deGER,3.0,Mainz 05,26,1996,14.6,5,0,0,11,32,1,124,14,11,,,0,Matches
Amiri Nadiem,deGER,3.0,Leverkusen,26,1996,1.0,0,0,0,1,3,0,1,0,2,,,0,Matches
Amoako Kofi,deGER,3.0,Wolfsburg,18,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Andrich Robert,deGER,2.4,Leverkusen,28,1994,18.8,4,0,0,23,14,0,14,20,18,,,0,Matches
Anton Waldemar,deGER,2.0,Stuttgart,27,1996,32.1,7,0,0,25,26,0,13,39,27,,,1,Matches
Antwi-Adjei Christopher,ghGHA,3.5,Bochum,29,1994,13.5,5,0,0,13,17,18,53,2,12,,,0,Matches
Arania Asaf,ilISR,4.0,Darmstadt 98,17,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Arnold Maximilian,deGER,3.0,Wolfsburg,29,1994,27.8,9,0,0,37,46,0,110,26,33,,,0,Matches
Arthur,brBRA,3.0,Leverkusen,20,2003,2.0,0,0,0,2,0,0,7,0,3,,,0,Matches
Asano Takuma,jpJPN,3.5,Bochum,28,1994,22.1,2,0,0,14,22,23,38,4,6,,,0,Matches
Asp Jensen Jonathan,dkDEN,4.0,Bayern Munich,17,2006,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Atubolu Noah,deGER,1.0,Freiburg,21,2002,34.0,0,0,0,0,3,0,0,0,0,,,0,Matches
Bader Matthias,deGER,2.4,Darmstadt 98,26,1997,20.0,1,0,0,17,41,1,31,25,27,,,0,Matches
Baku Ridle,deGER,2.4,Wolfsburg,25,1998,22.4,4,0,0,24,35,3,54,23,24,,,0,Matches
Bamba Samuel,deGER,4.0,Dortmund,19,2004,0.5,0,0,0,1,1,0,4,1,1,,,0,Matches
Barkok Aymen,maMAR,3.0,Mainz 05,25,1998,3.6,2,0,0,15,3,0,14,2,5,,,0,Matches
Barreiro Martins Leandro,luLUX,3.0,Mainz 05,23,2000,29.0,8,0,0,57,52,3,6,33,42,,,0,Matches
