player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abanda Leroy,frFRA,2.4,Seraing,22,2000,7.6,,9,,,,,,,,,,,20,,,,Matches
Abu Francis,ghGHA,3.0,Cercle Brugge,21,2001,18.3,,37,,,,,,,,,,,29,,,,Matches
Adingra Simon,ciCIV,3.4,Union SG,20,2002,21.2,,18,,,,,,,,,,,11,,,,Matches
Agbor Brian,cmCMR,2.0,Gent,21,2001,0.7,,1,,,,,,,,,,,2,,,,Matches
Agyei Enock,beBEL,3.4,Mechelen,17,2005,3.7,,3,,,,,,,,,,,0,,,,Matches
Akbunar Halil,trTUR,3.0,Westerlo,28,1993,8.5,,10,,,,,,,,,,,3,,,,Matches
Albanese Alessandro,beBEL,3.4,Oostende,22,2000,6.2,,14,,,,,,,,,,,8,,,,Matches
Alderweireld Toby,beBEL,2.0,Antwerp,33,1989,30.0,,14,,,,,,,,,,,21,,,,Matches
Alfonso,mzMOZ,3.0,Oostende,22,1999,14.4,,32,,,,,,,,,,,25,,,,Matches
Alloh Teddy,frFRA,2.3,Eupen,20,2002,4.0,,3,,,,,,,,,,,6,,,,Matches
Almeida Dinis,ptPOR,2.0,Antwerp,27,1995,3.5,,5,,,,,,,,,,,1,,,,Matches
Álvarez Balanta Éder,coCOL,3.0,Club Brugge,29,1993,3.1,,11,,,,,,,,,,,4,,,,Matches
Alzate Steven,coCOL,3.0,Standard Liège,23,1998,21.9,,37,,,,,,,,,,,20,,,,Matches
Amallah Selim,maMAR,3.4,Standard Liège,25,1996,8.8,,9,,,,,,,,,,,8,,,,Matches
Ambrose Thierry,gpGLP,4.0,Oostende,25,1997,25.1,,13,,,,,,,,,,,2,,,,Matches
Amir Murillo Michael,paPAN,2.3,Anderlecht,26,1996,27.5,,27,,,,,,,,,,,24,,,,Matches
Amuzu Francis,beBEL,3.5,Anderlecht,22,1999,25.5,,15,,,,,,,,,,,11,,,,Matches
Andreou Stelios,cyCYP,2.0,Charleroi,20,2002,20.0,,24,,,,,,,,,,,40,,,,Matches
Angulo Nilson,ecECU,3.5,Anderlecht,19,2003,0.3,,1,,,,,,,,,,,0,,,,Matches
Arase Kelvin,atAUT,3.0,Oostende,23,1999,5.4,,12,,,,,,,,,,,4,,,,Matches
Arnstad Kristian,noNOR,3.0,Anderlecht,18,2003,14.0,,19,,,,,,,,,,,17,,,,Matches
Arokodare Tolu,ngNGA,4.0,Genk,21,2000,1.5,,2,,,,,,,,,,,0,,,,Matches
Arteaga Gerardo,mxMEX,2.0,Genk,23,1998,31.2,,36,,,,,,,,,,,49,,,,Matches
Ashimeru Majeed,ghGHA,3.0,Anderlecht,24,1997,20.5,,33,,,,,,,,,,,28,,,,Matches
Atanga David,ghGHA,3.5,Oostende,25,1996,13.9,,16,,,,,,,,,,,7,,,,Matches
Atemona Christalino,deGER,2.3,Kortrijk,20,2002,6.0,,7,,,,,,,,,,,8,,,,Matches
Audoor Lynnt,beBEL,3.0,Club Brugge,18,2003,0.9,,1,,,,,,,,,,,1,,,,Matches
Avenatti Felipe,uyURU,4.0,Kortrijk,29,1993,21.6,,10,,,,,,,,,,,3,,,,Matches
Ávila Gastón,arARG,2.0,Antwerp,20,2001,10.9,,23,,,,,,,,,,,29,,,,Matches
Azzouzi Oussama,maMAR,3.0,Union SG,21,2001,5.7,,8,,,,,,,,,,,16,,,,Matches
Ba Abou-Malal,frFRA,3.0,Seraing,24,1998,7.3,,4,,,,,,,,,,,18,,,,Matches
Badji Youssouph,snSEN,4.0,Charleroi,20,2001,13.2,,6,,,,,,,,,,,3,,,,Matches
Bafdili Bilal,beBEL,3.0,Mechelen,17,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
Bager Jonas,dkDEN,2.0,Charleroi,26,1996,19.1,,31,,,,,,,,,,,36,,,,Matches
