player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abanda Leroy,frFRA,2.4,Seraing,22,2000,7.6,2,0,0,11,3,3,32,20,9,,,0,Matches
Abu Francis,ghGHA,3.0,Cercle Brugge,21,2001,18.3,4,0,0,34,21,0,7,29,37,,,0,Matches
Adingra Simon,ciCIV,3.4,Union SG,20,2002,21.2,1,1,0,18,19,12,90,11,18,,,0,Matches
Agbor Brian,cmCMR,2.0,Gent,21,2001,0.7,0,0,0,0,0,0,2,2,1,,,0,Matches
Agyei Enock,beBEL,3.4,Mechelen,17,2005,3.7,0,0,0,1,11,1,3,0,3,,,0,Matches
Akbunar Halil,trTUR,3.0,Westerlo,28,1993,8.5,3,0,0,14,5,2,29,3,10,,,0,Matches
Albanese Alessandro,beBEL,3.4,Oostende,22,2000,6.2,3,2,1,9,8,3,21,8,14,,,0,Matches
Alderweireld Toby,beBEL,2.0,Antwerp,33,1989,30.0,5,0,0,20,3,0,6,21,14,,,0,Matches
Alfonso,mzMOZ,3.0,Oostende,22,1999,14.4,4,0,0,23,9,0,3,25,32,,,0,Matches
Alloh Teddy,frFRA,2.3,Eupen,20,2002,4.0,2,0,0,7,5,0,2,6,3,,,0,Matches
Almeida Dinis,ptPOR,2.0,Antwerp,27,1995,3.5,2,0,0,3,0,0,0,1,5,,,0,Matches
Álvarez Balanta Éder,coCOL,3.0,Club Brugge,29,1993,3.1,0,0,0,4,6,0,1,4,11,,,0,Matches
Alzate Steven,coCOL,3.0,Standard Liège,23,1998,21.9,5,0,0,26,30,1,2,20,37,,,0,Matches
Amallah Selim,maMAR,3.4,Standard Liège,25,1996,8.8,4,1,1,16,19,1,3,8,9,,,0,Matches
Ambrose Thierry,gpGLP,4.0,Oostende,25,1997,25.1,7,0,0,26,50,20,44,2,13,,,0,Matches
Amir Murillo Michael,paPAN,2.3,Anderlecht,26,1996,27.5,3,0,0,20,20,11,48,24,27,,,0,Matches
Amuzu Francis,beBEL,3.5,Anderlecht,22,1999,25.5,4,0,0,29,56,17,84,11,15,,,0,Matches
Andreou Stelios,cyCYP,2.0,Charleroi,20,2002,20.0,3,0,0,13,11,1,1,40,24,,,0,Matches
Angulo Nilson,ecECU,3.5,Anderlecht,19,2003,0.3,2,0,0,2,1,0,0,0,1,,,0,Matches
Arase Kelvin,atAUT,3.0,Oostende,23,1999,5.4,0,0,0,8,3,1,8,4,12,,,0,Matches
Arnstad Kristian,noNOR,3.0,Anderlecht,18,2003,14.0,5,1,0,36,40,2,26,17,19,,,0,Matches
Arokodare Tolu,ngNGA,4.0,Genk,21,2000,1.5,1,0,0,3,1,2,0,0,2,,,0,Matches
Arteaga Gerardo,mxMEX,2.0,Genk,23,1998,31.2,8,1,0,21,30,3,40,49,36,,,0,Matches
Ashimeru Majeed,ghGHA,3.0,Anderlecht,24,1997,20.5,4,0,0,25,40,0,5,28,33,,,0,Matches
Atanga David,ghGHA,3.5,Oostende,25,1996,13.9,2,1,0,17,14,2,12,7,16,,,0,Matches
Atemona Christalino,deGER,2.3,Kortrijk,20,2002,6.0,0,0,0,6,3,0,6,8,7,,,0,Matches
Audoor Lynnt,beBEL,3.0,Club Brugge,18,2003,0.9,0,0,0,2,6,0,0,1,1,,,0,Matches
Avenatti Felipe,uyURU,4.0,Kortrijk,29,1993,21.6,6,0,0,31,24,9,6,3,10,,,0,Matches
Ávila Gastón,arARG,2.0,Antwerp,20,2001,10.9,0,0,0,14,23,0,19,29,23,,,0,Matches
Azzouzi Oussama,maMAR,3.0,Union SG,21,2001,5.7,0,1,0,9,7,1,0,16,8,,,0,Matches
Ba Abou-Malal,frFRA,3.0,Seraing,24,1998,7.3,2,0,0,16,5,0,3,18,4,,,0,Matches
Badji Youssouph,snSEN,4.0,Charleroi,20,2001,13.2,2,0,0,15,20,4,5,3,6,,,0,Matches
Bafdili Bilal,beBEL,3.0,Mechelen,17,2004,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Bager Jonas,dkDEN,2.0,Charleroi,26,1996,19.1,4,0,0,21,11,1,2,36,31,,,0,Matches
Baiye Brandon,beBEL,3.0,Eupen,21,2000,5.2,0,1,0,5,2,0,2,12,13,,,0,Matches
Balikwisha Michel-Ange,cdCOD,3.4,Antwerp,21,2001,20.7,0,0,0,20,53,8,78,20,20,,,0,Matches
Balikwisha William,cdCOD,3.4,Standard Liège,23,1999,25.6,3,1,1,23,39,8,65,40,32,,,0,Matches
Barać Mateo,hrCRO,2.0,Oostende,28,1994,4.3,0,0,0,3,1,0,2,9,3,,,0,Matches
Barrett Laursen Jacob,dkDEN,2.3,Standard Liège,27,1994,8.2,2,1,0,15,6,0,34,15,5,,,1,Matches
Bataille Jelle,beBEL,2.0,Antwerp,23,1999,22.1,2,0,0,16,26,2,41,35,56,,,0,Matches
Bates David,sctSCO,2.0,Mechelen,25,1996,22.1,6,1,1,32,11,1,0,30,20,,,0,Matches
Bätzner Nick,deGER,3.5,Oostende,22,2000,21.0,4,0,0,20,14,4,52,16,26,,,0,Matches
Bauer Robert,deGER,2.0,Sint-Truiden,27,1995,21.0,6,1,0,27,18,0,10,54,27,,,0,Matches
Bayo Vakoun,ciCIV,4.0,Charleroi,25,1997,9.7,2,0,0,21,15,4,2,3,7,,,0,Matches
Benbouali Nadhir,dzALG,4.0,Charleroi,22,2000,8.3,3,0,0,15,3,9,1,2,1,,,0,Matches
Benchaib Amine,maMAR,3.0,Kortrijk,24,1998,0.8,0,1,0,2,0,0,4,0,1,,,0,Matches
Bernát Ján,skSVK,3.0,Westerlo,21,2001,2.2,3,0,0,7,7,0,7,0,1,,,0,Matches
Bernier Antoine,beBEL,3.5,Seraing,24,1997,19.3,1,0,0,27,50,2,28,9,6,,,0,Matches
Berte Mohamed,beBEL,4.0,Oostende,20,2002,3.0,1,0,0,6,11,1,1,0,5,,,0,Matches
Bessile Loïc,tgTOG,2.0,Charleroi,23,1999,6.9,0,0,0,3,1,0,2,25,10,,,0,Matches
Bessile Loïc,tgTOG,2.0,Eupen,23,1999,5.8,0,1,0,7,1,0,1,17,9,,,0,Matches
