player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abankwah James,ieIRL,2.0,Udinese,20,2004,1.0,1,0,0,4,3,0,0,1,1,,,0,Matches
Abdulhamid Saud,saKSA,3.0,Roma,25,1999,2.3,0,0,0,2,5,0,7,2,2,,,0,Matches
Abildgaard Oliver,dkDEN,3.0,Como,28,1996,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Abraham Tammy,engENG,4.0,Roma,26,1997,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Abraham Tammy,engENG,4.0,Milan,26,1997,13.1,1,0,0,23,12,6,3,2,11,,,0,Matches
Accornero Federico,itITA,3.0,Genoa,20,2004,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
Acerbi Francesco,itITA,2.0,Inter,36,1988,19.0,0,0,0,11,18,2,10,28,17,,,0,Matches
Adams Che,sctSCO,4.0,Torino,28,1996,29.5,2,0,0,29,40,23,10,1,6,,,0,Matches
Adli Yacine,frFRA,3.0,Fiorentina,24,2000,13.7,3,1,1,9,20,0,62,5,20,,,0,Matches
Adžić Vasilije,meMNE,3.0,Juventus,18,2006,0.5,0,0,0,1,1,0,0,0,2,,,0,Matches
Aebischer Michel,chSUI,3.0,Bologna,27,1997,8.0,2,0,0,16,16,0,13,7,13,,,0,Matches
Ahanor Honest,itITA,2.4,Genoa,16,2008,3.0,0,0,0,2,8,0,4,1,4,,,0,Matches
Ajayi Junior,ciCIV,4.0,Hellas Verona,19,2004,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches
Akpa-Akpro Jean-Daniel,ciCIV,3.0,Monza,31,1992,10.7,4,0,0,24,18,0,6,11,19,,,0,Matches
Akpan Ankeye David,ngNGA,4.0,Genoa,22,2002,0.5,0,0,0,3,1,0,0,0,0,,,0,Matches
Alidou Faride,deGER,4.0,Hellas Verona,23,2001,0.8,0,0,0,1,0,0,3,1,0,,,0,Matches
Alli Dele,engENG,3.5,Como,28,1996,0.1,0,1,0,1,0,0,0,0,0,,,0,Matches
Almqvist Pontus,seSWE,3.5,Parma,25,1999,12.4,5,0,0,15,15,2,11,20,14,,,0,Matches
Altare Giorgio,itITA,2.0,Venezia,25,1998,8.4,2,0,0,10,2,0,7,18,12,,,1,Matches
Amrabat Sofyan,maMAR,3.0,Fiorentina,27,1996,2.0,0,0,0,4,1,0,3,0,2,,,0,Matches
Angeliño,esESP,2.4,Roma,27,1997,35.3,1,0,0,32,33,5,119,28,24,,,0,Matches
Anghelè Lorenzo,itITA,4.0,Juventus,19,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Anjorin Faustino,engENG,3.0,Empoli,22,2001,12.4,3,0,0,24,19,0,17,13,15,,,0,Matches
Arnautović Marko,atAUT,4.0,Inter,35,1989,6.1,1,0,0,4,6,8,5,1,6,,,0,Matches
Asllani Kristjan,alALB,3.0,Inter,22,2002,11.0,4,0,0,9,19,0,41,8,4,,,0,Matches
Atta Arthur,frFRA,3.4,Udinese,21,2003,13.9,5,0,0,15,14,1,24,7,10,,,0,Matches
Audero Emil,idIDN,1.0,Como,27,1997,8.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Augello Tommaso,itITA,2.4,Cagliari,29,1994,30.1,3,0,0,15,11,3,208,14,27,,,0,Matches
Augusto Carlos,brBRA,2.3,Inter,25,1999,18.8,1,0,0,10,12,3,21,11,14,,,0,Matches
Aurel Bisseck Yann,deGER,2.0,Inter,23,2000,18.3,4,0,0,16,9,1,8,18,13,,,0,Matches
Azzi Paulo,brBRA,3.0,Cagliari,30,1994,4.7,2,0,0,5,3,0,22,4,9,,,0,Matches
Azzouzi Oussama,maMAR,3.0,Bologna,23,2001,0.2,0,0,0,0,2,0,0,2,0,,,0,Matches
Bacci Jacopo,itITA,3.0,Empoli,19,2005,0.3,0,0,0,0,1,0,0,1,0,,,0,Matches
Badelj Milan,hrCRO,3.0,Genoa,35,1989,16.4,2,0,0,18,19,0,5,22,16,,,0,Matches
Bakker Mitchel,nlNED,2.3,Atalanta,24,2000,0.2,0,0,0,1,0,0,1,0,0,,,0,Matches
Baldanzi Tommaso,itITA,3.4,Roma,21,2003,9.2,2,0,0,7,16,0,6,6,6,,,0,Matches
Baldé Keita,snSEN,4.0,Monza,29,1995,7.1,2,0,0,7,23,3,6,2,1,,,0,Matches
Balogh Botond,huHUN,2.0,Parma,22,2002,22.8,5,0,0,17,7,0,1,25,17,,,0,Matches
Balotelli Mario,itITA,4.0,Genoa,33,1990,0.7,2,0,0,2,2,0,3,0,0,,,0,Matches
Banda Lameck,zmZAM,3.4,Lecce,23,2001,6.8,1,0,0,10,20,2,23,3,5,,,0,Matches
Bandeira Daniel,ptPOR,3.0,Hellas Verona,24,2000,4.5,1,0,0,4,4,0,8,5,0,,,0,Matches
Bani Mattia,itITA,2.0,Genoa,30,1993,16.7,3,0,0,7,11,1,4,21,11,,,0,Matches
Barák Antonín,czCZE,3.0,Fiorentina,29,1994,0.6,0,0,0,0,0,0,1,0,0,,,0,Matches
Barba Federico,itITA,2.0,Como,30,1993,4.8,0,0,0,3,1,0,3,4,2,,,0,Matches
