player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Bernát Ján,skSVK,3.0,Westerlo,22,2001,0.0,,1,,,,,,,,,,,0,,,,Matches
Bernier Antoine,beBEL,3.4,Charleroi,25,1997,12.7,,16,,,,,,,,,,,6,,,,Matches
Bertaccini Adriano,beBEL,3.4,Sint-Truiden,22,2000,5.4,,2,,,,,,,,,,,0,,,,Matches
Bescond Sacha,beBEL,2.0,Eupen,17,2006,0.0,,0,,,,,,,,,,,0,,,,Matches
Białek Bartosz,plPOL,4.0,Eupen,21,2001,4.8,,1,,,,,,,,,,,0,,,,Matches
Biron Mickaël,mqMTQ,3.5,RWDM,25,1997,20.1,,25,,,,,,,,,,,7,,,,Matches
Bitumazala Nathan,frFRA,3.0,Eupen,20,2002,1.8,,2,,,,,,,,,,,0,,,,Matches
Bocat Eric,frFRA,3.0,Sint-Truiden,24,1999,34.8,,27,,,,,,,,,,,55,,,,Matches
Bodart Arnaud,beBEL,1.0,Standard Liège,25,1998,34.0,,0,,,,,,,,,,,0,,,,Matches
Bokadi Merveille,cdCOD,2.0,Standard Liège,31,1992,14.5,,13,,,,,,,,,,,19,,,,Matches
Bolat Sinan,trTUR,1.0,Westerlo,34,1988,31.0,,0,,,,,,,,,,,0,,,,Matches
Bolingoli-Mbombo Boli,beBEL,2.3,Mechelen,28,1995,4.5,,11,,,,,,,,,,,6,,,,Matches
Bonsu-Baah Christopher,ghGHA,3.4,Genk,18,2004,15.1,,23,,,,,,,,,,,9,,,,Matches
Borys Karol,plPOL,3.0,Westerlo,16,2006,0.5,,0,,,,,,,,,,,0,,,,Matches
Bos Jordy,auAUS,2.3,Westerlo,20,2002,23.1,,30,,,,,,,,,,,28,,,,Matches
Bouchouari Mohamed,beBEL,2.0,Anderlecht,22,2000,0.0,,0,,,,,,,,,,,0,,,,Matches
Boukamir Mehdi,maMAR,2.0,Charleroi,19,2004,5.7,,6,,,,,,,,,,,10,,,,Matches
Boyata Dedryck,beBEL,2.0,Club Brugge,32,1990,2.0,,0,,,,,,,,,,,2,,,,Matches
Braut Brunes Jonatan,noNOR,4.0,OH Leuven,22,2000,14.5,,3,,,,,,,,,,,2,,,,Matches
Brown Archie,engENG,2.4,Gent,21,2002,26.3,,23,,,,,,,,,,,36,,,,Matches
Bruno Massimo,beBEL,3.4,Kortrijk,29,1993,14.2,,13,,,,,,,,,,,10,,,,Matches
Buchanan Tajon,caCAN,2.0,Club Brugge,24,1999,9.2,,6,,,,,,,,,,,5,,,,Matches
Burgess Christian,engENG,2.0,Union SG,31,1991,36.2,,31,,,,,,,,,,,40,,,,Matches
Butez Jean,frFRA,1.0,Antwerp,28,1995,31.0,,0,,,,,,,,,,,0,,,,Matches
Camara Etienne,frFRA,3.0,Charleroi,20,2003,9.6,,18,,,,,,,,,,,12,,,,Matches
Camara Ilay,snSEN,3.0,RWDM,20,2003,22.0,,30,,,,,,,,,,,24,,,,Matches
Çanak Cihan,trTUR,3.0,Standard Liège,18,2005,12.3,,11,,,,,,,,,,,6,,,,Matches
Castro-Montes Alessio,beBEL,2.0,Gent,26,1997,0.7,,0,,,,,,,,,,,1,,,,Matches
Castro-Montes Alessio,beBEL,3.0,Union SG,26,1997,29.8,,56,,,,,,,,,,,31,,,,Matches
Chadli Nacer,beBEL,3.0,Westerlo,33,1989,7.9,,9,,,,,,,,,,,5,,,,Matches
Challouk Youssef,beBEL,3.5,Kortrijk,27,1995,0.5,,0,,,,,,,,,,,0,,,,Matches
Charles-Cook Regan,gdGRN,3.5,Eupen,26,1997,20.1,,16,,,,,,,,,,,3,,,,Matches
Christie-Davies Isaac,wlsWAL,3.0,Eupen,25,1997,6.3,,6,,,,,,,,,,,3,,,,Matches
Cobbaut Elias,beBEL,2.0,Mechelen,25,1997,29.1,,12,,,,,,,,,,,20,,,,Matches
Cojocaru Valentin,roROU,1.0,OH Leuven,27,1995,3.0,,0,,,,,,,,,,,0,,,,Matches
Colassin Antoine,beBEL,3.5,Anderlecht,22,2001,0.1,,0,,,,,,,,,,,0,,,,Matches
Coosemans Colin,beBEL,1.0,Anderlecht,30,1992,2.5,,0,,,,,,,,,,,0,,,,Matches
Coppens Jo,beBEL,1.0,Sint-Truiden,32,1990,4.0,,0,,,,,,,,,,,0,,,,Matches
Corbanie Kobe,beBEL,2.0,Antwerp,18,2005,1.9,,5,,,,,,,,,,,0,,,,Matches
Coucke Gaëtan,beBEL,1.0,Mechelen,24,1998,36.0,,0,,,,,,,,,,,0,,,,Matches
Coulibaly Soumaïla,frFRA,2.0,Antwerp,19,2003,16.6,,8,,,,,,,,,,,33,,,,Matches
Cuesta Carlos,coCOL,2.0,Genk,24,1999,31.5,,32,,,,,,,,,,,47,,,,Matches
Cuypers Hugo,beBEL,4.0,Gent,26,1997,18.1,,20,,,,,,,,,,,6,,,,Matches
Dabbagh Oday,psPLE,4.0,Charleroi,24,1998,21.0,,19,,,,,,,,,,,2,,,,Matches
Daci Erdon,mkMKD,4.0,Westerlo,25,1998,7.7,,2,,,,,,,,,,,0,,,,Matches
Dagur Þorsteinsson Jón,isISL,3.5,OH Leuven,24,1998,26.8,,39,,,,,,,,,,,7,,,,Matches
Dailly Niklo,beBEL,3.4,RWDM,21,2001,3.6,,4,,,,,,,,,,,1,,,,Matches
Daland Jesper,noNOR,2.0,Cercle Brugge,23,2000,36.9,,49,,,,,,,,,,,56,,,,Matches
Dari Achraf,maMAR,2.0,Charleroi,24,1999,6.8,,8,,,,,,,,,,,14,,,,Matches
Davidson Jason,auAUS,2.3,Eupen,32,1991,26.9,,33,,,,,,,,,,,28,,,,Matches
Davies Isaak,wlsWAL,4.0,Kortrijk,21,2001,25.0,,17,,,,,,,,,,,6,,,,Matches
De Cuyper Maxim,beBEL,2.0,Club Brugge,22,2000,30.6,,33,,,,,,,,,,,40,,,,Matches
De Laet Ritchie,beBEL,2.0,Antwerp,34,1988,15.2,,20,,,,,,,,,,,24,,,,Matches
De Neve Dion,beBEL,2.4,Kortrijk,21,2002,24.8,,57,,,,,,,,,,,25,,,,Matches
De Sart Alexis,beBEL,3.0,RWDM,26,1996,5.4,,9,,,,,,,,,,,4,,,,Matches
De Sart Julien,beBEL,3.0,Gent,28,1994,35.3,,80,,,,,,,,,,,69,,,,Matches
De Vlieger Tibe,beBEL,3.0,Gent,17,2005,0.4,,1,,,,,,,,,,,1,,,,Matches
De Wilde Nils,beBEL,3.0,Cercle Brugge,20,2003,8.5,,12,,,,,,,,,,,5,,,,Matches
Debast Zeno,beBEL,2.0,Anderlecht,19,2003,36.2,,38,,,,,,,,,,,37,,,,Matches
Decoene Massimo,beBEL,3.0,Kortrijk,19,2004,0.1,,0,,,,,,,,,,,1,,,,Matches
Decostere Robbe,beBEL,2.0,Cercle Brugge,25,1998,0.0,,0,,,,,,,,,,,0,,,,Matches
Defourny Théo,beBEL,1.0,RWDM,31,1992,29.8,,1,,,,,,,,,,,1,,,,Matches
Degreef Tristan,beBEL,3.0,Anderlecht,18,2005,0.0,,0,,,,,,,,,,,0,,,,Matches
Delaney Thomas,dkDEN,2.4,Anderlecht,31,1991,16.4,,22,,,,,,,,,,,25,,,,Matches
Delavallée Martin,beBEL,1.0,Charleroi,19,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
Delcroix Hannes,htHAI,2.0,Anderlecht,24,1999,0.1,,1,,,,,,,,,,,1,,,,Matches
Delorge Mathias,beBEL,3.0,Sint-Truiden,19,2004,39.4,,55,,,,,,,,,,,62,,,,Matches
Deman Olivier,beBEL,3.0,Cercle Brugge,23,2000,4.2,,12,,,,,,,,,,,9,,,,Matches
Denkey Kévin,tgTOG,4.0,Cercle Brugge,22,2000,37.6,,15,,,,,,,,,,,4,,,,Matches
Deom Jerome,beBEL,3.0,Eupen,24,1999,10.1,,16,,,,,,,,,,,8,,,,Matches
Depoitre Laurent,beBEL,4.0,Gent,34,1988,5.5,,1,,,,,,,,,,,0,,,,Matches
Dewaele Gilles,beBEL,2.4,Standard Liège,27,1996,8.0,,15,,,,,,,,,,,10,,,,Matches
Diallo Sada,beBEL,2.0,RWDM,21,2002,1.0,,1,,,,,,,,,,,1,,,,Matches
Diawara Amadou,gnGUI,3.0,Anderlecht,26,1997,6.6,,9,,,,,,,,,,,11,,,,Matches
Djenepo Moussa,mlMLI,3.0,Standard Liège,25,1998,18.5,,15,,,,,,,,,,,11,,,,Matches
Dodeigne Noah,beBEL,2.0,Standard Liège,20,2003,0.4,,0,,,,,,,,,,,0,,,,Matches
Dolberg Kasper,dkDEN,4.0,Anderlecht,25,1997,32.5,,10,,,,,,,,,,,7,,,,Matches
Dom Joren,beBEL,2.4,OH Leuven,33,1989,18.0,,11,,,,,,,,,,,22,,,,Matches
Doudaev Djovkar,beBEL,2.0,RWDM,19,2003,2.3,,3,,,,,,,,,,,4,,,,Matches
Doumbia Mahamadou,mlMLI,3.0,Antwerp,19,2004,5.2,,7,,,,,,,,,,,1,,,,Matches
Doumbia Souleyman,ciCIV,2.3,Standard Liège,26,1996,9.2,,16,,,,,,,,,,,12,,,,Matches
Dragsnes Vetle,noNOR,2.4,Charleroi,29,1994,25.5,,38,,,,,,,,,,,21,,,,Matches
Drăguș Denis,roROU,4.0,Standard Liège,24,1999,3.5,,5,,,,,,,,,,,1,,,,Matches
Dreyer Anders,dkDEN,3.5,Anderlecht,25,1998,33.0,,12,,,,,,,,,,,11,,,,Matches
Dumont Olivier,beBEL,3.0,Sint-Truiden,21,2002,2.0,,3,,,,,,,,,,,2,,,,Matches
Dupé Maxime,frFRA,1.0,Anderlecht,30,1993,7.0,,0,,,,,,,,,,,0,,,,Matches
Dwomoh Pierre,beBEL,3.0,RWDM,19,2004,26.4,,36,,,,,,,,,,,30,,,,Matches
Dønnum Aron,noNOR,3.4,Standard Liège,25,1998,4.8,,0,,,,,,,,,,,1,,,,Matches
Ebiowei Malcolm,engENG,3.0,RWDM,19,2003,1.8,,4,,,,,,,,,,,2,,,,Matches
Eckert Dennis,deGER,4.0,Union SG,26,1997,13.7,,5,,,,,,,,,,,3,,,,Matches
Efekele Malamine,frFRA,3.0,Cercle Brugge,19,2004,3.4,,5,,,,,,,,,,,0,,,,Matches
Ejuke Chidera,ngNGA,3.4,Antwerp,25,1998,20.8,,16,,,,,,,,,,,12,,,,Matches
Ekkelenkamp Jurgen,nlNED,3.0,Antwerp,23,2000,30.4,,27,,,,,,,,,,,20,,,,Matches
