Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Uriel van Aalst,,MF,Willem II,,,1,0,28,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2024-25,0,0,,0.00,0.00,,,,,,,,,,
2,Patrick van Aanholt,nl NED,DF,Sparta Rotterdam,33,1990,21,20,1656,18.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2024-25,19,1,5.3,1.03,0.05,0.00,0.00,,,,,,,,
3,Paxten Aaronson,us USA,MF,Utrecht,20,2003,33,30,2689,29.9,8,4,12,8,0,0,8,0,0.27,0.13,0.40,0.27,0.40,Matches,Eredivisie,2024-25,60,14,23.3,2.01,0.47,0.13,0.57,,,,,,,,
4,Jayden Addai,nl NED,"MF,FW",AZ Alkmaar,18,2005,17,3,324,3.6,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches,Eredivisie,2024-25,13,5,38.5,3.61,1.39,0.08,0.20,,,,,,,,
5,Bobby Adekanye,nl NED,"MF,FW",Go Ahead Eagles,25,1999,13,10,778,8.6,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,Eredivisie,2024-25,18,5,27.8,2.08,0.58,0.06,0.20,,,,,,,,
6,Aske Adelgaard,dk DEN,DF,Go Ahead Eagles,20,2003,22,14,1224,13.6,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,Eredivisie,2024-25,5,1,20.0,0.37,0.07,0.00,0.00,,,,,,,,
7,Shawn Adewoye,be BEL,DF,Fortuna Sittard,24,2000,24,20,1748,19.4,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,Eredivisie,2024-25,11,3,27.3,0.57,0.15,0.09,0.33,,,,,,,,
8,Olivier Aertssen,nl NED,DF,Zwolle,19,2004,20,14,1116,12.4,1,0,1,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Matches,Eredivisie,2024-25,6,2,33.3,0.48,0.16,0.17,0.50,,,,,,,,
9,Amar Ahmed,se SWE,MF,Willem II,20,2004,22,5,703,7.8,1,0,1,1,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,Eredivisie,2024-25,14,5,35.7,1.79,0.64,0.07,0.20,,,,,,,,
10,Isaiah Ahmed,cw CUW,DF,Heerenveen,18,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Eredivisie,2024-25,0,0,,0.00,0.00,,,,,,,,,,
