player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Centonze Fabien,frFRA,2.4,Metz,25,1996,17.6,,20,,,,,,,,,,,31,,,,Matches
Chadaille Bitshiabu El,frFRA,2.0,Paris Saint-Germain,16,2005,0.1,,0,,,,,,,,,,,0,,,,Matches
Chadli Nassim,frFRA,3.0,Troyes,20,2001,1.1,,2,,,,,,,,,,,0,,,,Matches
Chahiri Mehdi,maMAR,3.0,Strasbourg,25,1996,0.2,,1,,,,,,,,,,,0,,,,Matches
Chambost Dylan,frFRA,3.0,Troyes,23,1997,8.4,,9,,,,,,,,,,,9,,,,Matches
Chardonnet Brendan,frFRA,2.0,Brest,26,1994,29.8,,25,,,,,,,,,,,60,,,,Matches
Chavalerin Xavier,frFRA,3.0,Troyes,30,1991,30.2,,28,,,,,,,,,,,34,,,,Matches
Chavalerin Xavier,frFRA,3.0,Reims,30,1991,2.4,,4,,,,,,,,,,,5,,,,Matches
Cherki Rayan,frFRA,4.0,Lyon,17,2003,4.9,,2,,,,,,,,,,,1,,,,Matches
Chirivella Pedro,esESP,3.0,Nantes,24,1997,29.3,,32,,,,,,,,,,,36,,,,Matches
Chotard Joris,frFRA,3.0,Montpellier,19,2001,32.6,,30,,,,,,,,,,,41,,,,Matches
Claude-Maurice Alexis,frFRA,3.5,Nice,23,1998,2.3,,0,,,,,,,,,,,3,,,,Matches
Clauss Jonathan,frFRA,3.0,Lens,28,1992,33.8,,36,,,,,,,,,,,71,,,,Matches
Coco Marcus,frFRA,3.4,Nantes,25,1996,10.3,,13,,,,,,,,,,,9,,,,Matches
Conté Abdu,ptPOR,2.3,Troyes,23,1998,15.0,,11,,,,,,,,,,,4,,,,Matches
Corchia Sébastien,frFRA,2.3,Nantes,30,1990,14.7,,16,,,,,,,,,,,11,,,,Matches
Cornet Maxwel,ciCIV,2.0,Lyon,24,1996,0.7,,1,,,,,,,,,,,1,,,,Matches
Costa David,ptPOR,3.4,Lens,20,2001,16.3,,12,,,,,,,,,,,12,,,,Matches
Costil Benoît,frFRA,1.0,Bordeaux,34,1987,25.0,,0,,,,,,,,,,,0,,,,Matches
Coulibaly Kalifa,mlMLI,4.0,Nantes,29,1991,9.4,,1,,,,,,,,,,,1,,,,Matches
Cozza Nicolas,frFRA,2.0,Montpellier,22,1999,30.8,,50,,,,,,,,,,,40,,,,Matches
Crivelli Enzo,frFRA,4.0,Saint-Étienne,26,1995,1.1,,0,,,,,,,,,,,0,,,,Matches
Cyprien Wylan,frFRA,3.0,Nantes,26,1995,16.6,,15,,,,,,,,,,,8,,,,Matches
Da Cunha Lucas,frFRA,3.0,Nice,20,2001,4.4,,7,,,,,,,,,,,1,,,,Matches
Da Cunha Lucas,frFRA,3.5,Clermont Foot,20,2001,9.3,,11,,,,,,,,,,,1,,,,Matches
Da Silva Damien,frFRA,2.0,Lyon,33,1988,12.5,,7,,,,,,,,,,,20,,,,Matches
