player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abraham Tammy,engENG,4.0,Roma,23,1997,34.3,9,0,0,38,49,17,15,5,13,,,0,Matches
Acerbi Francesco,itITA,2.0,Lazio,33,1988,28.2,2,1,0,18,16,4,3,37,12,,,0,Matches
Aebischer Michel,chSUI,3.0,Bologna,24,1997,4.9,1,0,0,13,4,0,7,7,5,,,0,Matches
Afena-Gyan Felix,ghGHA,3.4,Roma,18,2003,7.4,5,1,1,15,24,4,8,3,3,,,0,Matches
Agudelo Kevin,coCOL,3.4,Spezia,22,1998,13.7,2,1,0,36,24,0,22,7,27,,,0,Matches
Aina Ola,ngNGA,3.0,Torino,24,1996,16.0,4,0,0,18,28,1,35,29,20,,,0,Matches
Aké Marley,frFRA,3.5,Juventus,20,2001,0.9,1,0,0,6,2,0,1,1,0,,,0,Matches
Akpa-Akpro Jean-Daniel,ciCIV,3.0,Lazio,28,1992,3.5,1,0,0,13,8,0,1,2,10,,,0,Matches
Alberto Luis,esESP,3.0,Lazio,28,1992,26.1,5,0,0,13,27,1,145,13,17,,,0,Matches
Altare Giorgio,itITA,2.0,Cagliari,22,1998,16.3,5,0,0,35,10,1,27,30,27,,,0,Matches
Amey Wisdom,itITA,2.0,Bologna,15,2005,0.8,0,0,0,1,2,0,0,3,1,,,0,Matches
Amian Kelvin,frFRA,2.0,Spezia,23,1998,29.4,9,2,1,36,14,1,24,32,43,,,0,Matches
Amiri Nadiem,deGER,3.0,Genoa,24,1996,7.6,0,0,0,7,19,1,21,0,4,,,0,Matches
Ampadu Ethan,wlsWAL,2.4,Venezia,20,2000,25.4,13,2,1,46,27,0,20,53,44,,,0,Matches
Amrabat Sofyan,maMAR,3.0,Fiorentina,24,1996,10.5,6,0,0,25,15,0,6,6,14,,,0,Matches
Anderson Felipe,brBRA,4.0,Lazio,28,1993,32.1,2,0,0,43,36,7,87,20,44,,,0,Matches
Annan Ebenezer,ghGHA,2.0,Bologna,18,2002,0.3,0,0,0,0,0,0,1,1,1,,,0,Matches
Ansaldi Cristian,arARG,3.0,Torino,34,1986,7.7,2,0,0,13,4,2,56,6,8,,,0,Matches
Antiste Janis,frFRA,3.5,Spezia,18,2002,8.8,0,0,0,15,6,5,12,3,11,,,0,Matches
Aramu Mattia,itITA,3.4,Venezia,26,1995,23.3,6,0,0,30,81,7,147,7,14,,,0,Matches
Arnautović Marko,atAUT,4.0,Bologna,32,1989,29.9,6,0,0,44,22,14,15,7,10,,,0,Matches
Arslan Tolgay,deGER,3.0,Udinese,30,1990,18.4,9,0,0,28,36,0,33,11,21,,,0,Matches
Askildsen Kristoffer,noNOR,3.0,Sampdoria,20,2001,8.4,5,0,0,17,14,0,2,15,8,,,1,Matches
Asllani Kristjan,alALB,3.0,Empoli,19,2002,15.0,2,0,0,13,24,0,29,19,12,,,0,Matches
Audero Emil,idIDN,1.0,Sampdoria,24,1997,28.4,2,0,0,0,6,0,0,2,1,,,0,Matches
Augello Tommaso,itITA,2.0,Sampdoria,26,1994,26.6,0,0,0,12,21,1,75,31,21,,,0,Matches
Aya Ramzi,itITA,2.0,Salernitana,30,1990,1.5,1,0,0,1,0,0,1,0,1,,,0,Matches
Ayhan Kaan,trTUR,2.0,Sassuolo,26,1994,15.0,2,1,0,13,5,1,2,16,13,,,0,Matches
Badelj Milan,hrCRO,3.0,Genoa,32,1989,31.6,4,0,0,39,20,0,10,88,40,,,0,Matches
Bagnolini Nicola,itITA,1.0,Bologna,17,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Bah Issa,luLUX,4.0,Venezia,19,2002,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches
Bajrami Nedim,alALB,3.0,Empoli,22,1999,22.8,3,0,0,16,14,7,156,4,15,,,0,Matches
Bakayoko Tiemoué,frFRA,3.0,Milan,26,1994,5.6,3,0,0,12,10,0,2,8,13,,,0,Matches
Baldanzi Tommaso,itITA,3.0,Empoli,18,2003,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Baldé Keita,snSEN,4.0,Cagliari,26,1995,13.7,2,0,0,28,30,9,7,5,3,,,0,Matches
Ballo-Touré Fodé,snSEN,2.0,Milan,24,1997,5.0,2,0,0,12,10,1,18,4,14,,,0,Matches
Bandinelli Filippo,itITA,3.0,Empoli,26,1995,21.7,10,0,0,53,18,5,67,12,24,,,0,Matches
Bani Mattia,itITA,2.0,Genoa,27,1993,13.5,1,0,0,14,19,0,1,21,13,,,0,Matches
Barák Antonín,czCZE,3.4,Hellas Verona,26,1994,26.0,4,0,0,27,17,3,14,6,9,,,0,Matches
Bardi Francesco,itITA,1.0,Bologna,29,1992,2.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Barella Nicolò,itITA,3.0,Inter,24,1997,32.4,9,0,0,30,52,4,68,19,42,,,0,Matches
Barrow Musa,gmGAM,3.4,Bologna,22,1998,23.7,0,0,0,10,25,6,111,6,5,,,0,Matches
Baselli Daniele,itITA,3.0,Torino,29,1992,1.7,0,0,0,3,4,1,4,1,3,,,0,Matches
Baselli Daniele,itITA,3.0,Cagliari,29,1992,3.2,1,0,0,2,3,0,17,2,5,,,0,Matches
Bašić Toma,hrCRO,3.0,Lazio,24,1996,10.9,3,0,0,13,6,0,15,4,7,,,0,Matches
Bastoni Alessandro,itITA,2.0,Inter,22,1999,25.7,4,0,0,30,28,0,29,32,26,,,0,Matches
Bastoni Simone,itITA,2.4,Spezia,24,1996,25.4,5,1,0,31,35,1,112,31,34,,,0,Matches
Becão Rodrigo,brBRA,2.0,Udinese,25,1996,34.8,10,0,0,57,45,4,17,43,46,,,0,Matches
Behrami Valon,chSUI,3.0,Genoa,36,1985,3.5,3,0,0,8,5,0,2,1,1,,,0,Matches
Belec Vid,siSVN,1.0,Salernitana,31,1990,21.5,1,0,0,1,1,0,0,0,0,,,0,Matches
