Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
410,Keane Lewis-Potter,eng ENG,"MF,FW",Hull City,20,2001,46,46,4139,46.0,12,3,15,12,0,0,3,0,0.26,0.07,0.33,0.26,0.33,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Aaron Leya Iseka,be BEL,"MF,FW",Barnsley,23,1997,25,14,1287,14.3,3,0,3,3,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Liam Lindsay,sct SCO,DF,Preston North End,25,1995,15,13,1171,13.0,0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Jake Livermore,eng ENG,MF,West Brom,31,1989,37,37,3132,34.8,0,2,2,0,0,0,8,2,0.00,0.06,0.06,0.00,0.06,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Tom Lockyer,wls WAL,DF,Luton Town,26,1994,29,27,2425,26.9,1,1,2,1,0,0,5,0,0.04,0.04,0.07,0.04,0.07,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Joe Lolley,eng ENG,"MF,FW",Nottingham Forest,28,1992,27,10,1019,11.3,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Ryan Longman,eng ENG,MF,Hull City,20,2000,35,26,2068,23.0,4,4,8,4,0,0,1,0,0.17,0.17,0.35,0.17,0.35,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Zak Lovelace,eng ENG,FW,Millwall,15,2006,5,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Jamal Lowe,jm JAM,"FW,MF",Bournemouth,27,1994,34,9,1115,12.4,7,2,9,7,0,0,3,0,0.57,0.16,0.73,0.57,0.73,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Jamal Lowe,jm JAM,FW,Swansea City,27,1994,5,3,282,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Max Lowe,eng ENG,"MF,DF",Nottingham Forest,24,1997,20,19,1622,18.0,1,4,5,1,0,0,2,0,0.06,0.22,0.28,0.06,0.28,Matches,Championship,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Joe Lumley,eng ENG,GK,Middlesbrough,26,1995,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Championship,2021-22,34,eng ENG,GK,Middlesbrough,26,1995,34,34,3060,34.0,34,1.00,101,67,66.3,16,6,12,13,38.2,0,0,0,0,,Matches,Championship,2021-22
