player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abdallah Keyliane,frFRA,4.0,Marseille,18,2006,0.0,0,0,0,0,0,0,0,0,1,,,0,Matches
Abdelhamid Yunis,maMAR,2.0,Saint-Étienne,36,1987,11.5,2,0,0,16,6,0,0,14,11,,,0,Matches
Abdelli Himad,dzALG,3.0,Angers,24,1999,31.6,4,0,0,47,32,3,45,27,32,,,0,Matches
Abdelmoneim Mohamed,egEGY,2.0,Nice,25,1999,9.5,2,0,0,9,10,0,2,15,14,,,0,Matches
Abdi Ali,tnTUN,3.0,Nice,30,1993,15.5,2,0,0,28,14,5,51,20,27,,,0,Matches
Abline Matthis,frFRA,4.0,Nantes,21,2003,30.8,3,0,0,34,55,5,31,6,4,,,0,Matches
Abner,brBRA,2.3,Lyon,24,2000,12.1,1,0,0,16,4,0,31,6,20,,,0,Matches
Aboukhlal Zakaria,maMAR,3.4,Toulouse,24,2000,21.1,4,0,0,35,25,13,33,6,14,,,0,Matches
Adams Akor,ngNGA,4.0,Montpellier,24,2000,11.9,2,0,0,17,8,16,5,1,3,,,0,Matches
Adeline Martin,frFRA,3.0,Reims,20,2003,0.3,0,0,0,0,1,0,0,0,1,,,0,Matches
Adryelson,brBRA,2.0,Lyon,26,1998,0.0,1,0,0,0,0,0,0,1,0,,,0,Matches
Agbadou Emmanuel,ciCIV,2.0,Reims,27,1997,14.0,3,0,0,13,6,0,1,18,17,,,0,Matches
Agbonifo Jeremy,seSWE,4.0,Lens,18,2005,3.3,1,0,0,14,5,2,7,1,5,,,0,Matches
Aguilar Ruben,frFRA,2.4,Lens,31,1993,12.5,4,0,0,14,15,5,46,12,19,,,0,Matches
Ahamada Naouirou,frFRA,3.0,Rennes,22,2002,0.6,0,0,0,1,0,0,1,3,0,,,0,Matches
Aholou Jean-Eudes,ciCIV,3.0,Angers,30,1994,21.8,7,0,0,50,25,1,2,34,36,,,0,Matches
Aiki Ayman,frFRA,3.0,Saint-Étienne,19,2005,1.4,0,0,0,4,1,0,1,1,3,,,0,Matches
Ajorque Ludovic,frFRA,4.0,Brest,30,1994,27.7,5,0,0,61,26,11,7,5,18,,,0,Matches
Akdag Ümit,roROU,2.0,Toulouse,20,2003,5.6,2,0,0,8,1,0,3,12,4,,,0,Matches
Akieme Sergio,esESP,2.0,Reims,26,1997,28.0,5,0,0,25,21,1,95,17,23,,,0,Matches
Akliouche Maghnes,frFRA,3.0,Monaco,22,2002,26.7,2,0,0,31,38,8,52,15,32,,,0,Matches
Akouokou Paul,ciCIV,3.0,Lyon,26,1997,0.2,1,0,0,3,0,0,0,1,0,,,0,Matches
Akpa Clément,ciCIV,2.0,Auxerre,22,2001,27.6,7,0,0,15,35,0,26,40,33,,,0,Matches
Akpom Chuba,engENG,4.0,Lille,28,1995,7.1,0,0,0,11,15,2,1,0,5,,,0,Matches
Ali Cho Mohamed,frFRA,3.5,Nice,20,2004,18.0,2,0,0,12,41,9,51,5,10,,,0,Matches
Allevinah Jim,gaGAB,3.0,Angers,29,1995,19.4,3,0,0,18,25,10,35,12,14,,,0,Matches
Almada Thiago,arARG,3.0,Lyon,23,2001,10.6,3,0,0,10,8,1,46,7,9,,,0,Matches
Amavi Jordan,frFRA,2.0,Brest,30,1994,8.8,2,0,0,15,6,0,15,7,17,,,0,Matches
Amian Kelvin,frFRA,2.0,Nantes,26,1998,24.1,5,0,0,23,12,1,38,13,35,,,0,Matches
Amir Murillo Michael,paPAN,2.0,Marseille,28,1996,27.1,3,0,0,29,26,1,37,18,31,,,0,Matches
Amo-Ameyaw Samuel,engENG,3.0,Strasbourg,18,2006,3.6,0,0,0,3,5,1,6,3,3,,,0,Matches
Amougou Mathis,frFRA,3.0,Saint-Étienne,18,2006,9.5,2,0,0,6,8,0,1,12,15,,,0,Matches
André Benjamin,frFRA,3.0,Lille,33,1990,29.9,12,0,0,50,49,3,17,49,58,,,0,Matches
Antonio Kyllian,frFRA,2.4,Lens,16,2008,1.5,0,0,0,2,3,0,2,3,2,,,0,Matches
Appiah Dennis,frFRA,2.0,Saint-Étienne,32,1992,23.6,2,0,0,37,9,2,53,29,43,,,0,Matches
Arcus Carlens,htHAI,2.0,Angers,28,1996,22.7,3,0,0,37,21,1,56,26,37,,,0,Matches
Asensio Marco,esESP,3.5,Paris Saint-Germain,28,1996,6.9,0,0,0,1,4,3,13,1,3,,,0,Matches
Assignon Lorenz,tgTOG,2.4,Rennes,24,2000,26.2,9,0,0,53,28,4,71,26,27,,,0,Matches
Assoumani Dehmaine,frFRA,4.0,Nantes,19,2005,1.1,0,0,0,1,4,0,6,1,5,,,0,Matches
Atangana Edoa Valentin,frFRA,3.0,Reims,18,2005,31.7,7,0,0,57,50,8,16,37,49,,,0,Matches
Ayé Florian,frFRA,4.0,Auxerre,27,1997,6.4,0,0,0,10,6,3,2,7,1,,,0,Matches
Ayew André,ghGHA,4.0,Le Havre,34,1989,16.1,2,0,0,19,30,6,7,3,10,,,0,Matches
Aynaoui Neil,maMAR,3.0,Lens,23,2001,17.6,4,0,0,35,32,0,64,31,24,,,0,Matches
Babicka Shavy,gaGAB,3.0,Toulouse,24,2000,13.2,2,0,0,15,21,7,38,5,13,,,0,Matches
Bair Theo,caCAN,4.0,Auxerre,24,1999,10.4,1,0,0,20,5,8,7,3,3,,,0,Matches
Bakker Mitchel,nlNED,2.4,Lille,24,2000,12.7,3,1,0,18,9,4,68,13,13,,,0,Matches
Bakola Darryl,frFRA,3.0,Marseille,16,2007,0.2,1,0,0,3,0,0,0,0,1,,,0,Matches
Bakwa Dilane,frFRA,3.0,Strasbourg,21,2002,27.7,4,0,0,29,71,5,155,16,14,,,0,Matches
Balerdi Leonardo,arARG,2.0,Marseille,25,1999,25.3,9,1,1,28,20,0,2,38,38,,,1,Matches
Ballo-Touré Fodé,snSEN,2.3,Le Havre,27,1997,6.5,0,0,0,3,14,0,21,5,7,,,0,Matches
Balogun Folarin,usUSA,4.0,Monaco,23,2001,6.8,0,0,0,7,9,8,5,1,1,,,0,Matches
Bamba Abdoulaye,ciCIV,2.0,Angers,34,1990,16.8,2,0,0,10,7,0,5,20,15,,,0,Matches
Bamba Mohamed,ciCIV,3.0,Reims,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Barco Valentín,arARG,3.0,Strasbourg,20,2004,12.9,2,0,0,17,29,0,31,13,22,,,0,Matches
Barcola Bradley,frFRA,4.0,Paris Saint-Germain,21,2002,24.2,2,0,0,31,22,7,25,19,17,,,0,Matches
Bard Melvin,frFRA,2.3,Nice,23,2000,21.5,4,2,1,17,22,2,61,29,37,,,0,Matches
Bares Gabriel,chSUI,3.0,Montpellier,23,2000,0.6,0,0,0,0,1,0,1,1,2,,,0,Matches
Barisic Téo,hrCRO,2.0,Lyon,19,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Batubinsika Dylan,cdCOD,2.0,Saint-Étienne,28,1996,22.4,3,1,0,24,13,0,1,41,13,,,1,Matches
Belkebla Haris,dzALG,3.0,Angers,30,1994,19.9,1,0,0,18,32,1,3,35,39,,,0,Matches
Belkhdim Yassin,frFRA,3.0,Angers,22,2002,16.9,4,0,0,28,15,2,16,21,27,,,0,Matches
Ben Seghir Eliesse,maMAR,3.0,Monaco,19,2005,19.4,0,0,0,25,56,2,50,13,22,,,0,Matches
Bennacer Ismaël,dzALG,3.0,Marseille,26,1997,7.2,2,0,0,19,11,0,28,10,10,,,0,Matches
Benrahma Saïd,dzALG,3.5,Lyon,28,1995,8.2,0,0,0,6,6,6,43,3,6,,,0,Matches
Bentaleb Nabil,dzALG,3.0,Lille,29,1994,3.7,0,0,0,3,1,0,6,5,3,,,0,Matches
Beraldo Lucas,brBRA,2.0,Paris Saint-Germain,20,2003,22.3,6,0,0,22,9,1,3,22,31,,,0,Matches
Bernauer Maxime,frFRA,2.0,Saint-Étienne,26,1998,8.5,4,1,1,10,4,0,0,5,8,,,0,Matches
Bertaud Dimitry,cdCOD,1.0,Montpellier,26,1998,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Biereth Mika,dkDEN,4.0,Monaco,21,2003,13.6,0,0,0,19,30,6,9,4,5,,,0,Matches
Biumla Emmanuel,frFRA,2.0,Angers,19,2005,14.8,2,0,0,8,10,0,0,10,13,,,0,Matches
Bizot Marco,nlNED,1.0,Brest,33,1991,32.0,4,0,0,1,5,0,0,0,1,,,0,Matches
Blas Ludovic,frFRA,3.4,Rennes,26,1997,25.5,6,0,0,31,54,1,123,12,25,,,0,Matches
Boakye Augustine,ghGHA,3.4,Saint-Étienne,23,2000,8.1,5,0,0,19,7,3,5,6,3,,,0,Matches
Bodmer Mathéo,frFRA,2.0,Le Havre,20,2004,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Boga Jeremie,ciCIV,3.4,Nice,27,1997,11.7,0,0,0,1,17,5,21,3,5,,,0,Matches
Bombito Moïse,caCAN,2.0,Nice,24,2000,24.4,3,1,1,28,13,0,2,20,28,,,1,Matches
Bouabré Saïmon,frFRA,3.0,Monaco,18,2006,1.1,0,0,0,1,2,0,0,0,0,,,0,Matches
Bouaddi Ayyoub,frFRA,3.0,Lille,16,2007,12.8,2,0,0,18,9,0,3,12,32,,,0,Matches
Bouanani Badredine,dzALG,3.4,Nice,19,2004,12.2,2,0,0,13,17,2,32,12,4,,,0,Matches
Bouchouari Benjamin,maMAR,3.0,Saint-Étienne,22,2001,19.7,6,0,0,15,42,0,9,16,28,,,0,Matches
Boudaoui Hicham,dzALG,3.0,Nice,24,1999,27.1,9,0,0,41,51,3,17,24,52,,,0,Matches
Bourgault Justin,frFRA,2.0,Brest,18,2005,1.4,0,0,0,1,1,0,4,0,1,,,0,Matches
Bourigeaud Benjamin,frFRA,3.0,Rennes,30,1994,0.9,0,0,0,0,0,0,6,2,0,,,0,Matches
Brahimi Bilal,dzALG,3.0,Nice,24,2000,0.8,0,0,0,3,0,0,5,0,0,,,0,Matches
Brassier Lilian,frFRA,2.0,Marseille,24,1999,8.7,3,0,0,7,3,0,5,8,6,,,0,Matches
Brassier Lilian,frFRA,2.0,Rennes,24,1999,13.7,1,0,0,9,12,0,9,20,12,,,0,Matches
Briançon Anthony,frFRA,2.3,Saint-Étienne,29,1994,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Buta Aurélio,ptPOR,2.0,Reims,27,1997,21.9,5,0,0,32,27,3,31,21,24,,,0,Matches
Bułka Marcin,plPOL,1.0,Nice,24,1999,34.0,0,0,0,0,5,0,0,1,0,,,0,Matches
Cabella Rémy,frFRA,3.0,Lille,34,1990,11.2,1,0,0,16,19,2,60,7,19,,,0,Matches
Cafaro Mathieu,frFRA,3.4,Saint-Étienne,27,1997,8.1,3,1,0,11,14,3,27,7,7,,,0,Matches
Ćaleta-Car Duje,hrCRO,2.0,Lyon,27,1996,17.6,8,0,0,27,9,2,1,16,12,,,0,Matches
Camara Issiaga,gnGUI,3.0,Nice,19,2005,0.2,0,0,0,0,2,0,0,3,1,,,0,Matches
Camara Lamine,snSEN,3.0,Monaco,20,2004,22.8,10,1,1,45,40,0,118,30,40,,,0,Matches
Camara Mahdi,frFRA,3.0,Brest,26,1998,29.5,5,0,0,41,46,3,47,30,43,,,0,Matches
Camara Ousmane,mlMLI,2.0,Angers,21,2003,2.8,1,0,0,1,0,0,0,0,3,,,0,Matches
Camblan Axel,frFRA,4.0,Brest,20,2003,0.3,0,0,0,0,0,0,1,0,1,,,0,Matches
