player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Aaronson Brenden,usUSA,3.4,Union Berlin,22,2000,14.1,,18,,,,,,,,,,,2,,,,Matches
Aaronson Paxten,usUSA,3.0,Eintracht Frankfurt,19,2003,1.1,,2,,,,,,,,,,,0,,,,Matches
Adamu Junior,atAUT,4.0,Freiburg,22,2001,1.2,,1,,,,,,,,,,,0,,,,Matches
Adamyan Sargis,amARM,3.5,Köln,30,1993,8.9,,10,,,,,,,,,,,5,,,,Matches
Adeyemi Karim,deGER,3.5,Dortmund,21,2002,10.1,,14,,,,,,,,,,,3,,,,Matches
Adli Amine,maMAR,3.4,Leverkusen,23,2000,10.0,,7,,,,,,,,,,,5,,,,Matches
Agu Felix,ngNGA,3.0,Werder Bremen,23,1999,17.9,,29,,,,,,,,,,,13,,,,Matches
Ajorque Ludovic,frFRA,4.0,Mainz 05,29,1994,15.1,,2,,,,,,,,,,,4,,,,Matches
Akpoguma Kevin,ngNGA,2.0,Hoffenheim,28,1995,12.2,,18,,,,,,,,,,,19,,,,Matches
Alidou Faride,deGER,3.4,Köln,22,2001,14.2,,4,,,,,,,,,,,8,,,,Matches
Alvero Skelly,frFRA,3.0,Werder Bremen,21,2002,1.4,,4,,,,,,,,,,,1,,,,Matches
Amiri Nadiem,deGER,3.0,Mainz 05,26,1996,14.6,,11,,,,,,,,,,,14,,,,Matches
Amiri Nadiem,deGER,3.0,Leverkusen,26,1996,1.0,,2,,,,,,,,,,,0,,,,Matches
Amoako Kofi,deGER,3.0,Wolfsburg,18,2005,0.0,,0,,,,,,,,,,,0,,,,Matches
Andrich Robert,deGER,2.4,Leverkusen,28,1994,18.8,,18,,,,,,,,,,,20,,,,Matches
Anton Waldemar,deGER,2.0,Stuttgart,27,1996,32.1,,27,,,,,,,,,,,39,,,,Matches
Antwi-Adjei Christopher,ghGHA,3.5,Bochum,29,1994,13.5,,12,,,,,,,,,,,2,,,,Matches
Arania Asaf,ilISR,4.0,Darmstadt 98,17,2005,0.1,,0,,,,,,,,,,,0,,,,Matches
Arnold Maximilian,deGER,3.0,Wolfsburg,29,1994,27.8,,33,,,,,,,,,,,26,,,,Matches
Arthur,brBRA,3.0,Leverkusen,20,2003,2.0,,3,,,,,,,,,,,0,,,,Matches
Asano Takuma,jpJPN,3.5,Bochum,28,1994,22.1,,6,,,,,,,,,,,4,,,,Matches
Asp Jensen Jonathan,dkDEN,4.0,Bayern Munich,17,2006,0.0,,0,,,,,,,,,,,0,,,,Matches
Atubolu Noah,deGER,1.0,Freiburg,21,2002,34.0,,0,,,,,,,,,,,0,,,,Matches
Bader Matthias,deGER,2.4,Darmstadt 98,26,1997,20.0,,27,,,,,,,,,,,25,,,,Matches
Baku Ridle,deGER,2.4,Wolfsburg,25,1998,22.4,,24,,,,,,,,,,,23,,,,Matches
Bamba Samuel,deGER,4.0,Dortmund,19,2004,0.5,,1,,,,,,,,,,,1,,,,Matches
Barkok Aymen,maMAR,3.0,Mainz 05,25,1998,3.6,,5,,,,,,,,,,,2,,,,Matches
Barreiro Martins Leandro,luLUX,3.0,Mainz 05,23,2000,29.0,,42,,,,,,,,,,,33,,,,Matches
Batz Daniel,deGER,1.0,Mainz 05,32,1991,4.0,,0,,,,,,,,,,,0,,,,Matches
Bauer Maximilian,deGER,2.0,Augsburg,23,2000,9.0,,10,,,,,,,,,,,12,,,,Matches
Baum Elias,deGER,2.0,Eintracht Frankfurt,17,2005,0.3,,0,,,,,,,,,,,0,,,,Matches
Baumann Oliver,deGER,1.0,Hoffenheim,33,1990,34.0,,0,,,,,,,,,,,0,,,,Matches
Baumgartner Christoph,atAUT,3.4,RB Leipzig,23,1999,12.9,,14,,,,,,,,,,,5,,,,Matches
Bebou Ihlas,tgTOG,3.5,Hoffenheim,29,1994,18.2,,10,,,,,,,,,,,13,,,,Matches
Beck Adrian,deGER,3.0,Heidenheim,26,1997,10.8,,13,,,,,,,,,,,4,,,,Matches
Becker Sheraldo,srSUR,3.5,Union Berlin,28,1995,7.2,,3,,,,,,,,,,,0,,,,Matches
Bedia Chris,ciCIV,4.0,Union Berlin,27,1996,1.6,,1,,,,,,,,,,,0,,,,Matches
Beek Donny van,nlNED,3.4,Eintracht Frankfurt,26,1997,4.0,,3,,,,,,,,,,,3,,,,Matches
Behrens Kevin,deGER,4.0,Wolfsburg,32,1991,6.8,,1,,,,,,,,,,,3,,,,Matches
Behrens Kevin,deGER,4.0,Union Berlin,32,1991,14.0,,10,,,,,,,,,,,5,,,,Matches
Beier Maximilian,deGER,3.5,Hoffenheim,20,2002,26.9,,12,,,,,,,,,,,10,,,,Matches
Bell Stefan,deGER,2.0,Mainz 05,31,1991,7.4,,8,,,,,,,,,,,6,,,,Matches
Bensebaini Ramy,dzALG,2.0,Dortmund,28,1995,11.5,,21,,,,,,,,,,,16,,,,Matches
Berisha Mergim,deGER,4.0,Hoffenheim,25,1998,1.6,,0,,,,,,,,,,,0,,,,Matches
Berisha Mergim,deGER,4.0,Augsburg,25,1998,1.4,,0,,,,,,,,,,,0,,,,Matches
Bernardo,brBRA,2.0,Bochum,28,1995,32.5,,61,,,,,,,,,,,50,,,,Matches
Bero Matúš,skSVK,3.4,Bochum,27,1995,18.5,,23,,,,,,,,,,,12,,,,Matches
Beste Jan-Niklas,deGER,3.0,Heidenheim,24,1999,28.9,,50,,,,,,,,,,,17,,,,Matches
Biel Pep,esESP,3.5,Augsburg,26,1996,3.2,,3,,,,,,,,,,,2,,,,Matches
Bischof Tom,deGER,3.0,Hoffenheim,18,2005,2.0,,3,,,,,,,,,,,1,,,,Matches
Bittencourt Leonardo,deGER,3.0,Werder Bremen,29,1993,17.5,,17,,,,,,,,,,,12,,,,Matches
Blank Hendry,deGER,2.0,Dortmund,18,2004,0.5,,0,,,,,,,,,,,0,,,,Matches
Blaswich Janis,deGER,1.0,RB Leipzig,32,1991,21.0,,1,,,,,,,,,,,0,,,,Matches
Boey Sacha,frFRA,3.0,Bayern Munich,22,2000,1.2,,0,,,,,,,,,,,1,,,,Matches
Boniface Victor,ngNGA,4.0,Leverkusen,22,2000,17.2,,3,,,,,,,,,,,0,,,,Matches
Bonucci Leonardo,itITA,2.0,Union Berlin,36,1987,5.1,,4,,,,,,,,,,,9,,,,Matches
Borges Sanches Yvandro,luLUX,3.0,Gladbach,19,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
Bornauw Sebastiaan,beBEL,2.0,Wolfsburg,24,1999,15.9,,12,,,,,,,,,,,18,,,,Matches
Borré Rafael,coCOL,4.0,Werder Bremen,27,1995,11.0,,9,,,,,,,,,,,2,,,,Matches
Brandt Julian,deGER,3.0,Dortmund,27,1996,24.7,,15,,,,,,,,,,,8,,,,Matches
Bredlow Fabian,deGER,1.0,Stuttgart,28,1995,4.0,,0,,,,,,,,,,,0,,,,Matches
Breithaupt Tim,deGER,3.0,Augsburg,21,2002,7.0,,12,,,,,,,,,,,8,,,,Matches
Breunig Maximilian,deGER,4.0,Freiburg,22,2000,0.1,,0,,,,,,,,,,,0,,,,Matches
Bröger Bennit,deGER,3.0,Wolfsburg,17,2006,0.1,,0,,,,,,,,,,,0,,,,Matches
Brooks John,usUSA,2.0,Hoffenheim,30,1993,17.1,,16,,,,,,,,,,,26,,,,Matches
Broschinski Moritz,deGER,3.5,Bochum,22,2000,13.9,,7,,,,,,,,,,,0,,,,Matches
Brunst Alexander,deGER,1.0,Darmstadt 98,28,1995,3.0,,0,,,,,,,,,,,0,,,,Matches
Bülter Marius,deGER,3.0,Hoffenheim,30,1993,15.0,,11,,,,,,,,,,,11,,,,Matches
Burkardt Jonathan,deGER,3.5,Mainz 05,23,2000,17.1,,9,,,,,,,,,,,2,,,,Matches
Burke Oliver,sctSCO,3.5,Werder Bremen,26,1997,0.4,,0,,,,,,,,,,,0,,,,Matches
Busch Marnon,deGER,2.0,Heidenheim,28,1994,6.6,,9,,,,,,,,,,,10,,,,Matches
