player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Aanholt Patrick,nlNED,2.0,PSV,32,1990,12.4,0,0,0,6,5,2,29,17,18,,,0,Matches
Aaronson Paxten,usUSA,3.0,Vitesse,19,2003,13.9,4,0,0,16,14,0,30,7,28,,,0,Matches
Addai Jayden,nlNED,3.4,AZ Alkmaar,17,2005,3.3,1,0,0,5,8,0,6,0,7,,,0,Matches
Adekanye Bobby,nlNED,3.0,Go Ahead Eagles,24,1999,20.0,4,1,0,21,40,4,47,4,11,,,0,Matches
Adewoye Shawn,beBEL,2.0,RKC Waalwijk,23,2000,26.0,1,1,0,17,4,0,1,32,23,,,0,Matches
Agrafiotis Nikolas,nlNED,4.0,Excelsior,23,2000,8.4,0,0,0,13,6,1,3,1,9,,,0,Matches
Akpom Chuba,engENG,3.5,Ajax,27,1995,11.7,0,0,0,11,29,5,5,2,8,,,0,Matches
Akujobi Hamdi,nlNED,2.3,Almere City,23,2000,17.3,4,0,0,26,16,2,43,15,27,,,1,Matches
Ali Hussein,iqIRQ,2.3,Heerenveen,21,2002,7.8,0,0,0,6,2,1,21,12,7,,,0,Matches
Altena Jordi,nlNED,2.0,Vitesse,19,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Amar Ben Aissa Ben,maMAR,2.3,Volendam,26,1997,25.2,7,1,1,20,7,0,4,22,20,,,0,Matches
Amauri Banel Jaydon,nlNED,4.0,Ajax,18,2004,1.0,0,0,0,2,4,0,2,0,2,,,0,Matches
Amersfoort Pelle,nlNED,4.0,Heerenveen,27,1996,23.7,3,0,0,32,26,9,13,8,6,,,0,Matches
Amofa Jamal,nlNED,2.0,Go Ahead Eagles,24,1998,18.5,7,1,1,17,15,0,1,18,18,,,0,Matches
Andersen Silas,dkDEN,3.0,Utrecht,19,2004,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Anello Augustin,itITA,3.0,Sparta Rotterdam,21,2002,2.5,0,0,0,2,3,1,15,0,2,,,0,Matches
Antonioli Joey,nlNED,3.0,Volendam,19,2003,1.1,0,0,0,6,0,0,0,0,1,,,0,Matches
Arcus Carlens,htHAI,2.0,Vitesse,27,1996,24.2,4,0,0,30,18,1,70,44,40,,,0,Matches
Arts D'Leanu,nlNED,2.0,NEC Nijmegen,20,2003,0.3,1,0,0,1,0,0,0,0,0,,,0,Matches
Ávila Gastón,arARG,2.0,Ajax,21,2001,3.9,1,0,0,6,11,0,5,3,10,,,0,Matches
Azarkan Marouan,nlNED,3.4,Utrecht,21,2001,8.8,3,0,0,11,28,2,54,5,11,,,0,Matches
Azzouzi Anouar,nlNED,3.0,Zwolle,22,2001,14.6,5,1,1,28,23,0,5,16,33,,,0,Matches
Baas Julian,nlNED,3.0,Excelsior,21,2002,32.0,8,0,0,35,32,0,138,46,43,,,0,Matches
Baas Youri,nlNED,2.3,NEC Nijmegen,20,2003,19.1,4,0,0,18,21,1,28,14,40,,,0,Matches
Babadi Isaac,nlNED,3.0,PSV,18,2005,3.9,1,0,0,3,2,0,3,1,3,,,0,Matches
Backhaus Mio,deGER,1.0,Volendam,19,2004,32.0,3,0,0,1,4,0,0,1,2,,,0,Matches
Baeten Thibo,beBEL,3.5,Go Ahead Eagles,21,2002,10.1,3,0,0,28,17,6,9,4,7,,,0,Matches
Bakari Saïd,kmCOM,2.0,Sparta Rotterdam,28,1994,31.7,3,1,0,19,12,0,71,28,64,,,1,Matches
Bakayoko Johan,beBEL,3.4,PSV,20,2003,27.7,1,0,0,30,20,8,132,8,26,,,0,Matches
Bakboord Navajo,nlNED,2.0,Heracles Almelo,24,1999,18.7,4,0,0,36,26,0,38,15,29,,,1,Matches
Bakkali Zakaria,beBEL,3.0,RKC Waalwijk,27,1996,8.0,0,0,0,11,13,0,45,2,10,,,0,Matches
Bakker Nordin,nlNED,1.0,Almere City,25,1997,28.8,0,0,0,0,1,0,0,0,2,,,0,Matches
Bal Jesse,nlNED,4.0,Sparta Rotterdam,16,2006,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Barbet Théo,frFRA,2.0,Almere City,22,2001,20.2,4,0,0,22,25,0,4,24,12,,,0,Matches
Barkas Vasilios,grGRE,1.0,Utrecht,29,1994,29.0,2,0,0,0,3,0,0,0,2,,,0,Matches
Bazoer Riechedly,cwCUW,2.0,AZ Alkmaar,26,1996,27.0,5,0,0,18,25,1,42,25,16,,,0,Matches
Beek Sven,nlNED,2.0,Heerenveen,29,1994,29.1,3,0,0,22,8,0,12,55,37,,,0,Matches
Beelen Thomas,nlNED,2.0,Feyenoord,22,2001,14.4,1,0,0,10,6,1,2,16,11,,,0,Matches
Belic Kristijan,rsSRB,3.0,AZ Alkmaar,22,2001,10.2,6,0,0,20,13,0,1,16,28,,,0,Matches
Belkheir Mouhamed,frFRA,4.0,Fortuna Sittard,24,1999,4.7,1,1,0,11,3,3,4,0,2,,,0,Matches
Bella Kotchap Armel,deGER,2.0,PSV,21,2001,1.8,0,0,0,0,1,0,1,0,0,,,0,Matches
Benita Mimeirhel,nlNED,2.0,Excelsior,19,2003,10.5,2,0,0,4,14,0,23,16,19,,,0,Matches
Benítez Walter,arARG,1.0,PSV,30,1993,32.9,1,0,0,0,5,0,0,0,0,,,0,Matches
Bergen Mitchell,nlNED,3.0,Twente,23,1999,5.8,0,0,0,2,5,2,68,4,5,,,0,Matches
Berghuis Steven,nlNED,3.4,Ajax,31,1991,16.0,1,0,0,12,15,3,127,4,16,,,0,Matches
Bergwijn Steven,nlNED,3.4,Ajax,25,1997,21.6,5,1,0,13,23,3,20,5,12,,,0,Matches
Besselink Gijs,nlNED,3.0,Twente,19,2004,0.6,0,0,0,5,2,0,0,1,2,,,0,Matches
Bijlow Justin,nlNED,1.0,Feyenoord,25,1998,16.2,1,0,0,0,0,0,0,0,0,,,0,Matches
Bisschops Daan,nlNED,2.0,Fortuna Sittard,18,2005,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Blake Adrian,engENG,3.5,Utrecht,18,2005,0.3,0,0,0,0,2,0,1,0,0,,,0,Matches
Blomme Xander,beBEL,3.0,Go Ahead Eagles,21,2002,7.9,3,0,0,12,6,0,1,15,15,,,0,Matches
Boadu Myron,nlNED,4.0,Twente,22,2001,3.3,1,0,0,9,5,5,0,0,1,,,0,Matches
Bochniewicz Paweł,plPOL,2.0,Heerenveen,27,1996,25.7,2,0,0,25,16,0,1,22,15,,,2,Matches
Bommel Ruben,nlNED,3.4,AZ Alkmaar,18,2004,17.2,2,0,0,26,14,1,36,9,21,,,0,Matches
Booth Taylor,usUSA,3.4,Utrecht,22,2001,9.6,0,0,0,7,12,5,55,8,7,,,0,Matches
Booth Zach,usUSA,3.4,Volendam,19,2004,17.3,0,0,0,8,12,9,22,7,7,,,0,Matches
Borges Sanches Yvandro,luLUX,3.0,NEC Nijmegen,19,2004,2.4,0,0,0,0,3,0,4,0,1,,,0,Matches
Boscagli Olivier,frFRA,2.0,PSV,25,1997,31.5,3,0,0,21,24,1,18,64,27,,,1,Matches
Boussaid Othman,beBEL,3.4,Utrecht,23,2000,21.9,2,0,0,5,14,1,91,18,12,,,0,Matches
Boutrah Amine,frFRA,3.4,Vitesse,22,2000,20.2,3,0,0,15,31,5,39,14,12,,,0,Matches
Bozdogan Can,deGER,3.0,Utrecht,22,2001,21.8,4,0,0,28,43,1,59,24,37,,,0,Matches
Braaf Jayden,nlNED,4.0,Fortuna Sittard,20,2002,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches
Branderhorst Mattijs,nlNED,1.0,Utrecht,29,1993,5.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Braude Oliver,noNOR,2.0,Heerenveen,19,2004,23.5,6,1,1,29,23,2,38,16,56,,,0,Matches
Brederode Myron,nlNED,3.4,AZ Alkmaar,20,2003,14.6,1,0,0,2,20,5,28,9,19,,,0,Matches
Brenet Joshua,cwCUW,2.0,Twente,29,1994,12.0,1,0,0,17,8,2,16,12,20,,,0,Matches
Breum Jakob,dkDEN,3.4,Go Ahead Eagles,19,2003,16.1,2,0,0,11,21,2,71,11,18,,,0,Matches
Brobbey Brian,nlNED,4.0,Ajax,21,2002,26.7,4,0,0,26,53,24,6,0,5,,,0,Matches
Brouwer Michael,nlNED,1.0,Heracles Almelo,30,1993,34.0,0,0,0,0,1,0,0,1,0,,,0,Matches
Brouwers Luuk,nlNED,3.0,Heerenveen,25,1998,22.5,4,0,0,20,20,9,8,16,11,,,0,Matches
Bruggen Damian,nlNED,2.0,Almere City,27,1996,27.8,8,1,1,45,3,0,0,55,19,,,0,Matches
Bruijn Jordy,nlNED,3.0,Heracles Almelo,27,1996,7.6,1,0,0,10,7,0,24,3,5,,,0,Matches
Bruma Jeffrey,nlNED,2.0,RKC Waalwijk,31,1991,4.4,2,1,1,9,2,0,1,5,3,,,0,Matches
Bruns Max,nlNED,2.0,Twente,20,2002,6.3,0,1,0,6,2,0,0,6,6,,,0,Matches
Bruns Thomas,nlNED,3.0,Heracles Almelo,31,1992,12.0,10,0,0,24,33,3,51,6,16,,,0,Matches
Brym Charles-Andréas,caCAN,3.5,Sparta Rotterdam,24,1998,15.3,1,0,0,15,26,3,38,4,11,,,0,Matches
Buitink Thomas,nlNED,4.0,Vitesse,23,2000,5.3,0,0,0,8,0,4,7,0,1,,,0,Matches
Bultman Stijn,nlNED,2.0,Heracles Almelo,18,2005,12.4,1,0,0,4,1,0,0,16,24,,,0,Matches
Buur Oskar,dkDEN,2.3,Volendam,25,1998,18.3,3,0,0,10,15,1,31,13,27,,,0,Matches
Buurmeester Zico,nlNED,3.0,Zwolle,21,2002,15.1,1,1,0,15,9,2,16,24,16,,,0,Matches
Cathline Yoann,frFRA,3.4,Almere City,21,2002,19.1,2,0,0,6,33,6,69,11,21,,,0,Matches
Cestic Sava,rsSRB,2.0,Heracles Almelo,22,2001,2.3,1,0,0,2,0,0,0,6,2,,,0,Matches
Chery Tjaronn,srSUR,3.0,NEC Nijmegen,35,1988,11.5,0,0,0,2,15,2,78,4,5,,,0,Matches
Cillessen Jasper,nlNED,1.0,NEC Nijmegen,34,1989,29.3,1,0,0,0,4,0,0,0,0,,,0,Matches
Clasie Jordy,nlNED,3.0,AZ Alkmaar,32,1991,27.4,4,0,0,22,11,0,6,43,34,,,1,Matches
Clement Pelle,nlNED,3.0,Sparta Rotterdam,27,1996,21.1,4,0,0,18,27,0,70,15,18,,,0,Matches
Cleonise Denilho,nlNED,3.4,RKC Waalwijk,21,2001,20.0,0,0,0,13,40,5,85,11,9,,,0,Matches
Córdoba Iñigo,esESP,3.0,Fortuna Sittard,26,1997,29.2,2,0,0,22,58,15,93,39,65,,,0,Matches
Cornelisse Enzo,nlNED,2.3,Vitesse,20,2003,17.1,2,0,0,12,5,0,58,14,14,,,0,Matches
Corryn Milan,beBEL,4.0,Almere City,24,1999,1.8,0,0,0,3,2,0,4,3,3,,,0,Matches
Cox George,engENG,2.3,Volendam,25,1998,21.3,3,0,0,11,15,0,69,36,28,,,0,Matches
Crooij Vito,nlNED,3.0,Sparta Rotterdam,27,1996,2.9,1,0,0,1,4,0,16,2,1,,,0,Matches
Cruz Alessio,cvCPV,3.5,Fortuna Sittard,26,1997,4.5,0,0,0,6,7,1,7,1,3,,,0,Matches
Czyborra Lennart-Marten,deGER,2.0,Zwolle,24,1999,1.7,1,0,0,7,0,0,8,1,0,,,0,Matches
Dantas Tiago,ptPOR,3.0,AZ Alkmaar,22,2000,7.7,0,0,0,2,5,0,6,3,8,,,0,Matches
De Keersmaecker Brian,beBEL,3.0,Heracles Almelo,23,2000,32.8,6,0,0,41,37,0,11,50,55,,,0,Matches
De Lange Jeffrey,nlNED,1.0,Go Ahead Eagles,25,1998,34.0,2,0,0,0,2,0,0,0,0,,,1,Matches
Deijl Mats,nlNED,2.0,Go Ahead Eagles,26,1997,30.9,2,0,0,30,49,1,60,19,41,,,0,Matches
Dekker Maxim,nlNED,2.0,AZ Alkmaar,19,2004,0.9,0,0,0,1,1,0,1,2,2,,,0,Matches
Demircioglu Caner,nlNED,4.0,Volendam,21,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
den Belt Thomas,nlNED,3.0,Feyenoord,22,2001,3.0,0,0,0,0,3,0,2,0,4,,,0,Matches
den Boomen Branco,nlNED,3.0,Ajax,28,1995,11.9,1,0,0,10,6,0,83,8,11,,,0,Matches
