Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Ragnar Ache,de GER,FW,Köln,27,1998,29,18,1718,19.1,7,4,11,7,0,0,3,0,0.37,0.21,0.58,0.37,0.58,Matches,Bundesliga,2025-26,52,22,42.3,2.72,1.15,0.13,0.32,,,,,,,,
2,Junior Adamu,at AUT,FW,Freiburg,24,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches,Bundesliga,2025-26,8,3,37.5,1.61,0.61,0.13,0.33,,,,,,,,
3,Karim Adeyemi,de GER,"MF,FW",Dortmund,23,2002,28,15,1195,13.3,7,4,11,7,0,0,5,0,0.53,0.30,0.83,0.53,0.83,Matches,Bundesliga,2025-26,31,14,45.2,2.33,1.05,0.23,0.50,,,,,,,,
4,Jonas Adjetey,gh GHA,DF,Wolfsburg,21,2003,4,1,137,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,3,0,0.0,1.97,0.00,0.00,,,,,,,,,
5,Dapo Afolayan,eng ENG,MF,St Pauli,27,1997,7,1,150,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,4,2,50.0,2.40,1.20,0.00,0.00,,,,,,,,
6,Felix Agu,ng NGA,"DF,MF",Werder Bremen,25,1999,11,9,744,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,2,1,50.0,0.24,0.12,0.00,0.00,,,,,,,,
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30,1995,8,1,61,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,0,0,,0.00,0.00,,,,,,,,,,
8,Mathis Albert,us USA,FW,Dortmund,16,2009,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,0,0,,0.00,0.00,,,,,,,,,,
9,Skelly Alvero,fr FRA,MF,Werder Bremen,23,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,0,0,,0.00,0.00,,,,,,,,,,
10,Ayoube Amaimouni,ma MAR,"MF,FW",Frankfurt,20,2004,17,6,586,6.5,2,3,5,2,0,0,1,0,0.31,0.46,0.77,0.31,0.77,Matches,Bundesliga,2025-26,12,7,58.3,1.84,1.08,0.17,0.29,,,,,,,,
11,Aurèle Amenda,ch SUI,DF,Frankfurt,22,2003,24,18,1678,18.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,10,2,20.0,0.54,0.11,0.00,0.00,,,,,,,,
12,Nadiem Amiri,de GER,MF,Mainz 05,28,1996,26,24,2083,23.1,12,2,14,4,8,8,6,0,0.52,0.09,0.60,0.17,0.26,Matches,Bundesliga,2025-26,54,22,40.7,2.33,0.95,0.07,0.18,,,,,,,,
13,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,25,2000,30,23,1919,21.3,8,3,11,7,1,1,2,0,0.38,0.14,0.52,0.33,0.47,Matches,Bundesliga,2025-26,60,19,31.7,2.81,0.89,0.12,0.37,,,,,,,,
14,Tomoya Ando,jp JPN,DF,St Pauli,26,1999,15,14,1260,14.0,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,Bundesliga,2025-26,8,2,25.0,0.57,0.14,0.00,0.00,,,,,,,,
15,Robert Andrich,de GER,"DF,MF",Leverkusen,30,1994,32,29,2546,28.3,2,0,2,2,0,0,6,1,0.07,0.00,0.07,0.07,0.07,Matches,Bundesliga,2025-26,12,3,25.0,0.42,0.11,0.17,0.67,,,,,,,,
16,Ilyas Ansah,de GER,"MF,FW",Union Berlin,20,2004,33,23,1892,21.0,5,1,6,5,0,0,1,0,0.24,0.05,0.29,0.24,0.29,Matches,Bundesliga,2025-26,33,12,36.4,1.57,0.57,0.15,0.42,,,,,,,,
17,Aaron Anselmino,ar ARG,DF,Dortmund,20,2005,6,4,368,4.1,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,Bundesliga,2025-26,1,1,100.0,0.24,0.24,1.00,1.00,,,,,,,,
18,Waldemar Anton,de GER,DF,Dortmund,29,1996,32,32,2880,32.0,2,0,2,2,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,Bundesliga,2025-26,16,6,37.5,0.50,0.19,0.13,0.33,,,,,,,,
19,Jeremy Arévalo,ec ECU,FW,Stuttgart,20,2005,7,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,3,1,33.3,7.11,2.37,0.00,0.00,,,,,,,,
20,Maximilian Arnold,de GER,MF,Wolfsburg,31,1994,25,20,1859,20.7,1,4,5,1,0,0,5,0,0.05,0.19,0.24,0.05,0.24,Matches,Bundesliga,2025-26,13,5,38.5,0.63,0.24,0.08,0.20,,,,,,,,
21,Love Arrhov,se SWE,MF,Frankfurt,17,2008,5,1,65,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,0,0,,0.00,0.00,,,,,,,,,,
22,Arthur,br BRA,MF,Leverkusen,22,2003,20,13,1136,12.6,1,3,4,1,0,0,3,0,0.08,0.24,0.32,0.08,0.32,Matches,Bundesliga,2025-26,10,2,20.0,0.79,0.16,0.10,0.50,,,,,,,,
23,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,22,2002,33,31,2335,25.9,10,7,17,10,0,0,2,0,0.39,0.27,0.66,0.39,0.66,Matches,Bundesliga,2025-26,73,28,38.4,2.81,1.08,0.14,0.36,,,,,,,,
24,Lorenz Assignon,tg TOG,"DF,MF",Stuttgart,25,2000,24,12,1094,12.2,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,12,4,33.3,0.99,0.33,0.00,0.00,,,,,,,,
25,Noah Atubolu,de GER,GK,Freiburg,23,2002,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,0,0,,0.00,0.00,,,57,1.68,157,100,63.7,6,17.6,100.0
26,Leon Avdullahu,xk KVX,MF,Hoffenheim,21,2004,33,32,2834,31.5,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,Bundesliga,2025-26,14,2,14.3,0.44,0.06,0.00,0.00,,,,,,,,
27,Mio Backhaus,de GER,GK,Werder Bremen,21,2004,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,0,0,,0.00,0.00,,,56,1.75,156,100,64.1,5,15.6,0.0
28,Loïc Bade,fr FRA,DF,Leverkusen,25,2000,23,19,1653,18.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Bundesliga,2025-26,12,4,33.3,0.65,0.22,0.00,0.00,,,,,,,,
