player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abiama Dickson,ngNGA,4.0,Greuther Fürth,22,1998,8.1,,7,,,,,,,,,,,5,,,,Matches
Ache Ragnar,deGER,3.0,Eintracht Frankfurt,23,1998,2.9,,0,,,,,,,,,,,0,,,,Matches
Adams Tyler,usUSA,3.0,RB Leipzig,22,1999,15.0,,9,,,,,,,,,,,17,,,,Matches
Adamyan Sargis,amARM,3.4,Hoffenheim,28,1993,3.7,,5,,,,,,,,,,,1,,,,Matches
Adli Amine,maMAR,3.4,Leverkusen,21,2000,14.0,,14,,,,,,,,,,,11,,,,Matches
Ahamada Naouirou,frFRA,3.0,Stuttgart,19,2002,0.7,,0,,,,,,,,,,,0,,,,Matches
Akanji Manuel,chSUI,2.0,Dortmund,26,1995,25.1,,23,,,,,,,,,,,36,,,,Matches
Akpoguma Kevin,ngNGA,2.3,Hoffenheim,26,1995,17.0,,21,,,,,,,,,,,21,,,,Matches
Alario Lucas,arARG,4.0,Leverkusen,28,1992,7.3,,5,,,,,,,,,,,1,,,,Matches
Amiri Nadiem,deGER,3.0,Leverkusen,24,1996,4.1,,4,,,,,,,,,,,5,,,,Matches
Andersson Sebastian,seSWE,4.0,Köln,30,1991,14.0,,7,,,,,,,,,,,2,,,,Matches
Andrade Cedeño Andrés,paPAN,2.0,Arminia,22,1998,11.6,,16,,,,,,,,,,,18,,,,Matches
André Bjørkan Fredrik,noNOR,2.0,Hertha BSC,22,1998,3.9,,11,,,,,,,,,,,6,,,,Matches
Andrich Robert,deGER,3.0,Leverkusen,26,1994,20.2,,16,,,,,,,,,,,31,,,,Matches
Angeliño,esESP,2.4,RB Leipzig,24,1997,25.5,,20,,,,,,,,,,,31,,,,Matches
Anton Waldemar,deGER,2.0,Stuttgart,25,1996,28.8,,27,,,,,,,,,,,32,,,,Matches
Antwi-Adjei Christopher,ghGHA,3.5,Bochum,27,1994,12.6,,17,,,,,,,,,,,1,,,,Matches
Aránguiz Charles,clCHI,3.0,Leverkusen,32,1989,17.5,,26,,,,,,,,,,,34,,,,Matches
Arnold Maximilian,deGER,3.0,Wolfsburg,27,1994,33.3,,20,,,,,,,,,,,38,,,,Matches
Asano Takuma,jpJPN,3.5,Bochum,26,1994,17.9,,6,,,,,,,,,,,9,,,,Matches
Ascacíbar Santiago,arARG,3.0,Hertha BSC,24,1997,26.4,,52,,,,,,,,,,,43,,,,Matches
Asllani Fisnik,xkKVX,4.0,Hoffenheim,18,2002,0.1,,0,,,,,,,,,,,0,,,,Matches
Asta Simon,deGER,2.4,Greuther Fürth,20,2001,8.7,,7,,,,,,,,,,,7,,,,Matches
Awoniyi Taiwo,ngNGA,4.0,Union Berlin,23,1997,24.2,,7,,,,,,,,,,,1,,,,Matches
Azmoun Sardar,irIRN,3.4,Leverkusen,26,1995,4.0,,1,,,,,,,,,,,0,,,,Matches
Bakker Mitchel,nlNED,2.3,Leverkusen,21,2000,20.2,,21,,,,,,,,,,,24,,,,Matches
Baku Ridle,deGER,2.4,Wolfsburg,23,1998,27.2,,39,,,,,,,,,,,24,,,,Matches
Barkok Aymen,maMAR,3.0,Eintracht Frankfurt,23,1998,1.8,,3,,,,,,,,,,,5,,,,Matches
Barreiro Martins Leandro,luLUX,3.0,Mainz 05,21,2000,19.9,,33,,,,,,,,,,,34,,,,Matches
Barrett Laursen Jacob,dkDEN,2.3,Arminia,26,1994,18.1,,12,,,,,,,,,,,29,,,,Matches
Barry Abdourahmane,gnGUI,2.0,Greuther Fürth,21,2000,2.3,,5,,,,,,,,,,,4,,,,Matches
Bauer Maximilian,deGER,2.0,Greuther Fürth,21,2000,18.8,,16,,,,,,,,,,,32,,,,Matches
Baumann Oliver,deGER,1.0,Hoffenheim,31,1990,33.0,,0,,,,,,,,,,,0,,,,Matches
Baumgartl Timo,deGER,2.0,Union Berlin,25,1996,24.1,,29,,,,,,,,,,,38,,,,Matches
Baumgartlinger Julian,atAUT,3.0,Leverkusen,33,1988,1.0,,1,,,,,,,,,,,2,,,,Matches
