Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
186,Alexander lowry,sct SCO,MF,Hearts,20,2003,12,10,725,8.1,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Luiyi de Lucas,do DOM,DF,Livingston,28,1994,12,11,997,11.1,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,John Lundstram,eng ENG,MF,Rangers,29,1994,34,33,2842,31.6,0,5,5,0,0,0,3,1,0.00,0.16,0.16,0.00,0.16,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Brad Lyons,nir NIR,MF,Kilmarnock,26,1997,23,20,1690,18.8,2,0,2,2,0,0,7,0,0.11,0.00,0.11,0.11,0.11,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Angus MacDonald,eng ENG,DF,Aberdeen,30,1992,21,15,1425,15.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Jacob MacIntyre,sct SCO,MF,Hibernian,17,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Daniel Mackay,sct SCO,MF,Livingston,22,2001,24,11,1078,12.0,1,1,2,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Gary Mackay-Steven,sct SCO,MF,Kilmarnock,32,1990,9,1,147,1.6,1,0,1,1,0,0,0,0,0.61,0.00,0.61,0.61,0.61,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Jack MacKenzie,sct SCO,DF,Aberdeen,23,2000,27,25,2158,24.0,1,1,2,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Cameron MacPherson,sct SCO,MF,St Johnstone,24,1998,12,4,485,5.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Daizen Maeda,jp JPN,FW,Celtic,25,1997,28,25,2049,22.8,6,3,9,6,0,0,4,0,0.26,0.13,0.40,0.26,0.40,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Kyle Magennis,sct SCO,MF,Kilmarnock,24,1998,8,7,560,6.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Curtis Main,eng ENG,FW,Dundee,31,1992,14,4,474,5.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Mikael Mandron,fr FRA,FW,St Mirren,28,1994,35,23,2023,22.5,8,3,11,8,0,1,2,0,0.36,0.13,0.49,0.36,0.49,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Myziane Maolida,km COM,"MF,FW",Hibernian,24,1999,18,16,1381,15.3,10,2,12,8,2,2,1,0,0.65,0.13,0.78,0.52,0.65,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Emiliano Marcondes,dk DEN,MF,Hibernian,28,1995,15,13,1171,13.0,3,0,3,3,0,0,2,0,0.23,0.00,0.23,0.23,0.23,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,David Marshall,sct SCO,GK,Hibernian,38,1985,33,33,2858,31.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,15.0,sct SCO,GK,Hibernian,38.0,1985.0,33.0,33.0,2858.0,31.8,48.0,1.51,124.0,85.0,66.9,10.0,11.0,12.0,9.0,27.3,10.0,7.0,2.0,1.0,22.2,Matches,Scottish Premiership,2023-24
203,Rabbi Matondo,wls WAL,"MF,FW",Rangers,22,2000,19,7,628,7.0,5,3,8,5,0,0,1,0,0.72,0.43,1.15,0.72,1.15,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Stevie May,sct SCO,"FW,MF",St Johnstone,30,1992,28,8,887,9.9,0,2,2,0,0,0,4,0,0.00,0.20,0.20,0.00,0.20,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Eliezer Mayenda,es ESP,FW,Hibernian,18,2005,2,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Lewis Mayo,sct SCO,DF,Kilmarnock,23,2000,36,36,3207,35.6,1,0,1,1,0,0,5,1,0.03,0.00,0.03,0.03,0.03,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Benjamin Mbunga-Kimpioka,se SWE,FW,St Johnstone,23,2000,17,7,671,7.5,3,0,3,3,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Ross McCausland,nir NIR,"MF,FW",Rangers,20,2003,29,15,1534,17.0,3,4,7,3,0,0,0,0,0.18,0.23,0.41,0.18,0.41,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Sam McClelland,nir NIR,DF,St Johnstone,21,2002,7,5,527,5.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Luke McCowan,sct SCO,MF,Dundee,25,1997,37,37,3260,36.2,10,5,15,7,3,4,9,1,0.28,0.14,0.41,0.19,0.33,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Jon McCracken,sct SCO,GK,Dundee,23,2000,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,16.0,sct SCO,GK,Dundee,23.0,2000.0,12.0,12.0,1080.0,12.0,21.0,1.75,65.0,45.0,67.7,2.0,5.0,5.0,3.0,25.0,1.0,0.0,1.0,0.0,100.0,Matches,Scottish Premiership,2023-24
212,James McGarry,nz NZL,"MF,DF",Aberdeen,25,1998,13,7,579,6.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Jordan McGhee,sct SCO,"DF,MF",Dundee,27,1996,33,32,2734,30.4,5,0,5,5,0,0,5,0,0.16,0.00,0.16,0.16,0.16,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Nathan McGinley,eng ENG,DF,Motherwell,26,1996,2,0,19,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Paul McGinn,sct SCO,"DF,MF",Motherwell,32,1990,31,29,2608,29.0,1,0,1,1,0,0,4,1,0.03,0.00,0.03,0.03,0.03,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Michael McGovern,nir NIR,GK,Livingston,39,1984,3,2,214,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,17.0,nir NIR,GK,Livingston,39.0,1984.0,3.0,2.0,214.0,2.4,8.0,3.36,11.0,3.0,27.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Matches,Scottish Premiership,2023-24
217,Ryan McGowan,au AUS,DF,St Johnstone,33,1989,29,27,2461,27.3,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Jamie McGrath,ie IRL,MF,Aberdeen,26,1996,34,31,2653,29.5,9,1,10,9,0,0,5,0,0.31,0.03,0.34,0.31,0.34,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Callum McGregor,sct SCO,MF,Celtic,30,1993,35,33,2871,31.9,2,6,8,2,0,0,5,0,0.06,0.19,0.25,0.06,0.25,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Barrie McKay,sct SCO,"MF,FW",Hearts,28,1994,11,4,405,4.5,0,2,2,0,0,0,0,0,0.00,0.44,0.44,0.00,0.44,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Rory McKenzie,sct SCO,MF,Kilmarnock,29,1993,28,4,654,7.3,1,0,1,1,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Cole McKinnon,sct SCO,MF,Rangers,20,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Harry McKirdy,eng ENG,"FW,MF",Hibernian,26,1997,2,0,22,0.2,0,1,1,0,0,0,0,0,0.00,4.09,4.09,0.00,4.09,Matches,Scottish Premiership,2023-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
