Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
1,Liel Abada,il ISR,FW,Celtic,19,2001,36,24,2185,24.3,10,6,16,10,0,0,1,0,0.41,0.25,0.66,0.41,0.66,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Charlie Adam,sct SCO,MF,Dundee,35,1985,27,21,1627,18.1,2,3,5,2,0,0,11,0,0.11,0.17,0.28,0.11,0.28,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Murray Aiken,mf SMN,MF,Hibernian,16,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Albian Ajeti,ch SUI,FW,Celtic,24,1997,7,3,303,3.4,2,0,2,2,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tim Akinola,eng ENG,MF,Dundee United,20,2001,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Scott Allan,sct SCO,MF,Hibernian,29,1991,17,4,516,5.7,0,3,3,0,0,0,3,0,0.00,0.52,0.52,0.00,0.52,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jak Alnwick,eng ENG,GK,St Mirren,28,1993,33,33,2968,33.0,0,1,1,0,0,0,2,1,0.00,0.03,0.03,0.00,0.03,Matches,Scottish Premiership,2021-22,1,eng ENG,GK,St Mirren,28,1993,33,33,2968,33.0,41,1.24,153,115,75.8,9,13,11,11,33.3,4,4,0,0,0.0,Matches,Scottish Premiership,2021-22
8,Justin Amaluzor,eng ENG,FW,Motherwell,24,1996,10,2,270,3.0,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Efe Ambrose,ng NGA,DF,St Johnstone,32,1988,6,4,402,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bruce Anderson,sct SCO,FW,Livingston,22,1998,28,20,1587,17.6,11,4,15,11,0,0,4,0,0.62,0.23,0.85,0.62,0.85,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Max Anderson,sct SCO,MF,Dundee,20,2001,33,28,2372,26.4,1,0,1,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Louis Appere,sct SCO,"FW,MF",Dundee United,22,1999,13,4,458,5.1,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Scott Arfield,ca CAN,MF,Rangers,32,1988,29,18,1608,17.9,4,0,4,4,0,0,3,0,0.22,0.00,0.22,0.22,0.22,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Joe Aribo,ng NGA,"MF,FW",Rangers,25,1996,34,31,2687,29.9,8,4,12,8,0,0,5,0,0.27,0.13,0.40,0.27,0.40,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Lee Ashcroft,sct SCO,DF,Dundee,27,1993,16,15,1324,14.7,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches,Scottish Premiership,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
