player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Babić Srđan,rsSRB,2.0,Almería,26,1996,33.3,,19,,,,,,,,,,,27,,,,Matches
Bade Loïc,frFRA,2.0,Sevilla,22,2000,16.1,,21,,,,,,,,,,,22,,,,Matches
Badía Édgar,esESP,1.0,Elche,30,1992,36.0,,0,,,,,,,,,,,0,,,,Matches
Baena Alex,esESP,3.4,Villarreal,21,2001,21.6,,17,,,,,,,,,,,7,,,,Matches
Balde Alejandro,esESP,2.0,Barcelona,18,2003,27.5,,32,,,,,,,,,,,12,,,,Matches
Balenziaga Mikel,esESP,2.0,Athletic Club,34,1988,1.3,,4,,,,,,,,,,,1,,,,Matches
Balliu Iván,alALB,2.0,Rayo Vallecano,30,1992,35.9,,30,,,,,,,,,,,24,,,,Matches
Baptistão Léo,brBRA,3.5,Almería,29,1992,19.2,,20,,,,,,,,,,,18,,,,Matches
Bare Keidi,alALB,3.0,Espanyol,24,1997,5.6,,7,,,,,,,,,,,11,,,,Matches
Barja Kike,esESP,3.5,Osasuna,25,1997,14.6,,10,,,,,,,,,,,5,,,,Matches
Barrenetxea Ander,esESP,2.3,Real Sociedad,20,2001,9.8,,15,,,,,,,,,,,5,,,,Matches
Barrios Pablo,esESP,3.0,Atlético Madrid,19,2003,8.0,,11,,,,,,,,,,,8,,,,Matches
Battaglia Rodrigo,arARG,3.0,Mallorca,31,1991,7.6,,6,,,,,,,,,,,5,,,,Matches
Bebé,cvCPV,3.5,Rayo Vallecano,32,1990,0.7,,0,,,,,,,,,,,0,,,,Matches
Bellerín Héctor,esESP,2.0,Barcelona,27,1995,1.6,,0,,,,,,,,,,,3,,,,Matches
Beltrán Fran,esESP,3.0,Celta Vigo,23,1999,31.7,,22,,,,,,,,,,,53,,,,Matches
Benito Iker,esESP,3.0,Osasuna,19,2002,2.0,,3,,,,,,,,,,,2,,,,Matches
Benzema Karim,frFRA,4.0,Real Madrid,34,1987,22.6,,5,,,,,,,,,,,1,,,,Matches
Berchiche Yuri,esESP,2.0,Athletic Club,32,1990,26.7,,33,,,,,,,,,,,36,,,,Matches
Berenguer Álex,esESP,3.0,Athletic Club,27,1995,25.5,,35,,,,,,,,,,,10,,,,Matches
Bigas Pedro,esESP,2.0,Elche,31,1990,22.4,,20,,,,,,,,,,,33,,,,Matches
Bilal Touré El,mlMLI,4.0,Almería,20,2001,14.0,,3,,,,,,,,,,,3,,,,Matches
Blanco Antonio,esESP,3.0,Cádiz,22,2000,1.8,,4,,,,,,,,,,,1,,,,Matches
Blanco Lautaro,arARG,2.3,Elche,23,1999,9.7,,10,,,,,,,,,,,2,,,,Matches
Bongonda Theo,cdCOD,3.0,Cádiz,26,1995,21.5,,21,,,,,,,,,,,6,,,,Matches
Bounou Yassine,maMAR,1.0,Sevilla,31,1991,23.9,,1,,,,,,,,,,,2,,,,Matches
Boyé Lucas,arARG,4.0,Elche,26,1996,27.4,,16,,,,,,,,,,,14,,,,Matches
Braithwaite Martin,dkDEN,3.5,Espanyol,31,1991,27.3,,3,,,,,,,,,,,6,,,,Matches
Brašanac Darko,rsSRB,3.0,Osasuna,30,1992,11.6,,20,,,,,,,,,,,12,,,,Matches
Bravo Claudio,clCHI,1.0,Real Betis,39,1983,12.0,,0,,,,,,,,,,,2,,,,Matches
Budimir Ante,hrCRO,4.0,Osasuna,31,1991,20.0,,8,,,,,,,,,,,5,,,,Matches
Bueno Manu,esESP,3.0,Sevilla,18,2004,1.7,,4,,,,,,,,,,,1,,,,Matches
Bueno Santiago,uyURU,2.0,Girona,23,1998,33.4,,37,,,,,,,,,,,35,,,,Matches
Busquets Sergio,esESP,3.0,Barcelona,34,1988,26.0,,27,,,,,,,,,,,29,,,,Matches
Cabrera Leandro,uyURU,2.0,Espanyol,31,1991,29.7,,25,,,,,,,,,,,42,,,,Matches
Cala,esESP,2.0,Cádiz,32,1989,1.5,,1,,,,,,,,,,,1,,,,Matches
Calero Fernando,esESP,2.3,Espanyol,26,1995,17.9,,31,,,,,,,,,,,15,,,,Matches
Callens Alexander,pePER,2.0,Girona,30,1992,1.3,,3,,,,,,,,,,,1,,,,Matches
Camavinga Eduardo,frFRA,2.4,Real Madrid,19,2002,22.3,,49,,,,,,,,,,,19,,,,Matches
Camello Sergio,esESP,4.0,Rayo Vallecano,21,2001,26.7,,9,,,,,,,,,,,2,,,,Matches
Canales Sergio,esESP,3.0,Real Betis,31,1991,26.7,,13,,,,,,,,,,,13,,,,Matches
Capa Ander,esESP,2.0,Athletic Club,30,1992,1.2,,1,,,,,,,,,,,0,,,,Matches
Capoue Étienne,frFRA,3.0,Villarreal,34,1988,21.7,,11,,,,,,,,,,,19,,,,Matches
Carcelen Isaac,esESP,2.0,Cádiz,29,1993,24.4,,51,,,,,,,,,,,20,,,,Matches
Carlos Juan,esESP,1.0,Girona,34,1988,10.0,,0,,,,,,,,,,,1,,,,Matches
Carlos Lazo José,esESP,3.0,Almería,26,1996,0.2,,0,,,,,,,,,,,0,,,,Matches
Carlos Lazo José,esESP,3.0,Espanyol,26,1996,1.8,,3,,,,,,,,,,,3,,,,Matches
Carmona,esESP,2.4,Elche,20,2002,6.5,,9,,,,,,,,,,,7,,,,Matches
Carmona,esESP,2.0,Sevilla,20,2002,5.9,,12,,,,,,,,,,,7,,,,Matches
Carrasco Yannick,beBEL,2.3,Atlético Madrid,28,1993,25.7,,15,,,,,,,,,,,12,,,,Matches
Carvajal Dani,esESP,2.0,Real Madrid,30,1992,19.8,,19,,,,,,,,,,,16,,,,Matches
Carvalho William,ptPOR,3.0,Real Betis,30,1992,27.1,,23,,,,,,,,,,,17,,,,Matches
Casemiro,brBRA,3.0,Real Madrid,30,1992,0.1,,0,,,,,,,,,,,0,,,,Matches
Castellanos Valentín,arARG,4.0,Girona,23,1998,28.9,,6,,,,,,,,,,,7,,,,Matches
Castillejo Samu,esESP,3.5,Valencia,27,1995,15.1,,13,,,,,,,,,,,8,,,,Matches
Catena,esESP,2.0,Rayo Vallecano,27,1994,34.5,,15,,,,,,,,,,,26,,,,Matches
Cavani Edinson,uyURU,4.0,Valencia,35,1987,16.1,,4,,,,,,,,,,,2,,,,Matches
Ceballos Dani,esESP,3.0,Real Madrid,25,1996,17.4,,31,,,,,,,,,,,27,,,,Matches
Centelles Álex,esESP,2.3,Almería,24,1997,12.5,,13,,,,,,,,,,,10,,,,Matches
Cervi Franco,arARG,3.0,Celta Vigo,28,1994,21.0,,47,,,,,,,,,,,37,,,,Matches
Chavarría Pep,esESP,3.0,Rayo Vallecano,24,1998,4.1,,4,,,,,,,,,,,2,,,,Matches
Cheikh Diop Pape,snSEN,3.0,Elche,24,1997,0.4,,0,,,,,,,,,,,0,,,,Matches
Christensen Andreas,dkDEN,2.0,Barcelona,26,1996,19.6,,15,,,,,,,,,,,20,,,,Matches
Chukwueze Samuel,ngNGA,3.5,Villarreal,23,1999,26.0,,12,,,,,,,,,,,12,,,,Matches
Chumi,esESP,2.0,Almería,23,1999,16.5,,15,,,,,,,,,,,15,,,,Matches
Chust Víctor,esESP,2.0,Cádiz,22,2000,10.7,,7,,,,,,,,,,,11,,,,Matches
Ciss Pathé,snSEN,3.0,Rayo Vallecano,28,1994,14.2,,30,,,,,,,,,,,22,,,,Matches
Clerc Carlos,esESP,2.3,Elche,30,1992,29.3,,52,,,,,,,,,,,27,,,,Matches
Collado Álex,esESP,3.0,Elche,23,1999,8.0,,15,,,,,,,,,,,2,,,,Matches
Collado Diego,esESP,3.5,Villarreal,21,2001,0.1,,0,,,,,,,,,,,1,,,,Matches
Cömert Eray,chSUI,2.0,Valencia,24,1998,18.6,,22,,,,,,,,,,,29,,,,Matches
Comesaña Santi,esESP,3.0,Rayo Vallecano,25,1996,27.2,,45,,,,,,,,,,,33,,,,Matches
Copete,esESP,2.0,Mallorca,22,1999,24.5,,29,,,,,,,,,,,42,,,,Matches
Coquelin Francis,frFRA,3.0,Villarreal,31,1991,8.3,,12,,,,,,,,,,,9,,,,Matches
Corona Jesús,mxMEX,3.0,Sevilla,29,1993,1.2,,0,,,,,,,,,,,2,,,,Matches
Correa Ángel,arARG,3.5,Atlético Madrid,27,1995,16.2,,7,,,,,,,,,,,9,,,,Matches
Correia Thierry,ptPOR,2.0,Valencia,23,1999,22.3,,51,,,,,,,,,,,25,,,,Matches
Costa Jaume,esESP,2.0,Mallorca,34,1988,28.9,,34,,,,,,,,,,,24,,,,Matches
Costa Samu,ptPOR,3.0,Almería,21,2000,22.1,,34,,,,,,,,,,,35,,,,Matches
Courtois Thibaut,beBEL,1.0,Real Madrid,30,1992,31.0,,0,,,,,,,,,,,3,,,,Matches
Couto Yan,brBRA,2.4,Girona,20,2002,12.9,,18,,,,,,,,,,,7,,,,Matches
Cruz Armada Juan,esESP,2.0,Osasuna,30,1992,22.9,,16,,,,,,,,,,,14,,,,Matches
Cruz Juan,esESP,3.0,Real Betis,22,2000,2.0,,0,,,,,,,,,,,0,,,,Matches
Cuenca Jorge,esESP,2.0,Villarreal,22,1999,5.6,,6,,,,,,,,,,,6,,,,Matches
Cufré Braian,arARG,2.4,Mallorca,25,1996,2.4,,2,,,,,,,,,,,2,,,,Matches
Cunha Matheus,brBRA,3.4,Atlético Madrid,23,1999,4.2,,1,,,,,,,,,,,2,,,,Matches
Curro,esESP,3.5,Almería,26,1996,0.5,,0,,,,,,,,,,,0,,,,Matches
Danjuma Arnaut,nlNED,4.0,Villarreal,25,1997,5.3,,3,,,,,,,,,,,0,,,,Matches
Darder Sergi,esESP,3.0,Espanyol,28,1993,36.9,,36,,,,,,,,,,,25,,,,Matches
De Paul Rodrigo,arARG,3.0,Atlético Madrid,28,1994,21.4,,21,,,,,,,,,,,7,,,,Matches
Del Moral Alberto,esESP,3.0,Villarreal,22,2000,0.1,,0,,,,,,,,,,,0,,,,Matches
Delaney Thomas,dkDEN,3.0,Sevilla,30,1991,3.4,,2,,,,,,,,,,,3,,,,Matches
Delgado Fran,esESP,2.0,Real Betis,21,2001,0.1,,0,,,,,,,,,,,0,,,,Matches
Dembélé Ousmane,frFRA,4.0,Barcelona,25,1997,15.7,,12,,,,,,,,,,,0,,,,Matches
Diakhaby Mouctar,gnGUI,2.0,Valencia,25,1996,27.2,,16,,,,,,,,,,,19,,,,Matches
Diarra Mamady,mlMLI,3.0,Cádiz,22,2000,0.7,,1,,,,,,,,,,,0,,,,Matches
Diarra Youba,mlMLI,3.0,Cádiz,24,1998,1.1,,0,,,,,,,,,,,1,,,,Matches
Dimitrievski Stole,mkMKD,1.0,Rayo Vallecano,28,1993,36.9,,0,,,,,,,,,,,1,,,,Matches
Djené,tgTOG,2.0,Getafe,30,1991,31.6,,28,,,,,,,,,,,39,,,,Matches
Dmitrović Marko,rsSRB,1.0,Sevilla,30,1992,14.1,,0,,,,,,,,,,,0,,,,Matches
Doherty Matt,ieIRL,2.3,Atlético Madrid,30,1992,0.2,,0,,,,,,,,,,,0,,,,Matches
Dolberg Kasper,dkDEN,4.0,Sevilla,24,1997,2.2,,0,,,,,,,,,,,0,,,,Matches
Dominguez Carlos,esESP,2.0,Celta Vigo,21,2001,1.2,,1,,,,,,,,,,,0,,,,Matches
Donald John,esESP,2.4,Elche,21,2000,12.1,,11,,,,,,,,,,,14,,,,Matches
Duarte Domingos,ptPOR,2.0,Getafe,27,1995,29.5,,19,,,,,,,,,,,40,,,,Matches
Durán Pablo,esESP,4.0,Celta Vigo,21,2001,0.4,,0,,,,,,,,,,,1,,,,Matches
Duro Hugo,esESP,4.0,Valencia,22,1999,15.4,,11,,,,,,,,,,,1,,,,Matches
Eguaras Íñigo,esESP,3.0,Almería,30,1992,10.7,,8,,,,,,,,,,,7,,,,Matches
Elustondo Aritz,esESP,2.0,Real Sociedad,28,1994,16.1,,17,,,,,,,,,,,20,,,,Matches
Ely Rodrigo,brBRA,2.0,Almería,28,1993,35.1,,21,,,,,,,,,,,30,,,,Matches
Embarba Adri,esESP,3.5,Almería,30,1992,16.4,,26,,,,,,,,,,,8,,,,Matches
Embarba Adri,esESP,3.5,Espanyol,30,1992,0.4,,0,,,,,,,,,,,0,,,,Matches
En-Nesyri Youssef,maMAR,4.0,Sevilla,25,1997,18.5,,6,,,,,,,,,,,4,,,,Matches
Escalante Gonzalo,arARG,3.0,Cádiz,29,1993,12.5,,24,,,,,,,,,,,17,,,,Matches
Escudero Sergio,esESP,2.3,Valladolid,32,1989,16.0,,19,,,,,,,,,,,26,,,,Matches
Espino Alfonso,uyURU,2.0,Cádiz,30,1992,34.7,,54,,,,,,,,,,,43,,,,Matches
Espinosa Bernardo,coCOL,2.0,Girona,33,1989,13.6,,3,,,,,,,,,,,14,,,,Matches
Expósito Edu,esESP,3.0,Espanyol,25,1996,12.9,,21,,,,,,,,,,,12,,,,Matches
Ezequiel Fernández Nicolás,arARG,2.4,Elche,22,2000,5.7,,13,,,,,,,,,,,4,,,,Matches
Ezzalzouli Abde,maMAR,3.5,Osasuna,20,2001,16.7,,21,,,,,,,,,,,4,,,,Matches
Falcao Radamel,coCOL,4.0,Rayo Vallecano,36,1986,6.8,,4,,,,,,,,,,,2,,,,Matches
Fali,esESP,2.3,Cádiz,28,1993,19.0,,20,,,,,,,,,,,13,,,,Matches
Fall Mamadou,snSEN,2.0,Villarreal,19,2002,0.3,,0,,,,,,,,,,,0,,,,Matches
Fati Ansu,esESP,4.0,Barcelona,19,2002,15.5,,9,,,,,,,,,,,5,,,,Matches
Feddal Zouhair,maMAR,2.0,Valladolid,33,1989,4.2,,3,,,,,,,,,,,6,,,,Matches
