player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abdullahi Ahmed,ngNGA,4.0,Gent,20,2004,0.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Abu Francis,ghGHA,3.0,Cercle Brugge,23,2001,20.3,3,1,1,23,24,0,12,18,53,,,0,Matches
Achihi Orseer,ngNGA,4.0,Antwerp,17,2006,0.3,1,0,0,2,0,0,0,0,0,,,0,Matches
Acquah Desmond,beBEL,3.0,Dender,22,2002,3.4,1,0,0,5,5,2,6,3,10,,,0,Matches
Adedeji Noah,beBEL,3.0,Genk,19,2005,9.7,0,0,0,6,18,4,25,14,13,,,0,Matches
Adekami Farouck,ciCIV,3.0,Antwerp,17,2006,1.4,1,0,0,1,1,0,1,0,1,,,0,Matches
Âdfaoui Mohammed,beBEL,3.0,Gent,16,2008,0.1,0,0,0,0,1,0,0,0,1,,,0,Matches
Adryelson,brBRA,2.0,Anderlecht,26,1998,7.8,0,0,0,2,4,0,1,10,7,,,0,Matches
Agyekum Lawrence,ghGHA,3.0,Cercle Brugge,20,2003,26.7,2,0,0,23,32,2,29,40,51,,,0,Matches
Akimoto Takahiro,jpJPN,2.3,OH Leuven,26,1998,22.5,6,0,0,18,22,0,12,25,38,,,0,Matches
Akman Ali,trTUR,4.0,Dender,22,2002,0.5,0,0,0,0,2,0,1,0,3,,,0,Matches
Alcocer Josimar,crCRC,3.0,Westerlo,20,2004,19.6,6,0,0,20,27,1,22,20,49,,,0,Matches
Alderweireld Toby,beBEL,2.0,Antwerp,35,1989,27.0,6,0,0,16,11,1,8,26,10,,,0,Matches
Alebiosu Ryan,ngNGA,2.4,Kortrijk,22,2001,6.8,1,0,0,6,0,1,29,7,6,,,0,Matches
Alexandropoulos Sotiris,grGRE,3.0,Standard Liège,22,2001,12.4,7,1,1,23,18,0,10,14,30,,,0,Matches
Alexis Arthur,beBEL,3.0,Sint-Truiden,18,2006,0.1,0,0,0,0,1,0,1,0,1,,,0,Matches
Ambrose Thierry,gpGLP,3.5,Kortrijk,27,1997,23.4,5,0,0,14,28,21,31,3,8,,,0,Matches
Amuzu Francis,beBEL,3.5,Anderlecht,24,1999,7.9,1,0,0,6,14,6,55,3,8,,,0,Matches
Ananou Frederic,tgTOG,2.4,Sint-Truiden,26,1997,2.2,0,0,0,2,0,1,1,1,6,,,0,Matches
Andreou Stelios,cyCYP,2.0,Charleroi,22,2002,34.0,5,1,1,15,7,1,5,43,26,,,0,Matches
Angulo Nilson,ecECU,3.4,Anderlecht,21,2003,13.0,1,0,0,27,26,4,39,7,29,,,0,Matches
Antonio Bill,zwZIM,3.4,Mechelen,21,2002,6.5,1,0,0,10,5,3,19,5,5,,,0,Matches
Araújo Tiago,ptPOR,2.4,Gent,23,2001,14.8,3,0,0,10,10,2,74,3,18,,,1,Matches
Arnstad Kristian,noNOR,3.0,Anderlecht,20,2003,0.3,0,0,0,0,0,0,3,1,0,,,0,Matches
Arokodare Tolu,ngNGA,4.0,Genk,23,2000,34.0,2,0,0,42,40,19,6,5,10,,,0,Matches
Asante Raymond,ghGHA,4.0,Charleroi,20,2004,1.7,0,0,0,1,4,0,3,1,0,,,0,Matches
Ashimeru Majeed,ghGHA,3.0,Anderlecht,26,1997,6.5,4,0,0,14,21,1,0,7,13,,,0,Matches
Assengue Steeven,beBEL,2.0,Standard Liège,19,2005,0.5,0,0,0,0,1,1,0,1,1,,,0,Matches
Augustinsson Ludwig,seSWE,2.0,Anderlecht,30,1994,14.4,1,0,0,18,6,0,66,21,24,,,0,Matches
Augusto Felipe,brBRA,4.0,Cercle Brugge,20,2004,17.4,1,0,0,33,26,15,15,6,10,,,0,Matches
Azzouz Yassine,maMAR,3.0,OH Leuven,17,2007,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Badamosi Muhammed,gmGAM,4.0,Standard Liège,25,1998,1.3,0,0,0,7,5,1,2,0,2,,,0,Matches
Badji Youssouph,snSEN,4.0,Charleroi,22,2001,2.3,0,0,0,2,2,0,0,0,1,,,0,Matches
Bafdili Bilal,beBEL,3.0,Mechelen,19,2004,11.6,4,0,0,15,8,2,35,4,9,,,0,Matches
Balikwisha Michel-Ange,cdCOD,3.0,Antwerp,23,2001,12.1,1,0,0,14,19,5,38,8,18,,,0,Matches
Balikwisha William,cdCOD,3.4,OH Leuven,25,1999,16.3,3,1,0,13,11,10,42,20,16,,,0,Matches
Banse Sacha,bfBFA,3.0,Standard Liège,23,2001,0.4,0,0,0,3,0,0,1,0,1,,,0,Matches
Banzuzi Ezechiel,nlNED,3.0,OH Leuven,19,2005,27.6,10,1,1,51,45,0,18,18,51,,,0,Matches
Barnes Joselpho,ghGHA,4.0,Sint-Truiden,22,2001,1.3,0,0,0,1,0,1,0,0,0,,,0,Matches
Bataille Jelle,beBEL,2.3,Antwerp,25,1999,22.0,3,0,0,18,22,1,50,34,46,,,0,Matches
Bates David,sctSCO,2.0,Standard Liège,27,1996,8.6,0,0,0,6,7,0,0,15,10,,,0,Matches
Bayram Emin,trTUR,2.0,Westerlo,21,2003,24.5,10,2,2,20,12,1,6,44,24,,,1,Matches
Bazunu Gavin,ieIRL,1.0,Standard Liège,22,2002,8.0,0,0,0,0,1,0,0,0,1,,,0,Matches
Belaid Zineddine,dzALG,2.0,Sint-Truiden,25,1999,10.1,2,0,0,10,1,0,0,13,8,,,0,Matches
Belghali Rafik,dzALG,2.4,Mechelen,22,2002,26.7,3,0,0,26,21,5,55,24,33,,,0,Matches
Benaets Quentin,beBEL,4.0,Charleroi,20,2003,0.1,0,0,0,0,2,0,4,0,1,,,0,Matches
Benítez Mauricio,arARG,3.0,Antwerp,20,2004,4.3,1,0,0,5,1,0,0,7,2,,,0,Matches
Benjdida Soufiane,maMAR,4.0,Standard Liège,22,2001,6.3,1,0,0,13,1,7,4,2,1,,,0,Matches
Bernier Antoine,beBEL,3.0,Charleroi,26,1997,25.8,5,0,0,23,25,9,62,12,44,,,0,Matches
Bertaccini Adriano,beBEL,3.5,Sint-Truiden,23,2000,30.6,9,0,0,34,32,17,14,7,11,,,0,Matches
Berte Mohamed,beBEL,4.0,Dender,22,2002,19.8,3,0,0,34,28,3,7,3,19,,,0,Matches
Biron Mickaël,mqMTQ,3.5,OH Leuven,26,1997,1.4,0,0,0,0,3,0,4,0,3,,,0,Matches
Bodart Arnaud,beBEL,1.0,Standard Liège,26,1998,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Bolat Sinan,trTUR,1.0,Westerlo,35,1988,11.0,3,0,0,0,3,0,0,0,1,,,0,Matches
Bolingoli-Mbombo Boli,beBEL,2.4,Standard Liège,29,1995,8.6,4,0,0,19,15,2,19,9,14,,,0,Matches
Bonsu-Baah Christopher,ghGHA,3.4,Genk,19,2004,28.4,2,0,0,35,80,7,85,17,30,,,0,Matches
Bos Jordy,auAUS,2.4,Westerlo,21,2002,11.4,2,0,0,7,12,1,36,15,13,,,0,Matches
Boufal Sofiane,maMAR,3.0,Union SG,30,1993,7.5,4,0,0,16,19,0,23,4,10,,,0,Matches
Boukamir Amine,maMAR,3.0,Charleroi,17,2006,0.4,0,0,0,2,0,0,0,1,2,,,0,Matches
Bozhinov Rosen,bgBUL,2.0,Antwerp,19,2005,1.8,4,1,1,6,1,0,0,5,2,,,0,Matches
Brahimi Bilal,dzALG,3.5,Sint-Truiden,24,2000,19.9,7,1,1,12,19,5,218,13,8,,,0,Matches
Brown Archie,engENG,2.3,Gent,22,2002,29.3,7,0,0,32,25,3,105,28,29,,,0,Matches
Bruninho,brBRA,3.0,Cercle Brugge,21,2003,5.7,0,0,0,2,10,0,16,1,7,,,0,Matches
Brunner Paris,deGER,4.0,Cercle Brugge,18,2006,5.9,1,0,0,8,10,5,2,0,3,,,0,Matches
Bruno Massimo,beBEL,3.0,Kortrijk,30,1993,6.5,1,0,0,8,7,0,29,1,9,,,0,Matches
Bulat Marko,hrCRO,3.4,Standard Liège,22,2001,18.1,3,0,0,10,20,5,108,17,23,,,0,Matches
Burgess Christian,engENG,2.0,Union SG,32,1991,30.0,11,0,0,28,9,0,2,25,29,,,0,Matches
Cagro Welat,beBEL,3.0,Beerschot Wilrijk,25,1999,10.6,7,2,0,18,15,0,15,8,12,,,0,Matches
Calut Alexandro,beBEL,2.3,Standard Liège,21,2003,3.3,1,0,0,5,4,0,9,8,5,,,0,Matches
Camara Etienne,frFRA,3.0,Charleroi,21,2003,16.7,5,0,0,24,6,1,5,17,25,,,0,Matches
Camara Ilay,snSEN,3.0,Standard Liège,21,2003,27.5,4,0,0,31,45,9,107,21,28,,,0,Matches
Campbell Shandre,zaRSA,3.0,Club Brugge,19,2005,0.2,0,0,0,0,0,0,4,0,0,,,0,Matches
Castro-Montes Alessio,beBEL,3.0,Union SG,27,1997,14.5,3,0,0,11,17,1,83,13,22,,,0,Matches
Chery Tjaronn,srSUR,3.4,Antwerp,36,1988,33.9,2,0,0,18,25,7,189,7,19,,,0,Matches
Claes Thomas,beBEL,3.0,Genk,20,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Colassin Antoine,beBEL,3.5,Beerschot Wilrijk,23,2001,18.1,4,1,0,20,27,0,23,15,14,,,0,Matches
Cools Kobe,beBEL,2.0,Dender,27,1997,35.6,5,0,0,33,6,1,3,72,25,,,1,Matches
Coosemans Colin,beBEL,1.0,Anderlecht,31,1992,38.0,1,0,0,0,8,0,0,1,2,,,0,Matches
Coppens Jo,beBEL,1.0,Sint-Truiden,33,1990,3.0,2,0,0,1,0,0,0,0,0,,,0,Matches
Corbanie Kobe,beBEL,2.4,Antwerp,19,2005,14.4,2,0,0,13,13,0,13,23,25,,,0,Matches
Costa Ayrton,arARG,2.0,Antwerp,25,1999,13.5,7,0,0,32,17,1,14,29,30,,,0,Matches
Cuesta Carlos,coCOL,2.0,Genk,25,1999,6.8,3,0,0,7,1,0,0,5,11,,,0,Matches
Czubak Karol,plPOL,4.0,Kortrijk,24,2000,0.9,0,0,0,4,1,0,0,1,0,,,0,Matches
Dabbagh Oday,psPLE,4.0,Charleroi,25,1998,5.5,1,1,0,4,5,7,3,0,2,,,0,Matches
Dagba Colin,frFRA,2.3,Beerschot Wilrijk,25,1998,16.2,5,0,0,12,9,0,25,14,41,,,0,Matches
Dagur Þorsteinsson Jón,isISL,3.5,OH Leuven,25,1998,1.0,0,0,0,0,1,1,10,1,1,,,0,Matches
