player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Abner,brBRA,2.0,Real Betis,22,2000,6.7,2,0,0,8,2,0,13,8,9,,,0,Matches
Aceves Álvaro,esESP,1.0,Valladolid,19,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Acuña Marcos,arARG,2.0,Sevilla,30,1991,21.2,10,3,0,29,34,1,141,24,40,,,0,Matches
Agirrezabala Julen,esESP,1.0,Athletic Club,21,2000,7.5,0,0,0,0,0,0,0,0,0,,,0,Matches
Aguado Álvaro,esESP,3.0,Valladolid,26,1996,21.0,4,0,0,14,33,0,57,13,13,,,0,Matches
Aidoo Joseph,ghGHA,2.0,Celta Vigo,26,1995,34.7,6,1,1,18,18,1,3,28,35,,,0,Matches
Akieme Sergio,esESP,2.0,Almería,24,1997,25.5,5,0,0,20,18,0,70,13,15,,,0,Matches
Akinsola Babatunde,ngNGA,3.0,Valladolid,19,2003,0.1,0,0,0,0,1,0,0,0,1,,,0,Matches
Akouokou Paul,ciCIV,2.4,Real Betis,24,1997,5.0,3,0,0,7,4,0,0,12,8,,,0,Matches
Alaba David,atAUT,2.0,Real Madrid,30,1992,20.4,3,0,0,9,3,0,27,13,11,,,0,Matches
Alarcón Ángel,esESP,4.0,Barcelona,18,2004,0.3,0,0,0,2,1,0,1,0,0,,,0,Matches
Alarcón Tomás,clCHI,3.0,Cádiz,23,1999,2.5,2,1,1,4,3,0,6,2,2,,,0,Matches
Alba Jordi,esESP,2.0,Barcelona,33,1989,15.8,6,1,1,11,4,10,90,12,17,,,0,Matches
Albiol Raúl,esESP,2.0,Villarreal,36,1985,23.5,6,0,0,17,13,1,1,14,18,,,0,Matches
Alcaraz Rubén,esESP,3.0,Cádiz,31,1991,22.7,11,1,1,45,33,0,44,19,32,,,0,Matches
Alderete Omar,pyPAR,2.0,Getafe,25,1996,22.7,9,0,0,35,10,0,7,27,18,,,0,Matches
Alejo Iván,esESP,3.0,Cádiz,27,1995,14.6,13,1,1,39,44,2,108,4,22,,,0,Matches
Aleñá Carles,esESP,3.4,Getafe,24,1998,23.5,12,1,1,60,50,3,43,4,12,,,0,Matches
Alfaro Alejandro,esESP,3.0,Elche,20,2002,0.2,0,0,0,2,0,0,0,0,0,,,0,Matches
Algobia Ángel,esESP,3.0,Getafe,23,1999,12.6,3,0,0,31,10,0,12,4,12,,,0,Matches
Ali Cho Mohamed,frFRA,3.5,Real Sociedad,18,2004,6.5,1,0,0,11,12,3,30,1,10,,,0,Matches
Almeida Domingos André Ribeiro,ptPOR,3.0,Valencia,22,2000,28.2,3,0,0,31,40,1,128,21,42,,,0,Matches
Alonso Marcos,esESP,2.0,Barcelona,31,1990,13.0,3,0,0,10,8,0,23,9,10,,,0,Matches
Álvarez Carlos,esESP,3.0,Sevilla,18,2003,0.1,1,0,0,1,0,0,0,0,1,,,0,Matches
Álvarez Gastón,uyURU,2.0,Getafe,22,2000,16.7,7,1,0,27,12,0,23,15,29,,,0,Matches
Álvarez Yeray,esESP,2.0,Athletic Club,27,1995,25.9,7,1,0,22,22,1,9,47,25,,,0,Matches
Amallah Selim,maMAR,3.4,Valladolid,25,1996,3.0,2,1,0,10,8,1,2,5,8,,,0,Matches
Amath,snSEN,3.4,Mallorca,26,1996,13.6,2,1,0,34,24,7,16,4,17,,,0,Matches
Amavi Jordan,frFRA,2.0,Getafe,28,1994,2.2,2,1,1,3,2,1,6,3,2,,,0,Matches
André Marcos,brBRA,4.0,Valencia,25,1996,5.0,2,1,0,8,12,1,1,0,1,,,0,Matches
Angileri Fabrizio,arARG,2.0,Getafe,28,1994,6.5,2,1,0,7,1,0,12,7,9,,,0,Matches
Antoni Gayá Josep,esESP,2.0,Mallorca,22,2000,1.1,0,0,0,0,0,0,0,1,0,,,0,Matches
Antonio José,esESP,3.0,Cádiz,18,2004,0.5,0,0,0,0,4,0,1,0,1,,,0,Matches
Anuar,maMAR,3.4,Valladolid,27,1995,2.3,1,0,0,3,6,1,1,3,4,,,0,Matches
Arambarri Mauro,uyURU,3.0,Getafe,26,1995,11.0,5,1,1,21,11,0,43,15,6,,,1,Matches
Araújo Ronald,uyURU,2.0,Barcelona,23,1999,20.0,5,1,0,16,17,1,5,11,18,,,1,Matches
Ares Adu,esESP,3.0,Athletic Club,20,2001,0.9,0,0,0,2,8,0,8,2,2,,,0,Matches
Arribas Sergio,esESP,3.0,Real Madrid,20,2001,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
Arroyo Roberto,esESP,4.0,Valladolid,18,2003,0.2,0,0,0,0,0,0,1,0,1,,,0,Matches
Artero Ricard,esESP,3.0,Girona,19,2003,1.5,0,0,0,2,1,0,0,2,3,,,0,Matches
Arzamendia Santiago,pyPAR,2.3,Cádiz,24,1998,5.4,0,0,0,4,2,1,14,2,8,,,0,Matches
Asenjo Sergio,esESP,1.0,Valladolid,33,1989,10.0,0,0,0,0,4,0,0,0,0,,,0,Matches
Asensio Marco,esESP,3.5,Real Madrid,26,1996,16.0,1,0,0,10,16,4,82,5,10,,,0,Matches
Aspas Iago,esESP,4.0,Celta Vigo,34,1987,31.9,6,0,0,16,59,12,47,7,5,,,0,Matches
Aubameyang Pierre-Emerick,gaGAB,3.5,Barcelona,33,1989,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Augustinsson Ludwig,seSWE,2.0,Mallorca,28,1994,1.5,0,0,0,1,1,0,6,1,1,,,0,Matches
Ávila Ezequiel,arARG,3.5,Osasuna,28,1994,19.0,7,1,0,25,35,14,80,9,5,,,0,Matches
Baba Iddrisu,ghGHA,3.0,Mallorca,26,1996,18.9,5,0,0,31,30,0,1,11,17,,,0,Matches
Babić Srđan,rsSRB,2.0,Almería,26,1996,33.3,5,0,0,24,9,2,2,27,19,,,0,Matches
Bade Loïc,frFRA,2.0,Sevilla,22,2000,16.1,4,0,0,13,4,0,4,22,21,,,0,Matches
Badía Édgar,esESP,1.0,Elche,30,1992,36.0,2,0,0,1,6,0,0,0,0,,,0,Matches
Baena Alex,esESP,3.4,Villarreal,21,2001,21.6,13,1,1,58,56,3,28,7,17,,,0,Matches
Balde Alejandro,esESP,2.0,Barcelona,18,2003,27.5,4,0,0,26,29,5,67,12,32,,,0,Matches
Balenziaga Mikel,esESP,2.0,Athletic Club,34,1988,1.3,0,0,0,3,0,0,3,1,4,,,0,Matches
Balliu Iván,alALB,2.0,Rayo Vallecano,30,1992,35.9,6,0,0,42,34,7,105,24,30,,,2,Matches
Baptistão Léo,brBRA,3.5,Almería,29,1992,19.2,7,0,0,30,23,10,18,18,20,,,0,Matches
Bare Keidi,alALB,3.0,Espanyol,24,1997,5.6,0,0,0,10,13,0,6,11,7,,,0,Matches
Barja Kike,esESP,3.5,Osasuna,25,1997,14.6,1,0,0,18,15,7,111,5,10,,,0,Matches
Barrenetxea Ander,esESP,2.3,Real Sociedad,20,2001,9.8,4,0,0,23,14,0,13,5,15,,,0,Matches
Barrios Pablo,esESP,3.0,Atlético Madrid,19,2003,8.0,4,0,0,7,12,0,7,8,11,,,0,Matches
Battaglia Rodrigo,arARG,3.0,Mallorca,31,1991,7.6,5,0,0,11,11,0,1,5,6,,,0,Matches
Bebé,cvCPV,3.5,Rayo Vallecano,32,1990,0.7,1,0,0,2,2,0,16,0,0,,,0,Matches
Bellerín Héctor,esESP,2.0,Barcelona,27,1995,1.6,0,0,0,2,0,0,3,3,0,,,0,Matches
Beltrán Fran,esESP,3.0,Celta Vigo,23,1999,31.7,4,0,0,26,16,2,51,53,22,,,0,Matches
Benito Iker,esESP,3.0,Osasuna,19,2002,2.0,0,0,0,2,2,1,6,2,3,,,0,Matches
Benzema Karim,frFRA,4.0,Real Madrid,34,1987,22.6,1,0,0,10,6,22,3,1,5,,,0,Matches
Berchiche Yuri,esESP,2.0,Athletic Club,32,1990,26.7,9,1,1,31,33,5,67,36,33,,,0,Matches
Berenguer Álex,esESP,3.0,Athletic Club,27,1995,25.5,2,0,0,48,26,19,164,10,35,,,0,Matches
Bigas Pedro,esESP,2.0,Elche,31,1990,22.4,4,2,0,16,16,0,6,33,20,,,0,Matches
Bilal Touré El,mlMLI,4.0,Almería,20,2001,14.0,0,0,0,25,7,13,4,3,3,,,0,Matches
Blanco Antonio,esESP,3.0,Cádiz,22,2000,1.8,0,0,0,2,1,0,0,1,4,,,0,Matches
Blanco Lautaro,arARG,2.3,Elche,23,1999,9.7,2,0,0,7,2,2,86,2,10,,,0,Matches
Bongonda Theo,cdCOD,3.0,Cádiz,26,1995,21.5,2,0,0,15,37,6,67,6,21,,,0,Matches
Bounou Yassine,maMAR,1.0,Sevilla,31,1991,23.9,2,0,0,0,1,0,0,2,1,,,0,Matches
Boyé Lucas,arARG,4.0,Elche,26,1996,27.4,7,1,0,61,45,14,16,14,16,,,0,Matches
Braithwaite Martin,dkDEN,3.5,Espanyol,31,1991,27.3,5,1,0,21,42,13,20,6,3,,,0,Matches
Brašanac Darko,rsSRB,3.0,Osasuna,30,1992,11.6,5,0,0,16,14,3,7,12,20,,,0,Matches
Bravo Claudio,clCHI,1.0,Real Betis,39,1983,12.0,2,0,0,0,0,0,0,2,0,,,0,Matches
Budimir Ante,hrCRO,4.0,Osasuna,31,1991,20.0,5,0,0,48,23,12,3,5,8,,,0,Matches
Bueno Manu,esESP,3.0,Sevilla,18,2004,1.7,0,0,0,1,2,0,0,1,4,,,0,Matches
Bueno Santiago,uyURU,2.0,Girona,23,1998,33.4,7,1,1,36,36,2,3,35,37,,,0,Matches
Busquets Sergio,esESP,3.0,Barcelona,34,1988,26.0,8,1,1,32,40,0,7,29,27,,,0,Matches
Cabrera Leandro,uyURU,2.0,Espanyol,31,1991,29.7,10,2,1,29,20,1,15,42,25,,,1,Matches
Cala,esESP,2.0,Cádiz,32,1989,1.5,0,0,0,1,5,0,0,1,1,,,0,Matches
Calero Fernando,esESP,2.3,Espanyol,26,1995,17.9,6,0,0,22,9,1,4,15,31,,,0,Matches
Callens Alexander,pePER,2.0,Girona,30,1992,1.3,1,0,0,3,1,0,0,1,3,,,0,Matches
Camavinga Eduardo,frFRA,2.4,Real Madrid,19,2002,22.3,6,0,0,39,69,3,6,19,49,,,0,Matches
Camello Sergio,esESP,4.0,Rayo Vallecano,21,2001,26.7,1,0,0,12,18,11,5,2,9,,,0,Matches
Canales Sergio,esESP,3.0,Real Betis,31,1991,26.7,4,2,1,9,29,4,129,13,13,,,0,Matches
Capa Ander,esESP,2.0,Athletic Club,30,1992,1.2,1,0,0,4,0,0,4,0,1,,,0,Matches
Capoue Étienne,frFRA,3.0,Villarreal,34,1988,21.7,4,0,0,18,41,0,9,19,11,,,0,Matches
Carcelen Isaac,esESP,2.0,Cádiz,29,1993,24.4,4,3,0,16,26,2,73,20,51,,,0,Matches
Carlos Juan,esESP,1.0,Girona,34,1988,10.0,0,0,0,0,0,0,0,1,0,,,0,Matches
Carlos Lazo José,esESP,3.0,Almería,26,1996,0.2,0,0,0,1,1,0,0,0,0,,,0,Matches
Carlos Lazo José,esESP,3.0,Espanyol,26,1996,1.8,0,0,0,2,5,0,4,3,3,,,0,Matches
Carmona,esESP,2.4,Elche,20,2002,6.5,5,1,1,19,7,2,12,7,9,,,0,Matches
Carmona,esESP,2.0,Sevilla,20,2002,5.9,6,1,1,14,6,0,11,7,12,,,0,Matches
Carrasco Yannick,beBEL,2.3,Atlético Madrid,28,1993,25.7,2,0,0,24,21,6,106,12,15,,,0,Matches
Carvajal Dani,esESP,2.0,Real Madrid,30,1992,19.8,8,1,1,22,15,5,49,16,19,,,0,Matches
Carvalho William,ptPOR,3.0,Real Betis,30,1992,27.1,6,1,0,29,38,2,5,17,23,,,0,Matches
Casemiro,brBRA,3.0,Real Madrid,30,1992,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Castellanos Valentín,arARG,4.0,Girona,23,1998,28.9,11,0,0,43,45,30,10,7,6,,,0,Matches
Castillejo Samu,esESP,3.5,Valencia,27,1995,15.1,7,0,0,32,40,7,86,8,13,,,0,Matches
Catena,esESP,2.0,Rayo Vallecano,27,1994,34.5,14,1,1,32,15,3,1,26,15,,,0,Matches
Cavani Edinson,uyURU,4.0,Valencia,35,1987,16.1,6,0,0,18,8,15,3,2,4,,,0,Matches
Ceballos Dani,esESP,3.0,Real Madrid,25,1996,17.4,8,0,0,17,41,1,18,27,31,,,0,Matches
Centelles Álex,esESP,2.3,Almería,24,1997,12.5,0,1,0,7,5,0,46,10,13,,,0,Matches
