Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_Save%
1,Zakaria Aboukhlal,ma MAR,MF,Torino,25,2000,15,6,511,5.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2025-26,7,2,28.6,1.23,0.35,0.00,0.00,,,,,,,,
2,Francesco Acerbi,it ITA,DF,Inter,37,1988,18,15,1378,15.3,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,Serie A,2025-26,3,1,33.3,0.20,0.07,0.00,0.00,,,,,,,,
3,Ché Adams,sct SCO,FW,Torino,29,1996,33,19,1893,21.0,6,2,8,6,0,0,0,0,0.29,0.10,0.38,0.29,0.38,Matches,Serie A,2025-26,53,18,34.0,2.52,0.86,0.11,0.33,,,,,,,,
4,Jayden Addai,nl NED,MF,Como,19,2005,12,7,686,7.6,3,0,3,3,0,0,4,0,0.39,0.00,0.39,0.39,0.39,Matches,Serie A,2025-26,13,6,46.2,1.71,0.79,0.23,0.50,,,,,,,,
5,Vasilije Adžić,me MNE,MF,Juventus,19,2006,10,1,171,1.9,1,0,1,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches,Serie A,2025-26,6,4,66.7,3.16,2.11,0.17,0.25,,,,,,,,
6,Michel Aebischer,ch SUI,MF,Pisa,28,1997,35,33,2892,32.1,1,2,3,1,0,0,8,0,0.03,0.06,0.09,0.03,0.09,Matches,Serie A,2025-26,19,5,26.3,0.59,0.16,0.05,0.20,,,,,,,,
7,Honest Ahanor,it ITA,DF,Atalanta,17,2008,22,15,1377,15.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2025-26,13,4,30.8,0.85,0.26,0.00,0.00,,,,,,,,
8,Junior Ajayi,ci CIV,FW,Hellas Verona,20,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2025-26,0,0,,0.00,0.00,,,,,,,,,,
9,Manuel Akanji,ch SUI,DF,Inter,30,1995,33,31,2821,31.3,2,0,2,2,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,Serie A,2025-26,23,6,26.1,0.73,0.19,0.09,0.33,,,,,,,,
10,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,20,2004,24,16,1444,16.0,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,Serie A,2025-26,13,3,23.1,0.81,0.19,0.00,0.00,,,,,,,,
11,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,32,1992,22,17,1504,16.7,1,0,1,1,0,0,9,0,0.06,0.00,0.06,0.06,0.06,Matches,Serie A,2025-26,13,4,30.8,0.78,0.24,0.08,0.25,,,,,,,,
12,Al-Musrati,ly LBY,MF,Hellas Verona,29,1996,18,8,844,9.4,0,1,1,0,0,0,6,1,0.00,0.11,0.11,0.00,0.11,Matches,Serie A,2025-26,9,1,11.1,0.96,0.11,0.00,0.00,,,,,,,,
13,Agustín Albarracín,uy URU,FW,Cagliari,19,2005,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2025-26,0,0,,0.00,0.00,,,,,,,,,,
14,Raúl Albiol,es ESP,DF,Pisa,39,1985,8,5,500,5.6,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,Serie A,2025-26,1,0,0.0,0.18,0.00,0.00,,,,,,,,,
