player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Aaronson Paxten,usUSA,3.0,Eintracht Frankfurt,18,2003,1.9,1,0,0,5,3,1,8,0,5,,,0,Matches
Adamyan Sargis,amARM,4.0,Köln,29,1993,7.2,3,0,0,17,6,4,13,4,7,,,0,Matches
Adeyemi Karim,deGER,3.4,Dortmund,20,2002,15.4,9,0,0,20,30,1,25,7,11,,,0,Matches
Adli Amine,maMAR,3.5,Leverkusen,22,2000,15.9,2,2,0,39,47,4,18,6,10,,,0,Matches
Agu Felix,ngNGA,2.3,Werder Bremen,22,1999,0.5,0,0,0,3,3,0,1,0,0,,,0,Matches
Ahamada Naouirou,frFRA,3.0,Stuttgart,20,2002,15.5,4,1,1,17,17,1,6,8,11,,,0,Matches
Ajorque Ludovic,frFRA,3.5,Mainz 05,28,1994,13.5,5,0,0,23,19,5,4,1,4,,,0,Matches
Akpoguma Kevin,ngNGA,2.0,Hoffenheim,27,1995,21.7,11,0,0,33,19,0,8,23,43,,,0,Matches
Alario Lucas,arARG,4.0,Eintracht Frankfurt,29,1992,3.7,0,0,0,9,2,5,0,2,2,,,0,Matches
Alidou Faride,deGER,4.0,Eintracht Frankfurt,21,2001,2.0,0,0,0,8,1,2,6,1,5,,,0,Matches
Álvarez Balanta Éder,coCOL,3.0,Schalke 04,29,1993,2.6,3,0,0,5,0,0,2,3,4,,,0,Matches
Ambros Lukáš,czCZE,3.0,Wolfsburg,18,2004,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
Amiri Nadiem,deGER,3.4,Leverkusen,25,1996,10.9,6,0,0,14,25,4,16,6,8,,,0,Matches
Andrich Robert,deGER,3.0,Leverkusen,27,1994,26.7,7,0,0,35,20,0,4,41,37,,,1,Matches
Angeliño,esESP,3.0,Hoffenheim,25,1997,29.1,2,0,0,12,29,7,182,27,24,,,0,Matches
Anton Waldemar,deGER,2.0,Stuttgart,26,1996,32.6,4,0,0,31,31,1,32,39,26,,,0,Matches
Antwi-Adjei Christopher,ghGHA,3.5,Bochum,28,1994,22.0,2,0,0,24,40,15,64,6,15,,,0,Matches
Aránguiz Charles,clCHI,3.0,Leverkusen,33,1989,5.5,1,0,0,7,10,0,12,7,8,,,0,Matches
Arnold Maximilian,deGER,3.0,Wolfsburg,28,1994,30.7,5,0,0,34,64,0,153,32,35,,,1,Matches
Asano Takuma,jpJPN,3.4,Bochum,27,1994,19.0,1,0,0,11,24,7,30,9,9,,,0,Matches
Asllani Fisnik,xkKVX,4.0,Hoffenheim,19,2002,1.9,0,0,0,2,3,2,2,4,0,,,0,Matches
Aydin Mehmet,deGER,2.4,Schalke 04,20,2002,6.3,0,0,0,6,6,0,23,10,17,,,0,Matches
Azhil Ayman,maMAR,3.0,Leverkusen,21,2001,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Azmoun Sardar,irIRN,3.5,Leverkusen,27,1995,10.3,1,0,0,17,1,8,0,2,3,,,0,Matches
Ba Sanoussy,deGER,4.0,RB Leipzig,18,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Bakker Mitchel,nlNED,2.4,Leverkusen,22,2000,18.4,6,1,1,18,14,2,27,16,10,,,0,Matches
Baku Ridle,deGER,2.3,Wolfsburg,24,1998,28.7,6,0,0,27,32,4,72,22,24,,,0,Matches
Barkok Aymen,maMAR,3.0,Mainz 05,24,1998,6.5,1,0,0,17,4,0,12,2,9,,,0,Matches
Barreiro Martins Leandro,luLUX,3.0,Mainz 05,22,2000,23.8,5,0,0,48,33,3,6,43,39,,,0,Matches
Bastião Dias Gil,ptPOR,4.0,Stuttgart,25,1996,4.4,0,0,0,6,5,2,6,2,6,,,0,Matches
Bauer Maximilian,deGER,2.0,Augsburg,22,2000,20.5,8,0,0,24,22,1,2,24,16,,,0,Matches
Baumann Oliver,deGER,1.0,Hoffenheim,32,1990,34.0,2,0,0,0,0,0,0,0,0,,,0,Matches
Baumgartl Timo,deGER,2.0,Union Berlin,26,1996,6.2,2,0,0,11,6,0,6,2,7,,,0,Matches
Baumgartlinger Julian,atAUT,3.0,Augsburg,34,1988,6.2,1,0,0,5,9,0,2,4,4,,,0,Matches
Baumgartner Christoph,atAUT,3.4,Hoffenheim,22,1999,28.5,7,0,0,66,50,9,28,16,19,,,0,Matches
Bazee Noah Joel Sarenren,ngNGA,3.5,Augsburg,25,1996,0.2,0,0,0,1,1,0,0,0,0,,,0,Matches
Bebou Ihlas,tgTOG,3.5,Hoffenheim,28,1994,15.7,2,0,0,22,9,8,11,9,15,,,0,Matches
Becker Sheraldo,srSUR,4.0,Union Berlin,27,1995,28.4,4,0,0,28,26,25,138,2,6,,,0,Matches
