player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Bechikh Mohamed,frFRA,4.0,Strasbourg,18,2005,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
Begraoui Yanis,maMAR,3.5,Toulouse,22,2001,3.3,0,0,0,5,7,1,7,4,2,,,0,Matches
Bela Jérémie,aoANG,3.0,Clermont Foot,30,1993,2.3,0,0,0,0,4,0,14,0,1,,,0,Matches
Belahyane Reda,maMAR,3.0,Nice,19,2004,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Bellaarouch Alaa,maMAR,1.0,Strasbourg,21,2002,15.0,1,0,0,0,3,0,0,0,0,,,0,Matches
Bellegarde Jean-Ricner,htHAI,3.4,Strasbourg,25,1998,3.0,2,0,0,3,8,0,8,4,3,,,0,Matches
Belocian Jeanuël,frFRA,2.0,Rennes,18,2005,16.1,0,0,0,12,15,0,13,13,22,,,0,Matches
Ben Seghir Eliesse,maMAR,3.4,Monaco,18,2005,4.8,0,1,0,6,19,1,12,2,6,,,0,Matches
Ben Yedder Wissam,frFRA,4.0,Monaco,32,1990,25.7,2,0,0,11,20,31,9,7,2,,,0,Matches
Benrahma Saïd,dzALG,3.5,Lyon,27,1995,8.6,2,0,0,2,10,7,67,1,7,,,0,Matches
Bentaleb Nabil,dzALG,3.0,Lille,28,1994,21.9,7,0,0,24,18,0,6,36,33,,,0,Matches
Beraldo Lucas,brBRA,2.0,Paris Saint-Germain,19,2003,11.2,4,1,0,12,13,0,2,20,14,,,0,Matches
Bertaud Dimitry,cdCOD,1.0,Montpellier,25,1998,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Bizot Marco,nlNED,1.0,Brest,32,1991,32.0,3,1,0,1,0,0,0,0,0,,,0,Matches
Blanco Rubén,esESP,1.0,Marseille,28,1995,1.3,0,0,0,0,0,0,0,0,0,,,0,Matches
Blas Ludovic,frFRA,3.4,Rennes,25,1997,17.4,3,0,0,44,34,3,53,6,14,,,0,Matches
Boadu Myron,nlNED,4.0,Monaco,22,2001,0.9,0,0,0,3,2,1,0,0,2,,,0,Matches
Boga Jeremie,ciCIV,3.5,Nice,26,1997,22.2,1,0,0,7,24,9,87,8,6,,,0,Matches
Bojang Adama,gmGAM,4.0,Reims,19,2004,0.9,1,0,0,4,1,1,1,0,1,,,0,Matches
Borges Neto,brBRA,2.4,Clermont Foot,26,1996,28.0,3,1,0,21,23,8,80,52,25,,,0,Matches
Bouabré Saïmon,frFRA,3.0,Monaco,17,2006,0.5,0,0,0,1,2,1,0,0,2,,,0,Matches
Bouaddi Ayyoub,frFRA,3.0,Lille,15,2007,1.5,3,1,1,8,0,0,2,1,2,,,0,Matches
Bouanani Badredine,dzALG,4.0,Nice,18,2004,1.8,0,0,0,4,5,1,8,3,2,,,0,Matches
Bouanani Badredine,dzALG,3.0,Lorient,18,2004,4.9,0,0,0,1,10,0,10,2,2,,,0,Matches
Bouchenna Mohamed,frFRA,4.0,Clermont Foot,17,2006,0.3,1,0,0,1,0,0,0,0,0,,,0,Matches
Boudaoui Hicham,dzALG,3.0,Nice,23,1999,17.9,5,0,0,25,29,1,23,10,22,,,0,Matches
Bourigeaud Benjamin,frFRA,3.0,Rennes,29,1994,26.9,1,0,0,16,13,2,165,22,19,,,0,Matches
Boutobba Bilal,frFRA,3.4,Clermont Foot,24,1998,10.3,1,0,0,7,26,2,57,8,13,,,0,Matches
Boutsingkham Hugo,frFRA,2.0,Nantes,20,2003,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
Brahimi Bilal,dzALG,3.5,Nice,23,2000,0.1,0,0,0,0,0,0,2,0,0,,,0,Matches
Brahimi Bilal,dzALG,4.0,Brest,23,2000,2.5,1,1,0,3,4,2,33,0,0,,,0,Matches
Brassier Lilian,frFRA,2.0,Brest,23,1999,29.7,11,1,1,33,25,1,5,42,18,,,0,Matches
Busi Maxime,beBEL,3.0,Reims,23,1999,1.8,1,0,0,1,0,0,4,3,0,,,0,Matches
Bułka Marcin,plPOL,1.0,Nice,23,1999,34.0,2,0,0,0,4,0,0,0,0,,,0,Matches
Cabella Rémy,frFRA,3.4,Lille,33,1990,16.4,0,0,0,16,39,3,51,4,38,,,0,Matches
Ćaleta-Car Duje,hrCRO,2.0,Lyon,26,1996,22.1,2,1,0,16,5,0,0,16,11,,,0,Matches
Camara Lamine,snSEN,3.0,Metz,19,2004,25.1,3,0,0,44,44,1,118,27,43,,,0,Matches
Camara Mahdi,frFRA,3.0,Brest,25,1998,22.4,7,0,0,36,39,3,46,26,40,,,0,Matches
Camara Mohamed,mlMLI,3.0,Monaco,23,2000,11.5,4,0,0,25,23,0,1,11,20,,,0,Matches
