player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Aarons Max,engENG,2.0,Valencia,24,2000,1.3,,4,,,,,,,,,,,0,,,,Matches
Abajas Rodrigo,esESP,2.0,Valencia,21,2003,0.7,,2,,,,,,,,,,,1,,,,Matches
Aberdin Nabil,frFRA,3.0,Getafe,21,2002,2.9,,5,,,,,,,,,,,1,,,,Matches
Abqar Abdel,maMAR,2.0,Alavés,25,1999,27.4,,22,,,,,,,,,,,36,,,,Matches
Adams Akor,ngNGA,4.0,Sevilla,24,2000,1.5,,0,,,,,,,,,,,0,,,,Matches
Adrián,esESP,1.0,Real Betis,37,1987,19.0,,0,,,,,,,,,,,0,,,,Matches
Agirrezabala Julen,esESP,1.0,Athletic Club,23,2000,13.4,,0,,,,,,,,,,,0,,,,Matches
Agoume Lucien,frFRA,3.0,Sevilla,22,2002,23.5,,32,,,,,,,,,,,40,,,,Matches
Aguado Álvaro,esESP,3.0,Espanyol,28,1996,4.9,,2,,,,,,,,,,,4,,,,Matches
Aguado Lorenzo,esESP,2.0,Real Madrid,21,2002,0.1,,0,,,,,,,,,,,0,,,,Matches
Aguerd Nayef,maMAR,2.0,Real Sociedad,28,1996,19.6,,26,,,,,,,,,,,12,,,,Matches
Aidoo Joseph,ghGHA,2.0,Valladolid,28,1995,6.5,,5,,,,,,,,,,,6,,,,Matches
Aidoo Joseph,ghGHA,2.0,Celta Vigo,28,1995,0.0,,0,,,,,,,,,,,0,,,,Matches
Akhomach Ilias,maMAR,3.0,Villarreal,20,2004,6.5,,8,,,,,,,,,,,2,,,,Matches
Alaba David,atAUT,2.0,Real Madrid,32,1992,3.5,,0,,,,,,,,,,,6,,,,Matches
Alani Ibrahim,ngNGA,3.0,Valladolid,18,2006,1.8,,7,,,,,,,,,,,1,,,,Matches
Albiol Raúl,esESP,2.0,Villarreal,38,1985,13.2,,8,,,,,,,,,,,5,,,,Matches
Alderete Omar,pyPAR,2.0,Getafe,27,1996,33.0,,27,,,,,,,,,,,37,,,,Matches
Aleñá Carles,esESP,3.0,Getafe,26,1998,5.0,,3,,,,,,,,,,,0,,,,Matches
Aleñá Carles,esESP,3.0,Alavés,26,1998,12.1,,12,,,,,,,,,,,1,,,,Matches
Alfon,esESP,3.5,Celta Vigo,25,1999,15.2,,3,,,,,,,,,,,4,,,,Matches
Allende Tadeo,arARG,3.0,Celta Vigo,25,1999,0.0,,0,,,,,,,,,,,0,,,,Matches
Almeida Domingos André Ribeiro,ptPOR,3.4,Valencia,24,2000,22.0,,32,,,,,,,,,,,7,,,,Matches
Almena Iker,esESP,3.0,Girona,20,2004,0.5,,0,,,,,,,,,,,0,,,,Matches
Alonso Marcos,esESP,2.0,Celta Vigo,33,1990,29.4,,21,,,,,,,,,,,33,,,,Matches
Altimira Adrià,esESP,2.3,Leganés,23,2001,18.1,,24,,,,,,,,,,,16,,,,Matches
Altimira Sergi,esESP,3.0,Real Betis,22,2001,21.9,,37,,,,,,,,,,,22,,,,Matches
Álvarez Hugo,esESP,3.0,Celta Vigo,21,2003,17.5,,10,,,,,,,,,,,9,,,,Matches
Álvarez Julián,arARG,4.0,Atlético Madrid,24,2000,27.9,,17,,,,,,,,,,,2,,,,Matches
Álvarez Yeray,esESP,2.0,Athletic Club,29,1995,19.8,,13,,,,,,,,,,,35,,,,Matches
Amallah Selim,maMAR,3.0,Valladolid,27,1996,15.3,,19,,,,,,,,,,,14,,,,Matches
Amath,snSEN,3.5,Valladolid,28,1996,4.2,,0,,,,,,,,,,,2,,,,Matches
André Marcos,brBRA,4.0,Valladolid,27,1996,13.2,,6,,,,,,,,,,,3,,,,Matches
Antonetti Leandro,prPUR,4.0,Sevilla,21,2003,0.3,,0,,,,,,,,,,,0,,,,Matches
Antoniu,esESP,3.0,Espanyol,21,2002,11.4,,9,,,,,,,,,,,8,,,,Matches
Antony,brBRA,3.0,Real Betis,24,2000,15.1,,10,,,,,,,,,,,9,,,,Matches
Anuar,maMAR,3.4,Valladolid,29,1995,19.1,,27,,,,,,,,,,,17,,,,Matches
Arambarri Aritz,esESP,2.0,Leganés,26,1998,2.0,,1,,,,,,,,,,,3,,,,Matches
Arambarri Mauro,uyURU,3.0,Getafe,28,1995,29.6,,33,,,,,,,,,,,16,,,,Matches
Aramburu Jon,veVEN,2.0,Real Sociedad,22,2002,27.3,,68,,,,,,,,,,,28,,,,Matches
