player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abdullahi Ahmed,ngNGA,4.0,Gent,20,2004,0.0,,0,,,,,,,,,,,0,,,,Matches
Abu Francis,ghGHA,3.0,Cercle Brugge,23,2001,20.3,,53,,,,,,,,,,,18,,,,Matches
Achihi Orseer,ngNGA,4.0,Antwerp,17,2006,0.3,,0,,,,,,,,,,,0,,,,Matches
Acquah Desmond,beBEL,3.0,Dender,22,2002,3.4,,10,,,,,,,,,,,3,,,,Matches
Adedeji Noah,beBEL,3.0,Genk,19,2005,9.7,,13,,,,,,,,,,,14,,,,Matches
Adekami Farouck,ciCIV,3.0,Antwerp,17,2006,1.4,,1,,,,,,,,,,,0,,,,Matches
Âdfaoui Mohammed,beBEL,3.0,Gent,16,2008,0.1,,1,,,,,,,,,,,0,,,,Matches
Adryelson,brBRA,2.0,Anderlecht,26,1998,7.8,,7,,,,,,,,,,,10,,,,Matches
Agyekum Lawrence,ghGHA,3.0,Cercle Brugge,20,2003,26.7,,51,,,,,,,,,,,40,,,,Matches
Akimoto Takahiro,jpJPN,2.3,OH Leuven,26,1998,22.5,,38,,,,,,,,,,,25,,,,Matches
Akman Ali,trTUR,4.0,Dender,22,2002,0.5,,3,,,,,,,,,,,0,,,,Matches
Alcocer Josimar,crCRC,3.0,Westerlo,20,2004,19.6,,49,,,,,,,,,,,20,,,,Matches
Alderweireld Toby,beBEL,2.0,Antwerp,35,1989,27.0,,10,,,,,,,,,,,26,,,,Matches
Alebiosu Ryan,ngNGA,2.4,Kortrijk,22,2001,6.8,,6,,,,,,,,,,,7,,,,Matches
Alexandropoulos Sotiris,grGRE,3.0,Standard Liège,22,2001,12.4,,30,,,,,,,,,,,14,,,,Matches
Alexis Arthur,beBEL,3.0,Sint-Truiden,18,2006,0.1,,1,,,,,,,,,,,0,,,,Matches
Ambrose Thierry,gpGLP,3.5,Kortrijk,27,1997,23.4,,8,,,,,,,,,,,3,,,,Matches
Amuzu Francis,beBEL,3.5,Anderlecht,24,1999,7.9,,8,,,,,,,,,,,3,,,,Matches
Ananou Frederic,tgTOG,2.4,Sint-Truiden,26,1997,2.2,,6,,,,,,,,,,,1,,,,Matches
Andreou Stelios,cyCYP,2.0,Charleroi,22,2002,34.0,,26,,,,,,,,,,,43,,,,Matches
Angulo Nilson,ecECU,3.4,Anderlecht,21,2003,13.0,,29,,,,,,,,,,,7,,,,Matches
Antonio Bill,zwZIM,3.4,Mechelen,21,2002,6.5,,5,,,,,,,,,,,5,,,,Matches
Araújo Tiago,ptPOR,2.4,Gent,23,2001,14.8,,18,,,,,,,,,,,3,,,,Matches
Arnstad Kristian,noNOR,3.0,Anderlecht,20,2003,0.3,,0,,,,,,,,,,,1,,,,Matches
Arokodare Tolu,ngNGA,4.0,Genk,23,2000,34.0,,10,,,,,,,,,,,5,,,,Matches
Asante Raymond,ghGHA,4.0,Charleroi,20,2004,1.7,,0,,,,,,,,,,,1,,,,Matches
Ashimeru Majeed,ghGHA,3.0,Anderlecht,26,1997,6.5,,13,,,,,,,,,,,7,,,,Matches
Assengue Steeven,beBEL,2.0,Standard Liège,19,2005,0.5,,1,,,,,,,,,,,1,,,,Matches
Augustinsson Ludwig,seSWE,2.0,Anderlecht,30,1994,14.4,,24,,,,,,,,,,,21,,,,Matches
Augusto Felipe,brBRA,4.0,Cercle Brugge,20,2004,17.4,,10,,,,,,,,,,,6,,,,Matches
Azzouz Yassine,maMAR,3.0,OH Leuven,17,2007,0.1,,0,,,,,,,,,,,0,,,,Matches
Badamosi Muhammed,gmGAM,4.0,Standard Liège,25,1998,1.3,,2,,,,,,,,,,,0,,,,Matches
Badji Youssouph,snSEN,4.0,Charleroi,22,2001,2.3,,1,,,,,,,,,,,0,,,,Matches
Bafdili Bilal,beBEL,3.0,Mechelen,19,2004,11.6,,9,,,,,,,,,,,4,,,,Matches
Balikwisha Michel-Ange,cdCOD,3.0,Antwerp,23,2001,12.1,,18,,,,,,,,,,,8,,,,Matches
Balikwisha William,cdCOD,3.4,OH Leuven,25,1999,16.3,,16,,,,,,,,,,,20,,,,Matches
Banse Sacha,bfBFA,3.0,Standard Liège,23,2001,0.4,,1,,,,,,,,,,,0,,,,Matches
Banzuzi Ezechiel,nlNED,3.0,OH Leuven,19,2005,27.6,,51,,,,,,,,,,,18,,,,Matches
Barnes Joselpho,ghGHA,4.0,Sint-Truiden,22,2001,1.3,,0,,,,,,,,,,,0,,,,Matches
Bataille Jelle,beBEL,2.3,Antwerp,25,1999,22.0,,46,,,,,,,,,,,34,,,,Matches
Bates David,sctSCO,2.0,Standard Liège,27,1996,8.6,,10,,,,,,,,,,,15,,,,Matches
Bayram Emin,trTUR,2.0,Westerlo,21,2003,24.5,,24,,,,,,,,,,,44,,,,Matches
Bazunu Gavin,ieIRL,1.0,Standard Liège,22,2002,8.0,,1,,,,,,,,,,,0,,,,Matches
Belaid Zineddine,dzALG,2.0,Sint-Truiden,25,1999,10.1,,8,,,,,,,,,,,13,,,,Matches
Belghali Rafik,dzALG,2.4,Mechelen,22,2002,26.7,,33,,,,,,,,,,,24,,,,Matches
Benaets Quentin,beBEL,4.0,Charleroi,20,2003,0.1,,1,,,,,,,,,,,0,,,,Matches
Benítez Mauricio,arARG,3.0,Antwerp,20,2004,4.3,,2,,,,,,,,,,,7,,,,Matches
Benjdida Soufiane,maMAR,4.0,Standard Liège,22,2001,6.3,,1,,,,,,,,,,,2,,,,Matches
Bernier Antoine,beBEL,3.0,Charleroi,26,1997,25.8,,44,,,,,,,,,,,12,,,,Matches
Bertaccini Adriano,beBEL,3.5,Sint-Truiden,23,2000,30.6,,11,,,,,,,,,,,7,,,,Matches
Berte Mohamed,beBEL,4.0,Dender,22,2002,19.8,,19,,,,,,,,,,,3,,,,Matches
Biron Mickaël,mqMTQ,3.5,OH Leuven,26,1997,1.4,,3,,,,,,,,,,,0,,,,Matches
Bodart Arnaud,beBEL,1.0,Standard Liège,26,1998,2.0,,0,,,,,,,,,,,0,,,,Matches
Bolat Sinan,trTUR,1.0,Westerlo,35,1988,11.0,,1,,,,,,,,,,,0,,,,Matches
Bolingoli-Mbombo Boli,beBEL,2.4,Standard Liège,29,1995,8.6,,14,,,,,,,,,,,9,,,,Matches
Bonsu-Baah Christopher,ghGHA,3.4,Genk,19,2004,28.4,,30,,,,,,,,,,,17,,,,Matches
Bos Jordy,auAUS,2.4,Westerlo,21,2002,11.4,,13,,,,,,,,,,,15,,,,Matches
Boufal Sofiane,maMAR,3.0,Union SG,30,1993,7.5,,10,,,,,,,,,,,4,,,,Matches
Boukamir Amine,maMAR,3.0,Charleroi,17,2006,0.4,,2,,,,,,,,,,,1,,,,Matches
Bozhinov Rosen,bgBUL,2.0,Antwerp,19,2005,1.8,,2,,,,,,,,,,,5,,,,Matches
Brahimi Bilal,dzALG,3.5,Sint-Truiden,24,2000,19.9,,8,,,,,,,,,,,13,,,,Matches
Brown Archie,engENG,2.3,Gent,22,2002,29.3,,29,,,,,,,,,,,28,,,,Matches
Bruninho,brBRA,3.0,Cercle Brugge,21,2003,5.7,,7,,,,,,,,,,,1,,,,Matches
Brunner Paris,deGER,4.0,Cercle Brugge,18,2006,5.9,,3,,,,,,,,,,,0,,,,Matches
