player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Aalst Uriel,,3.0,Willem II,,,0.3,0,0,0,1,0,0,0,0,0,,,0,Matches
Aanholt Patrick,nlNED,2.0,Sparta Rotterdam,33,1990,18.4,4,0,0,14,4,2,23,20,19,,,0,Matches
Aaronson Paxten,usUSA,3.0,Utrecht,20,2003,29.9,8,0,0,42,32,3,50,40,72,,,0,Matches
Addai Jayden,nlNED,3.4,AZ Alkmaar,18,2005,3.6,1,0,0,2,13,1,4,0,3,,,0,Matches
Adekanye Bobby,nlNED,3.4,Go Ahead Eagles,25,1999,8.6,2,0,0,9,13,1,33,0,8,,,0,Matches
Adelgaard Aske,dkDEN,2.0,Go Ahead Eagles,20,2003,13.6,5,0,0,17,14,0,58,8,11,,,0,Matches
Adewoye Shawn,beBEL,2.0,Fortuna Sittard,24,2000,19.4,3,0,0,29,13,0,2,29,17,,,0,Matches
Aertssen Olivier,nlNED,2.0,Zwolle,19,2004,12.4,0,0,0,12,6,0,7,14,20,,,0,Matches
Ahmed Amar,seSWE,3.0,Willem II,20,2004,7.8,3,0,0,10,12,0,28,9,4,,,0,Matches
Ahmed Isaiah,cwCUW,2.0,Heerenveen,18,2005,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
Aiko Makan,frFRA,3.5,Fortuna Sittard,23,2001,13.1,4,0,0,20,16,8,14,7,3,,,0,Matches
Akpom Chuba,engENG,4.0,Ajax,28,1995,9.2,0,0,0,10,22,4,7,0,7,,,0,Matches
Akujobi Hamdi,nlNED,2.0,Almere City,24,2000,26.0,5,0,0,28,24,0,45,24,38,,,0,Matches
Alders Gerald,nlNED,2.0,Twente,19,2005,0.3,0,0,0,0,0,0,0,0,1,,,0,Matches
Ali Hussein,iqIRQ,2.0,Heerenveen,22,2002,2.4,0,0,0,1,3,0,3,2,5,,,0,Matches
Amauri Banel Jaydon,nlNED,4.0,Ajax,19,2004,0.7,0,0,0,2,3,0,5,0,0,,,0,Matches
