player,nationality,position,team,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,matches
Aberdin Nabil,frFRA,2.0,Getafe,20,2002,2.0,0,0,0,1,1,0,0,0,0,,,0,Matches
Abner,brBRA,2.0,Real Betis,23,2000,15.6,3,0,0,17,2,2,26,16,18,,,0,Matches
Abqar Abdel,maMAR,2.0,Alavés,24,1999,25.7,10,0,0,32,23,1,2,25,21,,,1,Matches
Acuña Marcos,arARG,2.3,Sevilla,31,1991,14.4,7,0,0,18,17,1,84,3,20,,,0,Matches
Agirrezabala Julen,esESP,1.0,Athletic Club,22,2000,2.6,0,0,0,0,0,0,0,0,0,,,0,Matches
Agoume Lucien,frFRA,3.0,Sevilla,21,2002,8.6,3,0,0,19,2,0,3,7,16,,,0,Matches
Aidoo Joseph,ghGHA,2.0,Celta Vigo,27,1995,4.5,0,0,0,4,0,0,0,3,3,,,0,Matches
Akhomach Ilias,maMAR,3.0,Villarreal,19,2004,16.8,4,0,0,42,34,4,29,13,21,,,0,Matches
Akieme Sergio,esESP,2.3,Almería,25,1997,18.6,2,0,0,18,17,1,56,10,15,,,0,Matches
Akouokou Paul,ciCIV,3.0,Real Betis,25,1997,0.3,0,0,0,1,1,0,0,1,3,,,0,Matches
Alaba David,atAUT,2.0,Real Madrid,31,1992,12.8,2,0,0,4,0,0,17,15,9,,,1,Matches
Albiol Raúl,esESP,2.0,Villarreal,37,1985,22.6,6,0,0,21,8,1,0,17,15,,,0,Matches
Alcaraz Rubén,esESP,3.0,Cádiz,32,1991,34.8,14,0,0,84,71,1,36,30,65,,,0,Matches
Alderete Omar,pyPAR,2.0,Getafe,26,1996,24.4,8,1,0,34,11,2,5,14,20,,,0,Matches
Alejo Iván,esESP,3.0,Cádiz,28,1995,18.8,17,0,0,49,49,8,151,6,23,,,0,Matches
Aleñá Carles,esESP,3.0,Getafe,25,1998,11.3,6,0,0,22,18,3,32,4,9,,,0,Matches
Ali Cho Mohamed,frFRA,4.0,Real Sociedad,19,2004,2.8,0,0,0,5,6,3,11,1,3,,,0,Matches
Allende Tadeo,arARG,3.0,Celta Vigo,24,1999,3.7,1,0,0,2,3,4,9,3,2,,,0,Matches
Almeida Domingos André Ribeiro,ptPOR,3.5,Valencia,23,2000,10.7,0,0,0,12,20,1,16,3,14,,,0,Matches
Alonso Marcos,esESP,2.0,Barcelona,32,1990,2.8,0,0,0,7,6,0,15,3,3,,,0,Matches
Altimira Adrià,esESP,2.3,Villarreal,22,2001,8.6,3,0,0,12,4,0,5,5,7,,,0,Matches
Altimira Sergi,esESP,3.0,Real Betis,21,2001,6.3,1,0,0,8,8,0,1,8,8,,,0,Matches
Álvarez Gastón,uyURU,2.0,Getafe,23,2000,28.2,7,0,0,43,10,1,25,34,38,,,0,Matches
Álvarez Hugo,esESP,3.4,Celta Vigo,20,2003,8.5,1,0,0,9,9,1,22,5,9,,,0,Matches
Álvarez Yeray,esESP,2.0,Athletic Club,28,1995,12.8,1,1,0,15,14,0,1,10,9,,,0,Matches
Amallah Selim,maMAR,3.4,Valencia,26,1996,6.7,5,1,1,21,24,1,3,10,12,,,0,Matches
Amath,snSEN,3.5,Mallorca,27,1996,4.4,2,0,0,10,7,4,7,3,6,,,0,Matches
Ángel Rubio Miguel,esESP,2.0,Granada,25,1998,17.3,5,0,0,20,11,1,1,27,14,,,0,Matches
Angileri Fabrizio,arARG,2.0,Getafe,29,1994,1.8,2,1,0,1,1,0,8,4,1,,,0,Matches
Arambarri Mauro,uyURU,3.0,Getafe,27,1995,3.8,2,0,0,18,3,0,6,1,2,,,0,Matches
Aramburu Jon,veVEN,2.3,Real Sociedad,21,2002,6.0,3,0,0,11,5,0,7,7,15,,,0,Matches
Araujo Julian,mxMEX,2.0,Las Palmas,21,2001,16.2,5,0,0,13,9,2,22,10,21,,,0,Matches
Araújo Ronald,uyURU,2.0,Barcelona,24,1999,22.2,6,0,0,25,9,0,7,10,22,,,0,Matches
Ares Adu,esESP,3.0,Athletic Club,21,2001,2.9,2,0,0,5,12,1,11,1,4,,,0,Matches
Areso Jesús,esESP,2.3,Osasuna,24,1999,29.6,3,0,0,30,20,3,113,20,26,,,0,Matches
Arezo Matias,uyURU,4.0,Granada,20,2002,4.1,1,0,0,6,1,8,4,2,3,,,0,Matches
Arguibide Iñigo,esESP,4.0,Osasuna,18,2005,0.2,0,0,0,1,0,0,0,0,0,,,0,Matches
Arnaiz José,esESP,3.5,Osasuna,28,1995,10.3,3,0,0,8,19,3,45,3,8,,,0,Matches
Arribas Sergio,esESP,3.4,Almería,21,2001,22.7,1,0,0,14,42,2,59,14,17,,,0,Matches
Arrizabalaga Kepa,esESP,1.0,Real Madrid,28,1994,13.3,1,0,0,0,2,0,0,0,0,,,0,Matches
Aspas Iago,esESP,4.0,Celta Vigo,35,1987,30.1,6,1,0,19,59,12,149,8,6,,,0,Matches
Ávila Ezequiel,arARG,3.5,Osasuna,29,1994,9.6,3,2,0,8,20,4,80,4,2,,,0,Matches
Ávila Ezequiel,arARG,3.4,Real Betis,29,1994,3.3,4,1,1,3,12,0,12,1,1,,,0,Matches
Azpilicueta César,esESP,2.3,Atlético Madrid,33,1989,15.8,4,0,0,29,12,0,11,16,15,,,0,Matches
Baba Iddrisu,ghGHA,3.0,Almería,27,1996,15.9,5,0,0,29,34,0,4,11,24,,,0,Matches
Babić Srđan,rsSRB,2.0,Almería,27,1996,1.0,0,0,0,2,0,0,0,0,2,,,0,Matches
Bade Loïc,frFRA,2.0,Sevilla,23,2000,25.3,5,1,0,24,10,1,2,38,42,,,0,Matches
Baena Alex,esESP,3.4,Villarreal,22,2001,28.7,11,1,0,52,57,8,173,14,20,,,0,Matches
Bailly Eric,ciCIV,2.0,Villarreal,29,1994,9.3,4,0,0,6,5,0,0,8,3,,,1,Matches
Bakambu Cédric,cdCOD,4.0,Real Betis,32,1991,2.2,1,0,0,4,3,3,0,0,0,,,0,Matches
Balde Alejandro,esESP,2.3,Barcelona,19,2003,15.3,1,0,0,8,18,4,37,5,9,,,0,Matches
Balliu Iván,alALB,2.0,Rayo Vallecano,31,1992,31.9,4,0,0,41,30,8,69,28,31,,,0,Matches
Bamba Jonathan,ciCIV,3.4,Celta Vigo,27,1996,22.0,0,0,0,15,65,7,50,17,8,,,0,Matches
Baptistão Léo,brBRA,3.5,Almería,30,1992,20.4,6,1,0,21,29,13,26,12,16,,,0,Matches
Barja Kike,esESP,3.5,Osasuna,26,1997,3.4,3,0,0,8,4,1,23,3,2,,,0,Matches
Barrenetxea Ander,esESP,3.4,Real Sociedad,21,2001,15.9,1,0,0,27,22,3,46,7,21,,,0,Matches
Barrios Pablo,esESP,3.0,Atlético Madrid,20,2003,17.3,5,0,0,23,24,0,16,27,25,,,0,Matches
Bartra Marc,esESP,2.0,Real Betis,32,1991,2.5,1,0,0,4,1,0,0,2,3,,,0,Matches
Batalla Augusto,arARG,1.0,Granada,27,1996,17.0,3,0,0,0,2,0,0,0,0,,,0,Matches
Bebé,cvCPV,3.5,Rayo Vallecano,33,1990,2.4,1,0,0,0,2,3,28,0,2,,,0,Matches
Becker Sheraldo,srSUR,3.5,Real Sociedad,28,1995,8.6,1,0,0,11,5,6,45,1,3,,,0,Matches
Bellerín Héctor,esESP,2.0,Real Betis,28,1995,19.0,0,1,0,21,10,1,39,21,22,,,1,Matches
Bellingham Jude,engENG,3.4,Real Madrid,20,2003,25.7,5,1,0,32,72,4,22,20,35,,,0,Matches
Beltrán Fran,esESP,3.0,Celta Vigo,24,1999,27.0,2,0,0,28,16,2,19,19,34,,,0,Matches
Benavídez Carlos,uyURU,3.0,Alavés,25,1998,12.6,5,0,0,37,9,1,6,18,35,,,0,Matches
Berchiche Yuri,esESP,2.0,Athletic Club,33,1990,21.4,5,0,0,29,33,0,43,19,26,,,1,Matches
Berenguer Álex,esESP,3.0,Athletic Club,28,1995,17.7,4,0,0,30,22,12,139,5,15,,,0,Matches
Blanco Antonio,esESP,3.0,Alavés,23,2000,27.0,5,1,0,35,40,0,14,33,37,,,0,Matches
Blind Daley,nlNED,2.0,Girona,33,1990,33.0,6,0,0,19,12,0,16,19,21,,,0,Matches
Bosch Adri,esESP,2.0,Granada,22,2001,0.3,0,0,0,0,0,0,0,0,1,,,1,Matches
Bounou Yassine,maMAR,1.0,Sevilla,32,1991,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
Boyé Lucas,arARG,4.0,Granada,27,1996,28.2,8,1,0,72,43,8,13,12,25,,,0,Matches
Brašanac Darko,rsSRB,3.0,Osasuna,31,1992,0.5,0,0,0,1,0,0,1,0,0,,,0,Matches
Brau,esESP,2.0,Granada,21,2001,0.3,0,0,0,0,0,0,1,0,0,,,0,Matches
Bravo Claudio,clCHI,1.0,Real Betis,40,1983,7.0,0,0,0,0,1,0,0,0,0,,,0,Matches
Brereton Ben,clCHI,3.4,Villarreal,24,1999,3.0,2,0,0,5,4,2,4,0,2,,,0,Matches
