player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Aberdin Nabil,frFRA,2.0,Getafe,20,2002,2.0,,0,,,,,,,,,,,0,,,,Matches
Abner,brBRA,2.0,Real Betis,23,2000,15.6,,18,,,,,,,,,,,16,,,,Matches
Abqar Abdel,maMAR,2.0,Alavés,24,1999,25.7,,21,,,,,,,,,,,25,,,,Matches
Acuña Marcos,arARG,2.3,Sevilla,31,1991,14.4,,20,,,,,,,,,,,3,,,,Matches
Agirrezabala Julen,esESP,1.0,Athletic Club,22,2000,2.6,,0,,,,,,,,,,,0,,,,Matches
Agoume Lucien,frFRA,3.0,Sevilla,21,2002,8.6,,16,,,,,,,,,,,7,,,,Matches
Aidoo Joseph,ghGHA,2.0,Celta Vigo,27,1995,4.5,,3,,,,,,,,,,,3,,,,Matches
Akhomach Ilias,maMAR,3.0,Villarreal,19,2004,16.8,,21,,,,,,,,,,,13,,,,Matches
Akieme Sergio,esESP,2.3,Almería,25,1997,18.6,,15,,,,,,,,,,,10,,,,Matches
Akouokou Paul,ciCIV,3.0,Real Betis,25,1997,0.3,,3,,,,,,,,,,,1,,,,Matches
Alaba David,atAUT,2.0,Real Madrid,31,1992,12.8,,9,,,,,,,,,,,15,,,,Matches
Albiol Raúl,esESP,2.0,Villarreal,37,1985,22.6,,15,,,,,,,,,,,17,,,,Matches
Alcaraz Rubén,esESP,3.0,Cádiz,32,1991,34.8,,65,,,,,,,,,,,30,,,,Matches
Alderete Omar,pyPAR,2.0,Getafe,26,1996,24.4,,20,,,,,,,,,,,14,,,,Matches
Alejo Iván,esESP,3.0,Cádiz,28,1995,18.8,,23,,,,,,,,,,,6,,,,Matches
Aleñá Carles,esESP,3.0,Getafe,25,1998,11.3,,9,,,,,,,,,,,4,,,,Matches
Ali Cho Mohamed,frFRA,4.0,Real Sociedad,19,2004,2.8,,3,,,,,,,,,,,1,,,,Matches
Allende Tadeo,arARG,3.0,Celta Vigo,24,1999,3.7,,2,,,,,,,,,,,3,,,,Matches
Almeida Domingos André Ribeiro,ptPOR,3.5,Valencia,23,2000,10.7,,14,,,,,,,,,,,3,,,,Matches
Alonso Marcos,esESP,2.0,Barcelona,32,1990,2.8,,3,,,,,,,,,,,3,,,,Matches
Altimira Adrià,esESP,2.3,Villarreal,22,2001,8.6,,7,,,,,,,,,,,5,,,,Matches
Altimira Sergi,esESP,3.0,Real Betis,21,2001,6.3,,8,,,,,,,,,,,8,,,,Matches
Álvarez Gastón,uyURU,2.0,Getafe,23,2000,28.2,,38,,,,,,,,,,,34,,,,Matches
Álvarez Hugo,esESP,3.4,Celta Vigo,20,2003,8.5,,9,,,,,,,,,,,5,,,,Matches
Álvarez Yeray,esESP,2.0,Athletic Club,28,1995,12.8,,9,,,,,,,,,,,10,,,,Matches
Amallah Selim,maMAR,3.4,Valencia,26,1996,6.7,,12,,,,,,,,,,,10,,,,Matches
Amath,snSEN,3.5,Mallorca,27,1996,4.4,,6,,,,,,,,,,,3,,,,Matches
Ángel Rubio Miguel,esESP,2.0,Granada,25,1998,17.3,,14,,,,,,,,,,,27,,,,Matches
Angileri Fabrizio,arARG,2.0,Getafe,29,1994,1.8,,1,,,,,,,,,,,4,,,,Matches
Arambarri Mauro,uyURU,3.0,Getafe,27,1995,3.8,,2,,,,,,,,,,,1,,,,Matches
Aramburu Jon,veVEN,2.3,Real Sociedad,21,2002,6.0,,15,,,,,,,,,,,7,,,,Matches
