player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Abdallah Keyliane,frFRA,4.0,Marseille,18,2006,0.0,,1,,,,,,,,,,,0,,,,Matches
Abdelhamid Yunis,maMAR,2.0,Saint-Étienne,36,1987,11.5,,11,,,,,,,,,,,14,,,,Matches
Abdelli Himad,dzALG,3.0,Angers,24,1999,31.6,,32,,,,,,,,,,,27,,,,Matches
Abdelmoneim Mohamed,egEGY,2.0,Nice,25,1999,9.5,,14,,,,,,,,,,,15,,,,Matches
Abdi Ali,tnTUN,3.0,Nice,30,1993,15.5,,27,,,,,,,,,,,20,,,,Matches
Abline Matthis,frFRA,4.0,Nantes,21,2003,30.8,,4,,,,,,,,,,,6,,,,Matches
Abner,brBRA,2.3,Lyon,24,2000,12.1,,20,,,,,,,,,,,6,,,,Matches
Aboukhlal Zakaria,maMAR,3.4,Toulouse,24,2000,21.1,,14,,,,,,,,,,,6,,,,Matches
Adams Akor,ngNGA,4.0,Montpellier,24,2000,11.9,,3,,,,,,,,,,,1,,,,Matches
Adeline Martin,frFRA,3.0,Reims,20,2003,0.3,,1,,,,,,,,,,,0,,,,Matches
Adryelson,brBRA,2.0,Lyon,26,1998,0.0,,0,,,,,,,,,,,1,,,,Matches
Agbadou Emmanuel,ciCIV,2.0,Reims,27,1997,14.0,,17,,,,,,,,,,,18,,,,Matches
Agbonifo Jeremy,seSWE,4.0,Lens,18,2005,3.3,,5,,,,,,,,,,,1,,,,Matches
Aguilar Ruben,frFRA,2.4,Lens,31,1993,12.5,,19,,,,,,,,,,,12,,,,Matches
Ahamada Naouirou,frFRA,3.0,Rennes,22,2002,0.6,,0,,,,,,,,,,,3,,,,Matches
Aholou Jean-Eudes,ciCIV,3.0,Angers,30,1994,21.8,,36,,,,,,,,,,,34,,,,Matches
Aiki Ayman,frFRA,3.0,Saint-Étienne,19,2005,1.4,,3,,,,,,,,,,,1,,,,Matches
Ajorque Ludovic,frFRA,4.0,Brest,30,1994,27.7,,18,,,,,,,,,,,5,,,,Matches
Akdag Ümit,roROU,2.0,Toulouse,20,2003,5.6,,4,,,,,,,,,,,12,,,,Matches
Akieme Sergio,esESP,2.0,Reims,26,1997,28.0,,23,,,,,,,,,,,17,,,,Matches
Akliouche Maghnes,frFRA,3.0,Monaco,22,2002,26.7,,32,,,,,,,,,,,15,,,,Matches
Akouokou Paul,ciCIV,3.0,Lyon,26,1997,0.2,,0,,,,,,,,,,,1,,,,Matches
Akpa Clément,ciCIV,2.0,Auxerre,22,2001,27.6,,33,,,,,,,,,,,40,,,,Matches
Akpom Chuba,engENG,4.0,Lille,28,1995,7.1,,5,,,,,,,,,,,0,,,,Matches
Ali Cho Mohamed,frFRA,3.5,Nice,20,2004,18.0,,10,,,,,,,,,,,5,,,,Matches
Allevinah Jim,gaGAB,3.0,Angers,29,1995,19.4,,14,,,,,,,,,,,12,,,,Matches
Almada Thiago,arARG,3.0,Lyon,23,2001,10.6,,9,,,,,,,,,,,7,,,,Matches
Amavi Jordan,frFRA,2.0,Brest,30,1994,8.8,,17,,,,,,,,,,,7,,,,Matches
Amian Kelvin,frFRA,2.0,Nantes,26,1998,24.1,,35,,,,,,,,,,,13,,,,Matches
Amir Murillo Michael,paPAN,2.0,Marseille,28,1996,27.1,,31,,,,,,,,,,,18,,,,Matches
