player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Beck Julius,dkDEN,3.0,Spezia,17,2005,0.1,,1,,,,,,,,,,,0,,,,Matches
Bellanova Raoul,itITA,3.0,Inter,22,2000,5.5,,8,,,,,,,,,,,7,,,,Matches
Belotti Andrea,itITA,4.0,Roma,28,1993,12.7,,5,,,,,,,,,,,3,,,,Matches
Benassi Marco,itITA,2.0,Fiorentina,27,1994,1.0,,3,,,,,,,,,,,1,,,,Matches
Benassi Marco,itITA,3.0,Cremonese,27,1994,11.1,,16,,,,,,,,,,,11,,,,Matches
Bennacer Ismaël,dzALG,3.0,Milan,24,1997,22.3,,31,,,,,,,,,,,26,,,,Matches
Berardi Domenico,itITA,3.5,Sassuolo,27,1994,20.7,,14,,,,,,,,,,,18,,,,Matches
Bereszyński Bartosz,plPOL,2.3,Sampdoria,30,1992,13.3,,18,,,,,,,,,,,20,,,,Matches
Bereszyński Bartosz,plPOL,2.0,Napoli,30,1992,1.8,,2,,,,,,,,,,,3,,,,Matches
Bertini Marco,itITA,3.0,Lazio,19,2002,0.0,,0,,,,,,,,,,,0,,,,Matches
Beto,gwGNB,4.0,Udinese,24,1998,23.7,,8,,,,,,,,,,,6,,,,Matches
Bianchetti Matteo,itITA,2.0,Cremonese,29,1993,23.7,,17,,,,,,,,,,,20,,,,Matches
Bianco Alessandro,itITA,3.0,Fiorentina,19,2002,1.7,,2,,,,,,,,,,,0,,,,Matches
Bijol Jaka,siSVN,2.0,Udinese,23,1999,30.3,,22,,,,,,,,,,,30,,,,Matches
Biraghi Cristiano,itITA,2.0,Fiorentina,29,1992,28.3,,41,,,,,,,,,,,14,,,,Matches
Birindelli Samuele,itITA,3.0,Monza,23,1999,15.6,,20,,,,,,,,,,,16,,,,Matches
Bistrović Kristijan,hrCRO,3.0,Lecce,24,1998,5.1,,1,,,,,,,,,,,0,,,,Matches
Blin Alexis,frFRA,3.0,Lecce,25,1996,26.4,,38,,,,,,,,,,,36,,,,Matches
Boga Jeremie,ciCIV,3.4,Atalanta,25,1997,8.7,,4,,,,,,,,,,,1,,,,Matches
Bohinen Emil,noNOR,3.0,Salernitana,23,1999,9.2,,14,,,,,,,,,,,21,,,,Matches
Bonaventura Giacomo,itITA,3.0,Fiorentina,32,1989,21.2,,22,,,,,,,,,,,15,,,,Matches
Bonazzoli Federico,itITA,4.0,Salernitana,25,1997,12.4,,3,,,,,,,,,,,3,,,,Matches
Bondo Warren,frFRA,3.0,Monza,18,2003,0.7,,0,,,,,,,,,,,0,,,,Matches
Bonifazi Kevin,itITA,2.0,Bologna,26,1996,10.0,,8,,,,,,,,,,,12,,,,Matches
Bonucci Leonardo,itITA,2.0,Juventus,35,1987,9.8,,3,,,,,,,,,,,15,,,,Matches
Botheim Erik,noNOR,3.4,Salernitana,22,2000,9.6,,7,,,,,,,,,,,0,,,,Matches
Bourabia Mehdi,maMAR,3.0,Spezia,30,1991,30.8,,22,,,,,,,,,,,31,,,,Matches
Bove Edoardo,itITA,2.4,Roma,20,2002,11.0,,19,,,,,,,,,,,8,,,,Matches
Braaf Jayden,nlNED,3.0,Hellas Verona,19,2002,3.2,,3,,,,,,,,,,,2,,,,Matches
Bradarić Domagoj,hrCRO,2.4,Salernitana,22,1999,25.0,,20,,,,,,,,,,,20,,,,Matches
Brekalo Josip,hrCRO,3.0,Fiorentina,24,1998,2.5,,1,,,,,,,,,,,1,,,,Matches
Bremer Gleison,brBRA,2.0,Juventus,25,1997,29.3,,21,,,,,,,,,,,39,,,,Matches
Bronn Dylan,tnTUN,2.0,Salernitana,27,1995,18.7,,18,,,,,,,,,,,20,,,,Matches
Brozović Marcelo,hrCRO,3.0,Inter,29,1992,19.7,,21,,,,,,,,,,,22,,,,Matches
Buonaiuto Cristian,itITA,3.4,Cremonese,29,1992,10.9,,16,,,,,,,,,,,13,,,,Matches
