Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
328,Grejohn Kyei,fr FRA,FW,Clermont Foot,25,1995,14,4,396,4.4,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Gaëtan Laborde,fr FRA,MF,Montpellier,27,1994,4,4,341,3.8,3,0,3,3,0,0,1,0,0.79,0.00,0.79,0.79,0.79,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Gaëtan Laborde,fr FRA,FW,Rennes,27,1994,34,32,2729,30.3,12,8,20,10,2,2,1,0,0.40,0.26,0.66,0.33,0.59,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Tom Lacoux,fr FRA,MF,Bordeaux,19,2002,13,11,907,10.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Lenny Lacroix,fr FRA,DF,Metz,18,2003,3,2,200,2.2,0,1,1,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Alban Lafont,ci CIV,GK,Nantes,22,1999,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,22,ci CIV,GK,Nantes,22,1999,38,38,3420,38.0,48,1.26,148,109,70.3,15,10,13,8,21.1,7,4,3,0,42.9,Matches,Ligue 1,2021-22
334,Mohamed Lamine Bayo,gn GUI,FW,Clermont Foot,23,1998,32,27,2413,26.8,14,5,19,12,2,3,1,0,0.52,0.19,0.71,0.45,0.63,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Didier Lamkel Zé,cm CMR,FW,Metz,24,1996,9,8,605,6.7,3,0,3,3,0,0,2,0,0.45,0.00,0.45,0.45,0.45,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Julien Laporte,fr FRA,DF,Lorient,27,1993,33,33,2891,32.1,2,0,2,2,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Yasser Larouci,dz ALG,DF,Troyes,20,2001,12,2,341,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Paul Lasne,fr FRA,MF,Brest,32,1989,15,9,847,9.4,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Armand Lauriente,fr FRA,"FW,MF",Lorient,22,1998,35,28,2477,27.5,6,2,8,5,1,1,5,0,0.22,0.07,0.29,0.18,0.25,Matches,Ligue 1,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
