Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Unnamed: 24_level_0_Matches,league_tag,season_tag,Unnamed: 0_level_0_Rk_k,Unnamed: 2_level_0_Nation_k,Unnamed: 3_level_0_Pos_k,Unnamed: 4_level_0_Squad_k,Unnamed: 5_level_0_Age_k,Unnamed: 6_level_0_Born_k,Playing Time_MP_k,Playing Time_Starts_k,Playing Time_Min_k,Playing Time_90s_k,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 26_level_0_Matches,league_tag_k,season_tag_k
229,Koray Günter,de GER,DF,Hellas Verona,26,1994,30,29,2411,26.8,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Albert Guðmundsson,is ISL,MF,Genoa,24,1997,12,6,607,6.7,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,Emmanuel Gyasi,gh GHA,"MF,FW",Spezia,27,1994,36,35,3035,33.7,6,0,6,6,0,0,10,0,0.18,0.00,0.18,0.18,0.18,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Norbert Gyömbér,sk SVK,DF,Salernitana,29,1992,31,30,2563,28.5,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Nicolas Haas,ch SUI,MF,Empoli,25,1996,16,11,1001,11.1,0,2,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Samir Handanović,si SVN,GK,Inter,37,1984,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,13,si SVN,GK,Inter,37,1984,37,37,3330,37.0,30,0.81,122,96,78.7,25,9,3,15,40.5,4,4,0,0,0.0,Matches,Serie A,2021-22
235,Ridgeciano Haps,sr SUR,"DF,MF",Venezia,28,1993,25,24,2056,22.8,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Abdou Harroui,nl NED,MF,Sassuolo,23,1998,22,3,452,5.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Hans Hateboer,nl NED,"MF,DF",Atalanta,27,1994,21,16,1386,15.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Silvan Hefti,ch SUI,DF,Genoa,23,1997,16,14,1288,14.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Liam Henderson,sct SCO,MF,Empoli,25,1996,38,23,2020,22.4,2,3,5,2,0,0,4,0,0.09,0.13,0.22,0.09,0.22,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,Dalbert Henrique,br BRA,MF,Cagliari,27,1993,28,27,2081,23.1,0,2,2,0,0,0,9,0,0.00,0.09,0.09,0.00,0.09,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,Matheus Henrique,br BRA,MF,Sassuolo,23,1997,25,10,1078,12.0,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Thomas Henry,fr FRA,FW,Venezia,26,1994,33,23,2115,23.5,9,2,11,9,0,0,6,1,0.38,0.09,0.47,0.38,0.47,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Theo Hernández,fr FRA,DF,Milan,23,1997,32,30,2711,30.1,5,5,10,4,1,2,7,2,0.17,0.17,0.33,0.13,0.30,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Hernani,br BRA,"MF,FW",Genoa,27,1994,18,7,682,7.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Daan Heymans,be BEL,MF,Venezia,22,1999,7,2,256,2.8,0,1,1,0,0,0,4,0,0.00,0.35,0.35,0.00,0.35,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Aaron Hickey,sct SCO,"MF,DF",Bologna,19,2002,36,34,2820,31.3,5,1,6,5,0,0,7,0,0.16,0.03,0.19,0.16,0.19,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Martin Hongla,cm CMR,MF,Hellas Verona,23,1998,18,7,651,7.2,1,0,1,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Sydney van Hooijdonk,nl NED,FW,Bologna,21,2000,4,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Petko Hristov,bg BUL,DF,Spezia,22,1999,17,13,1248,13.9,1,1,2,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Elseid Hysaj,al ALB,DF,Lazio,27,1994,29,24,2027,22.5,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Roger Ibanez,br BRA,DF,Roma,22,1998,34,32,2889,32.1,3,0,3,3,0,0,9,0,0.09,0.00,0.09,0.09,0.09,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Zlatan Ibrahimović,se SWE,FW,Milan,39,1981,23,11,1016,11.3,8,2,10,8,0,1,2,0,0.71,0.18,0.89,0.71,0.89,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Igor,br BRA,DF,Fiorentina,23,1998,30,23,2242,24.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Jonathan Ikone,fr FRA,FW,Fiorentina,23,1998,17,7,649,7.2,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Ivan Ilić,rs SRB,MF,Hellas Verona,20,2001,32,30,2526,28.1,1,3,4,1,0,0,5,1,0.04,0.11,0.14,0.04,0.14,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Josip Iličić,si SVN,"MF,FW",Atalanta,33,1988,20,8,841,9.3,3,3,6,3,0,1,1,0,0.32,0.32,0.64,0.32,0.64,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Ciro Immobile,it ITA,FW,Lazio,31,1990,31,31,2711,30.1,27,2,29,20,7,9,4,0,0.90,0.07,0.96,0.66,0.73,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Lorenzo Insigne,it ITA,"MF,FW",Napoli,30,1991,32,28,2290,25.4,11,8,19,2,9,13,2,0,0.43,0.31,0.75,0.08,0.39,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Ardian Ismajli,al ALB,DF,Empoli,24,1996,20,13,1272,14.1,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Armando Izzo,it ITA,DF,Torino,29,1992,11,6,526,5.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Mato Jajalo,ba BIH,MF,Udinese,33,1988,22,6,629,7.0,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Paweł Jaroszyński,pl POL,DF,Salernitana,26,1994,13,4,516,5.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Juan Jesus,br BRA,DF,Napoli,30,1991,21,14,1278,14.2,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Dennis Johnsen,no NOR,"FW,MF",Venezia,23,1998,26,17,1445,16.1,1,2,3,1,0,0,2,0,0.06,0.12,0.19,0.06,0.19,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Kaio Jorge,br BRA,FW,Juventus,19,2002,9,0,121,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Flavio Junior Bianchi,it ITA,FW,Genoa,21,2000,7,4,314,3.5,1,0,1,1,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Hamed Junior Traorè,ci CIV,MF,Sassuolo,21,2000,31,21,1775,19.7,7,2,9,7,0,0,3,0,0.35,0.10,0.46,0.35,0.46,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Nikola Kalinić,hr CRO,FW,Hellas Verona,33,1988,14,4,406,4.5,4,1,5,4,0,0,5,1,0.89,0.22,1.11,0.89,1.11,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Yayah Kallon,sl SLE,"MF,FW",Genoa,20,2001,15,5,636,7.1,0,1,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Pierre Kalulu,fr FRA,DF,Milan,21,2000,28,21,1944,21.6,1,2,3,1,0,0,4,0,0.05,0.09,0.14,0.05,0.14,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Dimitrije Kamenović,rs SRB,DF,Lazio,21,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Rick Karsdorp,nl NED,"MF,DF",Roma,26,1995,36,32,2883,32.0,0,2,2,0,0,0,9,1,0.00,0.06,0.06,0.00,0.06,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Denso Kasius,nl NED,MF,Bologna,18,2002,7,1,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Grigoris Kastanos,cy CYP,"MF,FW",Salernitana,23,1998,27,16,1348,15.0,1,1,2,1,0,0,4,1,0.07,0.07,0.13,0.07,0.13,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Moise Kean,it ITA,FW,Juventus,21,2000,32,12,1098,12.2,5,2,7,5,0,0,5,0,0.41,0.16,0.57,0.41,0.57,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Wajdi Kechrida,tn TUN,"MF,DF",Salernitana,25,1995,17,10,952,10.6,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Dimitrios Keramitsis,gr GRE,DF,Roma,17,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Franck Kessié,ci CIV,MF,Milan,24,1996,31,25,2308,25.6,6,0,6,4,2,3,2,0,0.23,0.00,0.23,0.16,0.16,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Jakub Kiwior,pl POL,MF,Spezia,21,2000,22,21,1964,21.8,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Sofian Kiyine,ma MAR,"MF,FW",Venezia,23,1997,26,14,1239,13.8,1,0,1,1,0,1,8,1,0.07,0.00,0.07,0.07,0.07,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Simon Kjær,dk DEN,DF,Milan,32,1989,11,10,802,8.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Aleksandr Kokorin,ru RUS,"FW,MF",Fiorentina,30,1991,6,0,55,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Aleksandar Kolarov,rs SRB,DF,Inter,35,1985,3,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Teun Koopmeiners,nl NED,MF,Atalanta,23,1998,30,23,2126,23.6,4,1,5,4,0,0,4,0,0.17,0.04,0.21,0.17,0.21,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Kalidou Koulibaly,sn SEN,DF,Napoli,30,1991,27,27,2405,26.7,3,1,4,3,0,0,5,1,0.11,0.04,0.15,0.11,0.15,Matches,Serie A,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
