gameweek,team_h,team_a,team_h_difficulty,team_a_difficulty
1,2,15,3,4
1,6,10,3,4
1,7,8,3,3
1,11,9,3,3
1,12,4,3,4
1,14,1,4,4
1,16,5,3,3
1,17,19,2,3
1,18,3,1,3
1,20,13,4,2
2,1,11,2,5
2,3,17,2,2
2,4,20,1,4
2,5,2,3,3
2,8,16,3,3
2,9,6,3,3
2,10,14,3,3
2,13,18,3,5
2,15,12,3,3
2,19,7,3,3
3,2,8,3,4
3,6,13,4,4
3,7,10,3,3
3,11,15,3,3
3,12,1,4,4
3,14,3,1,4
3,16,19,2,3
3,17,5,3,3
3,18,4,3,3
3,20,9,3,2
4,1,16,3,5
4,3,12,3,2
4,4,6,3,4
4,5,7,3,3
4,8,17,2,3
4,9,2,3,3
4,10,11,2,3
4,13,14,3,5
4,15,20,1,3
4,19,18,3,3
5,1,13,4,5
5,3,16,3,2
5,4,15,3,4
5,6,18,3,4
5,10,5,3,3
5,12,9,3,4
5,14,7,3,4
5,17,2,3,3
5,19,8,3,3
5,20,11,2,2
6,2,10,3,4
6,5,14,3,3
6,7,6,3,3
6,8,12,3,3
6,9,19,2,3
6,11,4,3,3
6,13,3,1,5
6,15,1,4,3
6,16,17,2,3
6,18,20,1,3
7,1,19,2,5
7,2,3,1,4
7,4,10,3,4
7,5,13,4,3
7,7,12,3,3
7,9,8,3,3
7,11,18,3,3
7,14,17,2,4
7,15,16,3,3
7,20,6,3,2
8,3,11,2,2
8,6,15,3,4
8,8,4,3,3
8,10,1,4,3
8,12,14,3,4
8,13,9,3,5
8,16,7,3,3
8,17,20,1,3
8,18,2,3,3
8,19,5,3,3
9,1,8,3,5
9,2,13,4,4
9,4,16,3,4
9,5,12,3,3
9,7,17,2,3
9,9,18,3,3
9,11,19,2,3
9,14,6,3,4
9,15,10,3,3
9,20,3,1,2
10,3,1,4,2
10,6,11,2,4
10,8,5,3,3
10,10,20,1,3
10,12,2,3,4
10,13,4,3,5
10,16,14,3,3
10,17,9,3,3
10,18,7,3,3
10,19,15,3,3
11,2,4,3,4
11,5,15,3,3
11,7,20,1,3
11,8,6,3,3
11,9,10,3,3
11,13,12,3,5
11,16,11,2,3
11,17,1,4,3
11,18,14,3,3
11,19,3,1,3
12,1,18,3,5
12,3,7,3,2
12,4,19,2,4
12,6,5,3,4
12,10,17,2,3
12,11,2,3,3
12,12,16,3,4
12,14,9,3,4
12,15,13,4,3
12,20,8,3,2
13,2,20,1,4
13,5,3,1,3
13,7,1,4,3
13,8,14,3,3
13,9,15,3,3
13,13,11,2,5
13,16,6,3,3
13,17,4,3,3
13,18,10,3,3
13,19,12,3,3
14,1,5,3,5
14,3,8,3,2
14,4,9,3,4
14,6,2,3,4
14,10,13,4,3
14,11,7,3,3
14,12,17,2,4
14,14,19,2,4
14,15,18,3,3
14,20,16,3,2
15,2,1,4,4
15,4,7,3,4
15,6,19,2,4
15,9,16,3,3
15,10,8,3,3
15,11,12,3,3
15,13,17,2,5
15,15,3,1,3
15,18,5,3,3
15,20,14,3,2
16,1,20,1,5
16,3,10,3,2
16,5,11,2,3
16,7,9,3,3
16,8,13,4,3
16,12,6,3,4
16,14,4,3,4
16,16,18,3,3
16,17,15,3,3
16,19,2,3,3
17,2,14,3,4
17,4,3,1,4
17,6,17,2,4
17,9,1,4,3
17,10,16,3,3
17,11,8,3,3
17,13,19,2,5
17,15,7,3,3
17,18,12,3,3
17,20,5,3,2
18,1,6,3,5
18,3,9,3,2
18,5,4,3,3
18,7,2,3,3
18,8,18,3,3
18,12,20,1,4
18,14,15,3,4
18,16,13,4,3
18,17,11,2,3
18,19,10,3,3
19,1,2,3,5
19,3,15,3,2
19,5,18,3,3
19,7,4,3,3
19,8,10,3,3
19,12,11,2,4
19,14,20,1,4
19,16,9,3,3
19,17,13,4,3
19,19,6,3,3
20,2,16,3,4
20,4,1,4,4
20,6,3,1,4
20,9,5,3,3
20,10,12,3,3
20,11,14,3,3
20,13,7,3,5
20,15,8,3,3
20,18,17,2,3
20,20,19,2,2
21,1,12,3,5
21,3,14,3,2
21,4,18,3,4
21,5,17,2,3
21,8,2,3,3
21,9,20,1,3
21,10,7,3,3
21,13,6,3,5
21,15,11,2,3
21,19,16,3,3
22,2,9,3,4
22,6,4,3,4
22,7,5,3,3
22,11,10,3,3
22,12,3,1,4
22,14,13,4,4
22,16,1,4,3
22,17,8,3,3
22,18,19,2,3
22,20,15,3,2
23,1,14,3,5
23,3,18,3,2
23,4,12,3,4
23,5,16,3,3
23,8,7,3,3
23,9,11,2,3
23,10,6,3,3
23,13,20,1,5
23,15,2,3,3
23,19,17,2,3
24,2,5,3,4
24,6,9,3,4
24,7,19,2,3
24,11,1,4,3
24,12,15,3,4
24,14,10,3,4
24,16,8,3,3
24,17,3,1,3
24,18,13,4,3
24,20,4,3,2
25,1,17,2,5
25,3,19,2,2
25,4,2,3,4
25,6,8,3,4
25,10,9,3,3
25,11,16,3,3
25,12,13,4,4
25,14,18,3,4
25,15,5,3,3
25,20,7,3,2
26,2,6,3,4
26,5,1,4,3
26,7,11,2,3
26,8,3,1,3
26,9,4,3,3
26,13,10,3,5
26,16,20,1,3
26,17,12,3,3
26,18,15,3,3
26,19,14,3,3
26,20,1,4,2
27,2,11,2,4
27,5,6,3,3
27,7,3,1,3
27,8,20,1,3
27,9,14,3,3
27,13,15,3,5
27,16,12,3,3
27,17,10,3,3
27,18,1,4,3
27,19,4,3,3
28,1,7,3,5
28,3,5,3,2
28,4,17,2,4
28,6,16,3,4
28,10,18,3,3
28,11,13,4,3
28,12,19,2,4
28,14,8,3,4
28,15,9,3,3
28,20,2,3,2
29,2,7,3,4
29,4,5,3,4
29,6,1,4,4
29,9,3,1,3
29,10,19,2,3
29,11,17,2,3
29,13,16,3,5
29,15,14,3,3
29,18,8,3,3
29,20,12,3,2
30,1,9,3,5
30,3,4,3,2
30,5,20,1,3
30,7,15,3,3
30,8,11,2,3
30,12,18,3,4
30,14,2,3,4
30,16,10,3,3
30,17,6,3,3
30,19,13,4,3
31,2,19,2,4
31,4,14,3,4
31,6,12,3,4
31,9,7,3,3
31,10,3,1,3
31,11,5,3,3
31,15,17,2,3
31,18,16,3,3
32,1,4,3,5
32,3,6,3,2
32,5,9,3,3
32,7,13,4,3
32,8,15,3,3
32,12,10,3,4
32,14,11,2,4
32,16,2,3,3
32,17,18,3,3
32,19,20,1,3
33,2,17,2,4
33,3,13,4,2
33,4,11,2,4
33,5,10,3,3
33,6,7,3,4
33,7,14,3,3
33,8,19,2,3
33,9,12,3,3
33,11,20,1,3
33,13,1,4,5
33,15,4,3,3
33,16,3,1,3
33,18,6,3,3
34,1,15,3,5
34,10,2,3,3
34,12,8,3,4
34,14,5,3,4
34,17,16,3,3
34,19,9,3,3
34,20,18,3,2
35,1,10,3,5
35,2,18,3,4
35,4,8,3,4
35,5,19,2,3
35,7,16,3,3
35,9,13,4,3
35,11,3,1,3
35,14,12,3,4
35,15,6,3,3
35,20,17,2,2
36,3,2,3,2
36,6,20,1,4
36,8,9,3,3
36,10,4,3,3
36,12,7,3,4
36,13,5,3,5
36,13,8,3,5
36,16,15,3,3
36,17,14,3,3
36,18,11,2,3
36,19,1,4,3
37,1,3,1,5
37,2,12,3,4
37,4,13,4,4
37,5,8,3,3
37,7,18,3,3
37,9,17,2,3
37,11,6,3,3
37,14,16,3,4
37,15,19,2,3
37,20,10,3,2
38,3,20,1,2
38,6,14,3,4
38,8,1,4,3
38,10,15,3,3
38,12,5,3,4
38,13,2,3,5
38,16,4,3,3
38,17,7,3,3
38,18,9,3,3
38,19,11,2,3
